Episode,Steps
0,487
1,547
2,500
3,488
4,495
5,437
6,474
7,492
8,466
9,475
10,514
11,546
12,516
13,494
14,512
15,489
16,491
17,495
18,509
19,485
20,556
21,517
22,528
23,487
24,520
25,495
26,503
27,521
28,525
29,548
30,547
31,452
32,515
33,477
34,558
35,520
36,541
37,504
38,475
39,483
40,506
41,491
42,515
43,532
44,569
45,513
46,521
47,488
48,509
49,453
50,468
51,506
52,466
53,503
54,509
55,500
56,514
57,494
58,502
59,553
60,467
61,465
62,515
63,500
64,540
65,543
66,540
67,516
68,534
69,480
70,497
71,499
72,546
73,477
74,489
75,517
76,471
77,482
78,444
79,467
80,492
81,531
82,494
83,491
84,470
85,452
86,449
87,536
88,504
89,466
90,488
91,525
92,491
93,486
94,532
95,513
96,458
97,493
98,514
99,499
