Episode,Steps
0,1646
1,1549
2,1076
3,1693
4,1298
5,1582
6,1116
7,1669
8,1706
9,1855
10,955
11,1328
12,1048
13,922
14,1087
15,1240
16,890
17,836
18,1135
19,1271
20,1574
21,1531
22,1617
23,1559
24,1051
25,1224
26,1566
27,972
28,910
29,1999
30,1440
31,1174
32,1489
33,1394
34,1728
35,1548
36,1203
37,1518
38,950
39,1127
40,1813
41,1202
42,1112
43,1146
44,1419
45,1626
46,1384
47,1103
48,1348
49,1115
50,1078
51,1295
52,1118
53,913
54,927
55,1489
56,1259
57,1658
58,1999
59,1133
60,1527
61,959
62,1407
63,863
64,969
65,935
66,1513
67,1462
68,830
69,1710
70,1999
71,1457
72,1440
73,1670
74,1796
75,1942
76,1050
77,1071
78,1320
79,1468
80,1391
81,1948
82,1999
83,1259
84,989
85,1655
86,885
87,1466
88,1742
89,1311
90,1170
91,1351
92,1020
93,1999
94,1795
95,1292
96,1180
97,1806
98,1430
99,989
