Episode,Steps,Agent0,Agent1,Agent2,Total
0,1999,-2182.899999999919,-1853.199999999968,-1605.5999999999772,-5641.699999999864
10,1999,-2199.9999999999177,-1967.5999999999528,-1502.799999999985,-5670.399999999855
20,1999,-2199.9999999999177,-1734.4999999999814,-1701.9999999999688,-5636.499999999868
30,1999,-2199.9999999999177,-1966.899999999953,-1503.9999999999848,-5670.899999999855
40,1369,-650.3999999999977,-1194.4999999999966,-1097.0000000000066,-2941.9000000000005
50,856,-383.7999999999992,-572.2000000000027,-574.0999999999987,-1530.1000000000004
60,889,-405.19999999999993,-598.5000000000006,-588.1999999999996,-1591.9
70,881,-404.09999999999945,-616.8000000000015,-605.8000000000023,-1626.7000000000035
80,913,-406.1999999999974,-624.1999999999999,-605.8000000000011,-1636.1999999999985
90,1007,-458.29999999999865,-704.3999999999957,-668.4000000000048,-1831.099999999999
100,848,-378.0999999999981,-563.9000000000025,-558.8999999999975,-1500.899999999998
110,1049,-467.4999999999992,-682.9999999999989,-692.8000000000062,-1843.3000000000043
120,866,-392.3999999999991,-571.1000000000026,-569.6999999999981,-1533.1999999999998
130,942,-415.80000000000007,-599.8000000000015,-617.3000000000014,-1632.900000000003
140,911,-407.4999999999991,-609.6999999999989,-601.2000000000005,-1618.3999999999985
150,796,-353.7999999999999,-501.00000000000347,-530.8999999999959,-1385.6999999999994
160,927,-402.19999999999794,-619.3999999999999,-614.6000000000009,-1636.199999999999
170,890,-395.4999999999991,-600.8000000000014,-591.7,-1588.0000000000005
180,914,-398.99999999999767,-619.9,-603.1000000000005,-1621.9999999999982
190,876,-383.0999999999981,-570.9000000000025,-584.2999999999998,-1538.3000000000004
200,919,-406.0999999999983,-613.6000000000015,-608.6000000000007,-1628.3000000000006
210,852,-391.59999999999945,-578.600000000003,-573.0999999999985,-1543.300000000001
220,1014,-454.199999999998,-684.0999999999967,-673.9000000000054,-1812.2000000000003
230,861,-379.99999999999903,-562.8000000000023,-571.1999999999982,-1513.9999999999995
240,947,-418.69999999999817,-632.4999999999985,-624.600000000002,-1675.7999999999986
250,937,-407.4999999999985,-629.9,-621.0000000000018,-1658.4000000000003
260,882,-384.1999999999988,-567.0000000000013,-582.8999999999991,-1534.099999999999
270,840,-377.2999999999989,-540.2000000000037,-554.899999999997,-1472.3999999999996
280,841,-360.2999999999988,-550.800000000003,-553.399999999997,-1464.4999999999989
290,933,-407.69999999999806,-635.2000000000005,-625.0000000000023,-1667.9000000000008
300,962,-414.5999999999986,-625.2,-638.5000000000032,-1678.3000000000018
310,791,-358.4999999999999,-492.0000000000035,-523.599999999995,-1374.0999999999985
320,1000,-447.9999999999973,-682.6999999999972,-664.700000000005,-1795.3999999999996
