Episode,Steps,Agent0,Agent1,Agent2,Total
1,1785,-1189.0000000000039,-1425.6999999999775,-1446.20000000002,-4060.9000000000015
2,1501,-1037.8000000000065,-1257.999999999987,-1156.8000000000209,-3452.600000000015
3,1627,-1165.7000000000025,-1273.9999999999832,-1263.0000000000186,-3702.7000000000044
4,1338,-925.3000000000035,-1033.9000000000012,-1026.1000000000256,-2985.30000000003
5,1285,-890.0000000000042,-1029.2000000000044,-1020.400000000022,-2939.6000000000304
6,1444,-965.2000000000047,-1154.7999999999947,-1125.3000000000216,-3245.300000000021
7,1473,-997.7000000000039,-1176.5999999999885,-1129.6000000000236,-3303.900000000016
8,1536,-1031.9000000000044,-1222.2999999999874,-1193.3000000000277,-3447.500000000019
9,1455,-1000.900000000005,-1177.799999999991,-1139.0000000000211,-3317.700000000017
11,1476,-978.2000000000039,-1164.3999999999908,-1156.700000000018,-3299.300000000013
12,1426,-912.3000000000061,-1154.5999999999904,-1134.3000000000225,-3201.200000000019
13,1521,-1045.1000000000056,-1206.3999999999808,-1216.2000000000182,-3467.7000000000044
14,1532,-1124.3000000000004,-1211.4999999999925,-1206.1000000000183,-3541.9000000000115
15,1511,-1147.2000000000041,-1202.4999999999884,-1190.0000000000216,-3539.7000000000144
16,1375,-974.4000000000048,-1064.499999999999,-1034.0000000000225,-3072.900000000026
17,1531,-1080.700000000003,-1277.9999999999932,-1182.6000000000226,-3541.300000000019
18,1406,-957.4000000000046,-1085.5999999999965,-1081.100000000027,-3124.100000000028
19,1430,-972.9000000000055,-1233.5999999999917,-1087.3000000000254,-3293.800000000023
21,1514,-1055.700000000003,-1269.1999999999807,-1162.700000000012,-3487.599999999996
22,1607,-1150.100000000006,-1299.5999999999824,-1275.4000000000149,-3725.100000000003
23,1445,-1009.6000000000053,-1144.999999999994,-1112.2000000000253,-3266.8000000000247
24,1647,-1163.2000000000028,-1370.8999999999776,-1277.600000000023,-3811.7000000000035
25,1477,-981.6000000000042,-1194.199999999991,-1145.4000000000233,-3321.2000000000185
26,1611,-1181.8999999999974,-1333.1999999999796,-1239.600000000029,-3754.7000000000057
27,1697,-1212.0000000000002,-1346.3999999999737,-1297.6000000000215,-3855.9999999999955
28,1419,-969.2000000000035,-1154.7999999999895,-1100.8000000000184,-3224.800000000011
29,1681,-1219.6000000000006,-1340.599999999975,-1383.8000000000118,-3943.9999999999873
31,1189,-820.2000000000048,-866.8999999999971,-938.0000000000159,-2625.1000000000176
32,1696,-1227.8999999999958,-1390.299999999978,-1346.5000000000239,-3964.699999999997
33,1573,-1124.1000000000033,-1294.3999999999894,-1251.2000000000182,-3669.7000000000107
34,1670,-1134.4000000000028,-1414.5999999999763,-1338.3000000000102,-3887.2999999999893
35,1665,-1243.1000000000001,-1324.5999999999794,-1315.8000000000138,-3883.4999999999936
36,1339,-797.8999999999993,-1031.899999999995,-1024.200000000022,-2854.0000000000164
37,1182,-575.1999999999974,-889.0999999999972,-930.5000000000211,-2394.8000000000156
38,965,-455.09999999999957,-706.9999999999986,-734.800000000009,-1896.9000000000071
39,997,-455.199999999999,-716.6999999999964,-737.6000000000095,-1909.500000000005
41,919,-413.8999999999991,-620.8999999999999,-633.0000000000032,-1667.8000000000022
42,879,-387.9999999999988,-596.7000000000022,-616.600000000003,-1601.3000000000038
43,942,-428.79999999999916,-643.1999999999982,-637.1000000000026,-1709.1
44,999,-435.4999999999982,-697.5999999999963,-687.8000000000063,-1820.9000000000008
45,948,-428.29999999999984,-671.5999999999984,-646.7000000000036,-1746.6000000000017
46,897,-400.19999999999834,-613.9000000000013,-600.8000000000003,-1614.9
47,822,-371.6999999999983,-527.9000000000027,-554.0999999999976,-1453.6999999999987
48,898,-399.19999999999953,-609.3000000000012,-608.1000000000007,-1616.6000000000013
49,840,-396.7999999999986,-544.2000000000029,-565.6999999999981,-1506.6999999999996
51,987,-448.90000000000015,-662.8999999999982,-659.4000000000048,-1771.200000000003
52,854,-387.19999999999936,-561.3000000000021,-570.6999999999985,-1519.1999999999998
53,918,-417.2999999999997,-611.2999999999992,-609.9000000000009,-1638.5
54,922,-406.099999999998,-617.3999999999999,-610.3000000000013,-1633.7999999999993
55,883,-400.1000000000005,-602.0000000000006,-588.5999999999998,-1590.7000000000007
56,839,-393.2000000000001,-560.7000000000033,-563.1999999999985,-1517.100000000002
