Episode,Steps,Agent0,Agent1,Agent2,Total
0,1850,-1979.0999999999342,-1392.5999999999776,-1282.7000000000414,-4654.399999999953
10,1855,-1979.599999999934,-1432.3999999999676,-1276.0000000000418,-4687.999999999944
20,1999,-2139.9999999999213,-1571.6999999999712,-1394.8000000000463,-5106.499999999939
30,1859,-1983.9999999999336,-1411.1999999999648,-1288.000000000042,-4683.199999999941
40,1824,-1947.4999999999366,-1364.699999999977,-1253.90000000004,-4566.099999999953
50,1696,-1815.6999999999482,-1367.2999999999756,-1172.500000000036,-4355.49999999996
60,1809,-1937.9999999999377,-1373.7999999999806,-1251.6000000000413,-4563.39999999996
70,1926,-2061.6999999999275,-1397.0999999999801,-1337.3000000000454,-4796.099999999953
80,1884,-2019.499999999931,-1530.299999999971,-1309.5000000000416,-4859.299999999944
90,1795,-1921.5999999999394,-1401.199999999979,-1242.000000000038,-4564.7999999999565
100,1832,-1958.2999999999363,-1387.8999999999737,-1265.5000000000396,-4611.69999999995
110,1999,-1640.7999999999613,-1953.8999999999342,-1360.6,-4955.299999999896
120,891,-421.199999999999,-560.600000000001,-656.0000000000036,-1637.8000000000038
130,893,-410.99999999999847,-558.6000000000023,-633.400000000002,-1603.0000000000027
140,907,-400.19999999999743,-616.1000000000003,-602.4000000000008,-1618.6999999999985
150,873,-392.70000000000056,-581.100000000002,-576.1999999999988,-1550.0000000000014
160,927,-408.2999999999995,-623.8999999999988,-611.8000000000011,-1643.9999999999995
170,824,-367.2999999999992,-540.3000000000038,-544.8999999999966,-1452.4999999999995
180,876,-390.9999999999986,-595.9000000000003,-583.0999999999996,-1569.9999999999986
190,992,-433.199999999999,-679.4999999999986,-653.3000000000037,-1766.0000000000014
200,983,-432.7999999999984,-685.3999999999961,-652.0000000000039,-1770.1999999999985
210,864,-390.09999999999957,-592.4000000000015,-574.8999999999986,-1557.3999999999996
220,1022,-461.3000000000001,-723.499999999995,-682.3000000000055,-1867.1000000000008
230,906,-420.79999999999853,-610.2000000000006,-607.1000000000009,-1638.1
240,945,-422.5999999999998,-649.5999999999982,-626.6000000000021,-1698.8000000000002
250,1041,-454.2999999999983,-712.3999999999953,-687.4000000000066,-1854.1000000000004
260,955,-427.20000000000056,-662.399999999999,-638.0000000000027,-1727.6000000000022
270,900,-414.1999999999998,-607.1999999999999,-597.7,-1619.1
280,882,-384.6000000000004,-580.2000000000027,-580.0999999999987,-1544.900000000002
290,869,-383.29999999999995,-585.600000000002,-573.3999999999983,-1542.3000000000002
300,944,-410.99999999999847,-664.8999999999978,-626.1000000000016,-1701.9999999999977
310,900,-408.79999999999984,-590.5000000000002,-593.6999999999997,-1592.9999999999998
320,907,-403.9999999999989,-605.6000000000007,-599.6000000000001,-1609.1999999999998
330,1050,-453.2999999999976,-755.1999999999952,-708.700000000008,-1917.2000000000007
340,809,-359.0999999999996,-539.0000000000047,-535.999999999996,-1434.1000000000004
350,1050,-463.7999999999983,-721.8999999999955,-688.7000000000062,-1874.4
360,1078,-481.8999999999963,-744.5999999999932,-719.9000000000086,-1946.3999999999983
370,855,-387.7999999999984,-587.8000000000029,-565.799999999998,-1541.3999999999992
380,867,-378.6999999999984,-590.3000000000012,-574.7999999999988,-1543.7999999999984
390,913,-411.8999999999988,-633.8999999999988,-612.8000000000011,-1658.5999999999988
400,1018,-444.19999999999783,-678.9999999999972,-680.100000000006,-1803.300000000001
410,942,-414.4999999999986,-650.4999999999986,-621.7000000000016,-1686.699999999999
420,968,-423.9999999999985,-673.6999999999987,-638.9000000000033,-1736.6000000000004
430,831,-373.9999999999992,-544.3000000000027,-550.5999999999971,-1468.899999999999
440,884,-399.499999999999,-604.4000000000004,-589.8999999999996,-1593.799999999999
450,839,-370.0999999999995,-583.9000000000033,-554.399999999997,-1508.3999999999996
460,816,-378.2999999999984,-554.8000000000036,-541.0999999999963,-1474.1999999999982
470,947,-412.69999999999885,-649.399999999999,-626.6000000000024,-1688.7000000000003
480,917,-405.59999999999815,-628.0000000000011,-608.200000000001,-1641.8000000000002
490,836,-386.8999999999991,-569.5000000000019,-555.6999999999973,-1512.0999999999983
500,890,-394.2999999999993,-609.6000000000007,-588.0999999999998,-1591.9999999999998
510,932,-418.5999999999993,-655.7999999999984,-619.5000000000015,-1693.8999999999992
520,944,-411.09999999999997,-658.2999999999982,-630.1000000000023,-1699.5000000000005
530,842,-371.29999999999814,-566.9000000000019,-555.2999999999975,-1493.4999999999975
540,996,-432.39999999999907,-690.6999999999974,-660.3000000000045,-1783.400000000001
550,867,-416.799999999999,-586.0999999999998,-582.3999999999996,-1585.2999999999984
560,827,-381.8999999999999,-544.6000000000028,-548.9999999999966,-1475.4999999999993
570,865,-383.2999999999997,-595.1000000000034,-579.199999999999,-1557.6000000000022
580,866,-389.6,-579.2000000000016,-572.4999999999982,-1541.2999999999997
590,807,-373.30000000000047,-563.3000000000034,-537.599999999996,-1474.1999999999998
600,927,-407.69999999999965,-642.0999999999996,-615.600000000002,-1665.4000000000012
610,892,-388.99999999999983,-609.1999999999999,-592.4999999999997,-1590.6999999999994
620,927,-413.0999999999995,-657.6999999999983,-619.8000000000019,-1690.6
630,942,-420.8999999999985,-644.8999999999997,-621.5000000000019,-1687.3000000000002
640,905,-415.8000000000004,-609.3999999999999,-598.8000000000002,-1624.0000000000005
650,855,-374.49999999999955,-581.7000000000012,-562.1999999999974,-1518.3999999999983
660,820,-364.3000000000003,-543.9000000000038,-542.8999999999963,-1451.1000000000004
670,954,-424.6999999999972,-648.9999999999985,-639.7000000000039,-1713.3999999999996
680,858,-379.2000000000001,-575.8000000000008,-566.499999999998,-1521.4999999999989
690,919,-416.6999999999983,-633.5999999999997,-608.2000000000008,-1658.4999999999986
700,832,-366.7999999999988,-559.6000000000042,-550.0999999999968,-1476.5
710,823,-382.8000000000007,-547.4000000000024,-546.9999999999966,-1477.1999999999996
720,864,-395.99999999999943,-604.8000000000009,-574.0999999999987,-1574.899999999999
730,1024,-449.3999999999992,-709.099999999996,-680.1000000000056,-1838.6000000000008
740,912,-412.2999999999981,-626.6000000000009,-609.1000000000012,-1648.0
750,946,-421.4999999999989,-646.5000000000001,-627.7000000000021,-1695.7000000000012
760,874,-393.3999999999993,-607.0000000000015,-578.899999999999,-1579.2999999999997
770,934,-414.8999999999979,-677.599999999997,-624.9000000000021,-1717.399999999997
780,930,-410.9999999999991,-617.4000000000001,-613.5000000000014,-1641.9000000000005
790,1021,-457.699999999998,-675.3999999999965,-676.6000000000059,-1809.7000000000003
800,1023,-450.39999999999833,-699.2999999999972,-677.8000000000061,-1827.5000000000016
810,960,-425.2999999999996,-636.0999999999985,-636.1000000000028,-1697.500000000001
820,894,-402.9999999999988,-609.6000000000006,-595.3000000000002,-1607.8999999999996
830,907,-410.1000000000007,-629.3000000000001,-603.8000000000006,-1643.2000000000014
840,843,-384.99999999999955,-580.1000000000022,-561.5999999999975,-1526.6999999999994
850,1000,-441.4999999999983,-702.9999999999955,-657.9000000000043,-1802.3999999999978
860,884,-394.89999999999895,-620.2000000000003,-584.8999999999991,-1599.9999999999982
870,881,-410.4999999999986,-594.9999999999999,-590.9999999999999,-1596.4999999999982
880,924,-402.89999999999856,-625.9000000000011,-613.9000000000016,-1642.7000000000012
890,954,-426.3999999999991,-675.2999999999982,-639.3000000000031,-1741.0000000000005
900,901,-390.5999999999994,-607.6000000000004,-593.5999999999998,-1591.7999999999997
910,816,-366.5999999999993,-559.7000000000016,-538.2999999999959,-1464.5999999999967
920,1002,-449.8999999999985,-705.5999999999967,-665.3000000000048,-1820.8000000000002
930,894,-386.99999999999926,-600.0000000000013,-597.7000000000005,-1584.700000000001
940,762,-337.30000000000064,-538.9000000000037,-508.8999999999944,-1385.0999999999988
950,854,-399.19999999999925,-558.4000000000025,-562.4999999999976,-1520.0999999999995
960,946,-415.8999999999983,-661.4999999999976,-624.9000000000021,-1702.2999999999981
970,993,-439.7999999999985,-681.2999999999957,-656.4000000000043,-1777.4999999999986
