Episode,Steps,Agent0,Agent1,Agent2,Total
1,1600,-937.1000000000039,-1270.9999999999818,-1226.9000000000276,-3435.0000000000136
2,1292,-797.3000000000027,-1022.1000000000081,-1040.700000000023,-2860.100000000034
3,1481,-811.3000000000003,-1204.1999999999894,-1216.4000000000142,-3231.9000000000037
4,1225,-652.5000000000001,-969.0999999999937,-962.2000000000211,-2583.8000000000147
5,1344,-790.3000000000033,-1126.2999999999913,-1040.500000000022,-2957.1000000000167
6,1309,-744.5000000000018,-1058.7000000000005,-1021.800000000021,-2825.000000000023
7,1318,-728.9000000000016,-1014.199999999995,-1012.9000000000214,-2756.000000000018
8,1436,-783.599999999999,-1172.4999999999864,-1130.70000000002,-3086.8000000000056
9,1322,-704.5,-1073.6999999999925,-1020.7000000000198,-2798.9000000000124
11,1489,-820.5000000000011,-1149.0999999999879,-1182.4000000000165,-3152.0000000000055
12,1407,-855.4000000000034,-1090.7999999999954,-1079.800000000025,-3026.0000000000236
13,1470,-984.6000000000068,-1175.5999999999854,-1123.700000000024,-3283.900000000016
14,1381,-868.3000000000044,-1058.7999999999952,-1058.800000000021,-2985.9000000000206
15,1174,-661.6000000000018,-884.4999999999975,-918.1000000000186,-2464.200000000018
16,1355,-801.4000000000007,-1033.799999999997,-1082.000000000024,-2917.2000000000216
17,1340,-705.2999999999981,-1085.6999999999932,-1091.9000000000196,-2882.900000000011
18,1491,-878.9000000000032,-1161.7999999999781,-1182.8000000000181,-3223.499999999999
19,1300,-749.2000000000033,-1071.3000000000013,-1047.5000000000243,-2868.000000000029
21,1293,-629.6999999999973,-1026.6999999999914,-1030.2000000000235,-2686.600000000012
22,1363,-703.3999999999991,-1088.8999999999908,-1029.600000000023,-2821.900000000013
23,1475,-837.0000000000034,-1189.799999999987,-1161.4000000000246,-3188.2000000000153
24,1374,-747.8000000000005,-1074.9999999999948,-1081.7000000000248,-2904.50000000002
25,1454,-812.7000000000004,-1240.0999999999915,-1164.1000000000204,-3216.9000000000124
26,1418,-761.999999999999,-1130.0999999999942,-1151.3000000000188,-3043.400000000012
27,1677,-968.9000000000013,-1338.7999999999727,-1306.4000000000156,-3614.0999999999894
28,1326,-734.4000000000034,-1016.5000000000015,-1058.5000000000211,-2809.400000000026
29,1291,-679.4999999999969,-996.3999999999978,-997.4000000000218,-2673.3000000000166
31,1362,-779.1000000000005,-1155.4999999999927,-1026.9000000000224,-2961.5000000000155
