Episode,Steps,Agent0,Agent1,Agent2,Total
0,824,-374.1999999999994,-555.9000000000029,-547.0999999999966,-1477.199999999999
10,1064,-489.2999999999985,-740.7999999999947,-703.3000000000076,-1933.4000000000005
20,1056,-474.59999999999906,-752.3999999999938,-702.9000000000075,-1929.9000000000005
30,930,-416.69999999999885,-636.1999999999997,-611.9000000000009,-1664.7999999999993
40,875,-396.7,-579.7000000000027,-578.9999999999992,-1555.400000000002
50,874,-399.9000000000001,-626.9000000000007,-578.0999999999987,-1604.8999999999992
60,941,-435.3999999999999,-639.6000000000016,-622.800000000002,-1697.8000000000036
70,934,-412.3999999999999,-657.9999999999987,-618.7000000000019,-1689.1000000000006
80,942,-421.5999999999989,-641.2999999999964,-619.1000000000016,-1681.9999999999968
90,910,-412.19999999999766,-627.700000000001,-604.1000000000007,-1643.9999999999995
100,880,-400.5999999999997,-600.5000000000022,-588.0999999999996,-1589.2000000000014
110,962,-444.59999999999997,-655.3999999999985,-635.7000000000027,-1735.7000000000012
120,884,-402.8000000000005,-583.3000000000021,-580.4999999999989,-1566.6000000000015
130,1042,-468.8999999999979,-694.3999999999958,-687.9000000000057,-1851.1999999999994
140,856,-376.3000000000001,-557.8000000000027,-563.0999999999977,-1497.2000000000007
150,889,-391.0999999999999,-591.600000000001,-587.1999999999996,-1569.9000000000005
160,838,-379.7999999999998,-566.6000000000029,-556.0999999999976,-1502.5000000000002
170,999,-443.09999999999906,-692.6999999999977,-658.8000000000046,-1794.6000000000013
180,910,-399.599999999999,-617.4999999999992,-603.1000000000004,-1620.1999999999985
190,1045,-459.4999999999985,-715.7999999999965,-686.4000000000063,-1861.7000000000016
200,959,-422.0999999999974,-658.6999999999998,-631.0000000000025,-1711.7999999999997
210,903,-404.39999999999804,-621.8000000000021,-596.0000000000001,-1622.2000000000003
220,901,-408.79999999999984,-617.0000000000011,-604.0000000000008,-1629.800000000002
230,925,-420.2999999999987,-619.1999999999982,-614.4000000000019,-1653.8999999999987
240,899,-408.09999999999974,-607.1000000000001,-597.4000000000003,-1612.6000000000001
250,968,-420.99999999999824,-650.7999999999981,-640.700000000003,-1712.4999999999993
260,971,-428.099999999999,-665.899999999999,-642.6000000000034,-1736.6000000000013
270,870,-394.19999999999914,-571.4000000000021,-575.8999999999988,-1541.5
280,879,-394.2999999999994,-600.000000000001,-587.7999999999993,-1582.0999999999997
290,837,-373.0999999999988,-569.6000000000024,-550.3999999999967,-1493.0999999999979
300,998,-443.7999999999997,-687.6999999999963,-667.3000000000044,-1798.8000000000002
310,892,-392.19999999999897,-600.8000000000033,-588.6999999999994,-1581.7000000000016
320,924,-402.39999999999685,-619.0,-613.5000000000016,-1634.8999999999985
