Episode,Steps,Agent0,Agent1,Agent2,Total
1,994,-447.3999999999996,-698.199999999996,-662.5000000000049,-1808.1000000000004
2,884,-405.2999999999999,-568.2000000000016,-581.0999999999989,-1554.6000000000004
3,911,-408.8999999999992,-614.1000000000009,-601.4000000000005,-1624.4000000000005
4,840,-377.1999999999994,-570.9000000000011,-560.4999999999978,-1508.5999999999985
5,851,-398.7000000000005,-587.8000000000004,-567.399999999998,-1553.899999999999
6,865,-405.4999999999999,-586.2000000000021,-574.7999999999987,-1566.5000000000007
7,910,-416.5999999999991,-621.5999999999992,-599.9,-1638.0999999999985
8,873,-389.49999999999983,-605.0000000000008,-578.1999999999991,-1572.6999999999998
9,887,-404.19999999999925,-620.8999999999997,-592.7999999999998,-1617.8999999999987
11,1058,-464.49999999999716,-726.7999999999937,-704.1000000000076,-1895.3999999999985
12,840,-389.9000000000002,-553.3000000000034,-556.8999999999971,-1500.1000000000008
13,848,-395.3000000000008,-556.2000000000035,-564.0999999999979,-1515.6000000000022
14,964,-436.6999999999984,-628.2999999999992,-636.300000000003,-1701.3000000000006
15,926,-428.6999999999994,-622.5000000000016,-615.3000000000017,-1666.5000000000027
16,900,-415.3999999999989,-605.000000000001,-596.1,-1616.5
17,839,-401.8999999999999,-569.7000000000018,-558.7999999999976,-1530.3999999999992
18,934,-430.0999999999999,-640.5999999999984,-621.5000000000017,-1692.2000000000003
19,887,-420.6000000000007,-591.6000000000003,-586.1999999999991,-1598.4
21,980,-433.49999999999835,-693.2999999999964,-651.5000000000044,-1778.2999999999993
22,1050,-472.29999999999814,-740.1999999999945,-695.3000000000065,-1907.7999999999993
23,1061,-462.99999999999864,-721.4999999999966,-696.0000000000067,-1880.5000000000018
24,913,-411.1999999999984,-619.4999999999992,-606.4000000000004,-1637.099999999998
25,896,-396.59999999999894,-617.1000000000021,-598.3000000000003,-1612.0000000000014
26,932,-411.3999999999992,-637.4000000000005,-617.3000000000015,-1666.1000000000013
27,1078,-487.5999999999991,-743.199999999993,-718.9000000000083,-1949.7000000000003
28,939,-425.89999999999895,-655.8000000000029,-623.6000000000018,-1705.3000000000038
29,928,-400.49999999999847,-627.7000000000011,-615.5000000000019,-1643.7000000000016
31,893,-418.9999999999999,-617.999999999999,-592.3999999999997,-1629.3999999999987
32,1015,-444.3999999999974,-715.1999999999949,-674.8000000000053,-1834.3999999999978
33,900,-398.49999999999915,-600.8000000000014,-596.8999999999997,-1596.2000000000003
34,967,-418.49999999999767,-681.7999999999977,-646.4000000000042,-1746.6999999999996
35,942,-418.799999999998,-624.4999999999991,-624.5000000000016,-1667.7999999999986
36,952,-423.6999999999987,-644.2000000000002,-627.9000000000024,-1695.800000000001
37,926,-413.9999999999979,-611.6000000000008,-611.7000000000011,-1637.2999999999997
38,917,-422.3999999999986,-607.1000000000015,-607.6000000000008,-1637.1000000000008
39,952,-422.69999999999743,-662.7999999999979,-626.3000000000021,-1711.7999999999975
41,890,-396.7999999999992,-607.5000000000005,-584.8999999999993,-1589.199999999999
42,1008,-466.79999999999916,-721.0999999999946,-672.3000000000056,-1860.1999999999994
43,879,-407.99999999999983,-598.9000000000013,-581.1999999999988,-1588.1
44,907,-399.29999999999916,-638.6999999999977,-607.0000000000005,-1644.9999999999973
45,915,-410.50000000000017,-634.4999999999998,-606.0000000000006,-1651.0000000000005
46,880,-384.4999999999987,-600.3000000000017,-580.499999999999,-1565.2999999999993
47,874,-396.3999999999987,-591.9000000000005,-577.6999999999989,-1565.9999999999982
48,878,-388.19999999999857,-622.0000000000027,-584.6999999999998,-1594.900000000001
49,844,-387.29999999999853,-560.0000000000024,-558.2999999999976,-1505.5999999999985
51,1066,-484.39999999999856,-741.7999999999942,-705.5000000000081,-1931.7000000000007
52,886,-406.29999999999984,-599.9999999999999,-587.6999999999994,-1593.999999999999
53,1030,-476.69999999999953,-696.0999999999967,-677.1000000000054,-1849.9000000000017
54,966,-431.39999999999895,-661.1999999999975,-637.500000000003,-1730.0999999999995
55,916,-416.29999999999944,-609.2000000000012,-604.300000000001,-1629.8000000000015
56,887,-410.9000000000006,-574.6000000000025,-585.1999999999994,-1570.7000000000025
57,954,-417.99999999999915,-645.6000000000005,-629.9000000000023,-1693.5000000000018
58,1066,-473.8999999999975,-747.7999999999929,-700.5000000000074,-1922.1999999999975
59,1063,-478.8999999999988,-729.5999999999956,-705.0000000000075,-1913.5000000000018
61,792,-357.89999999999907,-529.0000000000036,-525.0999999999951,-1411.9999999999977
62,928,-409.99999999999943,-632.7999999999997,-616.1000000000014,-1658.9000000000005
