Episode,Steps,Agent0,Agent1,Agent2,Agent3,Agent4,Agent5,Total
0,1999,-2138.3999999999237,-1534.8000000000056,-1751.6999999999618,-1883.2999999999772,-1938.199999999975,-1802.3999999999596,-11048.799999999803
10,1999,-2187.299999999919,-1269.0000000000066,-1402.7999999999915,-2066.199999999947,-2068.1999999999466,-1404.5999999999913,-10398.099999999802
20,1999,-2187.299999999919,-1369.0000000000175,-1701.599999999969,-1867.799999999988,-1873.3999999999876,-1703.399999999969,-10702.499999999849
30,586,-409.80000000000143,-483.6999999999965,-500.5999999999982,-473.29999999999575,-442.9999999999994,-486.700000000003,-2797.0999999999945
40,572,-406.00000000000324,-464.1999999999957,-479.29999999999797,-464.8999999999966,-437.4999999999977,-496.1000000000024,-2747.9999999999936
50,502,-343.2000000000016,-403.5999999999977,-411.9999999999988,-403.9999999999979,-374.29999999999893,-392.3000000000025,-2329.3999999999974
60,490,-346.40000000000254,-396.8999999999981,-409.29999999999785,-400.5999999999972,-353.2999999999991,-403.90000000000146,-2310.399999999996
70,552,-393.5000000000017,-466.7999999999993,-484.89999999999753,-468.79999999999984,-447.30000000000297,-482.6000000000037,-2743.9000000000046
80,501,-345.1000000000023,-403.5999999999976,-420.9999999999976,-401.79999999999706,-364.79999999999865,-403.300000000002,-2339.599999999995
90,504,-343.50000000000136,-405.9999999999974,-423.6999999999992,-406.49999999999756,-373.8999999999994,-425.80000000000126,-2379.399999999996
100,508,-347.00000000000193,-412.19999999999817,-423.0999999999996,-416.2999999999968,-382.69999999999766,-419.1000000000017,-2400.399999999996
110,507,-341.7000000000019,-399.19999999999754,-416.09999999999826,-402.19999999999766,-350.59999999999883,-401.90000000000146,-2311.6999999999953
120,461,-319.70000000000294,-373.2999999999986,-387.599999999999,-371.19999999999834,-344.3999999999993,-378.8000000000014,-2174.9999999999995
130,481,-326.300000000001,-381.2999999999981,-395.69999999999845,-385.7999999999975,-332.99999999999955,-360.20000000000255,-2182.299999999997
140,521,-358.80000000000194,-431.5999999999987,-444.7999999999979,-422.599999999997,-402.3999999999987,-419.70000000000266,-2479.899999999997
150,462,-319.70000000000095,-372.2999999999987,-386.7000000000004,-371.89999999999833,-331.6999999999993,-384.70000000000135,-2166.999999999999
160,517,-356.000000000002,-413.79999999999706,-432.0999999999989,-414.39999999999696,-384.3999999999997,-435.2000000000013,-2435.8999999999955
170,486,-333.50000000000165,-397.09999999999906,-403.6999999999995,-388.49999999999767,-349.6999999999994,-382.8000000000025,-2255.2999999999997
180,509,-352.6000000000025,-410.0999999999972,-433.0999999999985,-408.59999999999707,-385.7999999999981,-408.90000000000185,-2399.099999999995
190,522,-365.60000000000093,-433.3999999999971,-454.5999999999987,-425.6999999999973,-409.69999999999806,-444.10000000000286,-2533.099999999995
200,467,-309.0,-371.79999999999814,-378.8999999999974,-371.19999999999834,-320.7999999999999,-376.10000000000196,-2127.7999999999956
210,448,-313.00000000000125,-364.2999999999986,-370.6999999999976,-362.29999999999836,-329.50000000000017,-361.80000000000234,-2101.5999999999985
220,501,-349.2000000000032,-401.99999999999727,-420.7999999999989,-400.59999999999724,-365.5999999999987,-402.1000000000024,-2340.2999999999975
230,496,-352.00000000000205,-400.4999999999973,-414.49999999999943,-399.0999999999974,-368.29999999999916,-424.10000000000076,-2358.499999999996
240,497,-336.00000000000136,-394.99999999999824,-409.499999999997,-395.59999999999786,-354.39999999999895,-375.500000000003,-2265.9999999999964
250,551,-363.6000000000006,-439.39999999999657,-463.39999999999753,-437.49999999999676,-410.59999999999854,-448.40000000000276,-2562.899999999993
260,489,-327.0000000000016,-389.7999999999978,-403.89999999999816,-389.99999999999756,-347.9999999999989,-380.8000000000022,-2239.4999999999964
270,465,-318.100000000002,-372.7999999999982,-374.3999999999979,-372.3999999999982,-342.59999999999934,-380.3000000000017,-2160.599999999997
280,513,-345.30000000000155,-409.9999999999973,-433.4999999999997,-410.59999999999746,-375.9999999999983,-419.5000000000022,-2394.8999999999965
290,444,-301.10000000000065,-356.0999999999986,-373.6999999999998,-355.89999999999844,-312.30000000000024,-352.0000000000015,-2051.0999999999995
300,536,-351.3000000000013,-426.49999999999636,-445.8999999999985,-425.6999999999969,-392.8999999999983,-426.6000000000029,-2468.899999999994
310,464,-311.70000000000135,-370.8999999999985,-382.39999999999867,-370.09999999999815,-336.8999999999998,-373.7000000000022,-2145.699999999999
320,473,-324.3000000000013,-377.5999999999981,-393.1999999999996,-378.39999999999793,-360.799999999999,-375.40000000000305,-2209.699999999999
330,549,-375.0000000000007,-444.0999999999974,-481.6000000000005,-447.39999999999736,-429.9999999999995,-453.60000000000275,-2631.699999999998
340,438,-295.2000000000006,-352.3999999999992,-365.39999999999833,-350.4999999999987,-317.8999999999999,-338.60000000000207,-2019.9999999999986
350,522,-347.60000000000207,-411.1999999999973,-435.299999999999,-411.099999999997,-376.4999999999983,-402.00000000000233,-2383.6999999999957
360,545,-370.8000000000008,-435.09999999999707,-454.6999999999966,-431.3999999999965,-404.5999999999978,-429.2000000000024,-2525.799999999991
370,462,-317.1000000000023,-368.59999999999815,-383.7999999999987,-370.89999999999816,-323.29999999999933,-360.30000000000183,-2123.9999999999986
380,458,-330.50000000000045,-374.89999999999867,-402.2000000000018,-374.29999999999853,-348.10000000000076,-370.0000000000024,-2200.0000000000027
390,508,-340.80000000000086,-407.8999999999973,-413.59999999999786,-404.8999999999972,-382.6999999999985,-419.10000000000116,-2368.9999999999927
400,527,-341.1000000000013,-414.39999999999725,-429.09999999999656,-413.59999999999695,-375.59999999999883,-395.900000000004,-2369.699999999995
410,527,-356.4000000000017,-421.5999999999971,-441.99999999999807,-420.7999999999971,-396.39999999999833,-408.00000000000296,-2445.1999999999953
