Episode,Steps,Agent0,Agent1,Agent2,Agent3,Agent4,Agent5,Total
1,551,-371.80000000000166,-437.39999999999657,-458.3999999999967,-437.3999999999966,-395.7999999999982,-443.0000000000027,-2543.7999999999925
2,488,-336.90000000000185,-392.2999999999981,-405.0999999999978,-391.09999999999764,-353.1000000000006,-403.900000000002,-2282.399999999998
3,507,-336.89999999999947,-402.59999999999786,-412.89999999999804,-400.79999999999717,-364.7999999999991,-404.2000000000025,-2322.199999999994
4,485,-335.8000000000017,-388.79999999999757,-414.8999999999994,-389.49999999999767,-351.39999999999884,-394.0000000000015,-2274.3999999999965
5,493,-339.5000000000013,-404.39999999999714,-416.89999999999793,-399.3999999999974,-402.80000000000217,-400.30000000000234,-2363.2999999999984
6,454,-315.9000000000013,-367.4999999999989,-380.4999999999974,-365.69999999999845,-335.8999999999997,-372.60000000000167,-2138.099999999997
7,512,-356.40000000000117,-410.69999999999743,-433.39999999999753,-407.899999999997,-367.8999999999987,-411.4000000000018,-2387.699999999994
8,503,-350.0000000000024,-407.9999999999973,-424.8999999999968,-404.799999999997,-364.79999999999853,-417.9000000000011,-2370.3999999999933
9,501,-341.80000000000234,-399.39999999999765,-419.79999999999734,-399.5999999999975,-373.399999999999,-387.6000000000024,-2321.5999999999963
11,517,-356.600000000002,-415.79999999999734,-444.7000000000009,-415.399999999997,-378.19999999999857,-424.1000000000014,-2434.799999999997
12,529,-362.10000000000264,-424.19999999999675,-440.19999999999806,-421.199999999997,-382.19999999999794,-436.7000000000018,-2466.599999999994
13,519,-359.7000000000025,-421.7999999999977,-432.4999999999978,-415.79999999999694,-387.99999999999915,-431.8000000000012,-2449.5999999999954
14,513,-347.7000000000008,-411.1999999999976,-437.7999999999971,-407.3999999999973,-373.1999999999993,-406.7000000000026,-2383.999999999995
15,501,-341.1000000000018,-409.5999999999977,-414.4999999999977,-401.19999999999754,-372.1999999999988,-401.0000000000019,-2339.5999999999954
16,500,-340.2000000000009,-405.8999999999981,-418.99999999999784,-405.69999999999754,-377.4999999999998,-431.90000000000094,-2380.199999999995
17,469,-332.6000000000023,-379.19999999999845,-391.499999999997,-378.3999999999979,-344.1999999999991,-376.5000000000023,-2202.399999999997
18,534,-378.9000000000022,-432.69999999999726,-454.59999999999917,-428.6999999999967,-400.69999999999834,-446.1000000000021,-2541.6999999999957
19,493,-337.70000000000186,-421.4000000000001,-404.399999999998,-397.19999999999754,-383.40000000000134,-415.1000000000018,-2359.2000000000007
21,528,-357.8000000000012,-424.89999999999674,-447.99999999999795,-422.6999999999967,-397.8999999999993,-420.3000000000024,-2471.5999999999945
22,537,-361.1000000000016,-432.19999999999663,-444.0999999999961,-427.9999999999966,-400.39999999999867,-441.9000000000013,-2507.699999999991
23,555,-379.7000000000014,-451.1999999999971,-471.69999999999754,-444.2999999999964,-433.39999999999856,-457.70000000000203,-2637.999999999993
24,533,-374.90000000000254,-429.1999999999972,-444.4999999999977,-428.3999999999969,-404.5999999999973,-450.50000000000165,-2532.0999999999935
25,519,-353.2000000000015,-428.5999999999988,-424.8999999999977,-416.7999999999969,-406.0000000000004,-437.6000000000017,-2467.099999999997
26,535,-358.0000000000023,-429.19999999999663,-445.29999999999853,-426.79999999999666,-398.3999999999983,-431.6000000000023,-2489.2999999999947
27,566,-376.20000000000175,-447.1999999999968,-471.09999999999593,-446.29999999999603,-412.0999999999985,-444.5000000000033,-2597.3999999999924
28,483,-334.600000000002,-391.8999999999982,-408.59999999999695,-388.99999999999767,-355.80000000000047,-389.6000000000024,-2269.4999999999977
29,527,-358.10000000000105,-424.19999999999686,-454.89999999999907,-422.59999999999707,-399.7999999999979,-424.0000000000022,-2483.5999999999945
31,417,-292.6000000000006,-337.5999999999991,-357.09999999999945,-338.9999999999989,-301.9999999999995,-343.30000000000155,-1971.5999999999992
32,591,-397.3000000000023,-470.09999999999565,-490.49999999999744,-467.5999999999956,-437.1999999999968,-470.10000000000247,-2732.79999999999
33,542,-366.70000000000056,-436.6999999999972,-457.4999999999968,-433.5999999999966,-405.8999999999985,-446.500000000002,-2546.8999999999915
34,606,-403.20000000000164,-482.8999999999955,-513.5999999999958,-480.29999999999507,-458.6999999999974,-495.1000000000018,-2833.7999999999874
35,517,-354.6000000000021,-416.99999999999704,-436.8999999999956,-414.799999999997,-386.79999999999893,-437.5000000000014,-2447.599999999992
36,488,-326.5000000000013,-389.1999999999979,-403.3999999999985,-391.49999999999767,-355.8999999999989,-391.6000000000024,-2258.0999999999967
37,524,-359.4000000000027,-422.09999999999707,-449.2999999999982,-420.6999999999967,-394.0999999999983,-429.900000000002,-2475.499999999995
38,473,-327.90000000000146,-380.19999999999817,-391.39999999999804,-378.3999999999982,-333.9999999999998,-372.3000000000028,-2184.1999999999985
39,532,-366.50000000000153,-426.49999999999693,-444.7999999999967,-424.49999999999676,-402.4999999999978,-441.2000000000018,-2505.9999999999914
41,498,-349.0000000000027,-408.6999999999978,-417.89999999999765,-406.4999999999975,-381.5,-427.50000000000153,-2391.099999999997
42,504,-344.8000000000015,-409.49999999999716,-427.79999999999785,-405.6999999999972,-395.4999999999986,-410.90000000000236,-2394.199999999995
43,475,-325.1000000000019,-384.0999999999982,-401.8999999999978,-380.7999999999979,-350.19999999999953,-394.10000000000105,-2236.199999999996
44,530,-356.3000000000006,-426.69999999999743,-442.799999999996,-422.0999999999967,-392.29999999999785,-419.20000000000283,-2459.3999999999915
45,526,-349.60000000000105,-428.79999999999876,-439.89999999999725,-419.899999999997,-399.6999999999989,-419.60000000000247,-2457.4999999999955
46,455,-311.50000000000136,-365.19999999999857,-391.4000000000001,-363.79999999999836,-326.5999999999992,-347.2000000000025,-2105.7
47,449,-319.0000000000022,-372.6999999999985,-380.19999999999857,-364.29999999999836,-341.99999999999966,-380.2000000000014,-2158.3999999999987
48,479,-327.5000000000008,-384.99999999999784,-411.3999999999998,-385.1999999999979,-356.1999999999989,-390.1000000000019,-2255.399999999997
49,460,-319.1000000000015,-380.6999999999988,-392.6999999999979,-373.2999999999983,-352.09999999999934,-365.00000000000256,-2182.8999999999987
51,537,-364.3000000000017,-431.899999999997,-450.1999999999996,-427.3999999999967,-398.1999999999983,-425.00000000000307,-2496.9999999999964
52,437,-302.5000000000025,-355.8999999999983,-382.1000000000005,-351.59999999999866,-320.99999999999943,-347.10000000000196,-2060.2000000000016
53,521,-361.10000000000207,-419.9999999999975,-442.4999999999985,-418.799999999997,-397.799999999999,-428.1000000000023,-2468.2999999999965
54,487,-327.00000000000153,-389.99999999999756,-408.99999999999744,-388.99999999999767,-358.5999999999985,-395.00000000000256,-2268.5999999999954
55,482,-322.40000000000106,-383.69999999999834,-404.49999999999983,-383.29999999999797,-339.0999999999995,-385.20000000000135,-2218.199999999998
56,462,-319.6000000000019,-373.09999999999894,-383.09999999999843,-369.29999999999825,-323.8999999999993,-376.0000000000012,-2144.999999999998
57,527,-358.8000000000013,-423.1999999999972,-434.89999999999736,-419.9999999999969,-391.799999999999,-429.2000000000018,-2457.8999999999937
58,539,-363.2000000000002,-431.79999999999706,-449.4999999999957,-427.9999999999966,-393.9999999999995,-441.8000000000012,-2508.29999999999
59,531,-352.300000000001,-418.99999999999704,-449.59999999999934,-419.3999999999967,-380.5999999999982,-399.8000000000032,-2420.6999999999957
61,495,-349.3000000000017,-413.9999999999986,-421.99999999999727,-402.19999999999743,-386.39999999999964,-424.60000000000105,-2398.4999999999955
62,518,-350.40000000000117,-416.8999999999983,-433.8999999999976,-416.09999999999746,-379.29999999999865,-411.7000000000019,-2408.299999999995
63,489,-344.0000000000017,-399.399999999998,-421.09999999999707,-395.9999999999976,-377.3999999999993,-384.60000000000315,-2322.499999999997
64,522,-350.9000000000015,-417.8999999999976,-446.19999999999675,-416.19999999999686,-399.29999999999893,-416.20000000000175,-2446.6999999999935
65,536,-360.6000000000004,-428.2999999999973,-448.1999999999973,-426.69999999999675,-401.0999999999986,-422.80000000000325,-2487.6999999999935
66,521,-357.1000000000007,-417.3999999999972,-441.0999999999988,-415.39999999999685,-387.3999999999981,-403.6000000000025,-2421.999999999994
67,576,-391.3000000000023,-464.09999999999576,-490.5999999999983,-462.0999999999961,-442.499999999998,-467.3000000000027,-2717.8999999999933
68,513,-347.10000000000093,-411.5999999999978,-429.8999999999969,-410.5999999999971,-382.79999999999876,-407.90000000000185,-2389.8999999999933
69,504,-343.80000000000115,-406.6999999999979,-424.99999999999875,-405.89999999999753,-381.4999999999992,-413.5000000000015,-2376.399999999996
71,461,-323.50000000000284,-373.39999999999856,-392.09999999999957,-373.3999999999984,-337.3999999999991,-376.70000000000135,-2176.4999999999995
72,563,-370.10000000000105,-446.7999999999965,-471.299999999999,-446.3999999999962,-420.7999999999984,-456.1000000000023,-2611.4999999999936
73,525,-363.60000000000264,-424.19999999999686,-454.0999999999989,-423.199999999997,-394.599999999999,-434.10000000000156,-2493.799999999996
74,503,-340.00000000000165,-402.79999999999717,-416.79999999999797,-399.3999999999973,-366.59999999999894,-415.40000000000214,-2340.9999999999955
75,479,-329.7000000000012,-387.5999999999981,-407.8000000000003,-385.19999999999794,-350.9999999999993,-389.20000000000226,-2250.499999999999
76,470,-324.3000000000013,-378.5999999999982,-389.99999999999807,-379.29999999999797,-338.0999999999997,-399.4000000000015,-2209.6999999999966
77,507,-351.40000000000214,-407.19999999999743,-415.29999999999853,-409.5999999999973,-376.99999999999943,-424.60000000000133,-2385.0999999999963
78,489,-351.00000000000256,-399.7999999999981,-421.4000000000001,-397.7999999999977,-366.9999999999989,-419.60000000000116,-2356.5999999999985
79,494,-337.9000000000023,-395.6999999999975,-407.7999999999979,-395.69999999999766,-351.6999999999992,-403.10000000000196,-2291.8999999999965
81,498,-335.90000000000134,-398.4999999999977,-418.1999999999996,-395.49999999999744,-361.09999999999866,-385.8000000000023,-2294.9999999999973
82,477,-333.80000000000194,-390.0999999999979,-413.1000000000006,-388.9999999999976,-364.79999999999853,-395.500000000002,-2286.299999999999
83,534,-368.10000000000207,-424.299999999997,-443.9999999999984,-426.2999999999968,-389.29999999999836,-425.6000000000029,-2477.599999999996
84,514,-351.100000000001,-414.09999999999735,-437.29999999999967,-414.8999999999969,-396.2999999999979,-440.6000000000015,-2454.2999999999943
85,518,-375.3000000000018,-426.599999999997,-442.5999999999994,-425.49999999999835,-393.69999999999806,-428.5000000000015,-2492.199999999996
86,494,-365.1000000000031,-427.2999999999997,-422.8999999999984,-411.0999999999969,-374.09999999999803,-426.700000000001,-2427.199999999997
