Episode,Steps,Agent0,Agent1,Agent2,Agent3,Agent4,Agent5,Agent6,Agent7,Agent8,Agent9,Agent10,Agent11,Total
0,533,-527.8000000000054,-509.10000000000156,-495.8000000000014,-500.50000000000125,-509.90000000000407,-504.5000000000034,-510.20000000000425,-512.9000000000045,-520.7000000000045,-516.7000000000037,-525.5000000000036,-531.4000000000051,-6165.000000000043
10,295,-257.0999999999993,-243.0999999999997,-241.09999999999985,-242.3999999999998,-237.09999999999997,-240.39999999999995,-234.2000000000002,-229.2999999999999,-230.80000000000044,-239.49999999999994,-250.3999999999994,-252.2999999999994,-2897.699999999998
20,463,-433.2000000000025,-410.40000000000055,-408.59999999999997,-411.6999999999996,-424.7000000000014,-421.9000000000014,-404.60000000000076,-419.0000000000033,-416.5000000000015,-418.20000000000203,-430.8000000000027,-429.8000000000018,-5029.400000000018
30,425,-407.1000000000027,-381.6,-383.0000000000008,-379.80000000000064,-391.2000000000019,-392.9000000000017,-385.0000000000006,-387.7000000000007,-394.60000000000144,-399.00000000000284,-398.90000000000236,-412.2000000000024,-4713.000000000018
40,518,-507.300000000005,-486.8000000000011,-492.9000000000029,-482.70000000000147,-480.6000000000021,-495.9000000000026,-494.5000000000026,-480.30000000000194,-497.7000000000036,-496.4000000000037,-503.400000000004,-499.9000000000038,-5918.400000000035
50,336,-313.5000000000005,-306.0000000000005,-296.1999999999997,-297.49999999999966,-301.40000000000026,-293.39999999999986,-287.70000000000005,-289.39999999999947,-299.10000000000014,-299.2999999999997,-314.90000000000015,-304.70000000000067,-3603.1000000000013
60,565,-523.9000000000033,-520.1000000000023,-521.0000000000006,-517.5000000000018,-528.0000000000039,-511.5000000000023,-513.0999999999999,-515.7000000000032,-513.900000000002,-521.2000000000024,-534.1000000000039,-534.100000000003,-6254.1000000000295
70,1999,-1835.9999999999588,-1850.7999999999377,-2083.099999999951,-1834.5999999999588,-1901.4999999999357,-2083.29999999995,-1835.199999999959,-2150.199999999923,-2083.79999999995,-1835.9999999999588,-1852.5999999999376,-2150.199999999923,-23497.299999999344
80,483,-439.30000000000217,-425.50000000000136,-430.80000000000047,-429.100000000001,-427.70000000000186,-425.50000000000125,-415.1000000000006,-429.50000000000136,-420.5,-439.50000000000097,-442.50000000000153,-444.80000000000166,-5169.800000000016
90,1999,-2013.4999999999416,-1700.3999999999423,-1819.599999999949,-2012.3999999999414,-2047.299999999928,-1818.899999999949,-2013.0999999999417,-1851.1999999999377,-1815.9999999999493,-2013.4999999999416,-1701.899999999942,-1851.6999999999377,-22659.499999999305
100,1999,-1969.3999999999435,-1801.2999999999395,-1966.7999999999438,-1967.9999999999436,-2001.6999999999305,-1967.0999999999437,-1968.7999999999436,-2000.7999999999304,-1967.5999999999437,-1969.0999999999435,-1803.3999999999392,-2000.7999999999306,-23384.799999999275
110,1999,-2000.9999999999654,-1899.6999999999357,-1900.0999999999678,-2000.1999999999653,-2100.0999999999267,-1900.5999999999683,-2000.799999999965,-2000.4999999999304,-1901.1999999999682,-2000.7999999999652,-1901.1999999999355,-2000.7999999999306,-23606.999999999425
