Episode,Steps,Agent0,Agent1,Agent2,Agent3,Agent4,Agent5,Agent6,Agent7,Agent8,Agent9,Agent10,Agent11,Total
0,493,-485.8000000000045,-468.80000000000103,-453.0000000000002,-461.600000000001,-467.30000000000246,-465.5000000000023,-467.30000000000314,-474.5000000000035,-476.100000000003,-476.60000000000446,-485.0000000000042,-489.40000000000424,-5670.900000000034
10,295,-257.0999999999993,-243.0999999999997,-241.09999999999985,-242.3999999999998,-237.09999999999997,-240.39999999999995,-234.2000000000002,-229.2999999999999,-230.80000000000044,-239.49999999999994,-250.3999999999994,-252.2999999999994,-2897.699999999998
20,466,-435.8000000000026,-412.80000000000064,-410.59999999999997,-413.99999999999955,-424.4000000000015,-424.20000000000147,-406.60000000000076,-413.20000000000294,-420.20000000000186,-420.80000000000217,-436.10000000000343,-433.7000000000022,-5052.40000000002
30,425,-407.1000000000027,-381.6,-383.0000000000008,-379.80000000000064,-391.2000000000019,-392.9000000000017,-385.0000000000006,-387.7000000000007,-394.60000000000144,-399.00000000000284,-398.90000000000236,-412.2000000000024,-4713.000000000018
40,536,-525.1000000000054,-502.8000000000011,-499.0000000000017,-499.40000000000157,-499.8000000000021,-511.1000000000024,-511.50000000000284,-499.90000000000276,-514.8000000000038,-509.20000000000294,-525.2000000000053,-517.7000000000041,-6115.5000000000355
50,336,-313.5000000000005,-306.0000000000005,-296.1999999999997,-297.49999999999966,-301.40000000000026,-293.39999999999986,-287.70000000000005,-289.39999999999947,-299.10000000000014,-299.2999999999997,-314.90000000000015,-304.70000000000067,-3603.1000000000013
60,471,-445.1000000000023,-432.50000000000085,-446.00000000000256,-429.30000000000075,-443.50000000000284,-447.90000000000344,-420.3999999999991,-450.0000000000038,-451.1000000000038,-447.30000000000376,-459.70000000000385,-450.80000000000194,-5323.600000000029
70,725,-711.0000000000073,-695.1000000000051,-708.7000000000053,-691.7000000000052,-706.2000000000062,-709.5000000000064,-692.0000000000036,-698.5000000000051,-724.5000000000076,-726.0000000000089,-720.3000000000086,-722.6000000000085,-8506.100000000079
80,416,-391.60000000000207,-373.4999999999999,-376.1999999999999,-372.8000000000004,-371.9000000000006,-380.5999999999997,-378.60000000000053,-369.20000000000147,-385.6000000000008,-384.8000000000006,-395.3000000000017,-393.10000000000133,-4573.200000000009
90,369,-340.10000000000036,-325.59999999999957,-323.50000000000017,-321.1999999999996,-325.6000000000005,-324.19999999999965,-322.9999999999992,-304.3000000000002,-311.89999999999935,-327.19999999999993,-339.3999999999996,-331.1999999999996,-3897.199999999997
