Episode,Steps,Agent0,Agent1,Agent2,Agent3,Agent4,Agent5,Agent6,Agent7,Agent8,Agent9,Agent10,Agent11,Total
1,631,-557.4000000000016,-559.5000000000022,-558.6000000000028,-552.6000000000024,-572.9000000000024,-559.8000000000028,-548.1000000000025,-580.4000000000046,-563.9000000000037,-544.5000000000018,-561.0000000000025,-576.3000000000001,-6735.000000000029
2,582,-521.1000000000023,-509.4000000000025,-521.4000000000026,-523.3000000000009,-528.7000000000035,-530.7000000000018,-514.6000000000017,-540.9000000000048,-521.5000000000034,-522.9000000000016,-521.5000000000023,-541.3000000000034,-6297.30000000003
3,744,-670.500000000004,-680.7000000000031,-672.000000000005,-672.4000000000025,-694.0000000000045,-676.5000000000026,-660.3000000000005,-699.000000000005,-676.7000000000033,-667.6000000000023,-687.3000000000073,-708.2000000000047,-8165.200000000044
4,669,-615.0000000000036,-610.3000000000015,-612.5000000000008,-606.7000000000032,-633.9000000000063,-597.8000000000027,-594.2000000000004,-615.8000000000059,-604.0000000000035,-612.9000000000038,-602.9000000000032,-626.7000000000052,-7332.700000000041
5,564,-518.1000000000017,-521.6000000000029,-512.8000000000021,-514.2000000000018,-536.6000000000038,-508.7000000000026,-517.1000000000016,-526.0000000000024,-511.90000000000293,-509.400000000003,-526.1000000000023,-538.0000000000041,-6240.500000000031
6,526,-466.8000000000016,-472.20000000000294,-469.5000000000019,-465.2000000000011,-481.8000000000016,-470.4000000000023,-453.6999999999992,-479.00000000000284,-475.7000000000035,-463.20000000000306,-476.5000000000027,-483.90000000000185,-5657.900000000025
7,667,-598.1000000000006,-597.2000000000016,-592.4000000000002,-596.0000000000015,-611.9000000000044,-584.7000000000035,-580.1000000000039,-611.0000000000047,-591.9000000000028,-592.3000000000018,-594.3000000000038,-612.6000000000039,-7162.500000000033
8,658,-607.9000000000028,-615.6000000000043,-606.9000000000041,-602.4000000000036,-617.2000000000063,-608.5000000000043,-586.800000000001,-629.2000000000043,-620.2000000000046,-598.000000000004,-619.3000000000067,-635.2000000000039,-7347.20000000005
9,611,-546.6000000000017,-563.000000000003,-542.700000000002,-542.700000000002,-578.5000000000048,-547.6000000000029,-546.0000000000035,-586.0000000000051,-558.7000000000016,-536.5000000000031,-566.0000000000039,-583.5000000000057,-6697.800000000039
11,602,-531.000000000002,-531.2000000000023,-533.8000000000014,-522.6000000000015,-543.5000000000027,-538.0000000000023,-523.4000000000028,-559.600000000005,-540.5000000000031,-517.5000000000034,-538.4000000000017,-554.5000000000034,-6434.000000000032
12,528,-464.8000000000013,-463.4000000000018,-458.90000000000055,-454.8000000000018,-473.6000000000034,-468.30000000000143,-454.10000000000184,-488.9000000000014,-464.40000000000225,-455.0999999999998,-467.90000000000066,-471.30000000000075,-5585.500000000016
13,506,-450.500000000001,-445.7000000000012,-445.6000000000008,-449.70000000000005,-464.8000000000014,-444.8000000000021,-443.50000000000136,-459.0000000000033,-446.10000000000224,-446.70000000000084,-446.9000000000012,-454.69999999999993,-5398.0000000000155
14,549,-484.6000000000012,-488.5000000000018,-485.6000000000007,-483.90000000000055,-506.7000000000032,-479.3000000000018,-468.39999999999975,-504.0000000000024,-488.9000000000028,-477.70000000000164,-490.60000000000184,-504.2000000000021,-5862.40000000002
15,591,-532.9000000000011,-527.2000000000015,-531.9000000000012,-520.9000000000021,-545.1000000000042,-530.4000000000016,-516.200000000001,-550.5000000000045,-534.3000000000039,-530.0000000000005,-522.2000000000029,-551.4000000000036,-6393.000000000027
16,439,-382.90000000000066,-383.30000000000075,-378.1000000000003,-376.5000000000004,-378.5000000000017,-373.3000000000004,-367.89999999999986,-403.4000000000016,-377.50000000000165,-377.70000000000056,-385.30000000000166,-390.8000000000007,-4575.200000000011
17,358,-310.5999999999998,-311.3000000000001,-307.3000000000003,-310.2000000000001,-310.90000000000106,-307.4000000000006,-300.8000000000003,-319.6999999999998,-310.4999999999991,-307.3999999999999,-318.2000000000003,-309.4999999999998,-3723.800000000001
18,333,-294.2999999999997,-295.4999999999999,-287.39999999999986,-289.49999999999983,-288.10000000000025,-297.7000000000003,-294.50000000000017,-288.8,-289.0000000000005,-297.10000000000065,-293.00000000000034,-295.2000000000008,-3510.1000000000026
19,383,-355.10000000000076,-347.8000000000002,-339.1000000000001,-338.90000000000026,-348.2000000000015,-345.20000000000016,-341.50000000000006,-354.0000000000019,-348.2999999999996,-356.7000000000007,-351.19999999999976,-354.0000000000002,-4180.0000000000055
21,521,-506.5000000000042,-491.9000000000023,-481.60000000000133,-490.40000000000265,-488.9000000000038,-495.1000000000025,-480.40000000000236,-490.1000000000042,-502.5000000000049,-489.700000000003,-511.8000000000047,-514.0000000000047,-5942.900000000041
22,506,-465.80000000000285,-458.4000000000024,-450.70000000000135,-447.00000000000045,-457.80000000000183,-463.7000000000018,-455.700000000001,-456.7000000000019,-463.0000000000037,-460.00000000000375,-473.8000000000039,-468.80000000000416,-5521.400000000029
23,504,-458.800000000002,-461.90000000000197,-453.1000000000007,-449.6000000000011,-442.0000000000015,-459.90000000000055,-435.19999999999857,-475.7000000000032,-459.00000000000244,-451.000000000002,-468.10000000000446,-460.10000000000275,-5474.400000000021
24,413,-357.1000000000001,-356.6000000000005,-355.3000000000001,-352.4,-350.2000000000005,-354.80000000000024,-337.7999999999996,-364.80000000000035,-353.0000000000007,-344.50000000000085,-361.1000000000005,-370.30000000000103,-4257.900000000004
25,388,-348.7000000000012,-355.0000000000015,-348.80000000000115,-338.00000000000114,-342.40000000000157,-347.3000000000012,-337.0000000000004,-341.7000000000006,-338.3000000000007,-339.0000000000013,-353.1000000000002,-346.4000000000007,-4135.700000000012
26,437,-406.1000000000026,-407.90000000000174,-399.2000000000022,-398.70000000000175,-399.3000000000027,-398.1000000000018,-398.60000000000247,-404.00000000000193,-399.1000000000024,-390.60000000000264,-409.3000000000013,-408.6000000000019,-4819.500000000026
27,390,-323.60000000000053,-330.90000000000003,-318.5999999999995,-321.5,-325.8000000000003,-326.2000000000006,-313.09999999999894,-316.8000000000007,-327.80000000000064,-312.8999999999995,-341.6000000000009,-330.1999999999999,-3889.000000000002
28,382,-330.7000000000006,-329.80000000000047,-330.1000000000008,-325.30000000000007,-328.2000000000005,-327.8999999999999,-315.1999999999998,-333.1000000000003,-334.1000000000002,-323.7000000000009,-345.3000000000009,-346.00000000000097,-3969.4000000000055
29,601,-583.4000000000068,-578.9000000000049,-587.6000000000065,-566.6000000000033,-567.5000000000036,-582.3000000000048,-570.100000000004,-564.200000000004,-591.0000000000049,-578.6000000000042,-582.3000000000043,-593.6000000000056,-6946.100000000057
31,419,-378.70000000000124,-390.00000000000085,-375.60000000000053,-374.09999999999985,-370.20000000000084,-379.09999999999974,-375.7999999999994,-375.70000000000164,-383.100000000001,-385.90000000000146,-397.8000000000026,-399.600000000003,-4585.600000000012
32,488,-457.7000000000038,-455.5000000000025,-454.60000000000394,-440.2000000000013,-442.10000000000264,-451.1000000000027,-436.8000000000021,-448.4000000000033,-455.7000000000018,-445.3000000000023,-464.2000000000037,-465.6000000000023,-5417.200000000032
33,496,-461.6000000000032,-472.60000000000315,-459.40000000000276,-447.20000000000033,-445.8000000000014,-454.30000000000143,-445.8999999999997,-443.8000000000016,-472.4000000000034,-470.50000000000347,-470.7000000000034,-479.60000000000366,-5523.800000000028
34,548,-506.9000000000037,-519.2000000000053,-499.9000000000027,-501.90000000000305,-504.6000000000027,-506.8000000000023,-486.90000000000157,-499.2000000000027,-518.6000000000031,-503.30000000000354,-517.2000000000038,-532.6000000000053,-6097.1000000000395
35,505,-462.8000000000023,-468.50000000000205,-456.80000000000115,-448.80000000000064,-456.20000000000175,-456.20000000000067,-439.30000000000024,-443.70000000000414,-475.0000000000032,-465.6000000000021,-484.0000000000035,-485.50000000000335,-5542.400000000025
36,415,-363.9000000000002,-371.1000000000013,-354.1000000000001,-354.70000000000033,-343.7000000000011,-356.7000000000009,-340.50000000000034,-335.2000000000012,-357.5000000000004,-358.1000000000005,-376.50000000000205,-385.6000000000016,-4297.6000000000095
37,512,-494.50000000000176,-487.9000000000027,-471.7000000000006,-473.8000000000016,-477.30000000000183,-475.2000000000006,-460.20000000000164,-472.90000000000185,-495.6000000000044,-493.00000000000205,-497.70000000000476,-504.6000000000038,-5804.400000000027
38,422,-372.9000000000004,-375.79999999999995,-370.3000000000005,-372.7999999999998,-374.7000000000017,-366.90000000000066,-367.70000000000084,-355.1000000000015,-371.10000000000167,-376.50000000000057,-380.2000000000011,-391.00000000000193,-4475.000000000011
39,424,-373.6000000000005,-371.40000000000055,-365.4000000000001,-365.0000000000001,-365.0000000000005,-369.90000000000134,-361.100000000001,-358.2000000000016,-369.39999999999975,-374.6000000000011,-372.5000000000018,-381.3000000000012,-4427.40000000001
41,402,-373.10000000000224,-370.9000000000017,-359.20000000000005,-355.50000000000034,-359.0000000000011,-357.3000000000002,-342.6999999999994,-346.20000000000056,-372.40000000000214,-366.60000000000167,-371.2000000000022,-379.9000000000021,-4354.000000000014
42,419,-374.60000000000133,-384.9000000000021,-375.8000000000003,-370.20000000000084,-375.20000000000124,-377.79999999999995,-368.3,-357.99999999999983,-375.50000000000125,-380.0000000000002,-379.50000000000114,-387.6000000000021,-4507.400000000011
43,453,-402.0000000000008,-404.20000000000124,-397.09999999999997,-398.9000000000006,-400.6000000000003,-392.70000000000147,-393.9000000000012,-398.0000000000014,-402.3000000000015,-398.90000000000083,-403.30000000000126,-406.90000000000066,-4798.800000000012
44,472,-415.2000000000014,-419.00000000000205,-413.8000000000011,-410.30000000000035,-410.4000000000007,-417.60000000000065,-406.0999999999993,-398.9000000000021,-422.4000000000027,-416.9000000000008,-426.30000000000143,-435.30000000000194,-4992.200000000014
45,486,-450.60000000000196,-457.40000000000276,-442.4000000000015,-445.40000000000265,-438.6000000000025,-448.7000000000012,-433.8000000000021,-446.9000000000029,-461.3000000000032,-449.40000000000236,-467.2000000000032,-471.1000000000035,-5412.80000000003
46,487,-444.9000000000019,-449.40000000000157,-441.0000000000013,-438.10000000000076,-437.3000000000012,-444.6000000000018,-438.20000000000164,-444.4000000000027,-454.80000000000297,-448.20000000000226,-462.80000000000393,-459.90000000000344,-5363.600000000025
47,418,-376.6000000000009,-380.20000000000147,-371.0000000000002,-374.50000000000017,-362.9000000000013,-376.600000000001,-364.2000000000012,-383.9000000000008,-379.10000000000156,-377.10000000000014,-395.7000000000017,-399.9000000000007,-4541.700000000011
48,453,-417.60000000000167,-421.70000000000186,-413.2000000000008,-406.40000000000083,-407.4000000000007,-409.1000000000016,-395.30000000000075,-394.20000000000044,-423.70000000000226,-415.0000000000021,-435.1000000000031,-438.8000000000035,-4977.500000000019
49,364,-331.8000000000002,-327.9000000000002,-318.49999999999994,-329.5999999999999,-313.1000000000006,-319.4999999999999,-314.3999999999999,-310.10000000000025,-326.50000000000045,-332.6000000000011,-329.10000000000014,-327.30000000000086,-3880.400000000004
51,464,-402.2000000000006,-413.1000000000025,-404.4999999999999,-401.10000000000053,-400.4000000000018,-402.9000000000008,-386.90000000000003,-383.8000000000012,-401.50000000000153,-403.00000000000216,-420.4000000000025,-422.6000000000016,-4842.400000000015
52,417,-381.90000000000015,-382.50000000000074,-369.7000000000001,-375.70000000000033,-372.70000000000124,-368.2000000000004,-367.5999999999989,-373.40000000000094,-371.5000000000017,-378.2000000000016,-383.90000000000146,-378.80000000000075,-4504.1000000000095
53,453,-389.8,-392.5000000000003,-386.9000000000006,-386.5,-395.5000000000008,-388.4000000000001,-379.2999999999998,-392.4999999999998,-390.60000000000053,-386.60000000000196,-399.20000000000186,-402.10000000000116,-4689.900000000007
54,434,-369.70000000000067,-377.70000000000084,-372.30000000000047,-369.0000000000005,-368.1000000000007,-371.9999999999999,-360.9000000000002,-355.8000000000007,-366.40000000000015,-378.5000000000004,-380.7000000000016,-394.1000000000024,-4465.200000000008
55,426,-397.2000000000027,-400.10000000000184,-390.90000000000146,-390.40000000000293,-378.1000000000016,-391.700000000002,-370.00000000000097,-380.19999999999993,-402.2000000000027,-395.5000000000017,-409.0000000000024,-400.700000000002,-4706.000000000022
56,433,-398.3000000000018,-403.20000000000215,-390.8000000000002,-389.7000000000002,-397.00000000000205,-401.00000000000085,-382.79999999999916,-395.00000000000176,-408.60000000000196,-405.0000000000026,-417.4000000000028,-416.6000000000024,-4805.400000000018
57,526,-495.100000000003,-511.7000000000039,-486.5000000000014,-489.40000000000225,-483.8000000000031,-493.0000000000027,-484.20000000000203,-478.5000000000036,-501.6000000000034,-501.1000000000045,-513.600000000005,-516.4000000000042,-5954.90000000004
58,655,-635.7000000000071,-630.7000000000055,-619.9000000000034,-615.1000000000038,-605.2000000000031,-630.3000000000044,-618.9000000000042,-608.8000000000042,-639.400000000007,-622.4000000000048,-639.2000000000069,-650.7000000000072,-7516.300000000061
59,543,-475.6000000000014,-481.2000000000025,-466.20000000000255,-471.2000000000005,-478.10000000000116,-468.8000000000018,-455.00000000000165,-463.60000000000167,-482.6000000000025,-470.00000000000034,-489.70000000000095,-506.20000000000357,-5708.20000000002
61,359,-329.4000000000014,-330.8000000000012,-327.60000000000076,-321.1000000000004,-316.1000000000007,-324.9999999999998,-317.400000000001,-301.1000000000006,-332.80000000000115,-326.80000000000103,-341.20000000000107,-345.60000000000116,-3914.90000000001
62,424,-388.30000000000183,-387.1000000000011,-373.6000000000005,-378.70000000000084,-367.2000000000011,-376.4,-372.90000000000043,-363.6000000000007,-388.00000000000165,-393.6000000000009,-392.40000000000254,-399.400000000002,-4581.200000000014
