Episode,Steps,Agent0,Agent1,Agent2,Agent3,Agent4,Agent5,Agent6,Agent7,Agent8,Agent9,Agent10,Agent11,Total
1,478,-410.40000000000106,-409.1000000000004,-409.6000000000012,-409.60000000000025,-424.1000000000015,-417.30000000000064,-406.3000000000004,-414.5000000000015,-419.4000000000021,-404.1999999999998,-415.0000000000004,-416.0000000000005,-4955.50000000001
2,397,-344.50000000000045,-342.29999999999984,-336.90000000000055,-335.9,-352.50000000000114,-339.4000000000002,-332.3999999999999,-337.20000000000005,-343.29999999999984,-338.00000000000017,-346.00000000000034,-344.4000000000004,-4092.800000000003
3,516,-454.2000000000009,-452.80000000000086,-452.800000000001,-445.5000000000018,-459.2000000000032,-455.8000000000006,-442.4000000000006,-461.00000000000233,-452.70000000000056,-444.8000000000006,-455.40000000000276,-455.4000000000017,-5432.000000000016
4,408,-356.1000000000011,-359.7999999999998,-359.00000000000057,-350.600000000001,-362.10000000000036,-355.10000000000065,-350.6000000000009,-355.5000000000019,-369.2000000000013,-350.29999999999967,-364.40000000000066,-366.20000000000124,-4298.900000000009
5,439,-386.40000000000174,-392.8000000000006,-367.89999999999986,-380.20000000000067,-407.3000000000028,-382.6000000000004,-382.9999999999993,-397.9000000000022,-386.8000000000004,-375.0000000000005,-396.3000000000008,-387.99999999999994,-4644.200000000009
6,407,-342.0000000000005,-357.0000000000002,-347.7,-351.2000000000006,-360.9000000000017,-351.0000000000003,-342.09999999999974,-368.3999999999996,-354.3999999999995,-340.10000000000133,-362.2000000000014,-358.0000000000004,-4235.0000000000055
7,447,-382.0000000000005,-387.8999999999998,-384.7000000000007,-376.70000000000044,-390.4000000000009,-390.1000000000015,-376.9000000000001,-399.9000000000009,-386.89999999999964,-374.6000000000004,-393.00000000000125,-395.8000000000002,-4638.900000000006
8,479,-424.7000000000013,-420.80000000000064,-417.0000000000008,-416.9000000000014,-440.30000000000103,-421.90000000000055,-410.20000000000056,-430.5000000000022,-425.7000000000012,-414.5000000000001,-426.50000000000074,-429.5000000000005,-5078.500000000012
9,496,-428.4000000000009,-432.60000000000207,-429.7000000000019,-425.40000000000083,-432.4000000000017,-432.20000000000175,-414.1000000000007,-438.3000000000021,-443.10000000000235,-419.8999999999999,-443.50000000000176,-430.9999999999988,-5170.600000000015
11,453,-387.00000000000097,-398.1000000000003,-387.00000000000125,-385.6000000000015,-394.60000000000105,-393.30000000000007,-383.1000000000011,-401.00000000000114,-397.5000000000013,-379.1999999999996,-398.400000000001,-403.50000000000074,-4708.300000000011
12,453,-387.60000000000144,-387.8000000000012,-387.9000000000003,-381.3000000000016,-395.3000000000014,-388.600000000001,-381.9000000000004,-385.50000000000205,-390.30000000000166,-383.0000000000015,-394.0999999999994,-389.5999999999999,-4652.900000000012
13,389,-328.60000000000053,-333.9000000000001,-330.49999999999955,-330.8999999999998,-341.0000000000011,-330.50000000000034,-319.1999999999994,-332.40000000000106,-337.7000000000008,-328.6999999999995,-339.40000000000015,-342.40000000000066,-3995.2000000000025
14,450,-384.60000000000025,-382.9000000000009,-381.2000000000011,-382.1000000000005,-396.3000000000025,-386.69999999999965,-382.2999999999991,-382.80000000000115,-385.39999999999975,-382.7999999999997,-391.50000000000165,-392.00000000000097,-4630.600000000008
15,443,-387.20000000000107,-387.400000000001,-371.70000000000135,-383.2000000000002,-400.1000000000019,-385.00000000000017,-387.1000000000004,-386.90000000000236,-392.30000000000075,-376.29999999999995,-391.4000000000009,-383.99999999999903,-4632.600000000009
16,382,-328.9000000000008,-324.40000000000015,-316.49999999999926,-327.89999999999986,-339.20000000000044,-330.3999999999999,-314.6000000000009,-330.5000000000004,-327.00000000000097,-326.4999999999997,-331.89999999999986,-326.90000000000026,-3924.700000000002
