Episode,Steps,Agent0,Agent1,Agent2,Agent3,Agent4,Agent5,Agent6,Agent7,Agent8,Agent9,Agent10,Agent11,Total
0,319,-276.59999999999997,-270.19999999999976,-262.89999999999986,-269.6,-267.29999999999995,-261.79999999999995,-268.8000000000003,-231.1999999999998,-192.99999999999943,-263.79999999999984,-198.29999999999907,-184.19999999999902,-2947.699999999997
10,321,-261.29999999999984,-256.9999999999998,-252.7999999999999,-254.49999999999997,-255.49999999999977,-249.09999999999985,-247.70000000000027,-234.8000000000005,-229.00000000000037,-248.7,-252.3999999999994,-240.9999999999995,-2983.799999999999
20,304,-244.69999999999993,-240.8999999999999,-237.89999999999998,-241.99999999999986,-231.80000000000007,-238.7999999999999,-229.70000000000041,-217.60000000000036,-225.79999999999993,-227.50000000000009,-224.49999999999952,-211.9999999999992,-2773.199999999999
30,311,-253.6999999999999,-248.99999999999986,-247.19999999999982,-248.1999999999999,-241.10000000000016,-241.6999999999999,-240.4000000000003,-233.4000000000003,-221.7000000000002,-239.10000000000036,-252.39999999999958,-220.59999999999954,-2888.5
40,338,-287.79999999999956,-278.6999999999997,-277.3,-278.69999999999993,-276.9,-270.7999999999997,-276.99999999999943,-258.70000000000016,-237.69999999999968,-270.99999999999966,-265.99999999999943,-262.69999999999897,-3243.2999999999965
50,1999,-2153.2999999999224,238.90000000000677,353.2999999999972,-2146.4999999999227,-2118.999999999924,490.4999999999842,-2133.0999999999235,473.9999999999854,488.9999999999843,-2115.6999999999243,519.9999999999819,467.99999999998596,-7633.899999999691
60,1999,-873.50000000003,-1201.0000000000007,-865.5000000000297,-868.0000000000297,-1701.999999999947,-869.0000000000297,-870.0000000000299,-1701.999999999947,-872.0000000000299,-872.0000000000299,-1204.0,-1701.9999999999466,-13601.00000000005
70,1999,-295.49999999999915,37.499999999999,-1536.9999999999604,-329.9000000000043,-457.5000000000157,-1536.4999999999604,-289.99999999999824,-1706.999999999946,-1538.4999999999602,-293.49999999999864,29.999999999999336,-1708.499999999946,-9626.399999999792
80,1999,-806.3000000000297,-876.5000000000277,-1005.0000000000305,-766.4000000000267,-1464.8999999999685,-1017.5000000000312,-814.4000000000301,-1727.6999999999446,-1031.5000000000307,-754.0000000000261,-884.0000000000281,-1672.4999999999498,-12820.70000000012
90,1999,-886.6000000000379,-337.5000000000038,-790.0000000000235,-894.8000000000335,-1344.0999999999726,-811.0000000000246,-859.5000000000343,-1535.9999999999557,-870.9000000000266,-850.9000000000359,-360.0000000000066,-1272.6999999999898,-10814.000000000146
100,899,-321.200000000003,-590.5000000000093,-80.99999999999613,-207.49999999999602,-797.3999999999994,-94.9999999999957,-536.400000000003,-872.4000000000119,-295.30000000000183,-230.49999999999582,-603.0000000000093,-699.9000000000062,-5330.100000000028
110,1999,-937.0000000000225,-1873.9999999999466,-413.0000000000026,-476.0000000000073,-2015.99999999992,-434.5000000000041,-546.6000000000134,-2060.7999999999274,-670.3000000000258,-547.500000000013,-1881.9999999999454,-1976.1999999999364,-13833.899999999767
120,1999,-1205.4999999999998,-700.0000000000259,-698.5000000000259,-1201.0000000000005,-1701.9999999999468,-703.000000000026,-1202.0000000000002,-1204.0,-706.0000000000263,-1204.0,-706.0000000000264,-1204.0,-12436.000000000076
130,716,-235.6999999999967,-480.20000000000636,-104.19999999999835,-202.19999999999672,-626.5000000000016,-129.1999999999988,-259.89999999999725,-619.0000000000028,-384.40000000000265,-263.199999999997,-439.70000000000573,-549.8000000000009,-4294.0000000000055
140,598,-210.39999999999736,-382.90000000000316,-116.89999999999853,-172.39999999999742,-501.00000000000233,-121.8999999999985,-221.39999999999742,-496.0000000000035,-361.2000000000007,-253.8999999999973,-308.4000000000015,-443.1999999999992,-3589.599999999997
150,555,-231.59999999999778,-353.10000000000116,-148.09999999999857,-199.5999999999981,-474.90000000000134,-155.59999999999846,-208.5999999999979,-446.40000000000026,-314.10000000000156,-304.5999999999999,-258.599999999998,-424.9999999999994,-3520.199999999993
160,1999,-387.5000000000106,-2137.4999999999227,-380.5000000000098,-376.00000000000927,-2137.3999999999237,-394.00000000001137,-383.5000000000102,-2141.499999999923,-453.50000000002024,-399.5000000000117,-2143.9999999999222,-2153.299999999922,-13488.199999999695
170,560,-158.09999999999792,-407.100000000003,-78.09999999999954,-128.0999999999989,-475.1000000000009,-90.5999999999994,-141.5999999999986,-449.1000000000002,-349.50000000000176,-196.59999999999783,-362.6000000000019,-442.40000000000066,-3278.9
180,566,-194.19999999999757,-385.20000000000243,-164.69999999999806,-160.69999999999774,-480.2000000000018,-167.69999999999803,-197.6999999999976,-456.1000000000001,-367.4999999999998,-268.1999999999981,-330.20000000000084,-447.7999999999988,-3620.1999999999903
