Episode,Steps,Agent0,Agent1,Agent2,Agent3,Agent4,Agent5,Agent6,Agent7,Agent8,Agent9,Agent10,Agent11,Total
1,359,-287.89999999999975,-291.89999999999986,-282.4999999999999,-285.2,-286.5999999999998,-282.1000000000001,-279.4,-275.90000000000043,-282.19999999999965,-275.99999999999955,-285.9000000000001,-287.70000000000016,-3403.2999999999997
2,305,-239.79999999999967,-242.99999999999957,-245.99999999999991,-227.3999999999998,-247.09999999999997,-244.99999999999983,-230.50000000000023,-252.9999999999997,-245.7999999999999,-236.69999999999968,-243.49999999999977,-242.89999999999998,-2900.6999999999985
3,352,-298.5000000000007,-290.89999999999975,-301.39999999999986,-292.30000000000007,-292.1999999999996,-292.7999999999996,-279.0000000000004,-284.19999999999976,-293.2999999999998,-292.5000000000003,-295.99999999999994,-308.80000000000035,-3521.9
4,293,-249.79999999999947,-234.4999999999999,-244.79999999999993,-240.7999999999999,-232.0,-242.3999999999998,-232.8000000000001,-237.89999999999952,-240.79999999999941,-245.59999999999968,-247.49999999999946,-249.1999999999995,-2898.0999999999967
5,312,-254.09999999999965,-260.09999999999985,-235.69999999999993,-248.79999999999978,-253.99999999999991,-257.59999999999985,-245.00000000000003,-259.9999999999998,-248.90000000000012,-250.69999999999985,-263.49999999999943,-260.2999999999998,-3038.699999999998
6,261,-213.29999999999978,-213.19999999999982,-205.99999999999972,-194.39999999999964,-194.70000000000007,-201.99999999999977,-194.50000000000017,-204.50000000000026,-196.80000000000018,-206.50000000000003,-211.39999999999975,-214.49999999999986,-2451.7999999999993
7,316,-248.19999999999987,-257.2999999999997,-249.59999999999962,-250.7999999999996,-244.69999999999965,-251.69999999999976,-240.59999999999997,-241.40000000000035,-244.5999999999995,-248.2999999999997,-262.19999999999965,-252.69999999999996,-2992.0999999999976
8,340,-283.7000000000002,-281.3999999999997,-276.9999999999999,-275.89999999999975,-277.8999999999997,-284.69999999999976,-268.5999999999999,-274.40000000000066,-272.6999999999998,-283.89999999999975,-289.19999999999936,-286.39999999999935,-3355.7999999999975
9,329,-285.8999999999993,-262.7999999999996,-261.99999999999994,-255.69999999999973,-251.09999999999948,-275.1999999999996,-257.70000000000016,-264.09999999999997,-262.59999999999985,-266.4000000000001,-275.2999999999996,-281.3999999999997,-3200.199999999997
11,304,-235.5999999999996,-236.69999999999982,-231.1999999999998,-231.69999999999973,-235.49999999999957,-234.59999999999965,-237.6999999999999,-221.70000000000024,-238.59999999999974,-233.0000000000004,-237.49999999999918,-240.89999999999998,-2814.6999999999975
12,305,-236.59999999999968,-227.69999999999965,-238.49999999999991,-234.49999999999983,-238.39999999999984,-241.19999999999987,-231.30000000000032,-230.5000000000004,-237.99999999999977,-240.90000000000012,-240.99999999999946,-248.1,-2846.699999999999
13,287,-214.79999999999976,-218.49999999999966,-208.09999999999977,-224.69999999999987,-231.4999999999997,-224.69999999999993,-213.9000000000003,-212.20000000000027,-220.50000000000009,-225.9999999999999,-222.49999999999963,-223.00000000000003,-2640.3999999999987
14,302,-235.29999999999978,-236.69999999999987,-229.69999999999985,-230.4999999999998,-229.9999999999995,-234.59999999999982,-223.60000000000022,-220.79999999999978,-229.5000000000004,-234.29999999999984,-218.7999999999995,-238.3000000000001,-2762.0999999999985
15,273,-220.1999999999998,-226.09999999999988,-209.19999999999985,-217.89999999999992,-212.8999999999999,-221.89999999999978,-214.70000000000024,-207.20000000000041,-221.8999999999999,-216.90000000000006,-222.6999999999998,-217.70000000000041,-2609.2999999999997
16,277,-220.09999999999977,-222.89999999999984,-222.99999999999997,-214.19999999999976,-218.50000000000006,-200.19999999999982,-201.20000000000007,-209.19999999999996,-206.5000000000002,-207.39999999999966,-223.0999999999996,-220.30000000000027,-2566.599999999999
17,265,-214.89999999999972,-219.39999999999978,-206.89999999999992,-198.09999999999982,-212.9999999999997,-213.6999999999998,-201.20000000000044,-202.30000000000007,-215.09999999999974,-214.20000000000007,-218.49999999999986,-219.1,-2536.3999999999987
18,309,-249.09999999999965,-249.09999999999985,-236.79999999999978,-239.4999999999998,-244.09999999999965,-250.19999999999985,-244.2999999999998,-241.49999999999977,-240.39999999999992,-245.70000000000016,-249.8999999999996,-246.0000000000003,-2936.5999999999985
19,243,-199.59999999999982,-179.69999999999982,-184.29999999999993,-183.5999999999999,-178.99999999999986,-177.0999999999998,-185.60000000000008,-188.89999999999975,-182.50000000000023,-193.39999999999998,-195.39999999999975,-187.20000000000016,-2236.2999999999993
21,336,-280.80000000000007,-275.7999999999996,-268.19999999999965,-266.7999999999997,-272.9,-279.5000000000002,-275.00000000000006,-267.20000000000005,-274.2999999999999,-269.6999999999999,-274.3000000000002,-288.29999999999944,-3292.7999999999984
22,326,-255.09999999999974,-240.79999999999984,-246.6999999999997,-242.29999999999987,-242.89999999999984,-243.29999999999959,-230.10000000000025,-247.3999999999999,-242.4000000000001,-242.10000000000034,-253.69999999999982,-252.30000000000027,-2939.0999999999985
23,327,-250.09999999999988,-249.69999999999962,-241.39999999999984,-252.89999999999984,-257.79999999999967,-251.8999999999998,-245.7000000000005,-242.10000000000034,-258.3,-255.6,-262.49999999999983,-262.09999999999997,-3030.0999999999995
