Episode,Steps,Agent0,Agent1,Agent2,Total
0,1999,-2199.9999999999177,-1734.4999999999814,-1701.9999999999688,-5636.499999999868
10,1999,-2199.9999999999177,-1968.299999999953,-1502.799999999985,-5671.099999999855
20,1999,-2199.9999999999177,-1734.4999999999814,-1703.199999999969,-5637.699999999868
30,1999,-2199.9999999999177,-1966.899999999953,-1505.1999999999848,-5672.099999999855
40,1294,-821.100000000007,-1041.6000000000047,-1063.3000000000213,-2926.0000000000327
50,852,-397.2999999999986,-651.7000000000078,-574.2999999999989,-1623.3000000000052
60,1051,-600.0000000000035,-813.2000000000039,-828.6000000000064,-2241.800000000014
70,1611,-1134.0000000000084,-1428.2999999999804,-1527.3999999999749,-4089.6999999999634
80,993,-550.3000000000025,-760.0000000000014,-721.2000000000124,-2031.5000000000164
90,865,-405.89999999999856,-601.2,-585.0,-1592.0999999999985
100,1169,-692.4000000000028,-926.600000000004,-971.2000000000185,-2590.2000000000253
110,903,-411.4999999999993,-615.5000000000013,-608.0000000000018,-1635.0000000000023
120,803,-411.100000000002,-547.8000000000053,-538.5999999999966,-1497.500000000004
130,909,-428.00000000000057,-641.4000000000023,-642.6000000000021,-1712.000000000005
140,1117,-627.7000000000011,-891.20000000001,-855.2000000000124,-2374.1000000000236
150,1141,-721.000000000006,-923.0000000000074,-926.6000000000085,-2570.600000000022
160,1101,-696.8000000000056,-856.8000000000034,-802.6000000000103,-2356.2000000000194
170,1105,-632.1000000000021,-877.8000000000094,-904.0000000000053,-2413.900000000017
180,1004,-554.8000000000009,-800.1000000000021,-751.9000000000108,-2106.800000000014
190,1302,-847.6000000000063,-1089.100000000003,-1075.300000000019,-3012.000000000028
200,927,-486.4000000000023,-702.2000000000049,-663.0000000000018,-1851.600000000009
210,1144,-694.500000000004,-929.8000000000052,-929.5000000000114,-2553.8000000000206
220,962,-487.70000000000005,-731.1000000000064,-689.5000000000058,-1908.3000000000125
230,926,-479.39999999999964,-682.8000000000001,-664.1000000000034,-1826.3000000000034
240,957,-434.1999999999983,-636.2000000000004,-636.4000000000027,-1706.8000000000015
250,931,-423.199999999999,-636.7000000000005,-625.0000000000015,-1684.900000000001
260,1069,-594.7000000000029,-809.1000000000054,-774.4000000000068,-2178.2000000000153
270,923,-478.8999999999999,-704.2000000000036,-644.4000000000029,-1827.5000000000064
280,1017,-572.400000000002,-791.5000000000026,-783.2000000000103,-2147.100000000015
290,1022,-562.7000000000016,-845.3000000000064,-784.9000000000052,-2192.9000000000133
300,1234,-775.3000000000044,-987.8000000000051,-956.9000000000137,-2720.000000000023
310,889,-439.00000000000114,-633.6000000000006,-600.4000000000001,-1673.0000000000018
320,890,-400.1000000000002,-630.1000000000033,-592.2999999999988,-1622.5000000000023
330,1323,-795.4000000000036,-1123.4000000000055,-1163.2000000000025,-3082.000000000012
340,1194,-799.300000000009,-954.9000000000076,-953.5000000000095,-2707.700000000026
350,985,-442.59999999999735,-679.599999999997,-654.4000000000042,-1776.5999999999985
360,885,-401.59999999999735,-602.3000000000004,-596.0000000000001,-1599.8999999999978
370,812,-385.9999999999981,-551.9000000000027,-545.099999999997,-1482.9999999999977
380,853,-427.29999999999933,-660.1000000000037,-642.2000000000048,-1729.6000000000079
390,918,-477.7000000000014,-688.6999999999987,-664.1000000000037,-1830.5000000000036
400,1008,-441.699999999998,-687.699999999997,-670.9000000000055,-1800.3000000000006
410,952,-507.2000000000016,-708.0000000000036,-665.5000000000027,-1880.700000000008
420,1251,-797.9000000000054,-1071.7000000000119,-1104.4000000000065,-2974.0000000000236
430,793,-400.5000000000001,-558.7000000000054,-556.5999999999962,-1515.8000000000015
440,987,-541.900000000002,-779.000000000005,-738.8000000000063,-2059.7000000000135
450,1208,-872.2000000000104,-1023.7000000000085,-954.5000000000166,-2850.400000000035
460,960,-574.7000000000015,-738.8000000000036,-765.7000000000122,-2079.200000000017
470,946,-436.4999999999994,-697.900000000003,-682.1000000000025,-1816.500000000005
480,1202,-794.3000000000056,-996.3000000000043,-967.3000000000148,-2757.9000000000246
490,1101,-709.700000000005,-883.5000000000048,-886.200000000014,-2479.4000000000237
500,851,-390.9999999999988,-577.7000000000014,-576.9999999999987,-1545.699999999999
510,786,-369.7999999999989,-570.9000000000058,-531.8999999999961,-1472.6000000000008
520,1359,-905.7000000000089,-1122.500000000005,-1112.6000000000051,-3140.8000000000193
530,1034,-632.9000000000037,-787.5999999999992,-799.5000000000128,-2220.000000000016
540,1368,-918.5000000000081,-1203.2999999999995,-1192.7000000000132,-3314.500000000021
550,1303,-852.0000000000051,-1029.2999999999959,-1026.6000000000288,-2907.9000000000296
560,772,-359.2999999999998,-513.9000000000044,-515.6999999999948,-1388.899999999999
570,1148,-663.3000000000038,-922.4000000000128,-953.5000000000056,-2539.200000000022
580,832,-404.00000000000006,-581.4000000000054,-579.8999999999999,-1565.3000000000054
590,1125,-745.4000000000044,-927.2000000000064,-909.0000000000217,-2581.6000000000327
600,893,-402.59999999999826,-590.8000000000022,-602.6000000000006,-1596.0000000000011
610,1179,-718.7000000000033,-977.5000000000083,-963.8000000000194,-2660.000000000031
620,1240,-778.7000000000048,-1010.9000000000071,-1013.3000000000203,-2802.9000000000324
630,1228,-827.9000000000069,-1062.6000000000095,-1054.5000000000182,-2945.0000000000346
640,942,-507.3000000000015,-686.1999999999988,-669.5000000000078,-1863.0000000000082
650,1174,-744.500000000006,-969.7000000000106,-939.300000000009,-2653.5000000000255
660,1047,-588.1000000000034,-826.000000000004,-789.8000000000092,-2203.9000000000165
670,986,-536.0000000000001,-773.9000000000074,-790.9000000000094,-2100.8000000000166
680,817,-378.39999999999907,-566.1000000000026,-566.1999999999975,-1510.6999999999994
690,882,-419.39999999999947,-616.5000000000008,-595.1000000000003,-1631.0000000000005
700,900,-447.60000000000116,-625.5000000000016,-619.9000000000025,-1693.000000000005
710,1116,-752.2000000000072,-910.6000000000078,-874.5000000000095,-2537.3000000000247
720,1179,-840.100000000008,-938.4999999999993,-918.0000000000206,-2696.6000000000276
730,1140,-646.0000000000032,-875.2000000000057,-835.90000000001,-2357.100000000019
740,1292,-876.0000000000072,-1107.199999999997,-1119.5000000000093,-3102.7000000000135
750,868,-433.6000000000017,-602.2000000000012,-606.6999999999978,-1642.5000000000007
760,812,-389.40000000000066,-579.1000000000014,-580.7000000000019,-1549.200000000004
770,840,-404.4999999999995,-587.2000000000014,-597.1000000000008,-1588.8000000000018
780,1091,-658.8000000000053,-848.7000000000036,-834.2000000000137,-2341.7000000000226
790,906,-456.0000000000008,-606.0000000000016,-619.5000000000013,-1681.5000000000036
800,1230,-868.2000000000091,-945.1999999999969,-963.3000000000206,-2776.7000000000266
810,1056,-575.1000000000024,-769.0000000000041,-733.9000000000088,-2078.0000000000155
820,1056,-569.7000000000019,-840.3000000000061,-833.3000000000126,-2243.3000000000206
830,1007,-563.1000000000024,-771.7000000000012,-756.0000000000057,-2090.8000000000093
840,1090,-668.7000000000052,-935.8000000000127,-881.3000000000052,-2485.800000000023
850,1151,-656.400000000002,-929.7000000000056,-926.6000000000131,-2512.7000000000207
860,933,-485.1000000000006,-716.6000000000087,-674.2000000000025,-1875.900000000012
870,716,-335.1999999999992,-455.3000000000035,-477.49999999999494,-1267.9999999999977
880,942,-424.19999999999857,-638.6999999999997,-631.9000000000016,-1694.7999999999997
890,1308,-822.3000000000053,-1066.3000000000072,-1090.1000000000117,-2978.7000000000244
900,1247,-840.800000000008,-1069.2000000000064,-1021.2000000000119,-2931.200000000026
910,987,-581.6000000000016,-734.4000000000001,-747.0000000000081,-2063.00000000001
920,910,-424.8999999999981,-628.5000000000042,-617.5000000000013,-1670.9000000000037
930,1248,-804.9000000000077,-975.0000000000027,-1023.5000000000157,-2803.400000000026
940,948,-561.6000000000033,-730.2000000000065,-711.5000000000051,-2003.3000000000147
950,747,-352.1000000000003,-464.500000000003,-498.3999999999947,-1314.999999999998
960,860,-464.2000000000012,-624.9000000000055,-604.100000000002,-1693.2000000000087
970,983,-492.3,-742.7000000000016,-699.6000000000096,-1934.6000000000113
980,1294,-752.9000000000012,-1100.1000000000076,-1100.3000000000159,-2953.3000000000247
990,831,-381.90000000000003,-536.1000000000031,-554.7999999999971,-1472.8000000000002
1000,1233,-870.800000000008,-1030.9000000000044,-1023.8000000000221,-2925.5000000000346
1010,1054,-645.1000000000049,-773.3999999999999,-766.5000000000076,-2185.0000000000123
1020,930,-412.7999999999988,-614.2000000000006,-621.1000000000015,-1648.100000000001
1030,913,-412.4000000000011,-617.6000000000007,-605.0000000000008,-1635.0000000000027
1040,801,-392.1999999999992,-596.1000000000016,-544.1999999999972,-1532.4999999999982
1050,962,-474.7999999999982,-704.0000000000007,-725.9000000000098,-1904.7000000000085
1060,924,-429.5999999999989,-610.2000000000013,-615.5000000000015,-1655.3000000000015
1070,895,-449.9999999999989,-663.2000000000052,-612.0000000000014,-1725.2000000000055
1080,1068,-619.8000000000062,-850.6000000000034,-823.7000000000082,-2294.1000000000176
1090,889,-436.3999999999996,-611.200000000001,-601.8000000000008,-1649.4000000000015
1100,1518,-1058.2000000000085,-1319.1999999999966,-1361.3000000000015,-3738.7000000000066
1110,952,-551.8000000000034,-712.0000000000061,-742.3000000000075,-2006.100000000017
1120,840,-484.600000000004,-593.4000000000036,-589.3000000000012,-1667.3000000000088
1130,765,-365.20000000000016,-513.4000000000046,-510.59999999999445,-1389.1999999999994
1140,958,-484.3000000000008,-715.6000000000035,-649.300000000003,-1849.2000000000075
1150,934,-416.2999999999981,-635.6999999999979,-626.1000000000023,-1678.099999999998
1160,811,-431.4000000000025,-541.1000000000033,-553.9999999999983,-1526.500000000004
1170,875,-441.100000000001,-616.4000000000018,-591.0000000000005,-1648.5000000000032
1180,1219,-828.600000000007,-1024.0000000000064,-987.6000000000201,-2840.2000000000335
1190,1124,-661.2000000000032,-944.5000000000103,-924.7000000000055,-2530.4000000000187
1200,769,-377.4000000000008,-517.6000000000046,-513.5999999999945,-1408.6
1210,1383,-1019.1000000000117,-1185.6999999999982,-1187.6000000000083,-3392.4000000000187
1220,1089,-664.8000000000053,-856.3000000000035,-832.0000000000091,-2353.1000000000176
1230,872,-415.69999999999976,-615.0000000000022,-587.2999999999993,-1618.0000000000011
1240,780,-385.4000000000005,-545.5000000000052,-536.6999999999961,-1467.6000000000017
1250,890,-412.3999999999994,-589.1000000000006,-605.7000000000002,-1607.2000000000003
1260,1083,-642.7000000000048,-859.6000000000032,-832.6000000000114,-2334.900000000019
1270,1189,-773.8000000000046,-948.7000000000031,-927.4000000000159,-2649.9000000000237
1280,1144,-765.4000000000054,-942.2000000000071,-917.1000000000166,-2624.7000000000294
1290,686,-348.8000000000006,-441.5000000000026,-466.0999999999956,-1256.3999999999987
1300,816,-379.6,-547.1000000000047,-548.299999999997,-1475.0000000000018
1310,823,-380.2999999999982,-569.9000000000027,-556.3999999999975,-1506.5999999999985
1320,968,-556.0000000000017,-713.6000000000053,-709.5000000000017,-1979.1000000000085
1330,965,-520.9000000000027,-740.1000000000063,-699.8000000000027,-1960.8000000000118
1340,913,-526.4000000000023,-647.0000000000002,-649.8000000000045,-1823.2000000000069
1350,1512,-1032.7000000000069,-1354.7999999999884,-1381.099999999988,-3768.5999999999835
1360,1036,-486.499999999999,-705.4999999999984,-697.900000000008,-1889.9000000000053
1370,987,-602.4000000000041,-793.3000000000055,-731.0000000000099,-2126.7000000000194
1380,974,-574.3000000000015,-755.8000000000006,-691.3000000000086,-2021.4000000000108
1390,903,-411.4999999999984,-597.5000000000009,-600.4000000000007,-1609.4
1400,1050,-665.3000000000063,-855.2000000000066,-814.9000000000062,-2335.400000000019
1410,833,-389.1999999999995,-580.7000000000057,-589.3999999999967,-1559.300000000002
1420,1135,-681.8000000000023,-975.6000000000118,-943.6000000000092,-2601.0000000000236
1430,816,-381.2999999999995,-524.4000000000034,-551.4999999999966,-1457.1999999999994
1440,871,-401.69999999999834,-621.200000000002,-592.2000000000004,-1615.1000000000008
1450,983,-534.6000000000024,-777.4000000000075,-747.600000000001,-2059.6000000000113
1460,884,-406.19999999999953,-597.7999999999998,-591.6999999999998,-1595.6999999999991
1470,1100,-748.6000000000066,-901.9000000000023,-851.1000000000154,-2501.600000000024
1480,1093,-642.0000000000031,-850.7000000000054,-859.8000000000056,-2352.500000000014
1490,915,-471.10000000000093,-690.4000000000018,-646.0000000000048,-1807.5000000000075
1500,899,-389.9000000000003,-586.4000000000007,-595.9999999999995,-1572.3000000000006
1510,800,-379.7000000000002,-541.5000000000044,-537.8999999999965,-1459.100000000001
1520,827,-385.80000000000075,-533.8000000000026,-558.1999999999974,-1477.8000000000006
1530,978,-455.3999999999992,-669.8999999999991,-658.1000000000041,-1783.4000000000024
1540,840,-450.4000000000025,-621.9000000000054,-586.6999999999998,-1659.0000000000077
1550,915,-442.99999999999886,-664.7000000000012,-625.4000000000029,-1733.100000000003
1560,847,-395.49999999999966,-585.5000000000031,-588.8000000000009,-1569.8000000000036
1570,1374,-1011.2000000000107,-1165.4999999999986,-1171.9000000000156,-3348.600000000025
1580,936,-567.5000000000042,-709.6000000000043,-650.1000000000041,-1927.2000000000126
1590,1008,-613.5000000000017,-780.7000000000072,-738.1000000000074,-2132.3000000000166
1600,1300,-907.5000000000113,-1085.40000000001,-1118.3000000000047,-3111.200000000026
1610,854,-416.69999999999976,-593.0000000000048,-576.2999999999986,-1586.0000000000032
1620,976,-535.2000000000013,-750.9000000000074,-705.3000000000014,-1991.40000000001
1630,1008,-550.5000000000013,-753.4000000000005,-751.5000000000086,-2055.4000000000106
1640,856,-454.70000000000243,-596.4000000000038,-626.4999999999993,-1677.6000000000056
1650,785,-375.8000000000002,-540.4000000000051,-531.399999999996,-1447.6000000000013
1660,970,-484.79999999999995,-691.699999999997,-697.7000000000096,-1874.2000000000064
1670,808,-366.7999999999991,-555.2000000000055,-541.6999999999966,-1463.7000000000012
1680,891,-506.9000000000028,-632.0000000000009,-666.8000000000064,-1805.7000000000103
1690,791,-364.39999999999907,-509.60000000000355,-524.3999999999951,-1398.3999999999978
1700,807,-412.60000000000184,-558.5000000000051,-547.7999999999975,-1518.9000000000044
1710,923,-506.20000000000283,-672.9000000000034,-666.8000000000005,-1845.900000000007
1720,1335,-954.9000000000092,-1193.8999999999965,-1154.8000000000152,-3303.600000000021
1730,1320,-883.1000000000093,-1095.9000000000074,-1082.1000000000145,-3061.1000000000313
1740,765,-368.6000000000001,-482.4000000000034,-512.999999999995,-1363.9999999999984
1750,905,-463.80000000000166,-635.7000000000005,-663.8000000000038,-1763.300000000006
1760,1392,-992.200000000012,-1204.3999999999996,-1213.9000000000008,-3410.5000000000127
1770,1002,-576.2000000000041,-805.0000000000059,-762.5000000000061,-2143.700000000016
1780,855,-399.4999999999996,-557.0000000000028,-569.3999999999979,-1525.9000000000005
1790,1123,-673.4000000000028,-862.3000000000003,-845.6000000000141,-2381.300000000017
1800,940,-534.6000000000031,-705.5000000000042,-685.5000000000028,-1925.60000000001
1810,879,-408.99999999999966,-545.3000000000025,-582.5999999999991,-1536.9000000000012
1820,774,-386.4000000000014,-522.4000000000046,-518.4999999999949,-1427.300000000001
1830,835,-384.3999999999998,-543.6000000000025,-559.7999999999977,-1487.8
1840,996,-445.099999999998,-652.2999999999981,-658.9000000000045,-1756.3000000000006
1850,941,-443.0000000000001,-662.8000000000002,-652.6000000000017,-1758.400000000002
1860,809,-379.4999999999999,-515.6000000000037,-534.7999999999959,-1429.8999999999994
1870,1039,-614.5000000000041,-743.8999999999993,-765.2000000000046,-2123.6000000000076
1880,857,-389.19999999999754,-580.7000000000037,-574.5999999999983,-1544.4999999999995
1890,912,-413.09999999999957,-623.4000000000029,-620.5000000000006,-1657.0000000000032
1900,833,-392.69999999999925,-557.5000000000034,-563.7999999999984,-1514.000000000001
1910,888,-429.59999999999934,-634.5000000000044,-613.3000000000005,-1677.4000000000042
1920,877,-435.8000000000005,-616.2000000000022,-615.5999999999995,-1667.6000000000022
1930,900,-414.4999999999992,-625.9000000000001,-609.7000000000019,-1650.100000000001
1940,1108,-663.0000000000018,-849.6000000000012,-889.3000000000184,-2401.9000000000215
1950,1019,-655.7000000000039,-826.6000000000087,-754.8000000000079,-2237.1000000000204
1960,988,-561.2000000000004,-726.1999999999966,-703.9000000000103,-1991.3000000000072
1970,745,-362.1999999999996,-496.70000000000385,-505.99999999999494,-1364.8999999999985
1980,1307,-886.2000000000077,-1082.9000000000003,-1110.2000000000203,-3079.3000000000284
1990,1247,-838.5000000000095,-1035.4000000000071,-1026.600000000014,-2900.500000000031
