Episode,Steps,Agent0,Agent1,Agent2,Total
1,1341,-657.7999999999987,-1189.6999999999875,-1055.000000000021,-2902.5000000000073
2,1329,-670.1999999999999,-1152.499999999994,-1052.4000000000167,-2875.1000000000104
3,1420,-734.0999999999973,-1312.9999999999825,-1246.900000000004,-3293.9999999999836
4,1082,-537.2999999999989,-953.100000000007,-903.900000000014,-2394.30000000002
5,1311,-691.7999999999984,-1187.899999999995,-1095.8000000000234,-2975.500000000017
6,1169,-585.2999999999986,-1047.1000000000033,-862.8000000000172,-2495.200000000019
7,1391,-740.7999999999998,-1236.3999999999985,-1145.0000000000089,-3122.200000000007
8,1525,-808.0999999999975,-1377.2999999999872,-1333.200000000008,-3518.5999999999926
9,1334,-700.7999999999981,-1206.2999999999936,-1116.3000000000154,-3023.400000000007
11,1247,-613.1999999999983,-1113.2999999999972,-994.0000000000141,-2720.5000000000095
12,1251,-598.8999999999974,-1057.4000000000003,-915.6000000000208,-2571.9000000000187
13,1120,-576.1999999999987,-911.7000000000018,-819.9000000000104,-2307.800000000011
14,1333,-655.9999999999966,-1136.699999999999,-993.600000000028,-2786.3000000000234
15,1280,-659.799999999998,-1172.3,-1023.3000000000177,-2855.400000000016
16,1264,-630.7999999999998,-1110.6000000000006,-917.7000000000173,-2659.1000000000176
17,1018,-503.89999999999844,-862.900000000002,-732.1000000000112,-2098.9000000000115
18,1168,-547.0999999999982,-1013.3000000000119,-843.5000000000148,-2403.900000000025
19,1055,-528.4999999999998,-894.6000000000095,-785.2000000000096,-2208.300000000019
21,1233,-589.4999999999958,-1144.4999999999995,-1054.800000000016,-2788.8000000000116
22,1316,-627.5999999999974,-1128.999999999999,-987.9000000000221,-2744.5000000000186
23,1355,-700.6999999999992,-1202.5999999999917,-1034.6000000000206,-2937.9000000000115
24,1214,-575.2999999999975,-1033.8000000000034,-930.1000000000117,-2539.2000000000126
25,1168,-576.3999999999996,-998.7000000000082,-866.700000000018,-2441.8000000000256
26,1179,-639.4000000000007,-1060.0000000000061,-924.8000000000169,-2624.200000000024
27,1417,-693.0999999999982,-1227.9999999999898,-1095.4000000000174,-3016.5000000000055
