Episode,Steps,Agent0,Agent1,Agent2,Total
0,888,-447.49999999999994,-680.3000000000052,-640.5000000000006,-1768.3000000000056
10,969,-429.4999999999994,-646.5999999999993,-638.4000000000027,-1714.5000000000014
20,953,-437.0000000000001,-681.0999999999965,-643.8000000000042,-1761.900000000001
30,940,-425.2999999999993,-649.299999999999,-626.900000000002,-1701.5000000000005
40,1019,-556.9000000000018,-757.7999999999994,-726.4000000000095,-2041.1000000000108
50,830,-383.3999999999997,-580.0000000000031,-558.2999999999979,-1521.7000000000007
60,859,-412.90000000000043,-588.9000000000015,-575.7999999999987,-1577.6000000000006
70,1236,-808.800000000008,-1004.1000000000093,-1054.3000000000113,-2867.200000000029
80,918,-425.99999999999807,-637.3999999999983,-617.3000000000017,-1680.699999999998
90,900,-404.8999999999992,-591.7000000000024,-594.8999999999997,-1591.5000000000014
100,950,-482.3000000000002,-708.899999999998,-667.9000000000063,-1859.1000000000045
110,1009,-447.3999999999982,-658.9999999999992,-663.6000000000043,-1770.0000000000018
120,825,-379.3000000000009,-579.1000000000042,-548.9999999999968,-1507.400000000002
130,892,-411.69999999999993,-607.8000000000006,-597.5000000000002,-1617.000000000001
140,871,-400.8999999999992,-613.9000000000023,-590.200000000001,-1605.0000000000023
150,873,-430.70000000000107,-626.7000000000044,-620.0000000000007,-1677.4000000000062
160,885,-437.60000000000144,-627.0000000000003,-593.4,-1658.0000000000018
170,1212,-637.200000000001,-846.4999999999955,-1036.1000000000188,-2519.800000000015
180,924,-442.69999999999834,-661.2999999999988,-648.7000000000064,-1752.7000000000037
190,1033,-529.6999999999999,-781.8999999999975,-816.6000000000104,-2128.200000000008
200,980,-456.3999999999986,-710.0000000000028,-725.700000000004,-1892.1000000000054
210,931,-445.5999999999987,-704.100000000004,-667.6000000000029,-1817.3000000000056
220,856,-395.1999999999986,-577.1000000000035,-575.2999999999984,-1547.6000000000006
230,844,-399.59999999999883,-560.3000000000029,-562.4999999999983,-1522.4
240,1058,-481.09999999999803,-737.299999999995,-702.9000000000074,-1921.3000000000004
250,896,-403.00000000000017,-599.3000000000009,-597.6999999999997,-1600.000000000001
260,967,-443.09999999999883,-672.8999999999988,-648.4000000000042,-1764.400000000002
270,838,-387.9000000000003,-563.9000000000029,-555.4999999999973,-1507.3000000000006
280,824,-391.2999999999996,-564.4000000000049,-554.699999999998,-1510.4000000000024
290,832,-383.4999999999996,-609.8000000000022,-564.4999999999975,-1557.7999999999993
300,1016,-520.8000000000009,-726.0999999999974,-701.5000000000088,-1948.400000000007
310,909,-417.0999999999997,-650.1000000000033,-609.600000000001,-1676.800000000004
320,947,-427.70000000000044,-681.7999999999981,-634.2000000000027,-1743.7000000000012
330,1102,-586.1000000000014,-845.4999999999961,-848.3000000000123,-2279.90000000001
340,993,-547.1000000000031,-714.3000000000003,-694.0000000000056,-1955.4000000000087
350,961,-425.899999999998,-647.0999999999988,-642.4000000000043,-1715.400000000001
360,938,-408.9999999999968,-621.0000000000005,-620.9000000000016,-1650.8999999999987
370,830,-376.49999999999847,-551.1000000000025,-553.2999999999972,-1480.8999999999983
