Episode,Steps,Agent0,Agent1,Agent2,Total
1,945,-439.9999999999984,-680.2000000000011,-642.4000000000035,-1762.6000000000029
2,892,-413.6000000000009,-644.0000000000042,-600.3000000000002,-1657.9000000000053
3,1008,-491.099999999999,-776.8000000000052,-731.3000000000079,-1999.200000000012
4,765,-390.6000000000016,-534.6000000000048,-524.3999999999953,-1449.6000000000017
5,863,-437.80000000000064,-649.1000000000026,-596.5999999999993,-1683.5000000000027
6,833,-387.0999999999994,-568.9000000000012,-563.1999999999979,-1519.1999999999985
7,894,-481.60000000000247,-623.9000000000011,-625.3000000000037,-1730.8000000000075
8,1014,-586.1000000000012,-725.799999999998,-737.3000000000101,-2049.2000000000094
9,959,-480.8000000000005,-702.2000000000062,-714.2000000000037,-1897.2000000000105
11,906,-403.6999999999974,-641.9999999999999,-608.9000000000009,-1654.599999999998
12,874,-392.1999999999983,-569.2000000000015,-574.4999999999984,-1535.8999999999983
13,873,-406.0999999999999,-584.7000000000029,-585.3999999999999,-1576.2000000000025
14,924,-421.49999999999966,-615.5999999999991,-610.7000000000007,-1647.7999999999995
15,808,-413.80000000000126,-548.9000000000035,-547.6999999999973,-1510.4000000000021
16,935,-420.49999999999864,-629.6000000000007,-616.8000000000014,-1666.900000000001
17,831,-383.8999999999982,-544.1000000000021,-554.3999999999974,-1482.3999999999976
18,899,-410.1000000000003,-590.0000000000017,-593.7999999999996,-1593.9000000000015
19,817,-382.5000000000003,-538.400000000004,-546.7999999999968,-1467.700000000001
21,859,-411.59999999999957,-639.9000000000029,-593.8000000000006,-1645.3000000000031
22,1107,-499.19999999999686,-777.1999999999931,-738.6000000000097,-2014.9999999999998
23,971,-466.29999999999893,-664.6999999999974,-649.200000000004,-1780.2000000000003
24,957,-428.499999999998,-645.8999999999979,-632.8000000000027,-1707.1999999999987
25,862,-405.50000000000074,-588.4000000000032,-575.4999999999984,-1569.4000000000024
26,852,-421.7000000000016,-625.7000000000045,-576.2999999999985,-1623.7000000000044
27,1033,-451.99999999999847,-688.4999999999984,-680.0000000000061,-1820.500000000003
28,891,-407.0000000000003,-600.9000000000012,-590.9999999999994,-1598.900000000001
29,1129,-649.3000000000023,-884.8000000000034,-904.2000000000121,-2438.300000000018
31,837,-405.5000000000001,-563.5000000000022,-561.799999999998,-1530.8000000000002
32,942,-422.3999999999983,-665.2999999999979,-666.1000000000031,-1753.7999999999993
33,912,-440.5999999999981,-628.2000000000004,-622.1000000000023,-1690.9000000000005
34,981,-478.4999999999997,-699.4999999999983,-710.8000000000061,-1888.800000000004
35,959,-494.6999999999997,-658.8999999999969,-644.8000000000035,-1798.4
36,968,-443.89999999999895,-672.3999999999985,-644.1000000000033,-1760.4000000000008
37,909,-487.6999999999985,-661.1000000000028,-627.4000000000027,-1776.200000000004
38,878,-406.7000000000002,-601.9000000000011,-587.2999999999997,-1595.900000000001
39,963,-426.7999999999978,-677.9999999999972,-643.400000000003,-1748.199999999998
41,854,-402.399999999999,-592.2000000000023,-578.899999999999,-1573.5000000000002
42,898,-403.29999999999825,-621.4999999999984,-603.1000000000004,-1627.899999999997
43,875,-406.7000000000006,-575.9000000000012,-579.999999999999,-1562.6000000000008
44,954,-432.39999999999793,-668.0999999999975,-641.1000000000031,-1741.5999999999985
45,918,-450.70000000000067,-664.0000000000024,-628.9000000000019,-1743.600000000005
46,929,-441.49999999999847,-685.8999999999969,-628.8000000000027,-1756.199999999998
47,813,-382.4999999999997,-558.8000000000021,-549.1999999999974,-1490.499999999999
48,865,-383.7999999999987,-619.2999999999997,-583.5999999999993,-1586.6999999999978
49,818,-379.0000000000009,-550.7000000000044,-548.4999999999972,-1478.2000000000025
51,951,-439.7999999999987,-634.6000000000006,-633.600000000003,-1708.0000000000023
52,775,-376.29999999999893,-510.00000000000387,-522.1999999999955,-1408.4999999999982
53,986,-448.099999999999,-660.8999999999991,-653.7000000000038,-1762.700000000002
54,907,-401.99999999999847,-604.6,-598.5999999999998,-1605.1999999999985
55,840,-383.0999999999998,-590.9000000000042,-567.0999999999988,-1541.1000000000026
56,804,-400.0000000000005,-533.3000000000028,-553.6999999999975,-1487.000000000001
57,958,-482.2999999999996,-738.700000000002,-673.5000000000073,-1894.5000000000089
58,1175,-699.5000000000034,-943.4000000000059,-920.2000000000144,-2563.1000000000236
59,1051,-482.19999999999766,-721.199999999995,-702.0000000000077,-1905.4000000000005
61,775,-373.2000000000009,-527.5000000000044,-522.3999999999953,-1423.1000000000006
62,951,-432.7999999999992,-657.3999999999985,-643.6000000000038,-1733.8000000000015
63,905,-419.1999999999995,-619.0000000000008,-606.0000000000006,-1644.2000000000007
64,905,-409.1999999999996,-603.4000000000009,-597.0,-1609.6000000000004
65,975,-438.69999999999794,-678.0999999999972,-646.8000000000033,-1763.5999999999985
66,970,-473.1000000000006,-702.4999999999944,-664.5000000000049,-1840.1
