Episode,Steps,Agent0,Agent1,Agent2,Agent3,Agent4,Agent5,Total
1,542,-376.5000000000013,-442.3999999999969,-451.7999999999971,-445.99999999999653,-402.6999999999987,-453.4000000000024,-2572.799999999993
2,476,-335.900000000002,-391.59999999999974,-400.1000000000003,-386.69999999999806,-372.7000000000021,-401.20000000000175,-2288.200000000004
3,573,-411.00000000000205,-490.09999999999826,-523.9000000000038,-479.59999999999803,-464.00000000000165,-491.0000000000042,-2859.600000000008
4,474,-332.40000000000094,-402.69999999999953,-408.70000000000016,-390.69999999999874,-370.9000000000007,-406.00000000000233,-2311.4000000000024
5,497,-351.60000000000116,-427.1999999999984,-428.099999999998,-410.19999999999703,-412.2,-434.3000000000016,-2463.5999999999963
6,482,-336.60000000000224,-391.39999999999776,-398.7999999999987,-388.2999999999979,-357.0999999999987,-403.5000000000012,-2275.6999999999966
7,580,-412.6000000000019,-478.0999999999964,-498.09999999999764,-477.49999999999613,-452.49999999999807,-504.0000000000021,-2822.7999999999925
8,606,-453.9000000000032,-520.9999999999981,-531.199999999998,-522.2999999999968,-498.1000000000013,-534.9000000000024,-3061.3999999999996
9,550,-403.8000000000027,-461.3999999999986,-475.3999999999985,-455.8999999999978,-450.0000000000016,-471.40000000000333,-2717.9000000000024
11,559,-383.8000000000014,-456.9999999999972,-476.39999999999793,-460.1999999999984,-442.19999999999686,-463.1000000000015,-2682.6999999999935
12,505,-357.0000000000033,-408.5999999999972,-435.7000000000004,-408.99999999999727,-389.59999999999786,-437.4000000000008,-2437.2999999999965
13,468,-321.10000000000207,-383.49999999999886,-398.49999999999807,-378.89999999999804,-350.89999999999895,-391.5000000000014,-2224.3999999999974
14,506,-351.2000000000028,-415.49999999999915,-429.9999999999974,-408.09999999999724,-374.8999999999993,-420.80000000000194,-2400.4999999999977
15,448,-316.10000000000133,-372.2999999999984,-383.29999999999916,-367.2999999999985,-358.2999999999991,-382.10000000000156,-2179.399999999998
16,541,-368.30000000000206,-441.5999999999983,-463.89999999999867,-432.3999999999965,-399.1999999999994,-434.6000000000025,-2539.9999999999977
17,479,-335.60000000000196,-384.09999999999786,-399.2999999999964,-386.7999999999977,-351.39999999999986,-395.1000000000013,-2252.2999999999947
18,477,-331.6000000000022,-383.9999999999981,-400.0999999999977,-382.19999999999794,-355.9999999999997,-381.3000000000032,-2235.199999999999
19,499,-346.6000000000023,-426.4000000000019,-419.9999999999968,-404.39999999999776,-384.6000000000014,-405.50000000000296,-2387.5000000000027
21,572,-395.60000000000133,-488.09999999999894,-494.79999999999836,-465.7999999999957,-462.30000000000183,-499.70000000000346,-2806.2999999999997
22,529,-356.90000000000185,-427.6999999999976,-446.1999999999965,-424.99999999999693,-403.5999999999988,-434.9000000000023,-2494.299999999994
23,544,-369.9000000000019,-463.49999999999676,-461.79999999999836,-440.4999999999967,-421.6999999999992,-463.0000000000007,-2620.399999999994
24,470,-324.80000000000155,-377.69999999999806,-402.1999999999979,-377.49999999999795,-354.49999999999903,-373.1000000000021,-2209.7999999999965
25,486,-337.3000000000017,-392.89999999999816,-409.799999999999,-392.69999999999845,-359.09999999999985,-396.50000000000335,-2288.3000000000006
26,488,-340.700000000001,-406.5999999999996,-421.60000000000167,-401.89999999999867,-383.5000000000006,-414.20000000000175,-2368.5000000000036
27,553,-366.40000000000094,-437.9999999999963,-466.7999999999978,-437.3999999999964,-406.799999999999,-423.900000000004,-2539.2999999999947
28,539,-380.0000000000037,-439.99999999999835,-453.8999999999969,-433.9999999999968,-419.0000000000008,-436.8000000000018,-2563.699999999998
29,639,-474.2000000000022,-553.0000000000001,-580.0000000000033,-538.2999999999957,-544.8000000000038,-562.4000000000037,-3252.700000000009
31,491,-345.10000000000133,-406.89999999999793,-417.59999999999854,-396.7999999999976,-369.8999999999985,-414.70000000000175,-2350.999999999996
32,564,-397.1000000000015,-466.1999999999986,-480.7999999999991,-457.89999999999696,-436.2000000000003,-479.6000000000035,-2717.7999999999997
33,573,-401.60000000000184,-473.49999999999636,-487.19999999999743,-467.59999999999616,-448.1999999999991,-476.10000000000264,-2754.1999999999935
34,552,-381.2000000000019,-452.49999999999767,-483.70000000000203,-449.8999999999973,-425.49999999999983,-461.50000000000483,-2654.300000000004
35,524,-362.8000000000005,-422.6999999999964,-443.7999999999978,-421.399999999997,-403.8999999999988,-414.6000000000024,-2469.1999999999925
36,534,-367.60000000000196,-430.29999999999717,-438.6999999999962,-428.8999999999967,-399.09999999999883,-454.00000000000074,-2518.5999999999917
37,570,-411.3000000000008,-487.2000000000005,-498.19999999999686,-468.69999999999607,-470.1000000000013,-467.4000000000024,-2802.899999999998
38,491,-334.7000000000012,-399.1999999999978,-414.9999999999994,-397.39999999999776,-366.39999999999895,-409.5000000000011,-2322.199999999996
39,496,-336.00000000000125,-395.4999999999975,-415.79999999999677,-396.09999999999764,-367.6999999999987,-390.400000000003,-2301.499999999995
41,530,-376.40000000000293,-439.69999999999794,-457.2999999999987,-432.09999999999707,-426.900000000001,-443.10000000000286,-2575.500000000001
42,529,-369.50000000000153,-435.8999999999979,-452.29999999999745,-429.3999999999969,-416.59999999999803,-441.50000000000136,-2545.199999999993
43,492,-342.40000000000316,-396.4999999999976,-407.2999999999967,-396.4999999999977,-358.69999999999897,-405.600000000001,-2306.999999999995
44,575,-384.80000000000115,-460.9999999999958,-482.79999999999654,-460.9999999999957,-449.7999999999968,-483.3000000000021,-2722.699999999988
