Episode,Steps,Agent0,Agent1,Agent2,Agent3,Agent4,Agent5,Total
0,589,-470.70000000000437,-501.09999999999746,-516.8999999999971,-487.2999999999965,-488.60000000000105,-508.70000000000294,-2973.2999999999997
10,642,-481.2000000000033,-527.0999999999957,-533.9999999999948,-518.2999999999946,-498.6999999999986,-536.4000000000027,-3095.69999999999
20,629,-457.300000000003,-514.9999999999981,-533.3999999999954,-510.4999999999957,-479.19999999999993,-516.100000000003,-3011.4999999999955
30,619,-467.50000000000387,-502.59999999999593,-528.0999999999965,-500.09999999999525,-473.39999999999765,-512.4000000000026,-2984.099999999992
40,666,-519.7000000000049,-556.2999999999954,-580.7999999999992,-547.6999999999947,-528.8999999999982,-583.500000000001,-3316.8999999999937
50,572,-434.10000000000247,-481.0999999999975,-486.89999999999634,-469.89999999999606,-456.90000000000055,-498.600000000002,-2827.499999999995
60,1999,-1942.4999999999338,-1768.5999999999763,-1651.3999999999596,-1816.1999999999593,-2067.7999999999465,-1901.99999999995,-11148.499999999727
70,1999,-1786.6999999999437,-1905.0999999999567,-1800.4999999999416,-1755.999999999958,-1959.7999999999543,-2066.699999999931,-11274.799999999686
80,1999,-1682.6999999999464,-1856.8999999999512,-1621.799999999951,-1707.1999999999496,-1975.3999999999396,-1939.999999999945,-10783.999999999683
90,1999,-1850.59999999994,-1780.2999999999602,-1533.1999999999653,-1907.899999999932,-2148.0999999999212,-1791.3999999999605,-11011.49999999968
100,1999,-1720.2999999999436,-1973.6999999999423,-1560.8999999999535,-1741.699999999941,-2146.4999999999227,-1994.69999999994,-11137.799999999645
110,986,-734.4999999999953,-892.4999999999952,-774.6999999999946,-801.6999999999977,-823.1999999999985,-921.4000000000033,-4947.9999999999845
120,1301,-1003.8999999999824,-1250.7000000000003,-1006.100000000017,-1050.8000000000136,-1238.2999999999945,-1324.1999999999896,-6873.999999999998
130,1999,-1652.0999999999458,-2122.6999999999257,-1685.0999999999399,-1693.7999999999388,-2083.899999999929,-2150.099999999922,-11387.6999999996
140,711,-518.1000000000049,-598.8999999999954,-599.7999999999952,-582.199999999998,-552.7999999999971,-645.5000000000053,-3497.299999999996
150,579,-411.1000000000022,-477.799999999996,-494.299999999999,-504.8999999999999,-440.3999999999988,-492.60000000000406,-2821.1
160,581,-413.1000000000034,-474.19999999999624,-497.09999999999883,-490.79999999999825,-437.3999999999974,-502.400000000005,-2814.999999999999
170,521,-372.200000000002,-429.7999999999982,-448.29999999999694,-437.09999999999906,-400.3999999999999,-432.1000000000021,-2519.8999999999983
180,493,-347.2000000000009,-406.6999999999974,-409.49999999999915,-409.899999999997,-369.9999999999982,-410.2000000000016,-2353.499999999994
190,551,-398.10000000000207,-469.4999999999982,-494.80000000000086,-470.2999999999993,-431.70000000000033,-468.900000000003,-2733.3000000000034
200,530,-370.70000000000164,-426.59999999999656,-456.2000000000003,-436.0999999999975,-396.8999999999991,-438.3000000000023,-2524.7999999999975
210,508,-359.50000000000125,-427.4999999999988,-453.70000000000493,-435.39999999999975,-389.90000000000083,-413.0000000000038,-2479.000000000009
220,525,-364.80000000000285,-426.29999999999694,-444.79999999999876,-436.2999999999964,-389.59999999999906,-431.4000000000029,-2493.1999999999966
230,491,-346.60000000000224,-395.9999999999981,-413.2999999999991,-403.79999999999757,-351.4000000000001,-406.70000000000186,-2317.7999999999993
240,527,-349.10000000000076,-418.89999999999765,-423.5999999999967,-423.1999999999966,-362.79999999999916,-410.90000000000214,-2388.4999999999927
250,503,-341.2000000000018,-403.1999999999978,-418.299999999997,-405.1999999999975,-370.79999999999916,-395.6000000000023,-2334.2999999999956
260,473,-323.70000000000215,-379.7999999999982,-402.29999999999797,-383.999999999998,-359.3999999999986,-369.20000000000203,-2218.399999999997
270,506,-353.50000000000193,-418.49999999999636,-424.0999999999973,-409.7999999999978,-379.69999999999914,-408.2000000000025,-2393.7999999999947
280,486,-328.8000000000003,-393.099999999998,-404.7999999999971,-393.499999999998,-357.69999999999914,-398.2000000000014,-2276.099999999994
290,460,-317.00000000000034,-382.69999999999953,-375.7999999999985,-379.8999999999991,-346.7000000000023,-368.50000000000193,-2170.6000000000017
300,518,-361.50000000000193,-422.6999999999981,-452.7,-424.79999999999734,-398.3000000000005,-424.60000000000184,-2484.6
