Episode,Steps
0,355
10,272
20,330
30,335
40,386
50,255
60,336
70,455
80,306
90,294
100,380
110,284
120,287
130,295
140,347
150,366
160,346
170,367
180,364
190,433
200,360
210,384
220,309
230,294
240,282
250,288
260,344
270,304
280,334
290,349
300,380
310,287
320,304
330,444
340,370
350,313
360,281
370,285
380,315
390,340
400,303
410,343
420,388
430,259
440,340
450,357
460,306
470,318
480,390
490,351
500,277
510,252
520,440
530,346
540,486
550,380
560,234
570,414
580,288
590,317
600,314
610,401
620,387
630,379
640,307
650,406
660,310
670,385
680,285
690,270
700,302
710,325
720,363
730,359
740,446
750,291
760,299
770,297
780,361
790,293
800,402
810,345
820,347
830,344
840,335
850,385
860,316
870,238
880,287
890,373
900,407
910,335
920,340
930,405
940,350
950,236
960,299
970,315
980,408
990,251
1000,447
1010,335
1020,284
1030,269
1040,268
1050,337
1060,278
1070,326
1080,333
1090,268
1100,472
1110,288
1120,276
1130,283
1140,338
1150,280
1160,284
1170,295
1180,388
1190,403
1200,242
1210,427
1220,353
1230,323
1240,291
1250,269
1260,361
1270,409
1280,389
1290,232
1300,245
1310,254
1320,334
1330,341
1340,282
1350,458
1360,331
1370,352
1380,309
1390,243
1400,327
1410,288
1420,413
1430,277
1440,318
1450,338
1460,272
1470,360
1480,375
1490,277
1500,288
1510,259
1520,264
1530,283
1540,253
1550,328
1560,305
1570,469
1580,288
1590,359
1600,413
1610,297
1620,327
1630,337
1640,295
1650,279
1660,300
1670,271
1680,330
1690,261
1700,294
1710,350
1720,439
1730,459
1740,236
1750,279
1760,410
1770,325
1780,261
1790,349
1800,327
1810,248
1820,259
1830,279
1840,279
1850,319
1860,271
1870,329
1880,271
1890,296
1900,256
1910,314
1920,338
1930,292
1940,381
1950,382
1960,318
1970,258
1980,397
1990,416
