Episode,Steps,Agent0,Agent1,Agent2,Agent3,Agent4,Agent5,Agent6,Agent7,Agent8,Agent9,Agent10,Agent11,Total
0,1999,-1908.1999999999732,-1924.8999999999344,-1983.6999999999714,-1909.4999999999734,-2025.699999999929,-1984.1999999999716,-1909.4999999999739,-2100.3999999999264,-1984.5999999999717,-1910.5999999999729,-1926.9999999999343,-2100.6999999999266,-23668.99999999946
10,1999,-2050.099999999946,-1825.2999999999386,-1875.499999999953,-2050.599999999946,-2100.3999999999264,-1876.299999999953,-2050.599999999946,-1926.0999999999344,-1876.7999999999524,-2051.2999999999456,-1827.9999999999384,-1927.5999999999342,-23438.59999999931
20,1999,-1999.0999999999478,-1799.0999999999397,-1899.7999999999515,-1999.9999999999477,-2049.5999999999276,-1900.3999999999521,-1999.9999999999482,-1950.2999999999333,-1901.2999999999522,-2000.299999999948,-1802.6999999999396,-1951.799999999933,-23254.39999999932
30,280,-218.19999999999993,-217.1999999999999,-216.89999999999998,-216.0999999999999,-210.50000000000009,-218.89999999999986,-209.10000000000022,-194.90000000000003,-220.59999999999985,-213.70000000000007,-222.29999999999978,-213.3000000000003,-2571.7
40,276,-218.99999999999991,-222.8999999999997,-219.2999999999999,-218.29999999999995,-215.10000000000002,-222.69999999999976,-214.80000000000013,-206.4,-212.90000000000043,-216.60000000000002,-226.7999999999997,-216.00000000000017,-2610.7999999999997
50,267,-215.59999999999988,-216.29999999999984,-214.29999999999987,-214.29999999999998,-210.99999999999991,-216.69999999999982,-202.70000000000027,-203.00000000000009,-217.59999999999982,-208.50000000000023,-217.99999999999994,-207.30000000000052,-2545.3000000000006
60,272,-219.99999999999991,-220.39999999999992,-218.0999999999998,-220.2999999999999,-215.20000000000016,-221.29999999999995,-211.10000000000028,-204.20000000000013,-218.19999999999993,-220.00000000000006,-225.39999999999978,-222.09999999999997,-2616.2999999999993
70,282,-232.39999999999978,-236.89999999999952,-234.49999999999946,-230.3999999999999,-229.69999999999965,-232.2999999999998,-218.9000000000005,-222.79999999999993,-227.0000000000002,-226.60000000000008,-235.59999999999977,-234.89999999999975,-2761.999999999998
80,291,-232.69999999999982,-232.19999999999987,-231.2999999999999,-232.79999999999978,-231.49999999999972,-231.69999999999987,-218.10000000000042,-202.3000000000008,-228.6,-224.40000000000026,-233.6999999999999,-236.6999999999998,-2736.0
90,269,-210.19999999999982,-209.0999999999999,-209.79999999999993,-209.39999999999992,-197.39999999999992,-211.99999999999983,-201.5000000000002,-185.30000000000072,-203.7000000000003,-209.1000000000001,-211.69999999999993,-208.40000000000003,-2467.6000000000004
100,284,-234.49999999999966,-234.89999999999966,-231.3999999999999,-230.29999999999995,-232.6999999999997,-233.99999999999977,-224.6000000000003,-216.30000000000038,-225.1000000000003,-232.89999999999978,-235.49999999999983,-231.69999999999996,-2763.899999999999
