Episode,Steps,Agent0,Agent1,Agent2,Agent3,Agent4,Agent5,Agent6,Agent7,Agent8,Agent9,Agent10,Agent11,Total
0,386,-328.20000000000016,-330.4000000000003,-328.69999999999993,-331.0999999999999,-333.60000000000025,-332.8000000000002,-345.7000000000007,-336.6000000000004,-335.3999999999993,-349.2999999999999,-345.5000000000005,-338.90000000000015,-4036.200000000001
10,438,-360.5000000000001,-360.1,-360.50000000000006,-361.8000000000003,-366.2000000000005,-367.4000000000003,-378.9000000000017,-363.8000000000017,-374.2000000000004,-377.10000000000025,-380.5000000000012,-367.59999999999985,-4418.600000000007
20,406,-332.1,-331.1,-331.8000000000001,-333.20000000000016,-325.0000000000007,-336.0,-341.9000000000011,-335.00000000000034,-339.7999999999998,-343.89999999999975,-347.4000000000004,-338.1000000000005,-4035.300000000003
30,364,-296.79999999999995,-296.9,-296.2,-301.1,-295.6,-300.79999999999995,-307.30000000000064,-281.50000000000017,-300.90000000000066,-310.8000000000006,-307.4999999999997,-303.8999999999995,-3599.300000000001
40,268,-209.49999999999994,-207.69999999999996,-207.89999999999995,-208.09999999999994,-203.39999999999984,-208.59999999999997,-201.50000000000028,-189.0000000000004,-203.7000000000002,-203.20000000000016,-209.89999999999998,-199.0000000000005,-2451.5000000000014
50,257,-207.79999999999993,-206.99999999999991,-206.39999999999998,-207.09999999999994,-200.2000000000001,-207.39999999999995,-195.10000000000062,-192.30000000000038,-203.2000000000002,-197.40000000000043,-211.09999999999988,-208.10000000000005,-2443.1000000000013
60,267,-208.19999999999996,-208.89999999999995,-208.59999999999994,-209.09999999999997,-202.50000000000023,-209.29999999999995,-203.6000000000002,-191.90000000000035,-200.90000000000038,-203.5000000000002,-212.09999999999994,-207.3000000000002,-2465.900000000001
70,287,-228.0999999999999,-229.7999999999998,-227.49999999999997,-230.3999999999998,-225.20000000000005,-231.39999999999978,-223.00000000000023,-211.50000000000023,-224.90000000000015,-221.90000000000023,-236.89999999999964,-228.6,-2719.2
80,292,-221.69999999999993,-221.89999999999992,-221.49999999999997,-223.1999999999999,-214.8000000000002,-222.99999999999991,-209.70000000000041,-196.1000000000006,-210.70000000000064,-210.80000000000052,-226.69999999999987,-222.89999999999995,-2603.0000000000023
90,274,-208.59999999999994,-207.29999999999995,-207.7,-207.69999999999996,-199.90000000000015,-209.6999999999999,-199.10000000000042,-182.00000000000045,-200.40000000000038,-208.0000000000001,-210.79999999999993,-201.50000000000037,-2442.700000000001
100,272,-211.79999999999993,-212.69999999999987,-211.2,-211.89999999999995,-208.40000000000023,-213.1999999999999,-202.6000000000005,-191.30000000000024,-204.4000000000004,-208.8000000000003,-215.2999999999999,-210.4000000000001,-2502.000000000001
110,304,-230.39999999999995,-231.4999999999999,-230.89999999999995,-230.69999999999996,-223.39999999999998,-231.69999999999993,-216.30000000000055,-209.89999999999998,-220.30000000000058,-226.30000000000015,-234.6999999999999,-230.40000000000012,-2716.500000000001
120,258,-203.19999999999993,-202.99999999999991,-202.59999999999994,-203.09999999999997,-194.7,-204.1999999999999,-195.0000000000004,-184.89999999999995,-195.40000000000038,-198.70000000000013,-208.8999999999998,-197.40000000000032,-2391.1000000000004
130,289,-220.59999999999997,-219.69999999999993,-220.59999999999994,-219.89999999999998,-215.80000000000013,-220.69999999999996,-206.90000000000066,-196.90000000000038,-210.80000000000055,-212.40000000000032,-223.0999999999999,-214.90000000000038,-2582.3000000000025
140,294,-229.6999999999999,-230.79999999999984,-228.39999999999995,-229.29999999999998,-221.6000000000001,-229.69999999999993,-221.50000000000034,-206.50000000000034,-226.90000000000018,-221.30000000000032,-234.2999999999998,-223.5000000000004,-2703.500000000001
150,277,-215.99999999999991,-216.89999999999986,-215.79999999999995,-216.19999999999993,-205.59999999999997,-218.8999999999998,-208.50000000000037,-194.30000000000055,-211.70000000000013,-214.69999999999996,-220.19999999999985,-210.5000000000003,-2549.3000000000006
160,263,-207.0999999999999,-206.89999999999992,-207.19999999999993,-206.69999999999996,-201.4000000000001,-207.89999999999995,-200.30000000000032,-186.90000000000012,-198.4000000000004,-204.20000000000005,-209.29999999999993,-203.10000000000022,-2439.4000000000005
170,276,-213.39999999999995,-214.0999999999999,-213.79999999999995,-214.29999999999993,-210.49999999999991,-215.1999999999999,-208.80000000000015,-192.80000000000035,-203.10000000000053,-209.90000000000038,-218.29999999999984,-207.3000000000005,-2521.5000000000014
180,282,-214.99999999999991,-215.79999999999987,-214.49999999999997,-216.09999999999988,-211.09999999999994,-216.19999999999993,-207.40000000000038,-191.5,-209.4000000000002,-209.40000000000046,-219.2999999999999,-207.5000000000004,-2533.2000000000007
190,273,-213.39999999999992,-211.79999999999993,-212.09999999999994,-212.19999999999996,-203.2000000000004,-213.49999999999991,-208.90000000000015,-191.0000000000006,-202.20000000000047,-205.50000000000045,-214.69999999999993,-211.70000000000013,-2500.200000000002
200,265,-205.29999999999993,-203.79999999999993,-204.69999999999993,-204.09999999999997,-199.50000000000009,-205.09999999999994,-196.30000000000038,-177.90000000000055,-195.30000000000052,-203.80000000000013,-206.49999999999994,-195.8000000000005,-2398.100000000002
210,242,-192.19999999999993,-192.79999999999987,-191.7,-192.29999999999993,-187.5000000000001,-192.19999999999996,-187.10000000000016,-168.30000000000018,-188.00000000000014,-191.6000000000001,-195.4999999999999,-187.60000000000036,-2266.8000000000006
220,289,-223.29999999999984,-221.59999999999994,-221.89999999999995,-221.99999999999994,-217.39999999999998,-222.59999999999997,-209.40000000000066,-198.6000000000004,-209.8000000000006,-214.7000000000003,-226.09999999999985,-221.3,-2608.7000000000016
230,287,-226.89999999999995,-226.69999999999987,-226.99999999999991,-225.69999999999996,-218.70000000000013,-226.89999999999992,-216.3000000000005,-201.9000000000004,-220.0000000000004,-227.10000000000005,-229.1999999999999,-221.50000000000026,-2667.900000000001
240,280,-210.19999999999996,-209.49999999999994,-209.69999999999996,-209.89999999999995,-204.20000000000002,-210.39999999999998,-198.1000000000006,-178.9000000000005,-200.3000000000005,-202.20000000000033,-213.3999999999999,-205.40000000000026,-2452.2000000000016
250,307,-236.89999999999986,-236.69999999999987,-236.6999999999999,-238.29999999999984,-233.29999999999993,-236.89999999999995,-232.70000000000016,-211.3000000000003,-225.90000000000052,-231.30000000000018,-238.49999999999994,-232.50000000000028,-2791.000000000001
260,273,-209.59999999999994,-209.29999999999995,-209.39999999999998,-209.59999999999997,-202.40000000000015,-210.49999999999994,-207.0000000000001,-187.5000000000003,-204.80000000000024,-206.80000000000007,-214.0999999999999,-200.50000000000054,-2471.500000000001
270,271,-208.79999999999993,-208.4999999999999,-207.99999999999994,-207.79999999999998,-204.6999999999999,-208.79999999999993,-199.60000000000042,-181.60000000000045,-204.90000000000012,-203.20000000000016,-210.89999999999992,-198.90000000000052,-2445.700000000001
