Episode,Steps,Agent0,Agent1,Agent2,Agent3,Agent4,Agent5,Agent6,Agent7,Agent8,Agent9,Agent10,Agent11,Total
0,1999,-2159.999999999922,-2161.29999999992,-2149.299999999922,-2145.89999999992,-2153.299999999925,-2157.3999999999205,-2175.99999999992,-2166.699999999924,-2143.699999999935,-2175.99999999992,-2175.99999999992,-2142.8999999999346,-25908.499999999083
10,1999,-2198.9999999999177,-2198.9999999999177,-2193.5999999999185,-2198.9999999999177,-2181.6999999999252,-2198.9999999999177,-2198.9999999999177,-2198.9999999999177,-2198.699999999918,-2198.9999999999177,-2198.9999999999177,-2198.699999999918,-26364.699999999015
20,547,-478.90000000000254,-445.10000000000036,-443.60000000000025,-450.2000000000018,-443.20000000000203,-446.5000000000007,-442.40000000000146,-420.5000000000029,-433.000000000002,-442.5000000000007,-461.50000000000296,-443.30000000000257,-5350.70000000002
30,533,-458.2000000000032,-437.70000000000095,-430.20000000000016,-430.70000000000095,-419.0000000000016,-429.40000000000043,-410.0000000000008,-390.8000000000019,-421.99999999999955,-423.50000000000034,-437.90000000000055,-426.1000000000016,-5115.500000000012
40,537,-454.7000000000018,-447.4000000000019,-438.9000000000001,-434.3000000000005,-423.1000000000009,-436.4000000000001,-425.90000000000026,-406.70000000000147,-427.2,-426.0000000000004,-447.10000000000184,-429.50000000000034,-5197.200000000009
50,472,-396.30000000000194,-389.2000000000007,-385.4000000000008,-383.6000000000004,-381.80000000000143,-383.1000000000001,-372.39999999999884,-358.9000000000003,-369.7000000000004,-377.4000000000007,-392.7000000000007,-380.30000000000086,-4570.800000000007
60,509,-430.50000000000125,-430.50000000000136,-427.2000000000011,-424.00000000000045,-421.00000000000193,-423.20000000000056,-418.1000000000009,-399.2000000000006,-411.3000000000008,-415.5999999999999,-438.40000000000254,-430.90000000000214,-5069.900000000014
70,644,-561.3000000000023,-559.7000000000019,-555.2000000000016,-561.8000000000028,-541.9000000000029,-556.5000000000019,-549.7000000000005,-537.3000000000022,-566.3000000000038,-562.800000000003,-581.2000000000065,-566.7000000000047,-6700.400000000033
80,449,-361.00000000000017,-360.6000000000006,-365.50000000000136,-356.8000000000003,-346.7000000000005,-356.70000000000033,-346.10000000000014,-316.9000000000009,-350.50000000000006,-343.09999999999945,-360.30000000000035,-351.2000000000012,-4215.400000000005
90,483,-379.3000000000003,-382.00000000000125,-375.50000000000006,-378.0000000000004,-370.6000000000011,-377.3000000000001,-358.5999999999991,-341.3000000000018,-356.5999999999985,-370.90000000000003,-378.7000000000003,-373.1,-4441.900000000003
100,537,-453.90000000000276,-454.6000000000024,-452.30000000000155,-441.6000000000009,-428.90000000000174,-448.5000000000009,-433.5999999999998,-412.8000000000005,-434.20000000000095,-434.79999999999984,-452.2000000000015,-445.60000000000196,-5293.0000000000155
110,501,-385.0000000000003,-383.5,-384.90000000000043,-383.40000000000015,-374.70000000000056,-385.5000000000002,-362.59999999999894,-334.6000000000017,-368.99999999999955,-368.7999999999988,-386.7000000000002,-377.09999999999957,-4495.8
120,471,-386.40000000000055,-389.4000000000004,-384.10000000000014,-385.9000000000009,-376.90000000000066,-384.90000000000055,-375.5999999999996,-356.9000000000001,-378.5000000000002,-376.60000000000093,-394.6000000000017,-375.3000000000013,-4565.100000000007
130,516,-406.9000000000001,-405.10000000000014,-408.7000000000011,-406.7000000000003,-402.800000000002,-408.00000000000085,-392.5,-371.7000000000017,-395.40000000000134,-388.59999999999894,-412.3000000000011,-401.90000000000066,-4800.600000000009
140,555,-460.4000000000011,-454.90000000000066,-457.50000000000114,-456.1000000000001,-447.60000000000156,-457.70000000000107,-452.9000000000006,-436.4000000000035,-444.5999999999999,-456.9000000000024,-469.0000000000025,-464.6000000000043,-5458.6000000000195
150,509,-405.30000000000075,-402.5000000000001,-404.5000000000007,-404.0000000000003,-395.00000000000136,-407.20000000000107,-396.0999999999991,-367.80000000000103,-388.79999999999905,-395.0999999999996,-416.8000000000017,-399.6999999999998,-4782.800000000005
