Episode,Steps,Agent0,Agent1,Agent2,Agent3,Agent4,Agent5,Agent6,Agent7,Agent8,Agent9,Agent10,Agent11,Total
0,549,-454.2000000000013,-467.6000000000025,-454.50000000000057,-457.00000000000176,-456.30000000000297,-453.0000000000007,-436.80000000000035,-429.10000000000116,-450.30000000000183,-450.70000000000164,-460.50000000000165,-456.10000000000184,-5426.100000000019
10,505,-389.8000000000003,-402.4000000000009,-390.5000000000002,-390.4000000000002,-383.70000000000095,-391.30000000000007,-370.5999999999981,-348.80000000000035,-378.9999999999991,-377.9999999999994,-391.20000000000016,-381.4999999999995,-4597.199999999999
20,537,-422.6000000000001,-436.300000000001,-427.80000000000064,-423.30000000000035,-424.10000000000093,-423.90000000000055,-403.9999999999989,-379.40000000000003,-412.09999999999917,-415.6999999999998,-427.20000000000016,-414.9999999999989,-5011.400000000001
30,468,-362.3000000000003,-368.30000000000024,-362.2000000000003,-359.9000000000001,-354.700000000001,-361.0,-346.0000000000002,-324.6000000000009,-346.59999999999957,-351.6000000000005,-370.10000000000133,-349.7999999999993,-4257.100000000004
40,515,-406.3000000000002,-422.5000000000007,-406.40000000000043,-404.4000000000003,-392.7000000000011,-401.70000000000016,-384.39999999999947,-358.80000000000035,-389.2999999999988,-387.39999999999947,-402.80000000000024,-389.5999999999994,-4746.300000000001
50,462,-370.90000000000026,-391.5000000000024,-370.0000000000008,-366.10000000000025,-358.3000000000012,-366.0000000000001,-348.09999999999985,-324.9000000000001,-354.80000000000075,-359.99999999999903,-368.40000000000026,-360.70000000000067,-4339.700000000005
60,471,-373.0000000000007,-393.70000000000203,-374.20000000000107,-370.60000000000036,-358.000000000001,-373.30000000000064,-350.3000000000004,-326.20000000000084,-355.39999999999975,-363.7999999999993,-374.00000000000034,-362.4999999999993,-4375.0000000000055
70,527,-438.8000000000016,-462.0000000000033,-441.2000000000015,-440.0000000000014,-423.0000000000024,-437.4000000000011,-422.8000000000003,-404.29999999999984,-416.6999999999989,-424.10000000000053,-436.80000000000086,-433.50000000000017,-5180.600000000011
80,489,-387.70000000000095,-401.0000000000016,-386.60000000000025,-384.1000000000002,-374.20000000000056,-384.6000000000002,-375.80000000000035,-336.30000000000086,-374.79999999999916,-376.5999999999995,-388.50000000000017,-374.59999999999974,-4544.800000000003
90,500,-389.4000000000006,-398.40000000000117,-387.30000000000007,-388.3000000000005,-374.0000000000006,-388.10000000000025,-373.29999999999893,-336.90000000000026,-381.4999999999993,-383.3999999999996,-387.5000000000004,-374.89999999999895,-4563.0
100,473,-371.30000000000035,-377.40000000000055,-370.1,-370.50000000000045,-355.8000000000012,-368.8000000000002,-360.000000000001,-329.6000000000014,-360.89999999999975,-355.9999999999999,-372.7000000000003,-360.8000000000002,-4353.900000000005
110,489,-369.8000000000003,-375.7000000000006,-371.50000000000006,-370.00000000000006,-351.50000000000045,-372.60000000000025,-352.2000000000003,-317.8000000000009,-356.70000000000095,-364.0000000000003,-370.9000000000002,-361.4999999999998,-4334.200000000004
120,460,-356.0,-364.50000000000165,-356.50000000000034,-355.6,-335.90000000000094,-357.4000000000003,-342.0999999999992,-312.4000000000009,-347.2000000000004,-344.4999999999994,-357.20000000000005,-345.5000000000002,-4174.800000000004
130,510,-386.5000000000002,-390.7000000000004,-390.3000000000004,-387.6000000000003,-369.4000000000005,-387.50000000000017,-371.1,-333.60000000000105,-367.69999999999914,-374.40000000000026,-387.4000000000003,-381.29999999999916,-4527.500000000001
140,489,-386.2000000000005,-388.6000000000008,-386.30000000000024,-382.5,-365.40000000000117,-385.60000000000036,-365.5999999999983,-342.4,-376.29999999999984,-368.8000000000004,-385.9000000000001,-383.3000000000003,-4516.900000000002
150,462,-356.90000000000003,-358.29999999999995,-357.2000000000004,-357.5,-339.40000000000117,-356.20000000000005,-342.5,-312.30000000000047,-348.0999999999999,-348.6999999999998,-359.8000000000002,-351.29999999999876,-4188.200000000001
160,484,-377.60000000000036,-378.5,-379.50000000000045,-377.3000000000003,-364.20000000000084,-379.10000000000014,-364.2999999999997,-346.0999999999998,-365.8000000000003,-368.1,-382.2000000000005,-375.9000000000001,-4458.600000000002
170,449,-347.70000000000005,-348.80000000000007,-350.5000000000003,-349.80000000000035,-337.20000000000095,-350.3000000000002,-339.7999999999996,-307.0000000000006,-332.2999999999998,-340.8999999999989,-352.4,-342.2000000000007,-4098.9000000000015
180,488,-383.90000000000026,-389.20000000000084,-382.9000000000002,-385.00000000000034,-375.5000000000006,-384.90000000000055,-368.2999999999994,-342.5000000000009,-373.00000000000074,-372.6,-392.1000000000005,-373.9000000000001,-4523.800000000005
190,492,-404.50000000000097,-402.90000000000043,-405.4000000000002,-408.40000000000157,-392.20000000000135,-403.80000000000047,-394.90000000000236,-364.1999999999999,-410.3000000000018,-398.10000000000196,-405.50000000000034,-403.20000000000084,-4793.4000000000115
200,526,-403.4000000000003,-402.5000000000004,-404.5999999999999,-401.2000000000002,-389.00000000000085,-404.20000000000016,-386.69999999999874,-363.10000000000065,-390.99999999999955,-391.5999999999993,-405.50000000000017,-390.69999999999976,-4733.500000000001
210,489,-395.5000000000011,-393.4000000000003,-392.00000000000045,-399.7000000000011,-376.00000000000114,-393.6000000000004,-381.6000000000006,-364.0999999999997,-382.5000000000017,-387.40000000000003,-399.400000000001,-397.1000000000008,-4662.300000000008
220,489,-380.20000000000016,-380.8000000000005,-381.0000000000002,-380.2000000000005,-375.3000000000014,-380.30000000000035,-364.199999999999,-337.2000000000003,-367.69999999999914,-360.79999999999995,-383.2000000000003,-371.20000000000095,-4462.100000000003
230,458,-357.10000000000036,-356.10000000000025,-356.50000000000045,-355.1,-351.5000000000006,-357.4000000000005,-346.7000000000007,-308.80000000000035,-347.3999999999991,-343.90000000000015,-362.30000000000035,-343.49999999999955,-4186.300000000002
240,507,-384.00000000000017,-383.1000000000002,-383.20000000000005,-384.2000000000003,-375.7000000000007,-384.2000000000003,-363.9000000000002,-338.20000000000056,-367.29999999999876,-372.4999999999998,-388.1,-372.699999999999,-4497.1
250,497,-384.1000000000002,-384.60000000000036,-384.6,-385.30000000000035,-377.8000000000014,-387.4000000000002,-376.5999999999995,-348.90000000000055,-367.7999999999996,-377.7999999999996,-392.30000000000075,-381.300000000001,-4548.500000000004
260,469,-359.4000000000001,-360.6000000000004,-360.79999999999995,-358.9000000000001,-350.4000000000011,-360.10000000000036,-339.3999999999995,-321.1000000000009,-351.1999999999992,-351.2000000000009,-366.1000000000005,-350.6000000000001,-4229.800000000003
270,463,-359.0,-358.8000000000001,-360.70000000000056,-359.20000000000005,-348.3000000000009,-359.60000000000014,-339.69999999999857,-323.5000000000019,-347.5999999999986,-354.10000000000036,-367.1000000000003,-353.599999999999,-4231.200000000001
280,437,-340.90000000000015,-342.8000000000002,-343.30000000000024,-341.9000000000001,-334.70000000000124,-342.5000000000002,-329.3999999999998,-310.00000000000074,-328.8000000000003,-333.60000000000014,-344.50000000000006,-334.39999999999975,-4026.800000000003
290,452,-364.8000000000004,-364.6000000000004,-368.3000000000003,-366.5000000000008,-357.10000000000133,-369.50000000000136,-356.90000000000066,-334.5000000000015,-357.3000000000013,-360.20000000000095,-377.8000000000019,-361.6000000000002,-4339.100000000011
300,484,-369.80000000000024,-368.20000000000005,-369.7000000000004,-369.20000000000005,-359.30000000000064,-370.30000000000035,-350.49999999999926,-328.5000000000006,-356.2999999999995,-361.4000000000001,-374.30000000000047,-361.1999999999999,-4338.700000000002
310,450,-353.3000000000001,-351.9000000000001,-351.3000000000003,-351.00000000000017,-340.0000000000003,-351.70000000000005,-331.7000000000001,-316.1000000000002,-336.2999999999998,-344.2000000000009,-359.3000000000001,-347.6000000000006,-4134.400000000002
320,429,-334.79999999999995,-337.3000000000005,-334.9000000000001,-335.29999999999995,-325.90000000000094,-335.20000000000016,-322.1999999999996,-300.000000000001,-324.2999999999991,-326.39999999999975,-338.10000000000014,-326.8999999999998,-3941.300000000001
330,528,-426.20000000000056,-423.300000000001,-427.2000000000009,-421.79999999999995,-416.20000000000215,-431.50000000000136,-409.5999999999995,-394.2000000000023,-421.30000000000183,-406.39999999999935,-430.0000000000019,-421.4000000000019,-5029.100000000013
340,465,-372.2000000000004,-369.2000000000003,-370.8000000000002,-370.20000000000044,-362.2000000000014,-373.40000000000043,-361.6000000000002,-338.50000000000006,-365.6000000000008,-362.2000000000011,-376.30000000000126,-372.700000000002,-4394.900000000009
350,511,-388.9000000000002,-389.2000000000002,-389.8000000000001,-387.70000000000005,-379.7000000000009,-389.7,-374.8,-339.00000000000074,-376.49999999999926,-383.0999999999999,-392.90000000000066,-376.7999999999997,-4568.100000000002
360,491,-380.9000000000002,-382.2000000000002,-382.00000000000034,-382.10000000000036,-374.60000000000093,-383.1000000000003,-371.7999999999995,-342.90000000000146,-371.49999999999994,-376.3000000000011,-387.00000000000074,-373.99999999999943,-4508.400000000004
370,429,-335.70000000000005,-336.4,-335.70000000000005,-335.90000000000003,-325.500000000001,-337.70000000000033,-325.30000000000064,-305.9000000000004,-321.00000000000057,-330.6,-343.00000000000034,-330.2000000000003,-3962.9000000000037
380,498,-416.1000000000008,-422.5000000000011,-413.3000000000002,-416.0000000000008,-408.6000000000009,-416.50000000000057,-403.1999999999997,-395.8000000000028,-412.5000000000016,-420.1000000000036,-432.70000000000255,-427.70000000000346,-4985.000000000018
390,448,-355.30000000000024,-353.49999999999994,-353.70000000000016,-353.9000000000004,-348.8000000000016,-356.7000000000007,-336.69999999999806,-328.5000000000013,-340.8999999999998,-349.6000000000007,-358.10000000000036,-347.90000000000134,-4183.600000000005
400,448,-341.1000000000002,-340.0,-340.90000000000003,-340.9,-326.5000000000004,-341.50000000000006,-330.2999999999991,-300.5000000000014,-329.2000000000006,-331.40000000000055,-346.00000000000034,-333.70000000000033,-4002.000000000003
410,480,-375.5000000000002,-376.10000000000076,-375.5000000000005,-376.30000000000075,-360.8000000000012,-376.7000000000003,-367.6999999999999,-335.90000000000066,-363.4000000000011,-366.4999999999992,-378.2000000000005,-366.3000000000003,-4418.900000000005
420,493,-392.6000000000003,-391.60000000000036,-391.69999999999993,-391.60000000000014,-386.40000000000146,-393.70000000000005,-383.60000000000025,-365.2000000000012,-381.5999999999997,-381.70000000000095,-402.2000000000019,-384.5,-4646.400000000006
430,436,-341.50000000000017,-343.8000000000002,-340.0000000000001,-341.1000000000001,-329.60000000000116,-341.70000000000005,-324.40000000000134,-302.80000000000035,-331.80000000000007,-336.80000000000024,-348.3000000000002,-336.30000000000007,-4018.100000000004
440,479,-386.1000000000006,-391.8000000000007,-384.70000000000067,-383.7000000000001,-382.40000000000134,-385.80000000000007,-372.8999999999995,-360.4000000000031,-374.80000000000115,-376.3000000000002,-397.10000000000196,-384.8000000000019,-4580.800000000012
450,463,-371.29999999999995,-373.40000000000055,-370.60000000000014,-370.9000000000001,-370.4000000000005,-373.10000000000036,-352.1999999999989,-348.8999999999993,-364.9999999999999,-364.8,-380.5000000000003,-365.9999999999999,-4407.1
460,420,-328.1,-328.4000000000001,-329.60000000000014,-329.40000000000003,-316.10000000000076,-331.4000000000001,-312.90000000000055,-303.5000000000012,-319.19999999999993,-320.6000000000005,-336.1999999999998,-319.4999999999998,-3874.9000000000024
470,480,-372.10000000000053,-372.7000000000006,-372.10000000000036,-370.20000000000016,-361.3000000000012,-370.7000000000001,-359.7000000000004,-340.90000000000236,-353.5999999999996,-356.499999999999,-376.5000000000004,-370.2000000000004,-4376.5000000000055
480,491,-393.10000000000014,-396.9000000000009,-391.10000000000014,-393.00000000000034,-389.10000000000065,-399.00000000000125,-383.0000000000007,-359.6000000000019,-386.30000000000007,-389.3000000000001,-403.2000000000012,-393.40000000000174,-4677.000000000009
490,464,-365.60000000000036,-362.6,-363.0000000000002,-362.2,-355.20000000000016,-364.09999999999997,-343.0999999999992,-328.0,-358.90000000000015,-356.5999999999997,-367.8000000000003,-350.5999999999999,-4277.700000000001
500,492,-380.6000000000001,-378.0,-379.00000000000034,-378.5000000000001,-370.6000000000014,-378.6,-364.49999999999886,-327.20000000000056,-370.2999999999996,-375.7000000000006,-382.00000000000034,-369.00000000000085,-4454.000000000003
510,465,-358.9000000000001,-360.80000000000007,-359.7000000000004,-360.4000000000001,-348.20000000000056,-360.90000000000055,-344.9999999999999,-320.00000000000097,-346.400000000001,-346.6,-364.50000000000034,-357.00000000000045,-4228.400000000004
520,538,-440.00000000000114,-438.60000000000093,-440.20000000000107,-437.1000000000006,-431.5000000000013,-441.10000000000093,-428.3000000000014,-411.00000000000125,-432.9000000000018,-436.10000000000144,-451.3000000000023,-446.00000000000284,-5234.100000000017
530,461,-364.5000000000001,-365.5000000000007,-364.0000000000001,-364.00000000000045,-364.60000000000093,-363.20000000000005,-347.59999999999934,-323.99999999999966,-350.20000000000044,-355.09999999999997,-369.9000000000004,-366.3000000000003,-4298.900000000002
540,545,-446.70000000000107,-447.80000000000166,-447.4000000000011,-444.7000000000002,-443.60000000000116,-445.80000000000064,-435.60000000000025,-423.30000000000206,-433.4999999999999,-440.10000000000014,-456.20000000000255,-440.0000000000012,-5304.700000000012
550,498,-388.00000000000074,-387.30000000000024,-385.3000000000003,-387.2000000000005,-372.50000000000074,-390.4000000000001,-361.99999999999886,-351.2000000000011,-379.80000000000035,-377.9,-388.70000000000016,-383.4999999999996,-4553.800000000003
560,441,-344.0000000000001,-343.8000000000003,-341.90000000000003,-342.30000000000007,-336.4000000000004,-343.10000000000014,-327.60000000000036,-311.9000000000001,-326.6000000000005,-336.89999999999895,-347.1,-333.1999999999998,-4034.8000000000006
570,482,-386.0000000000008,-383.5000000000003,-384.10000000000036,-383.9000000000002,-383.40000000000094,-384.8,-371.9999999999995,-364.00000000000114,-374.8000000000004,-372.69999999999936,-395.00000000000125,-380.09999999999985,-4564.300000000004
580,456,-351.0000000000003,-351.1000000000002,-349.7000000000003,-349.40000000000003,-342.8000000000009,-350.7000000000001,-336.8999999999996,-306.5000000000004,-337.8999999999989,-341.10000000000014,-356.7000000000004,-337.3000000000006,-4111.100000000001
590,454,-372.0000000000002,-373.5000000000001,-371.9000000000005,-373.7000000000008,-368.3000000000011,-373.9000000000001,-352.2999999999992,-363.40000000000236,-367.1000000000013,-370.1000000000012,-380.30000000000024,-374.40000000000066,-4440.900000000008
600,455,-349.9000000000002,-351.40000000000015,-349.00000000000006,-351.0000000000001,-336.60000000000065,-350.4000000000001,-331.39999999999884,-305.4000000000017,-342.39999999999964,-343.6000000000005,-355.70000000000005,-345.7000000000003,-4112.500000000002
610,469,-372.2000000000003,-370.5000000000001,-368.70000000000016,-371.60000000000053,-358.6000000000009,-373.70000000000005,-360.000000000001,-342.10000000000036,-360.20000000000084,-360.6000000000004,-375.6999999999998,-366.6999999999997,-4380.600000000004
620,479,-379.8000000000001,-384.5000000000009,-379.5000000000003,-379.7,-373.50000000000114,-381.20000000000056,-367.5999999999999,-360.00000000000176,-362.9999999999997,-369.90000000000043,-388.5000000000007,-381.0000000000016,-4508.200000000007
630,468,-381.6000000000005,-379.4000000000001,-378.90000000000055,-382.00000000000057,-370.00000000000125,-382.70000000000084,-367.8999999999997,-356.8000000000001,-372.70000000000016,-370.60000000000105,-395.9000000000023,-381.50000000000057,-4520.000000000008
640,444,-345.5000000000005,-344.60000000000025,-344.70000000000033,-346.0000000000003,-332.90000000000055,-347.0,-332.8999999999993,-306.60000000000156,-334.29999999999933,-332.59999999999934,-351.20000000000033,-329.4000000000001,-4047.7000000000016
650,554,-460.9000000000007,-462.80000000000086,-462.3000000000014,-459.80000000000075,-460.3000000000035,-468.7000000000022,-467.3000000000037,-445.5000000000037,-470.3000000000026,-461.7000000000018,-477.60000000000355,-466.500000000004,-5563.700000000028
660,473,-364.80000000000007,-364.7000000000002,-363.3000000000002,-364.10000000000025,-354.40000000000083,-365.2000000000003,-349.7999999999999,-324.9000000000001,-345.9999999999991,-359.29999999999933,-368.60000000000025,-358.699999999999,-4283.799999999999
670,478,-386.40000000000043,-389.2000000000015,-381.1,-384.6000000000008,-375.70000000000175,-385.40000000000055,-374.9000000000015,-359.5000000000019,-377.10000000000093,-377.800000000002,-394.3000000000012,-389.3000000000029,-4575.300000000016
680,441,-341.4000000000002,-342.4000000000003,-341.3000000000002,-341.79999999999995,-334.9000000000011,-343.90000000000003,-329.59999999999985,-307.60000000000076,-330.5999999999992,-338.0000000000004,-346.6000000000002,-332.7999999999996,-4030.9000000000024
690,481,-374.7000000000004,-376.2000000000004,-373.5000000000001,-372.7000000000001,-364.5000000000007,-375.7000000000003,-361.1999999999997,-335.5000000000012,-362.60000000000093,-363.0000000000002,-379.8000000000007,-372.3000000000009,-4411.700000000005
700,440,-340.9000000000002,-340.79999999999995,-340.4,-340.40000000000003,-333.0000000000011,-341.50000000000017,-324.4999999999993,-303.9000000000007,-336.4000000000001,-327.2999999999995,-346.10000000000025,-334.80000000000075,-4010.0000000000023
710,439,-341.7000000000001,-344.3000000000004,-341.30000000000007,-341.80000000000007,-332.5000000000005,-345.4999999999999,-328.79999999999984,-309.60000000000133,-329.4999999999989,-339.89999999999986,-346.20000000000005,-335.9999999999998,-4037.1000000000013
720,448,-363.6000000000006,-364.2000000000006,-361.20000000000005,-364.6000000000007,-353.9000000000005,-365.8000000000004,-354.80000000000086,-340.4000000000002,-351.80000000000007,-364.90000000000043,-371.1000000000008,-368.30000000000126,-4324.600000000007
730,490,-373.30000000000035,-373.10000000000025,-371.8,-371.9000000000001,-360.5000000000004,-373.3000000000002,-357.5000000000001,-331.3000000000008,-359.1999999999996,-362.99999999999943,-378.2000000000006,-356.90000000000026,-4370.000000000002
740,508,-426.7000000000016,-427.3000000000011,-423.40000000000094,-424.1000000000009,-424.70000000000255,-425.3000000000003,-405.29999999999956,-415.3000000000021,-418.2000000000023,-426.8000000000038,-445.3000000000027,-434.80000000000337,-5097.200000000021
750,466,-359.10000000000025,-358.10000000000014,-356.8,-358.20000000000005,-345.5000000000008,-359.1,-343.2999999999995,-315.9000000000008,-344.10000000000065,-349.7000000000001,-362.2000000000002,-352.900000000001,-4204.900000000003
760,458,-363.4000000000004,-362.10000000000036,-358.70000000000005,-361.70000000000044,-355.00000000000074,-362.30000000000047,-352.3999999999999,-331.70000000000186,-342.80000000000064,-347.5999999999997,-363.10000000000014,-357.19999999999993,-4258.0000000000055
770,476,-364.20000000000016,-363.70000000000005,-363.50000000000006,-363.70000000000005,-355.9000000000008,-366.3000000000002,-350.2999999999996,-315.5000000000019,-351.40000000000106,-353.8999999999991,-369.9000000000002,-359.9999999999998,-4278.300000000003
780,483,-371.5000000000001,-373.2000000000002,-370.80000000000007,-373.3000000000003,-363.00000000000085,-374.30000000000024,-364.5999999999998,-334.1000000000013,-359.2999999999988,-363.0999999999994,-377.40000000000055,-363.09999999999957,-4387.700000000002
790,465,-349.0,-349.1000000000001,-348.8,-348.90000000000015,-339.6000000000004,-349.00000000000017,-330.9999999999996,-301.9000000000015,-336.1999999999981,-335.49999999999886,-353.20000000000067,-336.7999999999995,-4078.999999999998
800,524,-425.60000000000053,-424.9000000000004,-425.80000000000075,-428.7000000000014,-418.80000000000285,-432.7000000000022,-419.70000000000016,-405.10000000000315,-424.60000000000184,-420.000000000001,-442.8000000000029,-427.5000000000027,-5096.20000000002
810,450,-345.5,-344.5000000000001,-344.0,-344.9000000000002,-336.8000000000006,-345.79999999999995,-330.4999999999988,-306.1000000000021,-324.59999999999945,-333.50000000000017,-352.9000000000006,-338.69999999999993,-4047.8000000000015
820,463,-354.30000000000007,-357.0000000000001,-354.5000000000001,-356.59999999999997,-344.7000000000009,-357.70000000000016,-341.1999999999996,-312.30000000000075,-339.7999999999999,-341.3999999999985,-363.00000000000045,-349.69999999999965,-4172.2
830,483,-377.8000000000001,-376.3,-375.60000000000014,-377.5000000000002,-370.6000000000006,-378.50000000000045,-351.79999999999893,-343.3000000000003,-368.30000000000007,-363.89999999999975,-382.1000000000005,-371.7,-4437.400000000001
840,439,-351.80000000000024,-356.1,-351.80000000000007,-352.50000000000045,-341.90000000000055,-352.7000000000003,-336.79999999999984,-332.59999999999945,-336.20000000000005,-343.20000000000016,-361.3000000000002,-347.6000000000002,-4164.500000000001
850,501,-402.4000000000009,-404.10000000000093,-399.60000000000025,-398.80000000000035,-385.8000000000012,-401.6000000000005,-396.60000000000133,-371.20000000000044,-399.7000000000018,-387.9000000000005,-416.70000000000215,-402.60000000000235,-4767.000000000013
860,461,-368.0000000000007,-365.40000000000055,-363.8000000000002,-363.8000000000002,-358.9000000000008,-363.5,-354.6999999999995,-335.00000000000057,-354.5000000000007,-351.4000000000002,-368.90000000000066,-358.40000000000055,-4306.300000000005
870,451,-354.7000000000004,-354.8000000000003,-352.80000000000007,-353.3,-351.0000000000001,-355.2000000000001,-340.89999999999947,-312.700000000001,-344.50000000000045,-345.79999999999893,-358.5000000000001,-348.40000000000055,-4172.600000000002
880,497,-381.3000000000002,-379.70000000000005,-379.40000000000015,-379.9,-374.8000000000007,-380.6,-364.19999999999857,-337.40000000000066,-362.0,-372.4000000000008,-386.1000000000007,-371.5999999999991,-4469.400000000001
890,509,-403.50000000000097,-401.10000000000014,-400.70000000000016,-400.29999999999995,-399.00000000000097,-405.10000000000105,-386.70000000000044,-369.00000000000114,-392.40000000000043,-395.3000000000016,-408.4000000000008,-404.40000000000157,-4765.900000000009
900,512,-407.70000000000005,-411.60000000000116,-407.8000000000005,-410.4000000000003,-396.70000000000107,-414.9000000000013,-396.89999999999947,-382.50000000000114,-403.70000000000005,-391.59999999999894,-419.0000000000018,-410.3000000000013,-4853.100000000008
910,498,-405.7000000000009,-407.70000000000084,-405.90000000000083,-404.5000000000004,-398.9000000000017,-409.3000000000013,-391.70000000000095,-383.3000000000014,-402.90000000000254,-394.8000000000011,-416.90000000000214,-407.50000000000193,-4829.100000000016
920,468,-363.4000000000001,-364.3000000000003,-362.1,-365.0000000000001,-356.6000000000009,-364.2000000000003,-345.79999999999933,-335.3000000000006,-356.30000000000024,-353.89999999999986,-368.10000000000036,-350.19999999999976,-4285.200000000002
930,509,-397.3000000000001,-395.4000000000002,-396.59999999999997,-397.00000000000034,-384.60000000000053,-397.20000000000016,-378.49999999999875,-362.10000000000105,-393.10000000000025,-376.0999999999994,-402.00000000000045,-394.2000000000001,-4674.100000000001
940,478,-376.0000000000002,-378.50000000000034,-375.4000000000002,-377.00000000000034,-365.7000000000009,-377.9000000000005,-357.8999999999996,-342.500000000001,-372.00000000000074,-368.10000000000025,-385.80000000000103,-375.6000000000015,-4452.400000000007
950,433,-342.3000000000003,-340.20000000000005,-340.0,-341.60000000000025,-331.4000000000006,-341.00000000000006,-328.99999999999994,-309.600000000002,-330.3,-338.9999999999999,-348.3000000000005,-332.7000000000003,-4025.400000000004
960,472,-366.80000000000024,-366.90000000000066,-365.0000000000001,-365.6,-360.70000000000056,-368.0000000000002,-354.3000000000004,-319.9000000000004,-352.6999999999995,-353.90000000000083,-370.00000000000034,-361.2999999999995,-4305.100000000003
970,466,-361.6000000000005,-362.0,-361.3000000000001,-360.4000000000001,-355.30000000000086,-361.8000000000003,-351.29999999999956,-330.20000000000033,-343.39999999999895,-348.2999999999997,-364.50000000000045,-354.0000000000011,-4254.100000000002
980,485,-396.90000000000094,-395.9000000000001,-393.6000000000005,-395.90000000000083,-387.50000000000136,-397.60000000000093,-387.40000000000043,-370.40000000000094,-389.7000000000017,-381.59999999999997,-403.0000000000014,-398.1000000000025,-4697.600000000011
990,452,-347.0000000000001,-348.6000000000004,-346.90000000000003,-347.40000000000003,-337.2000000000011,-348.90000000000015,-334.89999999999986,-309.6999999999999,-337.89999999999986,-338.5000000000005,-352.40000000000003,-338.89999999999964,-4088.300000000002
1000,522,-417.3000000000002,-418.20000000000005,-416.1,-417.9999999999998,-414.50000000000034,-419.30000000000024,-407.7000000000002,-384.29999999999944,-402.09999999999957,-411.3999999999999,-424.1000000000013,-411.0000000000011,-4944.000000000002
1010,462,-354.00000000000034,-353.4,-352.2,-352.5,-348.3000000000005,-353.70000000000005,-342.6999999999997,-320.300000000001,-334.8999999999995,-344.1000000000008,-358.5000000000001,-340.69999999999993,-4155.300000000003
1020,486,-369.20000000000033,-368.5000000000002,-367.90000000000015,-367.9000000000002,-362.200000000001,-369.20000000000016,-351.2999999999992,-323.7000000000011,-358.19999999999976,-352.49999999999915,-371.5000000000001,-351.8999999999998,-4314.000000000001
1030,472,-355.00000000000006,-355.60000000000025,-355.2,-355.5000000000001,-350.1000000000002,-356.0000000000001,-333.49999999999983,-312.60000000000105,-338.7999999999999,-345.9999999999999,-360.4000000000005,-342.79999999999944,-4161.500000000002
1040,413,-329.1000000000007,-330.10000000000025,-328.1000000000002,-328.90000000000043,-313.5000000000005,-327.3999999999999,-312.20000000000084,-301.3000000000006,-318.8999999999996,-321.3999999999994,-332.6,-316.9999999999999,-3860.5000000000023
1050,572,-459.70000000000084,-461.0000000000005,-461.20000000000084,-458.8000000000006,-457.7000000000017,-462.9000000000012,-442.49999999999966,-417.10000000000144,-463.300000000001,-462.8000000000021,-468.0000000000014,-460.70000000000306,-5475.700000000015
1060,472,-368.60000000000025,-367.2000000000002,-367.10000000000014,-366.30000000000007,-363.4000000000007,-367.0000000000001,-351.49999999999966,-336.2000000000004,-359.9999999999993,-365.60000000000025,-371.2000000000001,-359.9999999999999,-4344.100000000001
1070,439,-342.7000000000003,-341.6,-342.6000000000005,-341.40000000000026,-331.00000000000034,-343.2000000000004,-322.80000000000035,-310.9,-333.5000000000001,-336.1999999999998,-348.10000000000036,-330.70000000000056,-4024.700000000003
1080,462,-355.70000000000016,-358.2000000000004,-355.4000000000001,-357.0000000000001,-347.50000000000085,-356.70000000000005,-347.30000000000007,-320.80000000000007,-337.3999999999995,-346.5999999999996,-362.1000000000005,-348.4999999999995,-4193.200000000001
1090,429,-327.4,-327.6,-326.6,-327.8000000000002,-311.6000000000009,-328.70000000000005,-304.79999999999933,-289.20000000000033,-316.59999999999985,-313.60000000000014,-333.59999999999997,-314.99999999999994,-3822.5000000000005
1100,511,-414.10000000000025,-416.20000000000095,-413.00000000000057,-419.1000000000017,-410.60000000000076,-416.800000000001,-409.4000000000003,-385.4000000000004,-412.40000000000003,-413.0000000000008,-430.20000000000067,-410.6000000000009,-4950.800000000008
1110,437,-348.30000000000007,-350.3000000000005,-346.9000000000001,-347.70000000000005,-342.5000000000003,-349.8000000000002,-337.20000000000044,-318.09999999999974,-333.9999999999998,-341.80000000000086,-353.8000000000002,-343.3000000000002,-4113.700000000003
1120,463,-367.9000000000003,-369.10000000000025,-366.9000000000001,-366.3000000000001,-362.60000000000065,-368.3000000000002,-352.60000000000025,-349.0999999999988,-354.29999999999995,-363.50000000000057,-372.90000000000055,-361.59999999999957,-4355.100000000001
1130,452,-346.80000000000007,-346.8000000000002,-347.4000000000001,-347.29999999999995,-340.4000000000005,-348.7000000000002,-330.7000000000005,-308.5000000000002,-328.5999999999996,-332.99999999999955,-352.3000000000004,-340.7999999999993,-4071.3
