Episode,Steps,Agent0,Agent1,Agent2,Agent3,Agent4,Agent5,Agent6,Agent7,Agent8,Agent9,Agent10,Agent11,Total
0,1999,-2034.2999999999379,-2050.5999999999317,-2011.399999999932,-2001.1999999999348,-2054.599999999929,-2045.499999999935,-2058.29999999993,-2085.9999999999304,-2080.199999999926,-2082.299999999922,-2085.4999999999295,-2100.2999999999256,-24690.199999999168
10,1395,-1332.1999999999957,-1339.3999999999899,-1308.8999999999965,-1303.699999999998,-1328.59999999999,-1356.9999999999989,-1376.6999999999948,-1404.6999999999841,-1396.8999999999892,-1385.899999999988,-1401.2999999999843,-1398.6999999999857,-16333.999999999896
20,1999,-2041.4999999999318,-2053.499999999934,-2024.599999999939,-2004.199999999938,-2038.9999999999322,-2029.599999999938,-2046.499999999943,-2090.7999999999306,-2062.999999999934,-2087.299999999934,-2093.699999999927,-2090.8999999999273,-24664.599999999213
30,491,-400.20000000000095,-398.7000000000027,-384.10000000000036,-381.2000000000001,-369.00000000000074,-380.6,-365.19999999999993,-323.90000000000106,-362.399999999999,-371.39999999999947,-383.29999999999995,-370.7999999999999,-4490.800000000005
40,483,-386.30000000000166,-392.20000000000033,-373.9000000000002,-373.30000000000007,-350.40000000000134,-372.5000000000001,-357.69999999999936,-318.0000000000011,-357.60000000000025,-362.3999999999993,-376.1000000000001,-363.89999999999964,-4384.300000000003
50,465,-384.8000000000005,-375.20000000000005,-367.40000000000003,-368.4000000000002,-356.20000000000107,-368.4000000000001,-358.29999999999995,-330.30000000000126,-356.5999999999998,-362.7999999999997,-371.3,-359.59999999999997,-4359.300000000003
60,492,-402.50000000000244,-398.900000000001,-383.9000000000001,-387.60000000000053,-376.0000000000006,-385.3000000000003,-367.9999999999994,-331.7000000000002,-373.99999999999966,-369.39999999999816,-387.80000000000007,-369.8999999999994,-4535.000000000003
70,489,-401.5000000000016,-385.00000000000057,-380.3000000000002,-381.7000000000003,-360.20000000000124,-380.9,-365.3999999999995,-336.9000000000001,-364.39999999999884,-369.00000000000017,-386.2000000000004,-372.0999999999991,-4483.600000000002
80,473,-374.2000000000005,-378.20000000000084,-368.0,-367.09999999999997,-355.0000000000007,-366.4000000000001,-350.49999999999955,-318.4000000000014,-357.5999999999998,-354.40000000000003,-369.0000000000001,-354.4000000000009,-4313.200000000004
90,496,-386.6000000000004,-388.1,-381.8000000000003,-382.80000000000024,-373.10000000000053,-382.8000000000002,-365.89999999999895,-329.2000000000007,-361.9999999999988,-369.0999999999986,-384.60000000000025,-374.79999999999933,-4480.799999999997
100,482,-384.00000000000034,-388.3000000000005,-377.0,-378.0000000000002,-366.00000000000057,-378.4000000000002,-364.0,-335.9000000000003,-361.39999999999975,-362.09999999999957,-379.30000000000007,-368.90000000000066,-4443.300000000002
110,524,-408.0000000000006,-409.5000000000007,-405.2000000000003,-410.69999999999993,-401.00000000000057,-405.8000000000003,-377.8999999999993,-352.40000000000043,-396.79999999999916,-386.3999999999993,-406.60000000000025,-388.49999999999784,-4748.799999999998
120,429,-329.09999999999997,-328.10000000000014,-324.80000000000007,-325.19999999999993,-312.3000000000003,-325.00000000000006,-302.59999999999945,-277.900000000001,-313.1999999999991,-319.3999999999998,-328.10000000000025,-313.0000000000008,-3798.7000000000007
130,495,-373.10000000000014,-373.80000000000035,-369.80000000000007,-371.5000000000002,-357.00000000000045,-370.9000000000001,-356.89999999999964,-315.0000000000009,-354.20000000000016,-348.5999999999993,-373.3000000000002,-356.5999999999989,-4320.700000000001
140,489,-376.60000000000036,-374.7000000000001,-372.10000000000014,-372.50000000000006,-357.70000000000084,-374.30000000000007,-357.3999999999994,-316.40000000000043,-368.2000000000009,-362.09999999999945,-377.60000000000025,-363.89999999999975,-4373.500000000002
150,500,-386.80000000000007,-386.00000000000045,-384.4000000000002,-385.1000000000002,-369.90000000000055,-385.30000000000007,-375.6999999999999,-336.0000000000011,-368.0999999999992,-369.39999999999895,-386.50000000000017,-375.5,-4508.7
160,446,-341.60000000000014,-343.60000000000014,-340.3,-341.8000000000002,-327.50000000000057,-341.90000000000003,-324.9999999999997,-297.3000000000011,-329.79999999999995,-324.0000000000002,-343.60000000000025,-329.7999999999993,-3986.2000000000016
170,449,-344.0000000000001,-342.6,-341.90000000000003,-342.6,-331.1000000000004,-344.5000000000001,-334.0000000000001,-294.4000000000014,-323.69999999999993,-330.1999999999992,-346.10000000000014,-327.89999999999986,-4003.000000000001
180,453,-355.20000000000005,-350.60000000000014,-350.70000000000005,-350.90000000000003,-339.6000000000006,-351.5,-339.099999999999,-306.3000000000012,-337.79999999999995,-341.7000000000007,-354.2000000000003,-340.7999999999995,-4118.4000000000015
190,465,-359.6000000000001,-358.4000000000002,-357.9000000000001,-357.70000000000005,-349.9000000000007,-358.40000000000003,-344.49999999999875,-308.5000000000012,-346.09999999999985,-348.40000000000026,-361.10000000000025,-351.79999999999984,-4202.300000000001
200,449,-345.1,-346.0,-344.5000000000002,-344.1,-335.2000000000004,-345.19999999999993,-332.10000000000025,-297.90000000000106,-325.19999999999993,-331.90000000000043,-346.30000000000007,-339.1999999999996,-4032.7000000000016
210,434,-333.4,-332.2000000000001,-331.50000000000006,-332.70000000000005,-317.4000000000003,-332.7,-316.30000000000047,-291.0000000000005,-314.6000000000005,-319.49999999999955,-334.60000000000014,-324.09999999999854,-3880.0
220,470,-356.8000000000003,-353.6,-353.30000000000007,-354.20000000000016,-335.4000000000007,-356.80000000000007,-341.6999999999989,-298.0000000000017,-339.89999999999986,-344.99999999999983,-356.5000000000001,-342.50000000000074,-4133.700000000003
230,432,-334.0,-332.69999999999993,-332.9999999999999,-334.80000000000007,-315.20000000000084,-334.59999999999997,-315.10000000000036,-287.9000000000012,-317.90000000000003,-330.4999999999999,-335.50000000000017,-328.1,-3899.300000000002
240,493,-372.0000000000002,-370.9000000000001,-372.1000000000001,-372.4000000000001,-360.6000000000004,-373.60000000000025,-351.79999999999825,-316.00000000000136,-355.5000000000004,-362.2999999999997,-374.9000000000003,-366.3999999999992,-4348.5
250,512,-389.20000000000016,-389.10000000000025,-389.20000000000016,-388.6000000000001,-380.9000000000005,-389.5000000000001,-371.49999999999926,-338.10000000000133,-374.69999999999936,-378.2999999999995,-394.60000000000065,-380.99999999999955,-4564.700000000001
260,464,-354.80000000000007,-354.9000000000002,-355.1,-356.20000000000016,-338.7000000000005,-355.6,-341.59999999999957,-309.5000000000006,-341.29999999999984,-352.6999999999995,-357.9000000000002,-345.6999999999996,-4164.0
270,466,-353.70000000000005,-352.8000000000001,-352.0,-354.0000000000001,-337.80000000000035,-353.90000000000003,-337.59999999999934,-306.1000000000012,-339.1999999999998,-339.29999999999967,-359.10000000000036,-338.7999999999991,-4124.3
280,454,-346.3000000000002,-345.6000000000001,-344.70000000000005,-345.4,-331.30000000000047,-345.30000000000007,-333.40000000000015,-294.80000000000086,-329.5999999999996,-335.79999999999984,-348.0000000000001,-334.3999999999995,-4034.600000000001
290,453,-347.7000000000001,-346.2,-345.0,-346.7000000000001,-330.1000000000008,-347.0000000000002,-332.10000000000014,-296.50000000000034,-330.6999999999985,-333.2999999999991,-349.9000000000001,-338.89999999999975,-4044.099999999999
300,483,-358.50000000000006,-359.4,-358.70000000000005,-359.1,-347.6000000000007,-360.8000000000001,-341.1999999999996,-309.7000000000009,-334.79999999999865,-348.3,-362.90000000000026,-345.09999999999843,-4186.099999999999
310,440,-335.0,-334.50000000000006,-334.20000000000005,-335.5,-324.4000000000005,-336.0000000000002,-317.6000000000003,-296.7000000000013,-320.29999999999995,-324.8999999999998,-337.9,-322.0999999999995,-3919.1000000000017
320,444,-337.70000000000005,-339.5000000000001,-338.30000000000007,-338.4,-321.9000000000008,-339.1000000000001,-312.70000000000044,-296.1000000000009,-319.3999999999995,-330.70000000000016,-343.40000000000015,-333.59999999999957,-3950.8000000000015
