Episode,Steps,Agent0,Agent1,Agent2,Agent3,Agent4,Agent5,Agent6,Agent7,Agent8,Agent9,Agent10,Agent11,Total
0,1999,-2151.299999999918,-2169.199999999921,-2185.999999999919,-2185.999999999919,-2148.6999999999352,-2185.999999999919,-2185.999999999919,-2149.899999999936,-2105.8999999999546,-2185.999999999919,-2185.999999999919,-2104.099999999955,-25945.099999999136
10,1999,-1965.4999999999889,-2004.5999999999704,-2138.9999999999213,-2138.9999999999213,-2081.599999999946,-2138.9999999999213,-2129.1999999999243,-2125.199999999928,-2095.799999999943,-2118.6999999999293,-2108.6999999999334,-2104.399999999933,-25150.69999999926
20,1999,-2136.499999999933,-2177.4999999999236,-2192.9999999999186,-2192.9999999999186,-2106.599999999958,-2192.9999999999186,-2192.9999999999186,-2145.599999999941,-2163.2999999999333,-2174.8999999999273,-2191.9999999999186,-2192.7999999999183,-26061.19999999913
30,1999,-2167.2999999999283,-2142.9999999999354,-2188.599999999919,-2193.999999999918,-2058.3999999999764,-2193.999999999918,-2138.2999999999442,-2110.399999999954,-2085.1999999999666,-2156.5999999999353,-2185.199999999922,-2114.899999999954,-25735.899999999274
40,1999,-2139.299999999931,-2124.9999999999404,-2151.899999999919,-2183.999999999919,-2079.5999999999653,-2183.999999999919,-2127.2999999999442,-2079.3999999999655,-2061.899999999972,-2151.099999999934,-2151.299999999934,-2127.4999999999445,-25562.29999999929
50,1999,-2170.099999999924,-2150.0999999999335,-2147.1999999999166,-2189.9999999999186,-2126.6999999999503,-2189.9999999999186,-2183.2999999999224,-2162.3999999999296,-2174.0999999999262,-2189.9999999999186,-2187.2999999999206,-2164.699999999932,-26035.89999999911
60,1999,-2088.0999999999563,-2085.8999999999487,-2030.6999999999694,-2088.69999999995,-2020.6999999999757,-2148.99999999992,-2108.999999999937,-2035.1999999999653,-2040.3999999999633,-2105.9999999999404,-2102.3999999999414,-2075.099999999951,-24931.19999999942
70,1999,-2156.399999999935,-2150.999999999937,-2191.5999999999185,-2196.999999999918,-2143.399999999942,-2196.999999999918,-2151.5999999999385,-2074.2999999999715,-2082.1999999999675,-2179.9999999999254,-2148.1999999999402,-2114.799999999955,-25787.49999999927
80,1999,-2158.999999999933,-2168.099999999931,-2197.999999999918,-2197.999999999918,-2140.1999999999434,-2197.999999999918,-2160.999999999935,-2078.89999999997,-2079.1999999999694,-2189.7999999999215,-2140.699999999944,-2120.0999999999526,-25830.99999999925
90,1999,-2159.2999999999292,-2128.199999999948,-2194.999999999918,-2194.999999999918,-2080.2999999999683,-2194.999999999918,-2178.1999999999257,-2095.5999999999613,-2097.8999999999605,-2183.699999999924,-2174.2999999999274,-2122.099999999951,-25804.59999999925
100,1999,-2075.599999999929,-2090.4999999999586,-2162.199999999921,-2172.99999999992,-1997.0000000000095,-2172.99999999992,-2132.6999999999325,-2064.5999999999694,-2045.2999999999718,-2154.499999999931,-2146.899999999929,-2093.0999999999476,-25308.399999999336
110,1999,-2105.5999999999194,-2046.0999999999754,-2158.799999999922,-2174.99999999992,-1958.0000000000152,-2174.99999999992,-2155.7999999999274,-2086.5999999999485,-2057.699999999973,-2171.79999999992,-2164.8999999999237,-2128.799999999938,-25384.0999999993
120,1999,-2045.899999999951,-2064.099999999973,-2167.99999999992,-2167.99999999992,-1970.5000000000127,-2167.99999999992,-2151.2999999999256,-2080.8999999999537,-2078.9999999999545,-2155.599999999923,-2153.899999999923,-2122.9999999999327,-25328.199999999306
130,1999,-2024.0999999999538,-2030.5999999999835,-2153.599999999921,-2158.9999999999204,-1896.2000000000417,-2158.9999999999204,-2142.6999999999225,-2026.0999999999763,-2063.09999999996,-2146.2999999999233,-2142.9999999999236,-2131.199999999924,-25074.899999999365
140,1999,-2054.199999999935,-2063.699999999975,-2168.99999999992,-2168.99999999992,-1944.0000000000296,-2168.99999999992,-2148.0999999999235,-2032.9999999999825,-2079.2999999999493,-2146.6999999999275,-2144.3999999999273,-2127.999999999927,-25248.39999999934
150,1999,-2007.0999999999678,-2045.3999999999776,-2156.99999999992,-2156.99999999992,-1911.800000000038,-2156.99999999992,-2140.4999999999213,-2030.9999999999798,-2059.3999999999605,-2144.8999999999214,-2136.6999999999252,-2127.0999999999235,-25074.899999999372
