Episode,Steps,Agent0,Agent1,Agent2,Total
0,1150,-709.6000000000054,-976.0000000000106,-911.0000000000116,-2596.6000000000276
10,1019,-459.29999999999876,-694.1999999999988,-679.8000000000047,-1833.3000000000022
20,1068,-571.4000000000017,-798.8000000000018,-752.2000000000062,-2122.4000000000096
30,1005,-519.7000000000007,-764.0000000000036,-708.6000000000043,-1992.3000000000088
40,1294,-801.2000000000062,-1060.400000000003,-1029.1000000000172,-2890.700000000026
50,820,-376.5999999999993,-553.0000000000041,-567.3999999999972,-1497.0000000000005
60,1051,-634.3000000000043,-832.6000000000035,-760.1000000000053,-2227.000000000013
70,1611,-1203.9000000000055,-1415.699999999981,-1462.3999999999862,-4081.9999999999727
80,1088,-637.4000000000028,-801.399999999995,-777.7000000000131,-2216.500000000011
90,977,-452.39999999999895,-670.6999999999977,-660.0000000000047,-1783.1000000000013
100,1137,-718.9000000000045,-898.2000000000033,-890.9000000000177,-2508.0000000000255
110,1063,-488.49999999999966,-744.0999999999951,-715.8000000000069,-1948.400000000002
120,834,-389.60000000000093,-608.7000000000066,-579.9999999999984,-1578.300000000006
130,918,-477.8000000000024,-626.4000000000032,-622.4000000000013,-1726.6000000000067
140,1119,-650.2000000000019,-866.2000000000085,-855.5000000000107,-2371.900000000021
150,1141,-721.6000000000059,-900.5000000000063,-929.9000000000085,-2552.000000000021
160,1098,-652.0000000000045,-847.6999999999999,-823.4000000000123,-2323.1000000000167
170,1105,-660.5000000000026,-870.800000000009,-871.9000000000038,-2403.2000000000153
180,1030,-548.3999999999993,-825.100000000002,-785.1000000000106,-2158.600000000012
190,1302,-821.6000000000048,-1089.4000000000033,-1083.0000000000193,-2994.0000000000273
200,927,-483.7000000000023,-696.8000000000048,-660.7000000000013,-1841.2000000000085
210,1144,-700.1000000000047,-921.0000000000045,-921.3000000000108,-2542.40000000002
220,962,-483.7,-724.7000000000058,-686.1000000000051,-1894.500000000011
230,914,-449.69999999999965,-685.800000000001,-649.4000000000043,-1784.900000000005
240,957,-428.29999999999825,-630.0999999999999,-633.4000000000023,-1691.8000000000006
250,898,-400.799999999999,-609.4000000000019,-593.5999999999993,-1603.8000000000002
260,1069,-577.0000000000018,-794.1000000000048,-798.8000000000059,-2169.9000000000124
270,923,-474.4999999999999,-699.5000000000031,-640.6000000000022,-1814.6000000000051
280,1017,-566.800000000002,-784.6000000000017,-781.3000000000102,-2132.700000000014
290,1022,-601.0000000000039,-792.6000000000041,-793.1000000000073,-2186.7000000000153
300,1234,-774.600000000004,-991.9000000000049,-940.8000000000122,-2707.300000000021
310,902,-437.80000000000075,-626.5000000000007,-610.900000000001,-1675.2000000000025
320,878,-396.0999999999997,-619.3000000000038,-588.8999999999994,-1604.300000000003
330,1323,-773.9000000000037,-1102.4000000000046,-1190.4000000000028,-3066.700000000011
340,1194,-757.2000000000066,-972.9000000000078,-947.8000000000086,-2677.9000000000233
350,977,-437.0999999999989,-651.0999999999971,-664.600000000003,-1752.7999999999988
360,870,-385.0999999999985,-566.5000000000018,-578.4999999999984,-1530.0999999999988
370,796,-374.0999999999979,-524.4000000000034,-532.5999999999957,-1431.0999999999972
380,853,-422.99999999999926,-652.9000000000035,-639.3000000000043,-1715.200000000007
390,918,-478.800000000001,-671.1999999999989,-672.6000000000031,-1822.600000000003
400,931,-405.6999999999999,-614.8999999999992,-617.1000000000007,-1637.6999999999998
410,940,-561.0000000000049,-657.3000000000028,-634.9000000000021,-1853.2000000000098
420,1251,-766.2000000000048,-1072.8000000000116,-1116.9000000000065,-2955.900000000023
430,786,-415.1000000000013,-536.2000000000049,-532.2999999999961,-1483.6000000000022
440,987,-530.7000000000007,-769.6000000000072,-754.1000000000068,-2054.4000000000146
450,1208,-813.5000000000085,-1026.1000000000079,-990.9000000000198,-2830.500000000036
460,960,-571.6000000000013,-731.7000000000032,-762.5000000000119,-2065.8000000000166
470,934,-433.30000000000075,-686.2000000000024,-655.1,-1774.600000000003
