Episode,Steps,Agent0,Agent1,Agent2,Total
0,1999,-1731.1999999999557,-1639.0999999999603,-1850.7000000000144,-5220.999999999931
10,1999,-1278.5999999999833,-1656.0999999999663,-1666.100000000027,-4600.7999999999765
20,1999,-1220.3999999999855,-1604.599999999975,-1701.2000000000216,-4526.1999999999825
30,1999,-1721.5999999999558,-1623.8999999999578,-1818.500000000042,-5163.999999999955
40,1999,-1560.2999999999656,-1686.3999999999805,-1788.600000000038,-5035.299999999985
50,869,-405.40000000000003,-618.3000000000026,-582.1999999999994,-1605.900000000002
60,1051,-647.3000000000048,-797.6000000000025,-792.0000000000076,-2236.900000000015
70,1611,-1207.1000000000051,-1413.6999999999814,-1473.0999999999883,-4093.899999999975
80,1035,-595.2000000000031,-774.0999999999971,-743.1000000000132,-2112.4000000000133
90,906,-418.2999999999984,-629.4999999999995,-605.4000000000008,-1653.1999999999987
100,1137,-704.2000000000044,-909.1000000000042,-894.9000000000184,-2508.200000000027
110,908,-414.00000000000006,-610.0000000000007,-607.500000000001,-1631.5000000000018
120,803,-396.8000000000018,-548.3000000000047,-541.1999999999957,-1486.3000000000022
130,927,-528.1000000000043,-614.5000000000017,-632.7000000000011,-1775.300000000007
140,1117,-622.8000000000009,-883.3000000000094,-852.0000000000118,-2358.100000000022
150,1141,-709.3000000000063,-920.2000000000068,-928.5000000000086,-2558.000000000022
160,1101,-693.8000000000055,-849.2000000000028,-799.30000000001,-2342.3000000000184
170,1105,-627.5000000000022,-870.9000000000091,-901.4000000000051,-2399.8000000000166
180,1004,-552.1000000000008,-794.3000000000015,-748.5000000000106,-2094.900000000013
190,1278,-810.600000000005,-1088.900000000005,-1046.7000000000182,-2946.200000000028
200,927,-471.3000000000008,-688.9000000000053,-684.1000000000031,-1844.3000000000093
210,1144,-685.6000000000043,-944.2000000000058,-912.3000000000101,-2542.1000000000204
220,962,-483.9000000000005,-715.8000000000028,-690.4000000000048,-1890.100000000008
230,948,-484.6999999999993,-696.2000000000018,-664.6000000000064,-1845.5000000000073
240,989,-438.8999999999983,-651.2999999999998,-660.8000000000037,-1751.0000000000018
250,919,-411.5999999999995,-600.5000000000017,-609.7000000000011,-1621.8000000000025
260,1069,-608.9000000000028,-779.500000000004,-785.3000000000045,-2173.7000000000116
270,923,-485.60000000000184,-691.1000000000023,-647.0000000000007,-1823.7000000000048
280,1017,-555.3000000000019,-797.5000000000013,-783.2000000000104,-2136.0000000000136
290,1022,-592.1000000000032,-807.9000000000043,-787.5000000000067,-2187.500000000014
300,1234,-728.3000000000042,-995.9000000000044,-972.500000000015,-2696.7000000000235
310,918,-431.69999999999976,-638.9000000000012,-615.1000000000014,-1685.7000000000025
320,904,-418.4999999999995,-629.6000000000006,-604.1000000000009,-1652.2000000000012
330,1323,-789.8000000000042,-1107.6000000000047,-1168.600000000003,-3066.000000000012
340,1194,-779.6000000000085,-952.0000000000077,-958.6000000000099,-2690.200000000026
350,934,-412.79999999999836,-621.9999999999999,-616.6000000000016,-1651.4
360,876,-386.999999999999,-568.8000000000004,-583.4999999999986,-1539.299999999998
370,922,-433.29999999999876,-634.7999999999987,-620.9000000000024,-1688.9999999999998
380,853,-423.7999999999993,-653.6000000000035,-639.3000000000043,-1716.700000000007
390,918,-485.20000000000016,-664.600000000003,-669.1000000000028,-1818.900000000006
400,1029,-445.0999999999982,-695.8999999999992,-678.6000000000054,-1819.6000000000026
410,904,-457.70000000000095,-642.200000000004,-618.7000000000015,-1718.6000000000067
420,1251,-767.7000000000041,-1074.3000000000118,-1117.4000000000065,-2959.4000000000224
430,749,-349.49999999999983,-486.70000000000306,-529.0999999999968,-1365.2999999999997
440,987,-558.6000000000031,-769.1000000000043,-723.5000000000048,-2051.2000000000126
450,1208,-875.2000000000096,-1005.3000000000081,-961.2000000000172,-2841.700000000035
460,960,-571.4000000000012,-730.9000000000032,-762.8000000000119,-2065.1000000000163
470,910,-419.7000000000001,-648.6000000000006,-637.5,-1705.8000000000006
480,1202,-774.9000000000061,-977.6000000000035,-998.2000000000177,-2750.700000000027
490,1101,-688.6000000000055,-873.5000000000039,-900.4000000000151,-2462.5000000000246
500,910,-407.3999999999979,-618.3999999999997,-600.9999999999997,-1626.7999999999975
510,740,-343.99999999999926,-484.5000000000032,-495.29999999999467,-1323.7999999999972
520,1359,-878.0000000000076,-1116.2000000000057,-1129.8000000000059,-3124.000000000019
530,1034,-629.8000000000045,-788.3999999999991,-785.0000000000111,-2203.2000000000144
540,1368,-934.000000000007,-1194.6000000000004,-1171.8000000000131,-3300.4000000000206
550,1306,-850.6000000000045,-1027.7999999999938,-1025.3000000000284,-2903.7000000000266
560,786,-358.9000000000004,-534.7000000000048,-522.499999999995,-1416.1000000000001
570,1148,-679.200000000005,-915.4000000000119,-936.9000000000045,-2531.5000000000214
580,832,-413.50000000000114,-573.8000000000051,-571.3999999999994,-1558.7000000000057
590,1125,-756.0000000000043,-919.2000000000069,-891.4000000000208,-2566.600000000032
600,910,-410.69999999999726,-605.2000000000003,-613.0000000000011,-1628.8999999999987
610,1179,-757.6000000000046,-974.3000000000067,-924.8000000000125,-2656.7000000000235
620,1240,-721.3000000000021,-1008.5000000000091,-1050.5000000000175,-2780.3000000000284
