Episode,Steps,Agent0,Agent1,Agent2,Total
0,1999,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-6599.999999999753
10,1999,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-6599.999999999753
20,1999,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-6599.999999999753
30,1451,-700.4999999999984,-995.7999999999906,-1462.599999999994,-3158.8999999999833
40,1025,-544.2000000000016,-757.7000000000014,-744.4000000000073,-2046.3000000000102
50,774,-346.30000000000035,-516.2000000000037,-511.7999999999942,-1374.2999999999984
60,811,-376.0999999999996,-547.4000000000023,-553.4999999999985,-1477.0000000000005
70,1236,-775.4000000000069,-994.4000000000083,-1076.5000000000095,-2846.3000000000247
80,918,-421.09999999999803,-631.7999999999978,-613.2000000000011,-1666.0999999999967
90,924,-412.6999999999991,-613.4000000000012,-613.600000000001,-1639.7000000000014
100,950,-477.9,-701.3999999999974,-663.0000000000056,-1842.300000000003
110,966,-418.6999999999985,-610.7999999999987,-629.6000000000022,-1659.0999999999995
120,786,-354.0000000000008,-503.0000000000038,-519.7999999999944,-1376.7999999999988
130,891,-401.69999999999976,-588.600000000002,-598.1999999999999,-1588.5000000000018
140,864,-404.99999999999915,-576.8000000000028,-584.1999999999994,-1566.0000000000014
150,873,-425.10000000000105,-620.3000000000037,-614.9,-1660.3000000000047
160,848,-394.2000000000003,-571.300000000002,-569.999999999998,-1535.5000000000002
170,916,-440.10000000000014,-633.5000000000014,-622.2000000000024,-1695.8000000000038
180,865,-396.8999999999981,-593.8,-593.8000000000011,-1584.499999999999
190,976,-537.5000000000011,-725.8000000000003,-717.3000000000086,-1980.6000000000101
200,860,-393.79999999999967,-589.2000000000023,-575.1999999999985,-1558.2000000000005
210,919,-436.59999999999826,-696.8000000000023,-638.5000000000002,-1771.9000000000008
220,849,-383.1999999999999,-573.1000000000028,-566.7999999999982,-1523.1000000000008
230,898,-410.59999999999974,-577.2000000000016,-598.3999999999995,-1586.2000000000007
240,921,-399.5999999999992,-588.8000000000009,-602.4000000000002,-1590.8000000000002
250,908,-397.4999999999998,-621.3000000000027,-602.6999999999992,-1621.5000000000018
260,901,-406.9999999999991,-592.7999999999994,-595.7999999999995,-1595.599999999998
270,822,-375.79999999999893,-534.5000000000039,-545.7999999999967,-1456.0999999999995
280,823,-371.79999999999893,-549.400000000003,-550.5999999999972,-1471.7999999999993
290,817,-388.40000000000003,-547.0000000000031,-559.3999999999967,-1494.7999999999997
300,964,-465.1000000000005,-682.5000000000014,-668.800000000005,-1816.4000000000067
310,874,-393.1999999999998,-584.8000000000029,-581.9999999999987,-1560.0000000000014
320,884,-389.9999999999986,-574.5000000000015,-584.2999999999989,-1548.7999999999988
330,1069,-525.7,-801.8999999999971,-824.2000000000095,-2151.8000000000065
340,993,-555.900000000004,-687.699999999999,-697.1000000000053,-1940.7000000000085
350,1026,-434.19999999999925,-668.1999999999955,-671.5000000000047,-1773.8999999999992
360,937,-406.59999999999746,-627.9,-615.7000000000012,-1650.1999999999987
370,792,-357.7999999999998,-492.40000000000293,-524.399999999995,-1374.5999999999976
380,778,-356.7999999999999,-543.7000000000029,-546.7999999999981,-1447.3000000000009
390,818,-365.699999999999,-555.4000000000032,-545.9999999999967,-1467.099999999999
400,958,-401.2999999999987,-611.2999999999996,-632.8000000000027,-1645.400000000001
410,889,-393.09999999999934,-583.4000000000013,-593.3999999999996,-1569.9000000000003
420,955,-513.4000000000009,-728.7000000000074,-751.6000000000039,-1993.700000000012
