Episode,Steps,Agent0,Agent1,Agent2,Total
0,1999,-1967.5999999999437,-1900.2999999999845,-2017.2999999999938,-5885.1999999999225
10,1999,-2017.5999999999588,-1933.3999999999896,-2050.499999999981,-6001.499999999929
20,1999,-1950.99999999995,-1867.4999999999955,-1984.4000000000058,-5802.899999999951
30,1999,-1950.99999999995,-1933.699999999973,-2000.9999999999998,-5885.6999999999225
40,1999,-1835.7999999999747,-1884.300000000006,-2100.299999999961,-5820.399999999941
50,1999,-1935.399999999973,-1917.7999999999952,-2100.299999999961,-5953.499999999929
60,1999,-1918.5999999999788,-2000.7999999999827,-2100.299999999961,-6019.6999999999225
70,1999,-1788.7999999999747,-1919.9000000000283,-2116.9999999999545,-5825.699999999957
80,836,-386.6999999999993,-557.8000000000008,-557.4999999999976,-1501.9999999999977
90,901,-401.99999999999926,-588.4000000000015,-593.2999999999994,-1583.7000000000003
100,950,-478.0,-701.5999999999974,-663.0000000000056,-1842.600000000003
110,1022,-454.2999999999992,-660.0999999999979,-671.2000000000052,-1785.6000000000022
120,825,-374.40000000000083,-573.6000000000041,-547.1999999999966,-1495.2000000000016
130,949,-424.5999999999989,-629.1999999999982,-627.2000000000016,-1680.9999999999986
140,871,-419.2000000000001,-598.2000000000024,-587.5999999999999,-1605.0000000000025
150,873,-425.80000000000103,-620.4000000000037,-615.1,-1661.3000000000047
160,873,-419.10000000000105,-594.5000000000005,-585.5999999999995,-1599.200000000001
170,924,-434.79999999999853,-629.1000000000008,-633.5000000000038,-1697.4000000000033
180,862,-397.29999999999893,-603.5000000000001,-585.1999999999999,-1585.999999999999
190,1036,-579.0000000000013,-772.3999999999982,-766.2000000000112,-2117.6000000000104
200,842,-385.4999999999997,-581.3000000000046,-565.5999999999983,-1532.4000000000026
210,919,-440.8999999999983,-674.3000000000027,-655.6000000000033,-1770.8000000000043
220,912,-412.7999999999981,-625.7000000000005,-609.4000000000008,-1647.8999999999994
230,890,-403.39999999999975,-582.7000000000006,-591.1999999999995,-1577.2999999999997
240,999,-444.79999999999967,-663.1999999999974,-660.0000000000039,-1768.000000000001
250,939,-421.99999999999875,-648.1999999999994,-623.0000000000015,-1693.1999999999994
260,911,-418.09999999999815,-587.700000000002,-607.9000000000011,-1613.7000000000012
270,856,-390.19999999999914,-559.3000000000009,-566.9999999999977,-1516.4999999999977
280,848,-392.79999999999967,-583.3000000000018,-575.9999999999993,-1552.1000000000008
290,828,-370.19999999999885,-590.100000000006,-574.3999999999985,-1534.7000000000035
300,970,-499.7000000000019,-661.8999999999986,-683.3000000000053,-1844.900000000006
310,854,-381.4000000000006,-559.4000000000015,-569.4999999999983,-1510.3000000000002
320,887,-393.39999999999884,-578.8000000000022,-589.8999999999993,-1562.1000000000004
330,1039,-503.6999999999986,-780.1000000000008,-789.500000000008,-2073.3000000000075
340,912,-449.20000000000124,-668.8000000000018,-640.8000000000025,-1758.8000000000054
350,981,-414.7999999999991,-618.899999999999,-639.9000000000027,-1673.6000000000008
360,907,-400.8999999999986,-618.1999999999992,-603.5000000000008,-1622.5999999999985
370,832,-368.5999999999993,-511.600000000003,-548.5999999999966,-1428.7999999999988
380,781,-359.0999999999992,-555.3000000000027,-541.5999999999968,-1455.9999999999986
390,814,-356.39999999999964,-552.5000000000032,-542.1999999999965,-1451.0999999999995
400,994,-430.89999999999736,-648.8999999999967,-657.400000000004,-1737.199999999998
410,924,-419.7999999999999,-615.9999999999995,-621.0000000000003,-1656.7999999999997
420,955,-493.3000000000014,-733.2000000000079,-760.2000000000045,-1986.700000000014
430,799,-353.7999999999996,-499.2000000000034,-530.8999999999954,-1383.8999999999983
440,859,-387.1999999999997,-604.4000000000005,-581.1999999999994,-1572.7999999999997
450,929,-483.9000000000013,-733.600000000006,-686.9000000000049,-1904.4000000000121
460,742,-354.6999999999997,-523.1000000000016,-502.89999999999475,-1380.6999999999962
470,861,-366.4999999999993,-579.4000000000049,-564.1999999999977,-1510.1000000000017
480,1009,-550.5000000000007,-769.5000000000014,-730.3000000000116,-2050.300000000014
490,896,-468.8000000000005,-625.500000000001,-653.5000000000086,-1747.8000000000102
500,897,-392.0999999999985,-583.0000000000019,-596.3999999999995,-1571.5
510,764,-344.2999999999997,-479.0000000000033,-507.9999999999943,-1331.2999999999975
520,1044,-532.5000000000011,-773.9000000000033,-774.9000000000042,-2081.3000000000084
530,851,-388.599999999998,-582.5000000000022,-582.1999999999998,-1553.3
540,1066,-623.6000000000047,-852.2000000000062,-828.6000000000072,-2304.400000000018
550,1147,-652.8999999999999,-820.6999999999933,-840.2000000000219,-2313.8000000000147
560,764,-338.5999999999993,-478.1000000000034,-508.0999999999945,-1324.7999999999972
570,886,-410.5000000000004,-630.9000000000066,-622.8999999999977,-1664.3000000000047
580,865,-390.40000000000003,-568.3000000000011,-572.7999999999981,-1531.4999999999993
