Episode,Steps,Agent0,Agent1,Agent2,Total
1,1068,-515.1999999999994,-711.3999999999944,-714.3000000000071,-1940.900000000001
2,982,-497.8000000000002,-625.8000000000019,-660.900000000004,-1784.5000000000061
3,1085,-515.1999999999997,-753.6999999999938,-728.2000000000079,-1997.1000000000013
4,945,-462.199999999999,-660.7999999999986,-639.2000000000014,-1762.1999999999991
5,867,-431.3999999999993,-580.7000000000016,-584.3999999999987,-1596.4999999999995
6,904,-437.99999999999926,-617.1999999999987,-602.8999999999999,-1658.0999999999979
7,1045,-498.4000000000004,-719.4999999999959,-697.600000000006,-1915.5000000000023
8,974,-455.69999999999834,-661.9999999999969,-656.1000000000018,-1773.799999999997
9,948,-456.999999999999,-644.2999999999972,-628.5000000000017,-1729.799999999998
11,1061,-506.6999999999995,-746.4999999999943,-701.2000000000064,-1954.4000000000003
12,953,-442.99999999999875,-608.9999999999995,-634.2000000000024,-1686.2000000000007
13,940,-459.499999999999,-633.5999999999995,-628.5000000000019,-1721.6000000000004
14,1082,-556.1000000000003,-747.3999999999986,-723.7000000000079,-2027.2000000000066
15,922,-470.7000000000009,-628.1000000000003,-620.7000000000014,-1719.5000000000025
16,876,-411.00000000000034,-577.7000000000024,-585.4999999999987,-1574.2000000000016
17,1028,-520.9999999999998,-695.1999999999979,-697.9000000000062,-1914.1000000000038
18,1130,-534.499999999999,-760.3999999999942,-755.700000000009,-2050.600000000002
19,869,-414.50000000000136,-561.4000000000044,-578.9999999999985,-1554.9000000000042
21,931,-425.1999999999977,-631.5999999999997,-619.2000000000019,-1675.9999999999993
22,1083,-544.1000000000003,-759.3999999999905,-728.0000000000077,-2031.4999999999986
23,1088,-557.3000000000003,-752.8999999999926,-724.1000000000072,-2034.3000000000002
24,1023,-491.20000000000005,-705.3999999999952,-682.2000000000047,-1878.8000000000002
25,1027,-520.2000000000028,-720.4999999999968,-687.6000000000053,-1928.3000000000047
26,1027,-496.60000000000014,-701.1999999999969,-684.6000000000056,-1882.4000000000026
27,1092,-566.7999999999982,-753.3999999999949,-734.9000000000087,-2055.1000000000017
28,975,-465.50000000000017,-649.5000000000016,-654.4000000000026,-1769.4000000000044
29,1050,-490.39999999999833,-737.6999999999933,-712.3000000000071,-1940.3999999999987
31,926,-450.29999999999853,-619.3999999999979,-619.1000000000012,-1688.7999999999975
32,1110,-550.5999999999985,-771.7999999999938,-738.9000000000087,-2061.300000000001
33,1013,-478.39999999999907,-703.6999999999963,-685.4000000000045,-1867.5
34,1123,-514.2999999999975,-775.4999999999911,-743.4000000000087,-2033.1999999999973
35,1097,-516.3999999999975,-749.3999999999921,-734.4000000000087,-2000.1999999999985
36,1205,-572.3999999999977,-848.7999999999871,-806.2000000000136,-2227.3999999999983
