Episode,Steps,Agent0,Agent1,Agent2,Total
0,1999,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-6599.999999999753
10,1999,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-6599.999999999753
20,1999,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-6599.999999999753
30,1999,-2183.399999999925,-2199.9999999999177,-2199.9999999999177,-6583.399999999761
40,1365,-641.0999999999972,-957.9999999999908,-1384.6999999999946,-2983.799999999983
50,1246,-586.9999999999989,-850.5999999999962,-1110.1000000000029,-2547.699999999998
60,943,-415.00000000000045,-602.8999999999999,-655.200000000002,-1673.1000000000022
70,862,-412.29999999999984,-593.6000000000026,-603.9999999999993,-1609.900000000002
80,848,-375.8999999999992,-560.7000000000015,-563.8999999999978,-1500.4999999999986
90,965,-424.09999999999786,-643.4,-639.3000000000028,-1706.8000000000006
100,928,-407.9999999999996,-637.1999999999999,-614.2000000000012,-1659.4000000000008
110,1103,-492.19999999999766,-717.8999999999933,-726.2000000000082,-1936.299999999999
120,878,-389.6999999999995,-574.400000000001,-578.6999999999988,-1542.7999999999993
130,893,-398.5999999999996,-594.2000000000004,-593.299999999999,-1586.099999999999
140,973,-425.49999999999795,-653.2999999999985,-641.100000000003,-1719.8999999999996
150,946,-412.6999999999998,-623.1999999999994,-618.5000000000015,-1654.4000000000005
160,854,-379.7999999999993,-550.2000000000019,-564.1999999999977,-1494.199999999999
170,906,-400.29999999999814,-581.7000000000011,-601.5000000000003,-1583.4999999999995
180,850,-379.3999999999992,-568.4000000000038,-562.2999999999975,-1510.1000000000004
190,934,-403.8999999999972,-628.3000000000005,-622.4000000000023,-1654.6
200,932,-407.1999999999976,-611.4999999999985,-610.8000000000011,-1629.4999999999973
210,858,-388.49999999999926,-602.8000000000002,-569.9999999999983,-1561.299999999998
220,985,-434.6999999999988,-676.5999999999976,-652.7000000000031,-1763.9999999999995
230,888,-397.1999999999993,-588.1999999999995,-587.4999999999991,-1572.8999999999978
240,1007,-446.1999999999997,-681.9999999999972,-659.8000000000042,-1788.000000000001
250,881,-379.7999999999994,-570.1000000000024,-578.0999999999984,-1528.0000000000002
260,952,-406.1999999999985,-628.3000000000014,-621.4000000000013,-1655.9000000000015
270,869,-380.19999999999914,-544.1000000000037,-569.499999999998,-1493.8000000000006
280,895,-375.69999999999993,-586.8999999999999,-584.499999999999,-1547.0999999999988
290,906,-400.9999999999993,-606.4000000000008,-603.0000000000005,-1610.4000000000005
300,921,-399.2999999999983,-619.1999999999995,-607.9,-1626.3999999999978
310,922,-407.8999999999988,-603.8000000000015,-609.5000000000009,-1621.2000000000012
320,937,-409.6,-648.199999999997,-618.0000000000011,-1675.7999999999981
330,909,-391.39999999999793,-602.9000000000007,-617.5000000000016,-1611.8000000000002
340,961,-413.49999999999864,-650.8999999999995,-635.0000000000024,-1699.4000000000005
350,967,-408.3999999999977,-606.3000000000004,-628.400000000002,-1643.1000000000001
360,902,-383.8999999999981,-573.9000000000005,-595.3,-1553.0999999999985
370,860,-386.7999999999999,-542.1000000000026,-568.1999999999981,-1497.1000000000008
380,832,-364.09999999999854,-558.1000000000022,-555.4999999999977,-1477.6999999999985
390,848,-369.30000000000035,-560.5000000000017,-560.0999999999971,-1489.8999999999992
400,990,-413.9999999999978,-626.2000000000006,-650.000000000004,-1690.2000000000025
410,952,-405.9999999999993,-627.1999999999979,-624.0000000000015,-1657.1999999999985
420,807,-349.30000000000007,-519.4000000000025,-540.1999999999969,-1408.8999999999994
