Episode,Steps,Agent0,Agent1,Agent2,Total
0,868,-422.2999999999998,-620.3000000000008,-593.1000000000009,-1635.7000000000016
10,971,-435.4999999999982,-664.7999999999988,-649.6000000000038,-1749.9000000000008
20,986,-436.99999999999915,-695.2999999999957,-655.3000000000036,-1787.5999999999985
30,920,-412.79999999999774,-644.899999999999,-622.1000000000017,-1679.7999999999984
40,976,-441.09999999999854,-669.7999999999988,-706.3000000000112,-1817.2000000000085
50,889,-405.3999999999996,-652.9000000000029,-590.1999999999992,-1648.5000000000018
60,849,-390.1999999999995,-587.5000000000015,-561.9999999999974,-1539.6999999999985
70,1125,-580.0999999999988,-913.899999999997,-843.4000000000198,-2337.4000000000156
80,875,-418.29999999999967,-615.9000000000009,-591.5999999999996,-1625.8000000000002
90,840,-382.199999999999,-559.0000000000019,-556.2999999999968,-1497.4999999999977
100,979,-456.19999999999925,-715.6999999999945,-701.2000000000089,-1873.1000000000026
110,925,-416.60000000000025,-626.5999999999997,-613.8000000000008,-1657.0000000000005
120,836,-392.3000000000001,-577.9000000000012,-556.2999999999971,-1526.4999999999986
130,871,-402.49999999999983,-576.6000000000018,-574.9999999999983,-1554.1
140,891,-406.3999999999985,-613.8000000000013,-612.6000000000025,-1632.8000000000025
150,819,-388.29999999999995,-566.5000000000026,-551.1999999999973,-1506.0
160,883,-400.3999999999993,-626.9999999999999,-599.6,-1626.999999999999
170,858,-388.3999999999983,-594.0000000000014,-580.0999999999988,-1562.4999999999984
180,928,-414.69999999999817,-657.199999999997,-641.300000000003,-1713.199999999998
190,980,-488.0999999999965,-741.9999999999943,-698.1000000000078,-1928.1999999999985
200,911,-408.7999999999986,-640.8999999999988,-603.2000000000003,-1652.8999999999978
210,831,-387.29999999999853,-569.5000000000035,-559.9999999999983,-1516.8000000000002
220,852,-383.6000000000005,-574.0000000000017,-575.8999999999984,-1533.5000000000005
230,844,-395.79999999999865,-554.1000000000025,-576.0999999999991,-1526.0000000000005
240,895,-406.7999999999988,-589.0000000000011,-587.799999999999,-1583.599999999999
250,886,-388.39999999999657,-595.1000000000025,-588.0999999999999,-1571.599999999999
260,852,-380.9999999999994,-565.0000000000023,-564.2999999999978,-1510.2999999999993
270,831,-381.2999999999987,-536.1000000000035,-551.1999999999971,-1468.5999999999995
280,833,-367.79999999999956,-572.200000000002,-567.1999999999981,-1507.1999999999998
290,838,-377.89999999999947,-602.8000000000062,-563.6999999999979,-1544.4000000000037
300,987,-453.59999999999684,-691.8999999999983,-680.4000000000079,-1825.9000000000028
310,832,-372.09999999999985,-540.6000000000029,-546.2999999999965,-1458.9999999999993
320,907,-400.09999999999894,-592.7000000000021,-604.8000000000008,-1597.6000000000017
330,1063,-537.4000000000002,-799.8999999999965,-796.0000000000134,-2133.30000000001
340,893,-457.7000000000001,-619.5000000000024,-595.1999999999999,-1672.4000000000024
350,948,-408.9999999999981,-637.9999999999986,-621.900000000002,-1668.8999999999987
360,886,-407.6999999999978,-607.4999999999999,-600.8999999999982,-1616.0999999999958
370,826,-368.39999999999833,-553.8000000000027,-543.8999999999963,-1466.0999999999972
380,894,-485.40000000000174,-697.8000000000028,-651.5000000000047,-1834.7000000000094
390,844,-368.39999999999907,-562.4000000000026,-565.0999999999977,-1495.8999999999994
400,1051,-457.89999999999634,-719.7999999999954,-687.4000000000061,-1865.0999999999976
410,900,-402.19999999999885,-610.8999999999994,-615.9000000000026,-1629.000000000001
420,937,-528.8000000000008,-714.1000000000046,-700.4000000000115,-1943.3000000000168
430,796,-366.19999999999976,-545.3000000000034,-526.2999999999951,-1437.7999999999984
440,872,-439.999999999999,-604.9000000000009,-586.6999999999997,-1631.5999999999995
450,894,-475.2999999999993,-672.1999999999991,-598.7000000000004,-1746.199999999999
460,751,-348.0999999999983,-515.700000000003,-517.599999999994,-1381.3999999999953
470,901,-388.59999999999934,-605.2000000000007,-595.2,-1589.0
480,913,-462.9999999999976,-633.7000000000012,-655.400000000006,-1752.100000000005
490,920,-440.6999999999992,-657.1999999999983,-630.7000000000036,-1728.6000000000013
500,835,-369.8999999999976,-530.9000000000023,-547.7999999999962,-1448.599999999996
510,780,-352.09999999999945,-526.0000000000035,-519.4999999999949,-1397.5999999999979
520,1000,-479.79999999999797,-717.6000000000005,-685.3000000000065,-1882.700000000005
530,867,-402.1999999999978,-605.2,-585.7999999999998,-1593.1999999999975
540,1058,-640.0000000000043,-807.8000000000018,-823.7000000000118,-2271.5000000000177
550,1077,-630.6999999999998,-823.7999999999897,-777.8000000000145,-2232.300000000004
560,772,-351.2999999999993,-494.00000000000324,-512.2999999999942,-1357.5999999999967
570,950,-472.20000000000033,-655.6000000000021,-661.9000000000078,-1789.7000000000103
580,916,-412.8,-657.9999999999976,-607.1000000000006,-1677.8999999999983
590,861,-468.59999999999957,-607.1999999999989,-585.7999999999995,-1661.5999999999979
600,976,-430.0999999999984,-669.1999999999983,-645.5000000000031,-1744.7999999999997
610,897,-458.5999999999993,-643.3999999999993,-637.600000000002,-1739.6000000000006
620,926,-421.299999999998,-640.9000000000018,-645.1000000000034,-1707.3000000000034
630,954,-497.59999999999906,-698.7999999999977,-710.5000000000081,-1906.9000000000046
640,868,-399.09999999999894,-623.9000000000034,-576.8999999999985,-1599.9000000000008
650,963,-485.49999999999926,-716.5000000000034,-718.4000000000068,-1920.4000000000096
660,865,-382.30000000000047,-576.5000000000022,-568.599999999998,-1527.4000000000005
670,806,-360.89999999999793,-560.6000000000024,-543.4999999999972,-1464.9999999999975
680,834,-374.89999999999884,-555.6000000000021,-548.2999999999967,-1478.7999999999975
690,832,-380.7999999999991,-549.6000000000029,-550.6999999999967,-1481.0999999999985
700,890,-386.89999999999964,-630.8000000000034,-589.6999999999992,-1607.4000000000024
710,843,-396.69999999999897,-561.3000000000019,-593.000000000003,-1551.0000000000039
720,889,-433.09999999999786,-657.9999999999986,-630.8000000000042,-1721.9000000000005
730,873,-384.3000000000003,-562.9000000000023,-581.5999999999989,-1528.8000000000015
740,971,-501.39999999999907,-741.5999999999975,-727.2000000000113,-1970.200000000008
750,865,-424.90000000000106,-555.800000000002,-571.1999999999983,-1551.9000000000015
760,805,-361.5000000000003,-539.0000000000044,-536.399999999996,-1436.9000000000008
770,828,-366.39999999999884,-570.0000000000016,-550.099999999997,-1486.4999999999973
780,851,-379.6000000000004,-587.9000000000021,-565.599999999998,-1533.1000000000004
790,892,-391.29999999999956,-576.8000000000012,-586.2999999999989,-1554.3999999999996
800,997,-508.89999999999907,-747.499999999992,-713.6000000000113,-1970.0000000000023
810,882,-395.6999999999998,-569.5000000000022,-600.9000000000001,-1566.1000000000022
820,870,-387.3999999999999,-589.800000000002,-591.0999999999999,-1568.3000000000018
830,827,-370.5999999999989,-584.8000000000036,-551.5999999999973,-1506.9999999999998
840,886,-426.00000000000006,-606.8000000000008,-610.300000000001,-1643.1000000000017
850,868,-410.9999999999981,-583.5000000000018,-573.8999999999987,-1568.3999999999987
860,855,-384.29999999999956,-582.5000000000023,-582.1999999999991,-1549.000000000001
870,739,-339.09999999999917,-464.60000000000343,-492.59999999999474,-1296.2999999999972
880,860,-371.8999999999988,-556.8000000000018,-566.8999999999978,-1495.5999999999983
890,912,-419.19999999999857,-653.6000000000035,-630.7000000000024,-1703.5000000000045
900,872,-453.39999999999907,-624.9000000000021,-586.4999999999995,-1664.8000000000006
910,772,-352.2999999999983,-546.400000000005,-512.4999999999941,-1411.1999999999973
920,903,-390.19999999999794,-594.1,-594.4,-1578.699999999998
930,1008,-464.39999999999947,-730.7999999999977,-694.9000000000068,-1890.100000000004
940,812,-362.29999999999893,-564.4000000000015,-540.0999999999962,-1466.7999999999965
950,748,-346.89999999999975,-471.40000000000316,-495.89999999999446,-1314.1999999999973
960,835,-385.79999999999944,-557.5000000000024,-555.599999999997,-1498.8999999999987
970,864,-412.1999999999998,-562.7000000000015,-596.8999999999997,-1571.800000000001
980,958,-476.99999999999767,-683.6999999999981,-703.9000000000103,-1864.600000000006
990,817,-373.60000000000036,-530.000000000004,-538.5999999999956,-1442.1999999999998
1000,1010,-534.5000000000002,-762.8000000000005,-755.7000000000116,-2053.0000000000123
1010,865,-400.59999999999894,-569.9000000000025,-572.5999999999981,-1543.0999999999995
1020,917,-412.2999999999982,-624.1999999999999,-613.400000000001,-1649.8999999999992
1030,883,-436.8000000000022,-558.9000000000024,-586.9999999999993,-1582.700000000004
1040,788,-353.6999999999993,-534.8000000000014,-523.299999999995,-1411.7999999999956
1050,1001,-490.69999999999965,-715.9999999999942,-703.4000000000071,-1910.100000000001
1060,900,-403.2999999999984,-581.7000000000015,-594.4999999999999,-1579.5
1070,872,-382.69999999999874,-583.9000000000002,-579.099999999999,-1545.699999999998
1080,860,-377.7999999999995,-570.8000000000019,-590.6999999999998,-1539.300000000001
1090,836,-378.49999999999915,-563.500000000002,-554.6999999999969,-1496.699999999998
1100,1155,-610.4999999999983,-919.1999999999877,-905.4000000000302,-2435.1000000000163
1110,805,-366.10000000000093,-541.5000000000032,-537.1999999999958,-1444.8
1120,779,-358.4999999999999,-499.800000000004,-517.1999999999945,-1375.4999999999982
1130,805,-367.1999999999991,-525.200000000003,-531.1999999999954,-1423.5999999999976
1140,897,-393.89999999999947,-580.5000000000026,-593.1999999999991,-1567.6000000000013
1150,891,-389.599999999998,-583.8000000000004,-602.0000000000003,-1575.3999999999987
1160,808,-360.6999999999994,-515.7000000000038,-534.8999999999961,-1411.2999999999993
1170,873,-393.4999999999997,-591.8000000000005,-599.4000000000002,-1584.7000000000003
1180,964,-495.399999999998,-711.7999999999971,-692.5000000000066,-1899.7000000000016
1190,874,-409.7999999999991,-638.2000000000014,-606.1000000000003,-1654.1000000000008
1200,861,-385.6999999999985,-563.2000000000025,-568.9999999999981,-1517.8999999999992
1210,967,-522.2999999999975,-721.6000000000008,-716.6000000000148,-1960.5000000000132
1220,897,-401.69999999999976,-608.7000000000002,-612.2000000000019,-1622.6000000000017
1230,894,-392.899999999999,-592.2000000000005,-597.4999999999999,-1582.5999999999995
1240,766,-344.5999999999993,-483.30000000000297,-502.8999999999941,-1330.7999999999963
1250,876,-416.9000000000005,-569.3000000000023,-589.0999999999992,-1575.300000000002
1260,946,-417.39999999999856,-625.5999999999975,-656.7000000000045,-1699.7000000000007
1270,1029,-505.4999999999999,-709.7999999999954,-739.8000000000092,-1955.1000000000045
1280,871,-416.5999999999978,-647.3000000000006,-620.400000000004,-1684.3000000000025
1290,723,-344.99999999999864,-474.40000000000333,-482.3999999999946,-1301.7999999999965
1300,849,-394.39999999999924,-568.0000000000025,-562.3999999999975,-1524.7999999999993
1310,794,-368.6999999999995,-529.7000000000037,-525.0999999999951,-1423.4999999999982
1320,912,-424.1999999999991,-611.7000000000002,-622.9000000000018,-1658.800000000001
1330,996,-484.29999999999967,-724.9999999999985,-701.1000000000071,-1910.400000000005
1340,793,-392.1999999999992,-509.7000000000037,-528.1999999999953,-1430.099999999998
1350,1046,-584.9000000000004,-844.5999999999991,-814.3000000000137,-2243.8000000000134
1360,971,-412.79999999999785,-606.1000000000001,-631.400000000002,-1650.3000000000002
1370,834,-378.69999999999845,-567.2000000000022,-562.4999999999976,-1508.3999999999983
1380,742,-386.5999999999985,-508.8000000000024,-496.0999999999945,-1391.4999999999955
1390,895,-408.6999999999987,-595.6,-589.7999999999995,-1594.099999999998
1400,821,-403.499999999999,-555.3000000000047,-569.3999999999978,-1528.2000000000016
1410,912,-411.39999999999975,-620.5999999999993,-599.7,-1631.6999999999991
1420,991,-525.299999999998,-777.5000000000023,-761.0000000000109,-2063.800000000011
1430,859,-381.19999999999976,-535.2000000000038,-589.5999999999992,-1506.0000000000027
