Episode,Steps,Agent0,Agent1,Agent2,Agent3,Agent4,Agent5,Total
0,1999,-2133.599999999947,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-13133.599999999537
10,1999,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-13199.999999999507
20,1999,-2166.799999999933,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-13166.799999999523
30,602,-444.30000000000314,-511.99999999999864,-539.9000000000026,-499.59999999999667,-487.30000000000194,-520.6000000000043,-3003.7000000000075
40,701,-524.6000000000022,-611.599999999997,-637.5999999999985,-643.5000000000064,-631.7000000000049,-635.1000000000056,-3684.100000000014
50,451,-316.5000000000022,-369.39999999999867,-376.8999999999992,-366.49999999999864,-345.7000000000007,-368.8000000000013,-2143.800000000001
60,591,-459.20000000000357,-502.19999999999754,-518.7999999999986,-517.300000000001,-509.1000000000042,-546.5000000000048,-3053.1000000000095
70,852,-718.900000000005,-791.7000000000024,-821.3000000000064,-785.1000000000013,-814.8000000000118,-828.700000000011,-4760.500000000037
80,552,-395.20000000000215,-463.099999999996,-494.80000000000007,-456.5999999999961,-447.7,-479.50000000000375,-2736.899999999998
90,499,-345.6000000000016,-406.09999999999746,-420.6999999999991,-404.19999999999743,-385.09999999999843,-410.9000000000016,-2372.599999999996
100,652,-530.3000000000021,-569.0999999999977,-596.4000000000007,-574.6999999999987,-586.3000000000043,-561.2000000000035,-3418.000000000007
110,536,-370.8000000000032,-437.0999999999982,-453.29999999999865,-428.79999999999706,-387.79999999999797,-424.4000000000028,-2502.199999999998
120,483,-351.00000000000284,-412.90000000000026,-414.6999999999977,-402.1999999999992,-388.40000000000344,-413.8000000000018,-2383.0000000000055
130,523,-373.9000000000036,-466.30000000000155,-458.7999999999976,-429.4999999999973,-420.90000000000276,-438.1000000000034,-2587.5000000000064
140,631,-482.1000000000035,-552.6,-556.6999999999986,-541.6999999999985,-545.1000000000022,-566.7000000000016,-3244.900000000004
150,645,-485.2000000000034,-557.5999999999972,-579.2000000000013,-589.3000000000063,-552.9000000000057,-601.500000000006,-3365.70000000002
160,614,-471.00000000000483,-525.2999999999981,-547.9999999999998,-524.6999999999992,-508.300000000002,-546.3000000000054,-3123.6000000000095
170,651,-493.90000000000316,-568.1000000000004,-579.100000000002,-578.8000000000028,-563.3000000000054,-585.6000000000046,-3368.800000000018
180,571,-418.40000000000134,-487.3999999999978,-517.6000000000018,-484.19999999999663,-500.00000000000216,-502.70000000000437,-2910.3000000000043
190,693,-541.1000000000007,-634.7000000000021,-641.4000000000021,-620.000000000002,-601.4000000000044,-641.7000000000053,-3680.3000000000166
200,562,-425.100000000002,-490.2000000000002,-490.69999999999936,-476.59999999999934,-461.60000000000366,-497.2000000000045,-2841.4000000000087
210,638,-497.400000000003,-561.3000000000003,-567.899999999999,-561.9000000000007,-572.6000000000055,-588.5000000000059,-3349.600000000014
220,545,-400.20000000000266,-463.7999999999991,-481.60000000000036,-454.39999999999816,-451.50000000000136,-445.8000000000041,-2697.300000000006
230,529,-398.10000000000264,-447.29999999999734,-464.4999999999991,-444.49999999999767,-425.1999999999981,-429.10000000000247,-2608.6999999999975
240,504,-344.6000000000018,-409.8999999999974,-424.49999999999744,-404.1999999999971,-374.399999999999,-416.3000000000009,-2373.8999999999937
250,556,-388.80000000000274,-455.49999999999744,-474.899999999998,-449.59999999999684,-455.400000000003,-446.3000000000033,-2670.5000000000014
260,574,-433.6000000000029,-480.99999999999875,-504.29999999999944,-490.9000000000007,-456.80000000000183,-473.1000000000037,-2839.7000000000075
270,545,-419.6000000000034,-451.799999999997,-469.69999999999845,-446.49999999999653,-442.00000000000165,-472.60000000000235,-2702.1999999999994
280,573,-418.90000000000066,-505.30000000000246,-510.9000000000016,-480.099999999997,-481.8000000000018,-497.7000000000041,-2894.7000000000075
290,570,-421.4000000000023,-486.69999999999845,-520.2000000000025,-484.199999999998,-505.1000000000059,-501.70000000000533,-2919.3000000000125
300,678,-499.0000000000024,-577.699999999997,-599.0999999999982,-585.8999999999993,-598.700000000003,-621.8000000000034,-3482.200000000003
310,460,-315.80000000000047,-386.30000000000075,-386.9999999999998,-376.4999999999997,-344.90000000000055,-359.80000000000194,-2170.3000000000034
320,531,-381.7000000000029,-436.7999999999981,-458.30000000000064,-436.6999999999982,-414.8000000000003,-445.0000000000022,-2573.3000000000025
330,747,-543.8000000000012,-645.2999999999964,-701.1000000000035,-671.600000000001,-689.500000000008,-707.000000000009,-3958.3000000000193
340,667,-519.700000000004,-590.900000000001,-590.0999999999997,-592.400000000002,-581.5000000000053,-614.4000000000059,-3489.000000000018
350,568,-383.4000000000015,-456.89999999999736,-481.9999999999963,-452.6999999999961,-437.2999999999995,-452.50000000000233,-2664.7999999999934
360,495,-334.6000000000005,-399.99999999999795,-415.6999999999991,-394.8999999999978,-369.0999999999986,-384.2000000000021,-2298.499999999996
370,459,-315.80000000000183,-388.9999999999994,-386.1999999999976,-372.3999999999983,-359.29999999999956,-366.900000000002,-2189.5999999999985
380,515,-381.70000000000044,-457.6999999999994,-452.70000000000016,-431.79999999999734,-438.9000000000011,-465.0000000000023,-2627.8000000000006
390,543,-388.50000000000114,-468.2000000000006,-481.3000000000015,-451.3999999999962,-448.90000000000094,-462.3000000000023,-2700.6000000000026
400,558,-373.90000000000146,-453.9999999999979,-470.8999999999964,-446.1999999999966,-420.70000000000147,-446.80000000000325,-2612.4999999999973
410,494,-344.60000000000053,-412.39999999999816,-414.5999999999981,-402.29999999999825,-389.70000000000016,-408.70000000000135,-2372.2999999999965
420,667,-534.7000000000045,-590.8000000000006,-617.3000000000027,-584.4999999999985,-609.3000000000058,-633.000000000008,-3569.6000000000195
430,477,-348.40000000000236,-396.49999999999824,-417.999999999999,-396.5999999999992,-394.5999999999994,-402.0000000000027,-2356.100000000001
440,574,-443.50000000000364,-496.29999999999745,-501.9,-482.19999999999675,-491.4000000000048,-519.8000000000058,-2935.100000000008
450,652,-542.9000000000048,-577.0999999999977,-580.299999999997,-586.1000000000001,-591.4000000000037,-609.3000000000043,-3487.1000000000076
460,510,-388.90000000000254,-453.7999999999977,-452.69999999999914,-444.39999999999793,-465.5000000000033,-455.90000000000265,-2661.2000000000035
470,523,-373.60000000000144,-428.99999999999847,-439.8999999999978,-428.89999999999804,-400.800000000002,-436.00000000000324,-2508.200000000001
