Episode,Steps,Agent0,Agent1,Agent2,Agent3,Agent4,Agent5,Total
0,1999,-2060.89999999993,-2110.3999999999246,-2118.699999999925,-2118.699999999926,-2145.9999999999222,-2162.8999999999214,-12717.59999999955
10,864,-627.100000000002,-749.4999999999967,-759.3999999999954,-734.5999999999927,-807.800000000006,-868.5000000000111,-4546.900000000004
20,1999,-2010.2999999999345,-2103.199999999926,-2113.3999999999232,-2087.099999999925,-2132.299999999924,-2144.899999999923,-12591.199999999555
30,948,-717.9999999999983,-837.9999999999945,-873.1999999999994,-844.5999999999972,-924.1000000000091,-962.1000000000147,-5160.000000000014
40,1999,-1837.1999999999377,-2033.899999999922,-2041.7999999999197,-2000.7999999999186,-2117.6999999999234,-2117.799999999925,-12149.199999999546
50,1999,-1944.0000000000002,-2111.3999999999546,-2096.6999999999616,-2141.6999999999407,-1969.8999999999724,-2090.299999999962,-12353.999999999793
60,1999,-2062.3999999999687,-2148.5999999999403,-2133.8999999999473,-2164.3999999999332,-2034.7999999999522,-2131.699999999947,-12675.799999999686
70,1999,-1944.7999999999997,-2112.5999999999544,-2113.899999999954,-2112.1999999999543,-2077.6999999999507,-2066.999999999974,-12428.199999999786
80,1999,-2028.6999999999587,-2127.899999999948,-2077.6999999999684,-2171.1999999999266,-2013.5999999999415,-2076.8999999999683,-12495.999999999713
90,1999,-2011.2999999999759,-2128.2999999999474,-2065.499999999975,-2081.099999999968,-1901.799999999968,-2015.2999999999938,-12203.299999999828
100,1999,-1918.3000000000013,-2125.9999999999477,-2068.3999999999687,-2122.0999999999476,-1821.4999999999638,-2113.6999999999484,-12169.999999999776
110,1999,-2057.3999999999405,-2097.4999999999613,-2035.4999999999877,-2167.5999999999267,-1773.8999999999648,-2061.399999999975,-12193.299999999756
120,1999,-1989.9999999999884,-2067.2999999999747,-2062.7999999999747,-2128.0999999999476,-1834.099999999959,-2045.4999999999814,-12127.799999999825
130,1999,-2109.5999999999262,-2048.4999999999814,-2046.0999999999813,-2188.099999999919,-1677.1999999999507,-2028.8999999999878,-12098.399999999747
140,1999,-2005.7999999999438,-2051.8999999999824,-2058.8999999999755,-2141.299999999934,-1741.0999999999533,-2009.8999999999949,-12008.899999999783
150,1999,-2018.6999999999318,-2039.7999999999895,-2030.9999999999886,-2171.19999999992,-1702.7999999999486,-2021.3999999999887,-11984.899999999767
160,1999,-2033.0999999999303,-2037.099999999989,-2029.5999999999885,-2176.0999999999194,-1700.3999999999487,-2026.9999999999882,-12003.299999999763
170,1999,-2071.599999999929,-2045.7999999999815,-2041.3999999999814,-2177.0999999999194,-1685.19999999995,-2022.6999999999878,-12043.79999999975
180,1999,-2020.7999999999324,-2035.4999999999886,-2025.4999999999877,-2168.4999999999195,-1711.5999999999485,-2019.899999999988,-11981.799999999765
190,1999,-2052.499999999931,-2034.2999999999881,-2024.9999999999877,-2172.7999999999197,-1691.3999999999496,-2017.5999999999876,-11993.599999999762
200,1999,-2065.599999999929,-2026.399999999988,-2030.5999999999879,-2183.899999999919,-1675.699999999951,-2029.2999999999877,-12011.499999999764
210,1999,-2071.6999999999293,-2038.499999999988,-2028.0999999999879,-2177.2999999999197,-1692.2999999999497,-2028.5999999999876,-12036.499999999762
220,1999,-2003.1999999999323,-2027.5999999999885,-2031.1999999999882,-2173.8999999999196,-1684.1999999999503,-2028.4999999999886,-11948.599999999768
230,1999,-1923.9999999999345,-1991.7999999999815,-2023.8999999999817,-2156.49999999992,-1703.399999999955,-2013.499999999981,-11813.099999999755
240,1999,-2004.8999999999328,-2026.199999999982,-2033.5999999999817,-2169.3999999999196,-1705.699999999955,-2027.1999999999816,-11966.999999999753
250,1666,-1246.9999999999839,-1514.9000000000337,-1654.0999999999885,-1684.1999999999844,-1526.8999999999814,-1617.8999999999976,-9244.999999999969
