Episode,Steps,Agent0,Agent1,Agent2,Total
0,1669,-1166.0000000000057,-1599.2999999999597,-1434.6000000000067,-4199.899999999972
10,1249,-626.3999999999977,-1064.4999999999948,-909.6000000000163,-2600.5000000000086
20,1753,-1172.7999999999938,-1549.8999999999821,-1472.3000000000134,-4194.999999999989
30,1492,-967.7999999999996,-1375.9999999999754,-1153.4000000000196,-3497.199999999995
40,1828,-1347.9999999999952,-1717.3999999999583,-1611.399999999989,-4676.799999999942
50,1117,-737.7999999999957,-906.7999999999984,-791.2000000000093,-2435.8000000000034
60,1527,-1167.4000000000094,-1319.7999999999909,-1320.9000000000035,-3808.100000000004
70,1999,-1704.8999999999612,-1906.7999999999445,-1920.9999999999484,-5532.699999999854
80,1391,-1059.1000000000129,-1154.5999999999985,-1167.7000000000216,-3381.4000000000333
90,1170,-708.7000000000029,-908.7000000000011,-907.2000000000147,-2524.6000000000186
100,1659,-1283.2000000000012,-1502.5999999999842,-1438.1000000000001,-4223.899999999986
110,1221,-745.5000000000052,-956.0000000000055,-942.5000000000097,-2644.0000000000205
120,1172,-772.3000000000083,-981.5000000000117,-942.2000000000099,-2696.00000000003
130,1304,-945.600000000013,-1046.1000000000063,-1031.4000000000176,-3023.1000000000367
140,1543,-1167.8000000000113,-1334.7999999999843,-1316.2000000000069,-3818.800000000003
150,1681,-1267.3999999999946,-1516.4999999999761,-1545.9999999999734,-4329.899999999944
160,1530,-1158.7000000000035,-1362.5999999999822,-1291.300000000008,-3812.5999999999935
170,1600,-1211.900000000013,-1408.7999999999809,-1423.599999999981,-4044.2999999999747
180,1446,-960.0000000000051,-1327.29999999999,-1266.1000000000088,-3553.400000000004
190,1739,-1349.9000000000015,-1567.1999999999757,-1598.1999999999787,-4515.299999999956
200,1341,-893.7000000000074,-1169.8000000000013,-1137.1000000000067,-3200.6000000000154
210,1667,-1329.400000000003,-1447.0999999999865,-1482.9999999999834,-4259.499999999973
220,1412,-950.7000000000069,-1215.5000000000007,-1195.2000000000073,-3361.400000000015
230,1279,-889.3000000000072,-1053.5000000000027,-1047.5000000000202,-2990.30000000003
240,1051,-545.7999999999995,-793.7000000000045,-776.8000000000126,-2116.3000000000166
250,1008,-521.300000000002,-742.7000000000065,-731.800000000002,-1995.8000000000106
260,1501,-1130.5000000000132,-1272.9999999999943,-1242.9000000000099,-3646.400000000017
270,1306,-898.4000000000096,-1105.9000000000044,-1107.9000000000142,-3112.200000000028
280,1424,-965.0000000000068,-1290.1999999999969,-1225.7000000000164,-3480.9000000000196
290,1464,-1048.200000000012,-1286.899999999992,-1326.0999999999867,-3661.1999999999907
300,1724,-1267.7000000000035,-1545.3999999999733,-1567.8999999999912,-4380.999999999968
310,1140,-699.4000000000041,-917.6000000000117,-945.9000000000096,-2562.9000000000256
