Episode,Steps,Agent0,Agent1,Agent2,Total
1,1999,-1801.9,-1935.4999999999482,-1877.8999999999844,-5615.299999999933
2,1999,-1851.3999999999708,-1914.7999999999586,-1983.9999999999557,-5750.199999999885
3,1999,-1790.7999999999813,-1940.299999999958,-1953.8999999999671,-5684.999999999906
4,1999,-1738.4999999999873,-1986.999999999938,-1884.9999999999918,-5610.499999999917
5,1999,-1808.9999999999857,-1926.5999999999485,-1898.7999999999913,-5634.399999999925
6,1999,-1718.3999999999835,-1843.599999999962,-1908.9999999999698,-5470.999999999915
7,1999,-1733.599999999985,-1946.499999999956,-1921.2999999999722,-5601.399999999913
8,1999,-1801.2999999999818,-1958.8999999999603,-1907.8999999999814,-5668.099999999924
9,1999,-1732.6999999999878,-1941.5999999999588,-1885.2999999999713,-5559.599999999918
11,1999,-1780.3999999999808,-1954.1999999999418,-1928.2999999999818,-5662.899999999904
12,1999,-1763.9999999999818,-1919.4999999999593,-1922.199999999984,-5605.699999999924
13,1999,-1837.5999999999806,-1908.3999999999448,-1859.6999999999832,-5605.699999999909
14,1999,-1791.999999999979,-1894.7999999999547,-1934.7999999999874,-5621.599999999921
15,1999,-1776.2999999999768,-1945.099999999952,-1864.1999999999762,-5585.599999999905
16,1999,-1876.5999999999829,-2012.2999999999422,-2000.7999999999695,-5889.699999999894
17,1999,-1711.999999999986,-1883.399999999965,-1896.8999999999849,-5492.299999999936
18,1999,-1759.6999999999841,-1936.7999999999513,-1934.4999999999895,-5630.999999999925
19,1999,-1696.5999999999874,-1898.5999999999601,-1970.7999999999818,-5565.999999999929
21,1999,-1713.799999999994,-1952.0999999999474,-1927.1999999999796,-5593.099999999921
22,1999,-1791.899999999982,-1924.499999999965,-1982.9999999999757,-5699.399999999922
23,1999,-1888.0999999999751,-1939.499999999956,-1959.699999999977,-5787.299999999908
24,1999,-1776.5999999999783,-1988.099999999954,-1891.4999999999845,-5656.199999999917
25,1796,-1308.6000000000047,-1540.6999999999746,-1529.7000000000414,-4379.000000000021
26,949,-497.7000000000007,-711.200000000003,-693.5000000000061,-1902.4000000000099
27,1070,-500.5999999999981,-737.0,-747.8000000000075,-1985.4000000000055
28,1000,-477.1000000000003,-739.9000000000007,-727.1000000000081,-1944.100000000009
29,1307,-804.4000000000036,-1081.400000000005,-1067.4000000000133,-2953.200000000022
31,881,-436.3999999999992,-627.3000000000002,-637.300000000003,-1701.0000000000023
32,968,-454.69999999999953,-681.6999999999999,-722.9000000000015,-1859.3000000000009
33,953,-482.9999999999984,-689.3999999999999,-679.0000000000058,-1851.4000000000042
34,1050,-524.1999999999996,-768.4999999999968,-820.8000000000108,-2113.5000000000073
35,1012,-487.1999999999989,-696.4999999999969,-782.3000000000109,-1966.0000000000066
36,1075,-487.2999999999967,-717.7999999999959,-858.1000000000143,-2063.200000000007
37,958,-501.4999999999985,-714.5999999999989,-707.3000000000114,-1923.4000000000087
38,952,-445.39999999999816,-632.2000000000004,-708.7000000000053,-1786.3000000000038
39,1011,-460.1999999999978,-677.4999999999985,-784.800000000003,-1922.499999999999
41,864,-399.6999999999991,-587.4000000000007,-637.2000000000032,-1624.300000000003
42,983,-445.2999999999976,-688.4000000000011,-761.0000000000068,-1894.7000000000055
43,884,-418.9999999999995,-569.2000000000023,-637.6000000000005,-1625.8000000000025
44,991,-446.79999999999956,-694.5999999999946,-713.9000000000046,-1855.2999999999988
45,986,-520.7000000000012,-720.0000000000023,-736.900000000007,-1977.6000000000104
46,946,-446.99999999999784,-663.5999999999981,-726.2000000000072,-1836.800000000003
47,788,-374.3999999999995,-521.6000000000034,-560.7999999999989,-1456.800000000002
48,941,-427.3999999999976,-691.6999999999962,-673.4000000000048,-1792.4999999999986
49,824,-383.2999999999999,-550.9000000000021,-563.4999999999977,-1497.6999999999998
51,920,-426.4999999999992,-618.4000000000016,-632.500000000002,-1677.4000000000028
52,869,-414.5999999999997,-610.2999999999995,-589.1999999999997,-1614.099999999999
53,954,-433.9000000000001,-618.1000000000001,-648.1000000000035,-1700.1000000000038
54,1007,-445.99999999999886,-686.2999999999967,-672.6000000000054,-1804.900000000001
55,891,-473.10000000000053,-648.7000000000069,-625.9000000000016,-1747.700000000009
56,777,-370.2000000000002,-497.6000000000029,-537.4999999999974,-1405.3000000000006
57,1022,-538.1000000000016,-761.6999999999961,-772.1000000000095,-2071.900000000007
58,1331,-843.4000000000061,-1112.9000000000012,-1100.7000000000112,-3057.0000000000186
59,1067,-480.49999999999767,-713.1999999999967,-707.0000000000073,-1900.7000000000016
61,781,-376.30000000000024,-547.9000000000028,-535.3999999999963,-1459.5999999999995
62,875,-416.0000000000005,-608.1000000000013,-595.7000000000008,-1619.8000000000025
63,868,-403.3999999999999,-591.300000000001,-579.0999999999987,-1573.7999999999997
64,1018,-449.89999999999833,-691.4999999999968,-669.7000000000048,-1811.1
65,989,-451.6999999999986,-683.3999999999975,-659.2000000000045,-1794.3000000000006
66,971,-498.9000000000019,-694.499999999997,-666.6000000000037,-1860.0000000000027
67,944,-471.29999999999876,-720.8000000000005,-682.5000000000093,-1874.6000000000085
68,822,-368.1000000000002,-551.3000000000027,-547.9999999999962,-1467.3999999999992
69,1063,-622.8000000000031,-828.5000000000015,-815.6000000000098,-2266.9000000000146
71,956,-533.0000000000022,-738.9000000000013,-719.4000000000136,-1991.300000000017
72,940,-426.5999999999977,-664.1999999999966,-638.1000000000031,-1728.8999999999974
73,1054,-613.2000000000021,-824.1999999999985,-788.5000000000122,-2225.900000000013
74,1177,-640.2000000000008,-886.7000000000008,-891.2000000000095,-2418.1000000000113
75,1151,-710.0000000000027,-993.1000000000058,-944.1000000000203,-2647.200000000029
76,883,-405.7999999999987,-597.8000000000011,-589.5999999999996,-1593.1999999999994
77,940,-428.99999999999886,-628.8000000000006,-628.0000000000016,-1685.800000000001
78,851,-487.40000000000293,-640.4000000000066,-587.9000000000001,-1715.7000000000096
79,962,-470.6999999999994,-695.0999999999968,-680.5000000000085,-1846.3000000000047
81,1170,-699.5000000000028,-970.0000000000038,-915.8000000000179,-2585.3000000000247
82,1447,-1004.0000000000058,-1255.6999999999948,-1282.400000000004,-3542.100000000005
83,905,-410.3999999999992,-615.9000000000024,-604.7999999999997,-1631.1000000000013
84,818,-373.2999999999995,-562.1000000000031,-544.8999999999961,-1480.2999999999988
85,1011,-585.4000000000024,-796.6000000000016,-803.6000000000104,-2185.6000000000145
86,823,-380.9999999999991,-551.6000000000024,-549.1999999999965,-1481.799999999998
87,946,-470.9999999999995,-729.1999999999987,-673.700000000001,-1873.8999999999992
88,1074,-607.9000000000018,-839.2000000000046,-781.4000000000078,-2228.500000000014
89,939,-447.49999999999864,-652.0999999999988,-631.7000000000024,-1731.2999999999997
91,914,-452.4999999999993,-639.3999999999977,-635.700000000004,-1727.6000000000008
92,952,-435.09999999999906,-647.099999999999,-630.8000000000021,-1713.0
93,1366,-945.7000000000066,-1174.6999999999978,-1173.2000000000235,-3293.6000000000276
94,1093,-685.9000000000069,-875.2000000000066,-858.300000000014,-2419.400000000028
95,854,-418.499999999999,-640.2000000000021,-595.5000000000014,-1654.2000000000025
96,920,-421.2999999999982,-633.5000000000007,-616.7000000000012,-1671.5
97,1090,-656.3000000000045,-868.5999999999989,-872.900000000017,-2397.80000000002
98,955,-540.3000000000004,-696.900000000003,-697.0000000000095,-1934.200000000013
99,969,-436.89999999999833,-643.1999999999995,-637.7000000000028,-1717.8000000000006
101,1105,-688.4000000000055,-835.900000000005,-880.6000000000039,-2404.9000000000146
102,944,-463.29999999999944,-663.0999999999998,-676.1000000000033,-1802.5000000000025
103,992,-543.5000000000039,-750.7000000000083,-757.4999999999998,-2051.7000000000116
