Episode,Steps,Agent0,Agent1,Agent2,Agent3,Agent4,Agent5,Total
1,1327,-1220.4999999999964,-1293.299999999992,-1274.5000000000127,-1256.599999999992,-1261.1999999999969,-1259.0999999999917,-7565.1999999999825
2,1313,-1261.8999999999887,-1275.000000000007,-1270.8999999999983,-1255.4999999999895,-1251.0,-1220.5999999999883,-7534.899999999972
3,1431,-1323.099999999991,-1369.6999999999985,-1389.4000000000053,-1353.100000000002,-1374.9000000000026,-1362.5999999999897,-8172.799999999988
4,1423,-1314.4999999999877,-1386.3999999999949,-1402.3000000000036,-1381.4000000000042,-1369.09999999999,-1356.2999999999881,-8209.999999999969
5,1296,-1195.5999999999915,-1276.7999999999893,-1269.5000000000073,-1250.2999999999981,-1247.2999999999968,-1248.8999999999949,-7488.399999999978
6,1306,-1217.9999999999955,-1290.4000000000058,-1263.999999999996,-1261.1000000000013,-1242.4000000000017,-1245.6999999999914,-7521.599999999991
7,1395,-1285.799999999993,-1364.399999999992,-1362.599999999994,-1331.9999999999945,-1322.2999999999963,-1343.0999999999904,-8010.199999999961
8,1328,-1223.2999999999977,-1283.2999999999959,-1324.8999999999967,-1274.2999999999884,-1270.1999999999932,-1276.5999999999938,-7652.599999999966
9,1223,-1104.2999999999984,-1188.5999999999904,-1180.599999999999,-1147.700000000004,-1140.0999999999958,-1155.8999999999958,-6917.199999999983
11,1612,-1482.8,-1577.599999999986,-1593.000000000009,-1573.5999999999938,-1539.7999999999965,-1561.7999999999847,-9328.59999999997
12,1137,-993.2000000000015,-1098.4999999999961,-1092.6999999999966,-1079.4000000000049,-1060.3000000000043,-1059.5000000000018,-6383.600000000006
13,1305,-1210.5999999999979,-1293.2999999999965,-1257.200000000004,-1285.1000000000022,-1237.299999999994,-1243.3999999999912,-7526.899999999986
14,1209,-1115.4000000000015,-1180.1999999999912,-1165.9999999999982,-1167.9000000000049,-1133.4999999999961,-1136.699999999994,-6899.699999999986
15,1205,-1095.4999999999934,-1158.7000000000128,-1183.9000000000005,-1154.2999999999972,-1155.8999999999946,-1127.7999999999938,-6876.099999999993
