Episode,Steps,Agent0,Agent1,Agent2,Agent3,Agent4,Agent5,Total
0,692,-556.5000000000059,-613.0999999999967,-629.3999999999993,-651.3000000000011,-627.4000000000029,-633.6000000000031,-3711.300000000009
10,1999,-1978.799999999973,-2099.5999999999267,-2022.9999999999673,-2033.5999999999651,-2100.599999999926,-2009.5999999999776,-12245.199999999735
20,712,-545.3000000000017,-609.0999999999954,-615.3999999999944,-619.7999999999975,-593.9000000000005,-611.9000000000025,-3595.3999999999915
30,924,-775.8999999999953,-799.6999999999913,-836.4999999999956,-835.0999999999973,-824.1999999999998,-844.9000000000045,-4916.299999999984
40,1999,-1991.4000000000005,-2082.3999999999683,-2148.99999999994,-2132.599999999947,-1917.8999999999787,-2149.1999999999402,-12422.499999999776
50,1999,-1991.5,-2165.299999999933,-2132.4999999999472,-2115.8999999999546,-2015.0999999999765,-2148.89999999994,-12569.199999999752
60,1999,-2023.8999999999764,-2120.7999999999424,-2059.399999999975,-2061.2999999999747,-2068.9999999999686,-1959.800000000012,-12294.19999999985
70,1999,-1973.7999999999997,-2079.1999999999625,-2111.099999999955,-2088.699999999962,-1951.1999999999837,-2061.5999999999744,-12265.599999999838
80,1352,-1076.2999999999788,-1243.0000000000064,-1334.7999999999956,-1326.799999999994,-1277.2999999999922,-1269.4999999999986,-7527.699999999966
90,1399,-1070.399999999985,-1253.3000000000131,-1378.3999999999924,-1363.8000000000018,-1220.2999999999931,-1327.8999999999915,-7614.099999999977
100,981,-745.0999999999948,-895.6999999999988,-948.2000000000021,-902.4999999999947,-882.6000000000068,-890.9999999999922,-5265.0999999999885
110,1278,-966.099999999982,-1159.69999999999,-1225.5999999999997,-1235.9999999999945,-1132.3999999999942,-1169.4999999999995,-6889.299999999959
120,854,-629.9000000000001,-778.8000000000023,-806.8000000000005,-777.9999999999974,-709.7000000000036,-763.8999999999922,-4467.099999999996
130,764,-557.9000000000028,-643.7999999999937,-707.6000000000021,-667.699999999997,-600.9999999999994,-705.1999999999974,-3883.199999999993
140,654,-472.90000000000316,-560.4999999999977,-629.1000000000056,-552.4999999999937,-538.1000000000034,-606.6000000000048,-3359.700000000009
150,635,-484.6000000000027,-542.6999999999973,-595.4000000000062,-555.2000000000003,-518.600000000004,-585.4000000000065,-3281.900000000017
160,634,-463.20000000000425,-542.5999999999971,-601.0000000000031,-525.3999999999949,-500.3999999999984,-568.7000000000028,-3201.3
170,625,-490.0000000000033,-542.9999999999993,-583.700000000006,-556.4000000000027,-530.7000000000037,-544.8000000000053,-3248.60000000002
180,603,-447.0000000000024,-534.9999999999998,-563.1000000000038,-508.79999999999495,-490.8000000000018,-560.7000000000019,-3105.400000000004
