Episode,Steps,Agent0,Agent1,Agent2,Total
0,808,-385.6000000000012,-586.800000000006,-546.099999999996,-1518.5000000000032
10,957,-469.30000000000024,-674.8000000000028,-660.4000000000016,-1804.5000000000045
20,971,-473.50000000000136,-697.8999999999992,-665.4000000000018,-1836.8000000000025
30,869,-416.60000000000065,-617.0000000000036,-581.1999999999986,-1614.800000000003
40,919,-445.20000000000033,-657.9999999999994,-636.2000000000023,-1739.4000000000021
50,823,-401.6000000000005,-572.3000000000052,-559.5999999999965,-1533.5000000000023
60,824,-422.1000000000019,-587.4000000000057,-549.2999999999965,-1558.800000000004
70,898,-465.80000000000194,-668.0000000000041,-642.5000000000015,-1776.3000000000075
80,811,-385.4999999999996,-594.500000000006,-571.999999999996,-1552.0000000000018
90,847,-396.0999999999994,-582.5000000000032,-581.7999999999972,-1560.3999999999999
100,877,-424.80000000000035,-617.6999999999998,-624.9999999999983,-1667.4999999999986
110,964,-498.4000000000021,-725.3000000000075,-667.5000000000022,-1891.2000000000116
120,804,-381.0000000000011,-569.3000000000056,-537.0999999999956,-1487.4000000000024
130,905,-420.8000000000002,-636.8000000000018,-634.9999999999986,-1692.6000000000006
140,897,-427.69999999999993,-666.8000000000047,-599.1999999999999,-1693.7000000000044
150,868,-424.3,-639.0000000000043,-615.099999999998,-1678.4000000000024
160,836,-399.80000000000075,-575.3000000000026,-558.4999999999974,-1533.6000000000008
170,821,-386.8000000000002,-583.5000000000034,-562.9999999999975,-1533.300000000001
180,838,-393.2999999999998,-606.2000000000045,-591.0999999999962,-1590.6000000000004
190,853,-427.3,-593.900000000001,-594.3999999999976,-1615.5999999999985
200,853,-406.9000000000018,-603.4000000000013,-588.1999999999977,-1598.500000000001
210,850,-414.69999999999993,-617.2000000000048,-578.8999999999986,-1610.8000000000034
220,913,-459.0000000000018,-692.9000000000083,-612.2000000000004,-1764.1000000000104
230,849,-406.20000000000033,-601.2000000000033,-591.5999999999977,-1599.0000000000014
240,917,-432.3000000000002,-680.8000000000073,-611.2000000000008,-1724.3000000000084
250,929,-449.20000000000056,-654.199999999999,-638.4000000000011,-1741.8000000000006
260,873,-396.40000000000015,-634.7000000000071,-595.1999999999979,-1626.3000000000052
270,794,-377.10000000000036,-551.6000000000055,-546.0999999999955,-1474.8000000000013
280,844,-392.1000000000015,-614.8000000000038,-590.4999999999964,-1597.4000000000017
290,831,-394.50000000000017,-594.9000000000025,-582.7999999999985,-1572.2000000000012
300,877,-421.8000000000015,-614.5000000000052,-588.8000000000001,-1625.1000000000067
310,835,-382.0999999999999,-606.9000000000066,-566.1999999999974,-1555.200000000004
320,857,-423.1000000000011,-612.7000000000038,-576.3999999999984,-1612.2000000000035
330,928,-446.9999999999998,-692.1000000000035,-645.7000000000031,-1784.8000000000065
340,854,-408.4000000000007,-598.5000000000055,-605.8999999999987,-1612.800000000005
350,922,-413.0999999999991,-636.7000000000002,-636.5000000000007,-1686.3
360,882,-413.5999999999993,-627.7000000000057,-639.500000000001,-1680.800000000006
370,845,-458.30000000000285,-600.5000000000057,-601.800000000001,-1660.6000000000095
380,750,-370.20000000000067,-520.1000000000043,-504.499999999995,-1394.8
390,832,-414.0000000000018,-587.4000000000057,-555.6999999999972,-1557.1000000000047
400,921,-411.19999999999914,-641.9000000000018,-629.8000000000005,-1682.9000000000015
410,882,-411.90000000000146,-609.6000000000012,-618.0999999999983,-1639.6000000000008
420,804,-380.70000000000056,-583.9000000000032,-546.4999999999969,-1511.1000000000008
430,786,-403.70000000000243,-543.0000000000047,-537.4999999999952,-1484.2000000000023
440,857,-408.20000000000033,-614.9000000000011,-597.9999999999976,-1621.099999999999
450,792,-414.40000000000185,-561.1000000000055,-538.4999999999966,-1514.0000000000039
460,732,-358.90000000000003,-533.7000000000038,-504.4999999999954,-1397.0999999999992
470,918,-427.7000000000003,-662.8000000000028,-642.6999999999999,-1733.200000000003
480,867,-451.99999999999994,-622.3000000000042,-585.7999999999995,-1660.1000000000035
490,780,-376.5999999999994,-551.0000000000052,-532.2999999999957,-1459.9000000000005
500,835,-385.40000000000055,-579.5000000000057,-569.7999999999993,-1534.7000000000055
510,750,-388.9000000000022,-506.6000000000041,-502.69999999999436,-1398.2000000000007
520,926,-434.40000000000117,-660.6000000000026,-633.3000000000004,-1728.3000000000043
530,784,-354.80000000000007,-534.6000000000047,-527.4999999999948,-1416.8999999999996
540,879,-435.0000000000017,-650.2000000000045,-608.4000000000001,-1693.6000000000063
550,955,-574.0000000000008,-712.0000000000057,-656.0000000000038,-1942.00000000001
560,775,-384.9000000000007,-547.4000000000055,-537.3999999999957,-1469.700000000002
570,889,-446.9000000000024,-633.6000000000057,-599.1999999999999,-1679.700000000008
580,869,-447.9000000000014,-622.500000000006,-609.9999999999992,-1680.4000000000065
590,737,-355.2000000000003,-513.600000000004,-514.9999999999964,-1383.8000000000006
600,929,-440.4000000000008,-673.9000000000044,-641.8000000000009,-1756.100000000006
610,818,-381.70000000000033,-550.4000000000049,-544.6999999999966,-1476.8000000000018
620,886,-425.5000000000013,-624.2999999999997,-607.500000000001,-1657.300000000002
630,778,-393.30000000000155,-566.9000000000057,-522.0999999999951,-1482.3000000000025
640,854,-420.1000000000015,-631.700000000007,-571.6999999999983,-1623.5000000000068
650,831,-374.20000000000056,-585.8000000000056,-562.3999999999968,-1522.4000000000028
660,828,-400.5000000000022,-586.2000000000033,-571.699999999997,-1558.4000000000024
670,785,-363.1999999999999,-536.4000000000046,-538.1999999999955,-1437.8
680,788,-372.69999999999953,-554.3000000000051,-544.0999999999956,-1471.1000000000001
690,832,-388.99999999999943,-597.8000000000064,-570.6999999999967,-1557.5000000000027
700,860,-403.0000000000014,-582.3000000000055,-592.4999999999967,-1577.8000000000038
710,797,-408.80000000000194,-538.9000000000029,-563.3999999999965,-1511.1000000000013
720,825,-432.6000000000013,-610.300000000006,-561.3999999999983,-1604.3000000000056
730,886,-388.2000000000003,-621.6000000000055,-601.0999999999995,-1610.900000000005
740,855,-410.5999999999999,-626.1000000000026,-614.3999999999968,-1651.0999999999995
750,829,-420.1000000000021,-585.0000000000059,-558.7999999999978,-1563.900000000006
760,825,-385.1,-616.3000000000072,-576.9999999999959,-1578.4000000000033
770,775,-347.89999999999884,-537.8000000000048,-539.3999999999961,-1425.1
780,852,-400.6000000000011,-599.7000000000063,-573.2999999999984,-1573.6000000000058
790,850,-419.3000000000019,-587.3000000000036,-566.4999999999982,-1573.1000000000035
800,861,-410.1000000000004,-578.8000000000056,-592.9999999999991,-1581.900000000005
810,845,-391.0000000000008,-583.0000000000036,-582.1999999999966,-1556.2000000000012
820,788,-354.30000000000064,-544.3000000000051,-535.8999999999954,-1434.5000000000011
830,837,-390.5999999999999,-583.6000000000056,-589.7999999999961,-1564.0000000000016
840,791,-387.50000000000136,-558.5000000000051,-550.9999999999957,-1497.0000000000023
850,803,-363.10000000000036,-539.8000000000042,-549.5999999999955,-1452.5
860,862,-422.4000000000005,-627.0000000000043,-597.6999999999979,-1647.1000000000026
870,760,-373.9000000000004,-515.5000000000048,-528.4999999999961,-1417.9000000000012
880,930,-445.4000000000002,-690.3000000000053,-645.3000000000006,-1781.0000000000061
890,864,-394.70000000000056,-610.000000000006,-584.4999999999986,-1589.2000000000053
900,781,-378.90000000000106,-558.4000000000053,-527.7999999999957,-1465.1000000000022
910,749,-362.1000000000007,-501.50000000000387,-518.3999999999962,-1382.000000000001
920,886,-417.90000000000043,-613.0000000000034,-609.2999999999987,-1640.2000000000025
930,938,-443.39999999999867,-669.2000000000024,-666.7000000000071,-1779.3000000000081
940,794,-384.2000000000003,-559.7000000000027,-553.6999999999971,-1497.6
950,760,-399.30000000000183,-526.9000000000051,-512.2999999999947,-1438.5000000000016
960,787,-374.70000000000067,-539.7000000000052,-545.7999999999959,-1460.2000000000016
970,888,-405.9000000000002,-635.6000000000065,-623.6999999999997,-1665.2000000000066
980,888,-412.799999999999,-662.5000000000072,-629.7,-1705.0000000000061
990,819,-387.60000000000065,-571.4000000000057,-548.399999999997,-1507.4000000000033
1000,812,-371.70000000000044,-586.6000000000064,-557.0999999999979,-1515.4000000000046
