Episode,Steps,Agent0,Agent1,Agent2,Total
1,1999,-1557.4999999999661,-1770.099999999936,-1735.6000000000033,-5063.199999999905
2,1377,-870.7000000000015,-1148.4999999999802,-1117.4000000000099,-3136.5999999999913
3,1789,-1362.599999999985,-1536.499999999947,-1551.3000000000154,-4450.399999999948
4,1511,-1192.2999999999945,-1258.699999999983,-1332.1999999999919,-3783.199999999969
5,1161,-719.3999999999986,-920.1999999999965,-959.3000000000114,-2598.9000000000065
6,1715,-1354.9999999999816,-1479.1999999999612,-1545.2999999999747,-4379.499999999917
7,1640,-1173.299999999992,-1468.6999999999607,-1381.50000000001,-4023.4999999999627
8,1566,-1153.8999999999971,-1289.9999999999757,-1357.5999999999954,-3801.499999999968
9,1578,-1129.2999999999965,-1316.099999999971,-1348.8000000000075,-3794.1999999999753
11,1522,-1100.9999999999977,-1295.2999999999772,-1305.4999999999986,-3701.7999999999734
12,1754,-1341.9999999999795,-1551.2999999999595,-1543.4999999999943,-4436.799999999934
13,1812,-1508.0999999999751,-1565.8999999999553,-1546.5999999999879,-4620.5999999999185
14,1420,-916.8000000000004,-1139.1999999999925,-1229.1000000000029,-3285.099999999996
15,1319,-958.4000000000038,-1080.89999999999,-1086.200000000022,-3125.500000000016
16,1999,-1661.7999999999472,-1822.7999999999445,-1818.0999999999526,-5302.699999999844
17,1594,-1242.79999999999,-1391.6999999999678,-1349.3999999999985,-3983.899999999956
18,1415,-997.9000000000051,-1171.9999999999884,-1168.9000000000094,-3338.800000000003
19,1880,-1514.2999999999768,-1641.399999999949,-1645.2999999999886,-4800.9999999999145
21,1682,-1185.4999999999905,-1471.3999999999603,-1521.2999999999925,-4178.1999999999425
22,1626,-1233.3999999999971,-1352.9999999999764,-1320.8000000000184,-3907.1999999999916
23,1636,-1143.8000000000034,-1419.7999999999665,-1373.500000000002,-3937.099999999972
24,1478,-1073.5999999999983,-1257.7999999999754,-1187.5000000000111,-3518.899999999985
25,1701,-1220.9999999999934,-1487.7999999999652,-1432.1000000000145,-4140.899999999972
26,1609,-1208.9999999999936,-1400.599999999965,-1374.399999999996,-3983.9999999999545
27,1999,-1579.9999999999657,-1781.8999999999455,-1719.9000000000049,-5081.7999999999165
28,1392,-911.7999999999982,-1142.2999999999859,-1122.400000000019,-3176.5000000000027
29,1742,-1336.9999999999825,-1513.0999999999565,-1521.5000000000011,-4371.59999999994
31,1465,-1074.4000000000026,-1263.0999999999738,-1266.0000000000061,-3603.4999999999827
32,1918,-1407.0999999999797,-1685.2999999999465,-1710.9999999999966,-4803.399999999922
33,1567,-1108.6999999999973,-1327.3999999999646,-1324.0000000000143,-3760.0999999999767
34,1631,-1192.6999999999966,-1359.0999999999733,-1359.0000000000107,-3910.799999999981
35,1156,-680.2999999999964,-926.8999999999999,-924.4000000000195,-2531.600000000016
36,948,-444.199999999999,-709.2000000000079,-701.7000000000049,-1855.1000000000117
37,935,-445.79999999999774,-717.4000000000083,-689.200000000004,-1852.40000000001
38,786,-375.29999999999814,-534.8000000000046,-555.9999999999975,-1466.1000000000004
39,866,-399.3000000000001,-603.0000000000034,-633.8000000000015,-1636.1000000000051
41,808,-391.3000000000002,-557.2000000000053,-575.399999999996,-1523.9000000000015
42,911,-431.1,-672.6000000000035,-682.600000000002,-1786.3000000000054
43,850,-396.9999999999995,-609.1000000000034,-593.999999999999,-1600.1000000000017
44,941,-467.7000000000011,-692.9000000000025,-659.3000000000029,-1819.9000000000065
45,910,-429.2999999999991,-688.6000000000053,-624.2000000000011,-1742.1000000000054
46,798,-371.60000000000105,-566.4000000000053,-560.9999999999962,-1499.0000000000027
47,796,-403.90000000000185,-578.800000000006,-548.2999999999975,-1531.0000000000052
48,874,-442.20000000000033,-612.2000000000006,-625.6000000000005,-1680.0000000000014
49,764,-392.3999999999998,-519.9000000000042,-519.7999999999951,-1432.099999999999
51,894,-441.70000000000164,-632.0000000000066,-618.9999999999991,-1692.7000000000073
52,783,-381.20000000000033,-566.400000000006,-542.7999999999954,-1490.4000000000017
53,910,-443.6000000000019,-688.2000000000081,-615.7000000000012,-1747.5000000000111
54,835,-399.40000000000117,-574.9000000000046,-558.1999999999975,-1532.5000000000034
55,827,-394.10000000000105,-589.6000000000058,-565.6999999999967,-1549.4000000000037
56,777,-392.500000000002,-536.100000000005,-518.0999999999946,-1446.7000000000016
57,902,-425.49999999999926,-665.2000000000062,-634.0000000000005,-1724.700000000006
58,921,-435.3999999999989,-670.200000000003,-636.7000000000004,-1742.3000000000025
59,927,-447.2000000000007,-682.5000000000053,-652.1000000000003,-1781.8000000000065
61,729,-336.30000000000035,-516.2000000000048,-494.79999999999507,-1347.3000000000002
62,855,-382.60000000000014,-610.5000000000008,-586.3999999999974,-1579.4999999999982
63,830,-442.100000000002,-611.0000000000068,-560.9999999999977,-1614.1000000000065
64,884,-417.10000000000116,-602.0000000000018,-608.2999999999985,-1627.4000000000015
65,931,-453.9000000000001,-654.7000000000013,-649.4000000000007,-1758.0000000000018
66,906,-454.6000000000025,-686.0000000000078,-614.4000000000007,-1755.000000000011
67,836,-386.1999999999993,-588.6000000000053,-575.5999999999993,-1550.4000000000037
68,827,-392.7000000000008,-566.3000000000051,-552.3999999999971,-1511.400000000003
69,824,-391.9999999999992,-576.5000000000038,-582.8999999999968,-1551.3999999999996
71,798,-416.50000000000176,-566.3000000000022,-549.1999999999953,-1531.9999999999993
72,871,-431.6000000000009,-608.4000000000057,-584.2999999999992,-1624.3000000000056
73,853,-446.6000000000018,-589.1000000000021,-575.6999999999975,-1611.4000000000015
74,875,-420.0000000000007,-617.2000000000038,-601.1999999999977,-1638.400000000002
75,876,-448.60000000000025,-659.6000000000021,-637.9000000000009,-1746.100000000003
76,800,-380.00000000000114,-548.6000000000047,-555.5999999999959,-1484.2000000000016
77,888,-428.8000000000002,-648.4000000000068,-620.2999999999988,-1697.500000000006
78,797,-397.2000000000015,-583.5000000000011,-542.9999999999969,-1523.6999999999996
79,855,-456.20000000000283,-611.0000000000053,-569.6999999999979,-1636.900000000006
81,889,-416.6999999999996,-638.0000000000005,-635.0000000000011,-1689.7000000000012
82,934,-518.4000000000007,-698.4000000000016,-701.6000000000065,-1918.4000000000087
83,858,-395.2999999999994,-576.7000000000045,-573.6999999999982,-1545.700000000002
84,816,-390.90000000000003,-567.4000000000051,-589.4999999999977,-1547.800000000003
85,794,-375.0000000000005,-583.6000000000062,-535.6999999999961,-1494.300000000003
86,748,-406.50000000000193,-545.3000000000055,-508.6999999999947,-1460.5000000000023
87,865,-417.10000000000036,-616.8000000000035,-606.9999999999976,-1640.9000000000015
88,860,-430.8000000000008,-616.4000000000058,-594.5999999999976,-1641.8000000000043
89,897,-446.4999999999987,-617.8000000000002,-630.1999999999982,-1694.499999999997
91,858,-409.50000000000017,-619.5000000000036,-593.9999999999976,-1623.0000000000014
92,818,-411.2000000000012,-538.9000000000027,-548.8999999999968,-1499.0000000000007
93,944,-506.6000000000002,-708.4000000000033,-709.800000000009,-1924.8000000000125
94,859,-448.2000000000017,-615.7000000000063,-587.6999999999996,-1651.6000000000076
95,766,-341.00000000000034,-544.4000000000048,-516.5999999999948,-1402.0
