Episode,Steps,Agent0,Agent1,Agent2,Total
0,1999,-2110.5999999999485,-2129.4999999999472,-2059.899999999934,-6299.99999999983
10,1999,-2133.999999999947,-2145.1999999999407,-2051.599999999928,-6330.799999999816
20,1999,-2139.6999999999343,-2161.499999999933,-2108.4999999999254,-6409.699999999793
30,1999,-2168.5999999999203,-2132.5999999999485,-2014.799999999947,-6315.999999999816
40,885,-425.5000000000019,-626.5000000000043,-590.8999999999994,-1642.9000000000055
50,793,-366.0000000000005,-553.4000000000053,-526.1999999999953,-1445.600000000001
60,778,-356.79999999999944,-534.2000000000043,-516.3999999999942,-1407.3999999999978
70,800,-369.70000000000124,-563.200000000005,-532.6999999999957,-1465.600000000002
80,788,-381.90000000000157,-564.8000000000053,-529.6999999999956,-1476.4000000000024
90,855,-435.60000000000093,-595.6000000000056,-572.3999999999982,-1603.600000000005
100,858,-398.69999999999993,-611.9000000000057,-603.2999999999968,-1613.9000000000024
110,932,-471.90000000000185,-693.7000000000069,-626.2000000000014,-1791.8000000000102
120,794,-361.00000000000085,-562.2000000000058,-537.7999999999948,-1461.0000000000014
130,889,-426.80000000000126,-637.1000000000067,-593.6999999999991,-1657.6000000000072
140,905,-439.29999999999944,-674.1000000000081,-621.1999999999988,-1734.6000000000063
150,850,-419.10000000000207,-627.1000000000042,-583.6999999999978,-1629.900000000004
160,890,-426.70000000000095,-685.8000000000083,-594.9999999999999,-1707.500000000009
170,845,-435.1000000000021,-599.700000000006,-586.5999999999976,-1621.4000000000058
180,847,-419.99999999999943,-599.0000000000051,-601.699999999999,-1620.7000000000035
190,834,-386.4999999999988,-584.5000000000052,-581.399999999996,-1552.4
200,849,-423.00000000000097,-599.6000000000057,-568.8999999999984,-1591.500000000005
210,815,-388.30000000000086,-558.4000000000049,-558.7999999999953,-1505.500000000001
220,866,-403.59999999999934,-605.9000000000028,-591.1999999999977,-1600.6999999999998
230,846,-402.80000000000143,-594.3000000000031,-592.2999999999964,-1589.400000000001
240,920,-460.4000000000003,-661.9000000000069,-619.000000000001,-1741.3000000000084
250,931,-444.80000000000103,-656.3999999999988,-643.7000000000005,-1744.9000000000003
260,882,-440.8000000000017,-629.9000000000041,-592.0999999999993,-1662.8000000000052
270,820,-400.5000000000012,-595.1000000000038,-562.5999999999972,-1558.200000000002
280,832,-394.70000000000124,-564.3000000000023,-598.1999999999974,-1557.2000000000012
290,810,-407.90000000000106,-567.9000000000057,-542.2999999999963,-1518.100000000003
300,870,-407.5000000000011,-616.100000000006,-575.3999999999982,-1599.0000000000055
310,834,-407.80000000000194,-564.6000000000026,-585.1999999999962,-1557.6000000000008
320,836,-420.00000000000085,-561.1000000000031,-568.2999999999972,-1549.4000000000012
330,885,-389.69999999999914,-618.8000000000009,-633.1000000000001,-1641.6000000000001
340,837,-392.200000000001,-577.400000000002,-583.3999999999965,-1552.9999999999995
350,959,-432.20000000000095,-713.4000000000075,-661.8000000000014,-1807.40000000001
360,808,-373.70000000000033,-524.8000000000045,-550.1999999999963,-1448.7000000000012
370,768,-359.1,-518.1000000000041,-525.2999999999954,-1402.4999999999995
380,792,-392.7000000000012,-585.2000000000057,-550.5999999999957,-1528.5000000000027
390,859,-422.60000000000144,-642.3000000000068,-575.2999999999981,-1640.2000000000064
400,910,-393.3999999999994,-634.6000000000064,-627.7999999999996,-1655.8000000000056
410,879,-414.9999999999996,-609.7000000000045,-609.5999999999985,-1634.3000000000027
420,763,-364.7000000000016,-512.6000000000038,-509.09999999999474,-1386.4
430,771,-373.30000000000115,-524.1000000000041,-533.899999999997,-1431.3000000000025
440,865,-436.3000000000021,-642.800000000007,-578.7999999999987,-1657.9000000000078
450,751,-354.4000000000017,-519.9000000000044,-502.0999999999945,-1376.4000000000005
460,707,-352.2000000000014,-492.10000000000423,-476.5999999999951,-1320.9000000000008
470,853,-375.10000000000053,-587.3000000000054,-568.5999999999983,-1531.0000000000043
480,842,-416.30000000000183,-603.4000000000061,-563.0999999999976,-1582.8000000000056
490,738,-363.0000000000006,-484.2000000000035,-488.29999999999444,-1335.4999999999986
500,822,-379.49999999999903,-559.6000000000039,-549.9999999999968,-1489.0999999999997
510,746,-377.4000000000008,-495.4000000000035,-511.59999999999565,-1384.3999999999999
520,896,-385.79999999999984,-629.3000000000038,-619.7999999999988,-1634.9000000000024
530,763,-341.30000000000064,-499.50000000000404,-508.3999999999947,-1349.1999999999994
540,825,-381.4000000000005,-572.4000000000049,-566.6999999999961,-1520.5000000000014
550,803,-374.9000000000002,-521.5000000000039,-537.4999999999962,-1433.9000000000003
560,776,-396.40000000000157,-539.9000000000049,-538.5999999999957,-1474.9000000000021
570,834,-373.10000000000076,-560.0000000000048,-562.5999999999967,-1495.7000000000023
580,788,-357.2000000000004,-537.6000000000049,-522.9999999999949,-1417.8000000000002
590,711,-349.6000000000016,-470.40000000000316,-481.69999999999544,-1301.7000000000003
600,888,-414.0000000000005,-601.0000000000018,-610.0999999999987,-1625.1000000000008
610,851,-396.20000000000033,-591.5000000000034,-590.4999999999973,-1578.200000000001
620,891,-422.00000000000114,-640.7000000000048,-615.699999999999,-1678.400000000005
630,764,-375.0000000000017,-545.0000000000051,-511.4999999999945,-1431.5000000000014
640,796,-361.4000000000004,-543.1000000000048,-536.3999999999947,-1440.9
650,815,-362.00000000000085,-544.1000000000047,-565.5999999999959,-1471.7000000000016
660,823,-370.30000000000007,-595.2000000000062,-574.199999999996,-1539.700000000002
670,806,-379.9000000000004,-559.5000000000051,-560.5999999999959,-1500.0000000000014
680,802,-371.59999999999997,-586.0000000000061,-559.0999999999962,-1516.700000000002
690,831,-419.1000000000015,-581.9000000000058,-556.9999999999975,-1558.0000000000048
700,863,-413.300000000001,-596.9000000000058,-576.5999999999983,-1586.8000000000052
710,764,-368.5000000000014,-513.200000000004,-521.4999999999953,-1403.2000000000007
720,755,-367.60000000000133,-487.60000000000304,-525.9999999999965,-1381.2000000000007
730,905,-428.7000000000009,-638.5000000000064,-602.1,-1669.3000000000075
740,819,-374.3000000000002,-593.8000000000044,-558.6999999999964,-1526.800000000001
750,834,-393.70000000000056,-614.6000000000039,-566.3999999999974,-1574.7000000000019
760,774,-362.3000000000009,-527.6000000000047,-533.899999999996,-1423.8000000000015
770,795,-404.3000000000031,-561.7000000000046,-533.3999999999959,-1499.4000000000037
780,835,-389.80000000000155,-567.2000000000035,-557.6999999999972,-1514.700000000002
790,837,-363.80000000000047,-571.7000000000058,-577.5999999999967,-1513.100000000003
800,886,-418.80000000000086,-628.6000000000043,-609.1999999999985,-1656.6000000000035
810,832,-372.20000000000033,-555.800000000002,-578.199999999996,-1506.1999999999982
820,820,-401.9000000000023,-591.800000000006,-548.1999999999966,-1541.9000000000049
830,856,-417.90000000000043,-619.5000000000059,-590.6999999999978,-1628.1000000000042
840,817,-420.50000000000284,-608.1000000000037,-553.3999999999975,-1582.000000000004
850,828,-389.4000000000012,-559.400000000002,-577.9999999999961,-1526.7999999999993
860,790,-365.49999999999983,-520.2000000000043,-532.2999999999948,-1417.999999999999
870,786,-406.50000000000216,-570.3000000000064,-529.1999999999956,-1506.000000000004
880,900,-423.30000000000064,-649.7000000000041,-617.1999999999997,-1690.2000000000044
890,845,-402.10000000000156,-554.6000000000021,-572.2999999999961,-1528.9999999999998
900,812,-410.4000000000021,-607.9000000000069,-544.8999999999966,-1563.2000000000057
