Episode,Steps,Agent0,Agent1,Agent2,Total
1,953,-491.40000000000197,-681.3000000000042,-644.9000000000029,-1817.600000000009
2,876,-422.70000000000016,-610.2000000000041,-607.1999999999985,-1640.1000000000026
3,925,-475.30000000000126,-672.100000000003,-626.6000000000018,-1774.000000000006
4,763,-382.2999999999995,-541.200000000005,-530.3999999999959,-1453.9000000000005
5,802,-418.8000000000023,-567.4000000000049,-545.1999999999971,-1531.4000000000042
6,823,-437.20000000000044,-572.1000000000031,-574.0999999999968,-1583.4000000000005
7,878,-439.2000000000013,-645.4000000000043,-613.599999999999,-1698.2000000000046
8,856,-409.30000000000024,-625.8000000000037,-591.4999999999978,-1626.6000000000017
9,917,-476.10000000000144,-678.3000000000047,-620.3000000000014,-1774.7000000000075
11,853,-402.9999999999999,-614.300000000006,-605.9999999999976,-1623.3000000000034
12,860,-450.70000000000044,-611.2000000000056,-606.4999999999977,-1668.4000000000037
13,853,-409.7000000000002,-621.1000000000071,-601.8999999999962,-1632.7000000000035
14,914,-463.4000000000006,-660.6000000000073,-613.8000000000008,-1737.8000000000088
15,776,-392.9000000000013,-552.600000000005,-520.0999999999948,-1465.6000000000013
16,813,-386.60000000000053,-580.2000000000061,-541.0999999999963,-1507.9000000000028
17,792,-399.30000000000035,-553.900000000004,-536.7999999999964,-1490.000000000001
18,851,-427.9000000000013,-601.9000000000059,-572.0999999999983,-1601.9000000000055
19,878,-425.4000000000009,-662.900000000008,-595.0999999999995,-1683.4000000000083
21,839,-393.09999999999957,-583.0000000000026,-607.6999999999997,-1583.800000000002
22,903,-413.20000000000005,-641.4000000000043,-619.6000000000001,-1674.2000000000046
23,923,-434.0999999999999,-673.1000000000067,-628.0999999999999,-1735.3000000000065
24,850,-437.0000000000015,-592.9000000000059,-572.3999999999983,-1602.3000000000056
25,901,-437.80000000000024,-647.000000000007,-632.8999999999977,-1717.7000000000048
26,864,-445.60000000000093,-624.0000000000017,-577.7999999999984,-1647.400000000001
27,1001,-539.3000000000028,-730.1000000000035,-670.2000000000037,-1939.6000000000101
28,933,-481.70000000000255,-690.9000000000083,-642.8000000000004,-1815.4000000000112
29,860,-408.0000000000001,-612.0000000000043,-598.0999999999983,-1618.1000000000026
31,750,-365.0000000000009,-534.8000000000052,-513.2999999999951,-1413.1000000000013
32,940,-459.0000000000003,-663.2999999999993,-670.9000000000012,-1793.2000000000007
33,896,-430.80000000000075,-661.2000000000047,-633.5999999999992,-1725.6000000000047
34,927,-433.4999999999982,-687.8000000000076,-639.5000000000006,-1760.800000000006
35,890,-438.8999999999999,-669.5000000000076,-614.8999999999987,-1723.3000000000063
36,876,-411.9,-622.7000000000041,-599.0999999999988,-1633.7000000000028
37,921,-476.0000000000023,-695.0000000000056,-640.2000000000003,-1811.200000000008
38,840,-452.70000000000095,-599.5000000000061,-592.9000000000005,-1645.1000000000076
39,828,-406.30000000000075,-566.7000000000027,-555.5999999999965,-1528.6
41,776,-374.3999999999988,-514.5000000000043,-533.5999999999964,-1422.4999999999995
42,864,-436.09999999999957,-616.3000000000062,-603.2999999999987,-1655.7000000000044
43,882,-447.50000000000045,-643.1000000000068,-604.1999999999988,-1694.800000000006
44,960,-489.29999999999933,-729.9000000000035,-664.8000000000026,-1884.0000000000055
45,887,-420.1000000000012,-652.5000000000067,-611.2999999999985,-1683.9000000000065
46,809,-389.2999999999998,-590.9000000000036,-547.7999999999965,-1528.0
47,787,-394.9000000000004,-565.1000000000048,-535.9999999999964,-1496.0000000000016
48,828,-402.80000000000047,-567.3000000000023,-570.9999999999965,-1541.0999999999995
49,762,-400.00000000000136,-510.3000000000041,-512.5999999999945,-1422.8999999999999
51,900,-469.4000000000008,-644.0000000000066,-604.4000000000007,-1717.800000000008
52,801,-428.90000000000083,-571.9000000000054,-545.2999999999972,-1546.1000000000035
53,928,-481.20000000000164,-702.7000000000086,-628.3000000000018,-1812.2000000000119
54,847,-411.3000000000004,-579.2000000000044,-581.5999999999965,-1572.1000000000013
55,909,-502.2000000000022,-670.7000000000048,-635.8999999999995,-1808.8000000000065
56,839,-417.400000000001,-644.3000000000079,-572.2999999999988,-1634.0000000000077
57,903,-458.00000000000085,-664.4000000000062,-605.1999999999999,-1727.6000000000072
58,939,-449.4000000000004,-680.9000000000025,-667.1000000000004,-1797.4000000000033
59,914,-446.3999999999997,-664.8000000000048,-622.5000000000009,-1733.7000000000055
61,815,-457.70000000000164,-603.3000000000069,-560.0999999999982,-1621.1000000000067
