Episode,Steps,Agent0,Agent1,Agent2,Agent3,Agent4,Agent5,Total
0,1999,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-13199.999999999507
10,1999,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-13199.999999999507
20,1052,-800.199999999995,-994.3000000000021,-991.6999999999999,-995.0000000000001,-1086.4000000000096,-1088.3000000000081,-5955.900000000015
30,997,-920.2000000000099,-917.4999999999962,-943.5999999999998,-925.5999999999966,-1028.300000000014,-968.5000000000052,-5703.700000000023
40,908,-755.5000000000017,-835.5999999999977,-806.5999999999922,-869.1000000000031,-910.0000000000115,-903.8000000000065,-5080.600000000013
50,673,-518.8000000000037,-607.9000000000001,-605.6999999999987,-607.5999999999983,-595.700000000003,-667.000000000005,-3602.700000000009
60,750,-595.5000000000055,-685.6999999999979,-681.9999999999972,-719.499999999999,-702.7000000000063,-760.9000000000087,-4146.300000000015
70,936,-764.3999999999974,-870.3999999999977,-917.4000000000054,-897.5999999999999,-943.2000000000119,-938.9000000000099,-5331.900000000022
80,638,-489.3000000000031,-582.7999999999981,-578.5999999999964,-575.3999999999979,-590.5000000000039,-639.7000000000049,-3456.3000000000043
90,583,-434.0000000000031,-521.0999999999981,-523.3999999999996,-494.6999999999961,-469.7999999999986,-568.6000000000046,-3011.6
100,730,-591.6000000000026,-671.1999999999987,-685.6999999999998,-652.6999999999964,-701.100000000006,-697.6000000000028,-3999.9000000000065
110,619,-503.90000000000595,-539.8999999999976,-543.0999999999997,-524.4999999999953,-534.3000000000015,-585.9000000000058,-3231.600000000006
120,621,-507.90000000000435,-556.5000000000007,-549.1999999999981,-571.4000000000041,-561.1000000000026,-582.1000000000065,-3328.200000000016
130,651,-532.5000000000048,-579.1999999999991,-605.2000000000029,-567.3999999999975,-583.400000000003,-585.6000000000024,-3453.3000000000093
140,724,-610.0000000000044,-665.1999999999985,-674.8000000000017,-642.0999999999943,-655.2000000000022,-685.7000000000035,-3933.0000000000045
150,689,-589.3000000000071,-611.1999999999963,-636.4000000000009,-620.2999999999988,-628.6000000000062,-658.0000000000022,-3743.8000000000116
160,707,-593.0000000000061,-646.4999999999987,-642.3999999999969,-657.400000000003,-639.6000000000023,-666.8000000000034,-3845.7000000000103
170,791,-684.3000000000076,-743.6000000000049,-770.7000000000082,-716.5000000000008,-746.4000000000068,-760.1000000000067,-4421.600000000035
180,689,-569.200000000005,-616.8999999999971,-652.8000000000044,-629.8999999999972,-633.900000000003,-641.300000000004,-3744.000000000011
190,814,-710.6000000000049,-743.2999999999952,-757.3000000000005,-772.6000000000046,-777.2000000000071,-783.0000000000034,-4544.0000000000155
200,691,-548.2000000000033,-640.7999999999987,-647.0000000000022,-628.7999999999981,-634.400000000005,-644.3000000000048,-3743.500000000012
210,743,-612.6000000000016,-688.6999999999998,-723.7000000000057,-669.4999999999993,-715.3000000000079,-694.7000000000056,-4104.50000000002
220,667,-572.2000000000054,-597.0999999999988,-613.9999999999962,-595.2000000000004,-583.8999999999991,-596.7000000000058,-3559.100000000006
230,595,-466.6000000000029,-538.0999999999989,-559.2000000000002,-527.1999999999945,-511.99999999999955,-529.600000000003,-3132.699999999999
240,565,-413.80000000000285,-498.50000000000006,-510.7999999999994,-470.5999999999962,-480.7000000000004,-479.60000000000514,-2854.0000000000036
250,686,-545.4000000000058,-612.3000000000003,-623.5000000000007,-608.5999999999998,-608.9000000000051,-622.8000000000085,-3621.50000000002
260,661,-560.3000000000054,-590.9000000000001,-576.1999999999972,-584.0999999999941,-593.9000000000036,-609.9000000000011,-3515.3000000000015
270,581,-460.20000000000294,-518.2999999999987,-550.6000000000018,-531.2,-505.00000000000244,-501.8000000000044,-3067.1000000000104
280,677,-542.5000000000033,-609.1999999999965,-637.3000000000023,-607.2999999999982,-644.4000000000034,-603.0000000000001,-3643.700000000004
290,732,-610.7000000000056,-669.1000000000018,-685.4000000000027,-676.5000000000018,-687.4000000000068,-698.4000000000077,-4027.500000000027
300,746,-612.3000000000045,-673.6999999999978,-712.1000000000017,-675.5999999999968,-691.800000000002,-683.2000000000005,-4048.7000000000035
310,605,-492.9000000000033,-548.9000000000002,-552.9999999999985,-524.799999999999,-562.100000000003,-526.7000000000037,-3208.400000000008
320,619,-483.7000000000048,-544.6999999999997,-557.5999999999992,-549.0999999999993,-549.7000000000063,-574.2000000000064,-3259.0000000000155
330,974,-834.8000000000075,-916.900000000002,-938.5000000000018,-926.8000000000025,-936.5000000000113,-962.8000000000147,-5516.300000000039
340,721,-625.6000000000054,-644.4999999999989,-656.3999999999985,-668.0000000000005,-649.4000000000029,-686.4000000000032,-3930.3000000000093
350,594,-438.1000000000022,-502.29999999999626,-526.0999999999992,-502.0999999999953,-504.59999999999985,-519.900000000005,-2993.099999999998
360,525,-407.0000000000025,-449.90000000000026,-464.2999999999987,-450.2999999999986,-420.200000000001,-455.40000000000333,-2647.1000000000045
370,525,-414.9000000000022,-458.59999999999764,-464.6999999999978,-477.1999999999989,-453.20000000000084,-458.8000000000029,-2727.4
380,815,-693.8000000000033,-777.2000000000015,-780.0000000000022,-786.8000000000047,-784.8000000000103,-800.600000000009,-4623.200000000031
390,664,-524.7000000000032,-600.0,-615.8999999999993,-584.2999999999964,-619.7000000000046,-612.7000000000061,-3557.30000000001
400,548,-403.2000000000017,-460.19999999999897,-475.4999999999983,-459.2999999999991,-447.90000000000117,-448.5000000000022,-2694.6000000000013
410,758,-647.7000000000079,-688.1999999999996,-721.1000000000014,-696.6999999999999,-687.7000000000066,-684.4000000000024,-4125.8000000000175
420,869,-741.700000000001,-818.0000000000002,-840.2000000000027,-808.9000000000004,-857.80000000001,-859.4000000000091,-4926.000000000023
430,565,-443.1000000000012,-511.89999999999964,-510.20000000000016,-505.000000000001,-509.7000000000032,-507.20000000000255,-2987.1000000000076
440,791,-684.1000000000072,-736.1000000000004,-762.800000000006,-716.199999999996,-726.1000000000068,-767.8000000000073,-4393.100000000024
450,734,-617.200000000004,-692.1000000000001,-675.9999999999987,-681.0000000000005,-702.5000000000053,-729.3000000000051,-4098.100000000014
460,584,-474.6000000000023,-544.2000000000014,-536.8999999999993,-546.0000000000015,-541.9000000000029,-554.400000000003,-3198.00000000001
470,677,-519.5000000000034,-585.8999999999974,-595.1999999999966,-616.5,-598.7000000000048,-641.000000000006,-3556.8000000000084
480,762,-639.4000000000015,-702.0999999999988,-730.5000000000026,-698.9999999999976,-704.9000000000026,-726.0000000000042,-4201.900000000008
490,685,-608.1000000000055,-623.0999999999971,-645.5000000000018,-642.6000000000015,-646.9000000000051,-615.4000000000012,-3781.600000000012
