Episode,Steps,Agent0,Agent1,Agent2,Agent3,Agent4,Agent5,Total
1,603,-462.9000000000026,-530.8000000000012,-533.3999999999972,-506.0999999999957,-510.8000000000051,-524.0000000000036,-3068.0000000000055
2,450,-320.3000000000019,-370.299999999999,-374.89999999999804,-373.2999999999997,-342.20000000000147,-365.70000000000266,-2146.7000000000025
3,595,-451.90000000000305,-512.6999999999988,-550.1000000000023,-506.1999999999969,-495.79999999999984,-523.6000000000039,-3040.3000000000047
4,469,-375.900000000003,-397.4999999999993,-410.3999999999998,-397.2999999999986,-374.4000000000007,-412.3000000000018,-2367.8000000000034
5,490,-374.50000000000284,-438.1000000000008,-426.4999999999977,-422.9999999999996,-399.9000000000013,-425.20000000000186,-2487.2000000000044
6,445,-329.70000000000186,-381.1999999999997,-386.39999999999895,-371.7999999999988,-350.80000000000234,-373.4000000000026,-2193.3000000000047
7,495,-366.3000000000022,-427.90000000000146,-437.0999999999991,-416.0999999999979,-407.6000000000017,-410.70000000000215,-2465.700000000005
8,530,-397.5000000000024,-459.5999999999968,-477.3999999999995,-452.0999999999997,-451.3000000000004,-462.8000000000025,-2700.700000000001
9,523,-389.40000000000236,-452.2000000000002,-455.3000000000011,-434.5999999999971,-414.60000000000076,-457.2000000000037,-2603.3000000000056
11,477,-357.5000000000001,-395.6999999999988,-411.4999999999991,-399.8999999999992,-371.1000000000019,-376.8000000000035,-2312.5000000000027
12,485,-374.70000000000385,-419.5999999999994,-419.9999999999993,-410.3999999999994,-398.3000000000025,-405.00000000000244,-2428.000000000007
13,488,-378.1000000000033,-419.1000000000013,-424.89999999999867,-410.19999999999874,-395.80000000000047,-421.90000000000134,-2450.0000000000036
14,544,-419.80000000000365,-485.4000000000044,-474.9999999999977,-462.59999999999945,-445.6000000000016,-457.20000000000454,-2745.6000000000113
15,451,-338.30000000000183,-389.1999999999988,-399.3999999999992,-394.4000000000011,-365.2000000000029,-374.6000000000022,-2261.1000000000063
16,496,-374.50000000000284,-413.2999999999983,-439.90000000000026,-421.2999999999988,-404.90000000000083,-420.10000000000264,-2474.0000000000036
17,424,-313.40000000000117,-360.1000000000001,-356.0999999999989,-358.0000000000001,-342.80000000000234,-359.10000000000156,-2089.5000000000045
18,486,-357.9000000000026,-416.9000000000017,-426.9000000000011,-405.9999999999973,-389.70000000000323,-414.00000000000375,-2411.4000000000096
19,554,-451.40000000000424,-492.30000000000257,-484.2999999999978,-473.9999999999988,-475.00000000000495,-482.50000000000296,-2859.500000000011
21,550,-433.4000000000032,-480.59999999999917,-487.9,-465.29999999999717,-432.20000000000067,-489.90000000000447,-2789.3000000000047
22,583,-452.1000000000046,-500.59999999999997,-518.4,-488.6999999999958,-495.7000000000032,-516.5000000000048,-2972.000000000008
23,527,-373.4000000000024,-448.3000000000001,-464.79999999999984,-446.50000000000034,-434.90000000000015,-436.3000000000034,-2604.200000000006
24,529,-401.70000000000203,-459.0000000000007,-476.10000000000116,-457.89999999999964,-444.40000000000254,-446.700000000004,-2685.8000000000097
25,574,-451.200000000003,-502.39999999999975,-518.2000000000023,-479.09999999999644,-483.6000000000018,-495.10000000000315,-2929.6000000000067
26,549,-432.7000000000035,-476.6999999999998,-489.3999999999998,-473.39999999999924,-458.4000000000006,-462.80000000000285,-2793.400000000006
27,594,-442.900000000004,-506.099999999998,-521.2999999999993,-509.19999999999806,-498.30000000000325,-508.00000000000324,-2985.8000000000056
28,534,-409.8000000000035,-458.5000000000008,-451.6999999999961,-464.89999999999986,-414.1,-461.8000000000036,-2660.800000000004
29,542,-424.1000000000022,-457.89999999999685,-499.40000000000157,-454.7999999999987,-445.50000000000017,-443.80000000000405,-2725.5000000000036
31,464,-365.50000000000307,-405.000000000001,-397.9999999999991,-395.29999999999933,-379.5000000000023,-423.4000000000024,-2366.700000000007
32,522,-363.5000000000007,-439.09999999999945,-454.79999999999893,-428.59999999999854,-412.600000000001,-431.9000000000028,-2530.5000000000014
33,515,-392.60000000000207,-425.6999999999971,-456.20000000000056,-441.09999999999934,-426.0999999999997,-428.70000000000266,-2570.4000000000015
34,574,-431.8000000000038,-487.5999999999987,-514.9000000000004,-484.0999999999988,-474.00000000000165,-480.50000000000296,-2872.900000000006
35,532,-421.10000000000406,-445.89999999999776,-478.09999999999934,-444.89999999999736,-434.9999999999999,-458.80000000000325,-2683.800000000002
36,532,-393.80000000000314,-447.9999999999984,-475.60000000000014,-455.59999999999854,-421.60000000000105,-462.0000000000035,-2656.600000000005
37,590,-465.80000000000354,-515.8999999999994,-535.7000000000004,-512.8999999999991,-516.8000000000018,-515.2000000000045,-3062.3000000000084
38,467,-357.8000000000031,-403.50000000000097,-410.8000000000003,-396.59999999999957,-363.69999999999976,-403.60000000000315,-2336.000000000007
39,517,-383.30000000000274,-451.5000000000017,-455.7000000000007,-443.40000000000015,-408.2000000000009,-437.10000000000224,-2579.2000000000085
41,457,-343.40000000000134,-383.9999999999998,-398.9999999999999,-390.3999999999999,-345.49999999999926,-377.100000000003,-2239.4000000000033
42,506,-383.9000000000026,-434.8,-451.59999999999906,-424.4999999999991,-389.5999999999983,-429.60000000000196,-2514.000000000001
43,540,-417.900000000004,-468.2000000000002,-481.2999999999987,-458.6999999999975,-461.4000000000022,-477.7000000000022,-2765.200000000005
44,571,-431.40000000000384,-495.1999999999998,-508.29999999999734,-484.09999999999684,-456.79999999999995,-500.00000000000244,-2875.7999999999997
45,496,-364.2000000000017,-413.69999999999914,-446.4999999999998,-413.1999999999996,-381.9999999999999,-402.30000000000234,-2421.9000000000024
46,493,-367.8000000000027,-422.59999999999945,-431.799999999998,-431.7000000000016,-404.5000000000001,-420.00000000000193,-2478.4000000000037
47,500,-389.2000000000027,-442.50000000000176,-450.2999999999993,-426.3999999999992,-419.00000000000256,-450.4000000000028,-2577.8000000000084
48,540,-424.0000000000033,-458.6999999999988,-481.6999999999976,-459.79999999999893,-449.399999999999,-464.4000000000022,-2738.0
49,462,-355.50000000000205,-395.3000000000003,-399.3000000000001,-389.1999999999986,-383.900000000003,-409.4000000000018,-2332.600000000006
51,513,-375.3000000000023,-443.60000000000196,-451.80000000000166,-430.6999999999986,-414.60000000000133,-421.1000000000028,-2537.1000000000085
52,478,-386.2000000000029,-416.9000000000015,-410.59999999999906,-416.700000000001,-386.500000000003,-422.60000000000394,-2439.5000000000114
53,532,-436.20000000000374,-462.2000000000019,-462.09999999999496,-463.8999999999983,-418.200000000001,-431.80000000000314,-2674.4000000000033
54,505,-381.10000000000343,-433.60000000000053,-440.89999999999884,-420.3999999999979,-408.1000000000016,-422.1000000000029,-2506.2000000000053
55,509,-395.20000000000323,-434.59999999999997,-443.8999999999977,-436.70000000000044,-418.9000000000012,-430.6000000000018,-2559.900000000004
56,476,-356.100000000002,-406.29999999999956,-425.40000000000003,-400.89999999999816,-401.1000000000023,-408.30000000000285,-2398.100000000005
57,557,-434.60000000000275,-480.3999999999991,-499.500000000001,-464.7999999999972,-457.8000000000021,-481.20000000000255,-2818.3000000000047
58,613,-476.60000000000224,-514.3999999999953,-566.1000000000022,-520.6999999999965,-507.1999999999993,-547.9000000000044,-3132.8999999999996
59,559,-417.10000000000235,-494.2000000000016,-490.2999999999974,-480.19999999999897,-472.2000000000026,-484.1000000000032,-2838.100000000006
61,486,-386.6000000000022,-437.60000000000156,-428.9999999999985,-422.90000000000094,-404.7000000000019,-432.0000000000026,-2512.800000000008
62,567,-444.00000000000443,-471.6999999999971,-501.9999999999979,-481.29999999999836,-480.30000000000393,-503.60000000000264,-2882.900000000004
63,461,-352.0000000000028,-389.1999999999996,-396.8999999999984,-392.40000000000083,-370.3000000000013,-397.9000000000026,-2298.7000000000053
64,538,-395.8000000000028,-462.600000000001,-474.69999999999953,-449.0999999999973,-434.30000000000285,-451.10000000000286,-2667.6000000000067
65,576,-443.2000000000022,-486.0999999999983,-515.0,-487.99999999999835,-470.90000000000146,-483.3000000000037,-2886.5000000000045
66,563,-430.0000000000039,-489.29999999999995,-507.3000000000008,-472.2999999999973,-469.5000000000004,-493.7000000000025,-2862.100000000005
67,542,-407.6000000000021,-471.4000000000017,-477.699999999999,-450.7999999999963,-462.20000000000323,-481.00000000000244,-2750.700000000005
68,464,-351.8000000000027,-384.7999999999991,-392.7999999999992,-378.99999999999835,-351.1000000000009,-378.0000000000031,-2237.500000000003
69,520,-399.0000000000028,-443.999999999999,-458.8000000000004,-435.59999999999724,-436.900000000002,-456.00000000000273,-2630.3000000000043
71,516,-401.90000000000254,-447.7,-469.1000000000005,-431.79999999999706,-440.30000000000297,-467.60000000000315,-2658.400000000006
72,532,-401.00000000000347,-452.00000000000006,-480.00000000000006,-444.2999999999979,-436.40000000000157,-449.60000000000304,-2663.300000000006
73,516,-395.20000000000164,-439.499999999999,-443.6999999999986,-427.5999999999969,-413.19999999999874,-462.00000000000205,-2581.199999999997
74,548,-405.5000000000024,-470.0999999999991,-477.5999999999981,-469.4999999999996,-443.5000000000027,-488.80000000000354,-2755.000000000005
75,589,-461.10000000000343,-520.0999999999993,-540.6000000000003,-499.1999999999955,-513.4,-546.4000000000026,-3080.800000000001
76,523,-416.8000000000033,-454.300000000001,-462.0999999999983,-443.5999999999986,-446.80000000000416,-461.4000000000041,-2685.0000000000095
77,471,-339.6000000000019,-388.2999999999991,-409.8999999999983,-388.399999999998,-378.6000000000031,-386.00000000000347,-2290.800000000004
78,467,-359.10000000000184,-396.80000000000007,-418.6000000000002,-400.0999999999991,-379.30000000000155,-389.80000000000325,-2343.700000000006
79,484,-350.7000000000028,-412.5999999999999,-426.39999999999947,-404.69999999999794,-396.6000000000015,-409.10000000000264,-2400.100000000004
81,571,-440.90000000000384,-496.99999999999994,-509.7999999999986,-485.5999999999974,-460.8999999999985,-518.9000000000038,-2913.1000000000017
82,616,-482.20000000000346,-559.8000000000013,-574.1999999999999,-531.9999999999975,-548.3000000000015,-566.3000000000037,-3262.800000000008
83,539,-401.9000000000033,-465.5000000000015,-456.89999999999685,-452.2999999999971,-430.9000000000001,-475.6000000000027,-2683.1000000000013
84,469,-357.0000000000028,-397.20000000000005,-407.2999999999984,-395.69999999999993,-380.9000000000019,-393.30000000000445,-2331.4000000000074
85,482,-356.4000000000031,-429.9000000000003,-412.4999999999964,-420.2999999999992,-398.6000000000007,-424.5000000000021,-2442.200000000002
86,463,-361.30000000000325,-411.10000000000156,-426.40000000000197,-407.300000000001,-417.10000000000275,-403.70000000000175,-2426.900000000012
87,575,-457.20000000000414,-505.70000000000107,-502.0999999999979,-491.299999999999,-491.2000000000028,-527.6000000000034,-2975.1000000000085
88,542,-405.7000000000029,-466.9999999999997,-474.39999999999674,-458.49999999999886,-461.3000000000014,-486.80000000000285,-2753.7000000000025
89,533,-417.1000000000035,-460.5999999999999,-472.2999999999995,-440.19999999999743,-424.1000000000007,-463.5000000000036,-2677.8000000000047
91,538,-401.1000000000035,-467.5000000000014,-479.39999999999924,-462.399999999999,-443.5000000000015,-472.00000000000296,-2725.900000000008
92,465,-329.8000000000008,-394.90000000000066,-410.7999999999992,-385.7999999999983,-373.40000000000236,-388.90000000000225,-2283.6000000000035
93,602,-446.2000000000025,-532.2999999999992,-549.1999999999967,-537.8999999999967,-530.4,-546.900000000003,-3142.899999999998
94,518,-386.9000000000031,-453.59999999999997,-452.1999999999996,-447.599999999998,-438.7000000000009,-451.10000000000326,-2630.1000000000045
95,496,-354.2000000000018,-438.5000000000002,-438.3999999999992,-425.4999999999999,-417.0999999999989,-426.20000000000186,-2499.9000000000024
96,518,-393.4000000000026,-434.7999999999985,-458.00000000000085,-451.40000000000117,-431.00000000000347,-455.60000000000315,-2624.20000000001
97,513,-386.2000000000023,-439.5000000000007,-451.7999999999973,-436.09999999999985,-431.30000000000143,-443.30000000000143,-2588.200000000003
98,518,-386.80000000000274,-450.9,-462.6999999999986,-442.89999999999895,-457.9000000000008,-429.60000000000247,-2630.800000000004
99,452,-329.8000000000028,-373.5999999999992,-384.89999999999804,-377.10000000000065,-347.1000000000006,-384.30000000000257,-2196.800000000004
101,531,-411.6000000000042,-466.500000000001,-482.20000000000175,-454.2999999999983,-447.80000000000325,-453.0000000000045,-2715.4000000000133
102,510,-380.30000000000376,-425.5999999999988,-439.39999999999736,-423.29999999999825,-406.70000000000107,-445.7000000000027,-2521.000000000002
103,524,-392.1000000000027,-448.50000000000097,-453.7999999999978,-445.29999999999865,-434.5000000000022,-461.4000000000028,-2635.600000000005
104,517,-404.700000000003,-452.20000000000056,-446.19999999999834,-439.6999999999977,-431.6000000000006,-446.80000000000354,-2621.2000000000035
105,482,-352.30000000000274,-405.5000000000009,-428.69999999999953,-402.6999999999991,-385.20000000000147,-389.4000000000033,-2363.800000000007
106,492,-355.70000000000266,-421.40000000000043,-426.9999999999992,-403.7999999999974,-408.7000000000036,-436.50000000000284,-2453.1000000000063
107,513,-386.3000000000031,-438.59999999999764,-459.4000000000008,-427.5999999999983,-412.0000000000012,-460.1000000000034,-2584.0000000000045
108,523,-401.40000000000236,-453.09999999999906,-459.0999999999968,-443.599999999998,-466.1000000000004,-465.00000000000273,-2688.2999999999993
109,565,-432.1000000000038,-495.100000000002,-498.09999999999803,-471.5999999999973,-478.3000000000024,-510.10000000000286,-2885.3000000000065
111,515,-381.0000000000032,-435.69999999999743,-453.7000000000006,-451.8000000000014,-434.9000000000029,-444.60000000000355,-2601.700000000009
112,495,-364.1000000000021,-434.4000000000033,-426.3999999999992,-413.39999999999964,-387.1000000000022,-417.2000000000022,-2442.6000000000085
113,473,-353.10000000000304,-396.2000000000009,-410.7999999999981,-394.8000000000002,-375.7000000000026,-379.4000000000031,-2310.0000000000077
114,442,-326.70000000000084,-378.6999999999998,-386.8000000000002,-387.00000000000216,-363.30000000000234,-387.4000000000032,-2229.9000000000087
115,583,-418.90000000000225,-496.3,-517.5999999999982,-490.89999999999924,-477.3000000000001,-488.30000000000456,-2889.3000000000047
116,450,-345.80000000000194,-383.1000000000001,-397.6000000000006,-381.1999999999999,-382.200000000002,-398.30000000000217,-2288.2000000000066
117,510,-376.20000000000334,-436.89999999999935,-449.9999999999982,-431.4,-431.0000000000014,-444.0000000000029,-2569.500000000005
118,519,-388.2000000000028,-459.10000000000025,-464.70000000000147,-451.9000000000003,-443.000000000001,-450.0000000000029,-2656.9000000000087
119,467,-338.6000000000021,-388.3000000000001,-398.80000000000064,-377.399999999998,-354.200000000002,-378.10000000000224,-2235.400000000005
121,498,-378.500000000003,-430.70000000000095,-443.6999999999979,-427.09999999999997,-427.4000000000036,-436.8000000000029,-2544.2000000000085
122,482,-348.00000000000284,-396.899999999999,-420.1999999999995,-398.49999999999795,-373.80000000000047,-420.300000000002,-2357.7000000000016
123,464,-348.30000000000297,-404.30000000000143,-413.3000000000005,-384.79999999999865,-390.3000000000032,-385.2000000000023,-2326.200000000009
124,503,-367.30000000000274,-422.89999999999947,-455.40000000000066,-414.4999999999981,-398.9000000000025,-439.7000000000019,-2498.7000000000057
125,563,-435.10000000000485,-497.0000000000032,-492.19999999999794,-470.1999999999972,-485.6000000000045,-498.50000000000387,-2878.6000000000113
126,506,-361.900000000003,-441.9000000000029,-433.2999999999978,-441.8999999999996,-413.2000000000014,-457.10000000000264,-2549.300000000007
127,475,-338.2000000000024,-406.89999999999935,-422.39999999999935,-402.99999999999903,-393.7000000000012,-399.9000000000025,-2364.100000000004
