Episode,Steps,Agent0,Agent1,Agent2,Agent3,Agent4,Agent5,Total
0,1999,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-13199.999999999507
10,1999,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-13199.999999999507
20,1435,-1097.9999999999832,-1288.5999999999804,-1481.0999999999808,-1508.3999999999767,-1509.599999999974,-1481.5999999999822,-8367.299999999877
30,1640,-1524.49999999995,-1520.0000000000039,-1635.0000000000036,-1749.7999999999538,-1679.4999999999582,-1721.1999999999598,-9829.999999999829
40,1161,-937.1999999999957,-1056.0999999999922,-1199.9000000000005,-1100.8999999999955,-1138.8999999999953,-1198.7999999999975,-6631.7999999999765
50,1003,-816.6999999999948,-915.4999999999943,-1019.9000000000115,-963.1999999999991,-909.1000000000009,-1025.3000000000106,-5649.700000000012
60,770,-584.7999999999995,-682.899999999996,-788.400000000009,-680.7999999999948,-700.3000000000065,-781.5000000000082,-4218.7000000000135
70,899,-740.1000000000082,-805.6999999999941,-902.4000000000066,-815.3999999999965,-825.6000000000048,-915.5000000000097,-5004.70000000002
80,641,-491.9000000000044,-574.5999999999991,-630.7000000000021,-557.1999999999969,-537.5000000000007,-642.2000000000045,-3434.1000000000076
90,750,-559.8000000000048,-668.2999999999939,-752.4000000000073,-655.6999999999961,-657.6000000000008,-742.8000000000056,-4036.6000000000085
100,730,-551.4000000000059,-655.8000000000004,-732.2000000000063,-631.2999999999939,-626.1000000000017,-720.4000000000042,-3917.200000000012
110,768,-583.900000000004,-697.6000000000006,-764.1000000000066,-662.2999999999945,-671.300000000005,-746.3000000000043,-4125.500000000015
120,624,-475.50000000000483,-554.6,-605.8000000000034,-528.0999999999952,-509.9000000000046,-610.3000000000038,-3284.200000000012
130,718,-542.3000000000047,-662.8000000000054,-714.4000000000058,-615.4999999999933,-579.5000000000026,-690.7000000000032,-3805.2000000000153
140,688,-536.6000000000049,-618.2000000000019,-672.2000000000041,-589.3999999999937,-560.6000000000028,-662.3000000000035,-3639.3000000000106
150,498,-353.50000000000085,-419.0999999999997,-471.800000000003,-413.7999999999978,-383.1000000000004,-423.40000000000384,-2464.7000000000057
160,559,-416.50000000000307,-474.7999999999986,-542.6000000000024,-468.09999999999746,-437.40000000000146,-490.6000000000029,-2830.0000000000064
170,600,-442.5000000000022,-519.6999999999985,-592.5000000000049,-513.2999999999978,-483.7000000000026,-551.5000000000036,-3103.20000000001
180,488,-340.200000000001,-411.8000000000004,-447.500000000004,-417.90000000000026,-376.40000000000305,-414.0000000000031,-2407.800000000012
190,564,-447.6000000000041,-486.19999999999897,-520.2000000000013,-481.89999999999765,-437.70000000000124,-506.3000000000039,-2879.9000000000074
200,521,-388.90000000000396,-446.70000000000147,-465.7000000000048,-435.9999999999982,-402.10000000000235,-468.00000000000324,-2607.4000000000137
210,493,-369.4000000000017,-407.5999999999979,-439.90000000000015,-417.7999999999999,-385.5000000000022,-433.00000000000233,-2453.2000000000044
220,546,-424.8000000000044,-461.1999999999989,-486.4999999999994,-450.1999999999968,-430.6000000000015,-494.400000000003,-2747.700000000004
230,473,-357.5000000000021,-394.8999999999999,-402.2000000000003,-392.0999999999986,-364.10000000000167,-410.90000000000236,-2321.700000000005
240,502,-374.40000000000396,-408.29999999999774,-433.59999999999997,-420.9000000000007,-377.60000000000105,-421.1000000000022,-2435.9000000000055
250,541,-388.80000000000285,-456.8000000000002,-488.600000000006,-448.59999999999746,-409.6000000000021,-464.90000000000424,-2657.300000000013
260,494,-352.20000000000147,-408.7999999999991,-431.19999999999914,-414.19999999999914,-370.800000000002,-429.3000000000047,-2406.5000000000055
270,464,-331.80000000000257,-390.50000000000045,-407.00000000000165,-394.29999999999956,-349.80000000000183,-411.3000000000017,-2284.7000000000075
280,493,-361.70000000000255,-412.59999999999945,-417.8999999999993,-411.7999999999986,-377.10000000000116,-440.800000000001,-2421.900000000002
290,471,-353.50000000000284,-389.2999999999991,-405.60000000000116,-392.0999999999994,-354.20000000000084,-412.1000000000023,-2306.8000000000056
300,508,-370.30000000000183,-420.69999999999857,-432.9999999999988,-412.5999999999973,-402.09999999999945,-437.1000000000022,-2475.7999999999984
310,426,-311.20000000000186,-352.50000000000114,-354.0999999999997,-349.29999999999995,-305.80000000000166,-346.4000000000021,-2019.3000000000063
320,514,-401.20000000000385,-437.40000000000043,-450.69999999999993,-435.4999999999999,-395.2000000000033,-444.9000000000055,-2564.9000000000133
330,567,-415.60000000000105,-483.69999999999953,-505.80000000000206,-473.5999999999974,-432.30000000000143,-511.20000000000414,-2822.2000000000053
340,478,-351.2000000000003,-399.39999999999975,-397.9999999999976,-405.3999999999995,-367.100000000003,-410.70000000000334,-2331.800000000004
350,555,-412.500000000004,-473.00000000000125,-483.5000000000004,-466.39999999999935,-432.1000000000036,-460.5000000000037,-2728.0000000000123
360,501,-368.5000000000023,-420.59999999999974,-444.0000000000023,-431.0000000000002,-379.10000000000184,-438.90000000000373,-2482.10000000001
370,424,-296.20000000000135,-355.00000000000085,-365.2000000000015,-352.59999999999945,-321.3000000000003,-368.3000000000022,-2058.600000000006
380,448,-342.00000000000057,-378.5999999999994,-381.99999999999955,-376.9000000000001,-339.4000000000018,-390.7000000000036,-2209.600000000005
390,458,-321.50000000000057,-380.59999999999894,-397.8999999999975,-382.29999999999956,-328.00000000000205,-379.50000000000347,-2189.800000000002
400,490,-343.70000000000255,-396.19999999999857,-398.69999999999845,-393.09999999999786,-344.1999999999994,-424.60000000000406,-2300.500000000001
410,514,-353.20000000000016,-437.1000000000013,-432.49999999999744,-429.9,-410.4000000000026,-445.0000000000038,-2508.100000000005
420,486,-363.90000000000185,-415.2000000000005,-420.5000000000001,-413.4999999999974,-371.000000000002,-418.70000000000346,-2402.8000000000056
430,420,-314.8000000000001,-350.00000000000074,-361.2000000000013,-347.30000000000047,-310.00000000000136,-347.70000000000203,-2031.0000000000061
440,472,-333.7000000000011,-389.7999999999991,-407.9999999999999,-406.80000000000103,-352.800000000001,-396.3000000000036,-2287.400000000006
450,532,-435.7000000000023,-465.0000000000004,-463.79999999999757,-470.30000000000126,-431.6000000000041,-496.2000000000054,-2762.6000000000113
460,423,-328.60000000000105,-364.9000000000008,-378.8000000000019,-363.89999999999856,-338.4000000000024,-361.2000000000023,-2135.800000000007
470,497,-341.9000000000003,-403.29999999999865,-419.09999999999985,-412.3999999999986,-368.60000000000275,-423.10000000000394,-2368.400000000004
480,514,-388.80000000000206,-440.9000000000003,-461.0999999999993,-428.59999999999746,-411.4000000000014,-440.9000000000023,-2571.7000000000025
