Episode,Steps,Agent0,Agent1,Agent2,Agent3,Agent4,Agent5,Total
1,1102,-955.699999999999,-1102.5000000000075,-1075.3000000000006,-1058.4999999999989,-1088.500000000006,-1102.5000000000034,-6383.000000000016
2,1131,-999.5000000000005,-1120.5999999999985,-1132.3999999999983,-1133.1999999999973,-1119.2000000000037,-1135.6000000000074,-6640.5000000000055
3,1289,-1156.699999999996,-1300.7999999999831,-1286.7999999999877,-1293.7999999999824,-1297.3999999999871,-1293.6999999999869,-7629.199999999923
4,879,-808.8000000000077,-867.4000000000048,-870.0000000000064,-851.6000000000023,-842.000000000006,-857.6000000000088,-5097.400000000036
5,1217,-1154.599999999996,-1223.7999999999872,-1208.699999999998,-1231.1999999999925,-1240.5999999999942,-1235.6999999999975,-7294.599999999966
6,955,-831.1000000000062,-944.4000000000052,-944.6000000000064,-954.0000000000061,-941.4000000000096,-948.8000000000104,-5564.300000000044
7,1073,-918.0999999999964,-1076.1999999999991,-1060.30000000001,-1086.6000000000026,-1066.2000000000082,-1077.8000000000065,-6285.200000000023
8,1225,-1092.6000000000038,-1237.799999999995,-1246.4000000000008,-1243.3999999999908,-1226.3999999999935,-1240.9999999999907,-7287.599999999974
9,1073,-968.3000000000017,-1048.0000000000007,-1053.7000000000057,-1044.8000000000025,-1047.8000000000088,-1076.7000000000041,-6239.300000000023
11,904,-761.3000000000033,-880.9000000000009,-880.2000000000058,-881.5000000000018,-864.3000000000039,-875.5000000000065,-5143.700000000023
12,1070,-987.3000000000102,-1071.7000000000044,-1063.2000000000048,-1036.5000000000048,-1072.5000000000073,-1070.3000000000034,-6301.500000000035
13,1158,-1063.600000000007,-1177.6999999999948,-1147.6999999999955,-1161.6999999999932,-1173.4999999999975,-1161.399999999998,-6885.599999999986
14,1216,-1070.0999999999917,-1251.7000000000046,-1217.3000000000072,-1209.3000000000025,-1206.100000000001,-1222.5999999999951,-7177.100000000003
15,849,-742.9000000000045,-835.4000000000036,-835.9000000000052,-827.7999999999995,-832.2000000000043,-826.300000000007,-4900.500000000024
16,1052,-912.7000000000075,-1043.500000000003,-1025.0000000000036,-1055.1000000000035,-1056.5000000000118,-1052.9000000000062,-6145.700000000036
17,956,-828.3000000000022,-946.5000000000067,-938.400000000002,-964.3000000000043,-961.3000000000085,-962.0000000000122,-5600.800000000036
18,1209,-1104.4000000000008,-1219.39999999999,-1209.6999999999946,-1224.9999999999902,-1233.399999999994,-1203.2999999999965,-7195.199999999966
19,1102,-978.5000000000089,-1125.5,-1075.6999999999969,-1088.8999999999983,-1104.7000000000082,-1112.4000000000026,-6485.700000000014
21,957,-810.9000000000001,-933.0000000000076,-942.5000000000055,-918.8000000000058,-928.4000000000074,-959.200000000008,-5492.800000000034
22,996,-812.6999999999964,-975.7000000000072,-969.3000000000021,-970.3000000000052,-987.3000000000123,-980.0000000000085,-5695.300000000031
23,675,-522.0000000000051,-584.1999999999962,-605.7999999999964,-625.7999999999998,-637.2000000000036,-613.0000000000048,-3588.0000000000055
24,505,-378.30000000000257,-431.9999999999998,-444.9999999999986,-426.99999999999716,-432.40000000000134,-441.60000000000286,-2556.300000000002
25,530,-412.4000000000035,-453.30000000000024,-469.79999999999876,-447.09999999999684,-433.70000000000283,-450.0000000000036,-2666.300000000006
26,506,-380.7000000000017,-435.69999999999993,-443.20000000000056,-427.69999999999885,-424.70000000000203,-418.9000000000027,-2530.900000000006
27,523,-383.2000000000025,-450.2000000000016,-449.4999999999978,-429.79999999999717,-416.00000000000153,-441.40000000000447,-2570.1000000000054
28,507,-396.00000000000387,-430.39999999999833,-424.39999999999685,-425.99999999999994,-406.60000000000105,-429.80000000000246,-2513.2000000000025
29,584,-460.7000000000034,-518.2999999999997,-513.9999999999992,-496.89999999999776,-490.29999999999706,-532.8000000000018,-3012.999999999999
31,472,-362.6000000000018,-425.5000000000019,-417.70000000000033,-405.69999999999936,-393.5000000000034,-434.10000000000264,-2439.1000000000095
32,568,-413.9000000000019,-489.89999999999725,-511.3000000000018,-474.89999999999833,-471.8999999999994,-498.00000000000335,-2859.900000000002
33,607,-469.3000000000041,-548.5999999999998,-526.9999999999964,-551.8000000000014,-526.0000000000034,-566.8000000000037,-3189.500000000009
34,572,-437.30000000000257,-492.0999999999997,-501.6999999999998,-483.6999999999995,-472.7000000000012,-493.3000000000026,-2880.800000000005
35,516,-383.3000000000028,-458.9000000000016,-449.5999999999991,-435.89999999999924,-413.0999999999992,-450.2000000000011,-2591.000000000003
36,566,-446.0000000000047,-494.7,-508.19999999999953,-491.9,-466.10000000000116,-492.90000000000265,-2899.8000000000084
37,592,-484.3000000000053,-533.2999999999997,-531.1999999999989,-525.4999999999976,-501.30000000000047,-525.3000000000031,-3100.900000000005
38,493,-386.9000000000029,-455.8000000000007,-431.7999999999989,-412.59999999999815,-392.8000000000022,-446.3000000000021,-2526.200000000005
39,482,-351.500000000003,-412.6999999999991,-409.6999999999986,-398.69999999999845,-369.2999999999996,-420.70000000000283,-2362.6000000000017
41,523,-418.200000000004,-457.2000000000015,-468.60000000000196,-459.20000000000095,-425.00000000000404,-462.0000000000026,-2690.2000000000153
42,545,-416.00000000000347,-476.40000000000026,-493.29999999999893,-468.8000000000008,-451.00000000000045,-476.20000000000425,-2781.700000000008
43,482,-354.9000000000029,-414.5000000000001,-415.59999999999826,-406.699999999999,-389.7000000000005,-418.40000000000225,-2399.800000000003
44,585,-445.2000000000048,-514.7999999999995,-534.9000000000024,-487.1999999999966,-490.40000000000265,-521.0000000000039,-2993.50000000001
45,504,-368.6000000000021,-433.30000000000064,-446.1000000000001,-422.0999999999998,-391.1000000000005,-422.200000000002,-2483.400000000005
46,490,-365.2000000000023,-431.300000000002,-420.0999999999984,-420.70000000000044,-405.90000000000333,-430.1000000000027,-2473.3000000000093
47,471,-365.6000000000035,-424.79999999999995,-403.79999999999717,-398.3999999999992,-383.8000000000016,-432.2000000000018,-2408.600000000003
48,549,-415.00000000000165,-491.80000000000206,-496.7999999999983,-467.7999999999995,-453.8000000000026,-484.6000000000029,-2809.800000000007
49,481,-382.6000000000034,-431.60000000000105,-416.3999999999966,-417.80000000000007,-396.4000000000027,-428.1000000000028,-2472.9000000000065
51,482,-338.9000000000018,-412.1,-416.69999999999845,-404.1000000000007,-386.10000000000207,-388.30000000000325,-2346.2000000000066
52,449,-341.10000000000167,-388.60000000000116,-399.9999999999996,-375.9999999999991,-383.6000000000031,-377.5000000000033,-2266.800000000008
53,499,-371.30000000000314,-429.4000000000014,-438.79999999999853,-418.3999999999988,-408.2000000000034,-421.6000000000041,-2487.7000000000094
54,527,-388.20000000000346,-449.59999999999917,-448.1999999999972,-450.3999999999997,-451.60000000000423,-476.90000000000305,-2664.900000000007
55,500,-365.5000000000024,-443.1000000000012,-434.89999999999947,-415.6999999999979,-421.1000000000029,-436.00000000000165,-2516.3000000000056
56,460,-354.400000000002,-396.099999999999,-408.00000000000114,-393.30000000000115,-364.50000000000153,-389.6000000000025,-2305.9000000000074
57,542,-411.9000000000031,-471.1000000000002,-479.49999999999994,-464.70000000000056,-457.900000000001,-454.2000000000038,-2739.300000000009
58,587,-437.90000000000197,-502.19999999999885,-506.2999999999947,-499.5999999999968,-498.0000000000009,-529.5000000000033,-2973.4999999999964
59,516,-364.300000000002,-452.5000000000002,-442.399999999997,-433.4999999999987,-416.10000000000133,-462.0000000000037,-2570.800000000003
61,425,-316.30000000000246,-373.40000000000003,-377.2000000000009,-361.79999999999984,-324.20000000000186,-370.60000000000247,-2123.5000000000077
62,532,-392.50000000000284,-455.3000000000002,-469.8000000000007,-453.3000000000005,-437.90000000000305,-462.6000000000023,-2671.4000000000096
63,498,-386.9000000000039,-432.50000000000045,-446.6999999999999,-425.09999999999985,-428.7000000000045,-441.1000000000029,-2561.000000000012
64,481,-335.2000000000022,-402.20000000000084,-411.7000000000001,-409.0000000000002,-363.4000000000014,-386.6000000000033,-2308.100000000008
65,550,-424.4000000000036,-465.0999999999998,-472.90000000000043,-469.4999999999997,-429.7000000000002,-474.5000000000033,-2736.1000000000067
66,477,-347.8000000000024,-388.399999999998,-416.2999999999992,-386.99999999999807,-367.19999999999993,-398.6000000000023,-2305.2999999999997
67,499,-366.30000000000183,-432.40000000000094,-436.29999999999785,-429.39999999999947,-393.2000000000007,-424.00000000000335,-2481.600000000004
68,484,-342.0000000000018,-402.299999999999,-429.9000000000013,-397.49999999999756,-395.5000000000031,-417.60000000000315,-2384.800000000006
69,510,-384.30000000000257,-447.90000000000026,-443.2999999999984,-425.89999999999793,-425.100000000003,-450.1000000000024,-2576.600000000005
71,477,-352.30000000000194,-411.19999999999976,-407.19999999999686,-410.79999999999967,-396.4000000000021,-434.30000000000206,-2412.2000000000025
72,566,-423.5000000000041,-487.8999999999998,-507.3999999999997,-490.09999999999997,-477.5000000000027,-509.5000000000032,-2895.900000000009
73,509,-372.00000000000205,-436.19999999999726,-455.199999999998,-436.5999999999987,-412.00000000000153,-430.50000000000216,-2542.5
74,529,-404.7000000000027,-467.2000000000028,-454.19999999999834,-455.60000000000053,-413.20000000000135,-457.4000000000037,-2652.3000000000097
75,546,-420.20000000000186,-478.2999999999977,-489.49999999999903,-465.0999999999979,-453.1000000000007,-502.70000000000306,-2808.9
76,457,-337.7000000000032,-391.8000000000012,-406.89999999999986,-375.1999999999983,-352.3999999999994,-392.40000000000276,-2256.4000000000046
77,517,-400.90000000000344,-461.40000000000515,-455.7999999999999,-441.79999999999984,-401.4000000000003,-441.90000000000146,-2603.20000000001
78,484,-368.9000000000026,-430.89999999999884,-435.500000000001,-407.0999999999988,-396.9000000000019,-416.6000000000018,-2455.900000000005
79,535,-403.40000000000407,-481.60000000000394,-478.4999999999989,-456.999999999998,-467.80000000000257,-458.4000000000029,-2746.7000000000103
81,549,-416.0000000000026,-459.5999999999958,-488.8999999999981,-473.79999999999956,-454.3999999999989,-484.9000000000018,-2777.5999999999967
82,557,-411.2000000000022,-480.3999999999965,-505.79999999999666,-483.19999999999885,-497.00000000000045,-506.10000000000315,-2883.699999999998
83,495,-357.00000000000176,-407.39999999999895,-422.99999999999915,-421.0,-384.7999999999986,-411.500000000002,-2404.7000000000003
84,488,-371.3000000000031,-421.5000000000008,-416.19999999999845,-416.2999999999999,-397.7000000000015,-437.6000000000033,-2460.6000000000067
85,494,-382.1000000000028,-447.50000000000074,-426.199999999997,-432.9000000000003,-407.7000000000024,-435.50000000000347,-2531.900000000007
86,430,-328.60000000000286,-385.1000000000021,-379.49999999999943,-378.70000000000175,-372.30000000000206,-373.9000000000011,-2218.100000000009
87,536,-393.60000000000275,-460.50000000000034,-474.00000000000045,-465.6999999999987,-447.3000000000013,-477.9000000000029,-2719.0000000000064
88,504,-380.40000000000157,-430.10000000000014,-431.4999999999976,-415.4999999999974,-411.5000000000028,-442.100000000003,-2511.1000000000026
89,535,-426.20000000000437,-449.9999999999984,-474.4999999999991,-446.79999999999757,-438.00000000000136,-458.60000000000383,-2694.100000000005
91,528,-383.7000000000027,-451.0999999999995,-475.20000000000175,-436.4999999999973,-448.300000000002,-472.20000000000226,-2667.0000000000055
92,482,-346.2000000000025,-412.3000000000015,-428.90000000000236,-410.2999999999998,-389.3000000000017,-412.900000000002,-2399.90000000001
93,595,-430.10000000000156,-529.1999999999998,-545.1999999999973,-521.7999999999973,-531.4000000000002,-547.800000000003,-3105.499999999999
94,535,-398.70000000000294,-477.60000000000144,-466.3999999999987,-461.799999999999,-459.4000000000025,-483.7000000000027,-2747.600000000007
95,492,-358.1000000000021,-423.4999999999992,-429.2999999999989,-420.49999999999903,-407.9000000000025,-442.20000000000266,-2481.500000000004
96,432,-305.200000000001,-360.3000000000008,-361.8999999999988,-364.1000000000008,-316.50000000000045,-354.60000000000184,-2062.6000000000035
97,525,-404.40000000000265,-453.60000000000093,-467.39999999999776,-447.59999999999883,-446.2000000000019,-462.600000000002,-2681.8000000000043
98,512,-371.4000000000024,-443.0999999999996,-465.70000000000005,-441.8999999999996,-421.70000000000095,-446.3000000000025,-2590.1000000000054
99,476,-349.1000000000031,-407.499999999999,-416.99999999999915,-391.2999999999984,-394.6999999999999,-403.80000000000155,-2363.400000000001
101,526,-383.80000000000274,-459.9000000000023,-477.9000000000023,-460.30000000000086,-444.10000000000196,-459.20000000000266,-2685.2000000000126
102,499,-360.70000000000226,-430.4000000000018,-433.20000000000067,-408.7999999999975,-387.20000000000033,-436.30000000000354,-2456.600000000006
103,469,-322.90000000000094,-392.8000000000003,-403.89999999999975,-401.8000000000015,-367.00000000000176,-391.6000000000033,-2280.0000000000073
104,488,-342.8000000000012,-417.4999999999986,-428.10000000000036,-424.70000000000095,-401.90000000000043,-418.6000000000019,-2433.600000000003
105,481,-347.30000000000217,-401.79999999999984,-422.60000000000025,-410.4000000000009,-374.00000000000125,-408.1000000000022,-2364.2000000000066
106,476,-352.8000000000025,-405.3000000000007,-411.6999999999987,-404.4999999999993,-386.5000000000022,-400.70000000000266,-2361.5000000000064
107,551,-418.5000000000038,-484.3999999999991,-491.89999999999895,-462.7999999999975,-482.20000000000147,-505.9000000000033,-2845.7000000000044
108,518,-388.7000000000025,-453.70000000000016,-461.4999999999976,-446.2999999999979,-456.8999999999997,-451.80000000000217,-2658.8999999999996
109,553,-427.20000000000294,-476.80000000000007,-496.0,-474.80000000000075,-456.600000000002,-482.9000000000048,-2814.3000000000106
111,454,-326.30000000000143,-377.6999999999995,-393.9000000000007,-386.7000000000006,-353.90000000000106,-369.0000000000025,-2207.5000000000055
112,487,-362.00000000000324,-409.7999999999987,-413.2999999999979,-405.199999999999,-387.4000000000021,-423.60000000000286,-2401.300000000004
113,481,-363.50000000000324,-419.6000000000038,-413.5000000000007,-394.1999999999978,-381.6000000000026,-400.3000000000024,-2372.7000000000103
114,437,-338.2000000000022,-370.59999999999957,-372.79999999999825,-377.0000000000012,-361.000000000002,-386.7000000000024,-2206.3000000000056
115,569,-404.9000000000022,-478.7999999999998,-490.7999999999953,-469.19999999999783,-459.2000000000026,-497.4000000000038,-2800.3000000000015
116,471,-383.7000000000032,-412.2000000000012,-425.2000000000006,-397.99999999999824,-398.4000000000017,-411.9000000000031,-2429.400000000008
117,457,-337.40000000000265,-376.1999999999992,-390.4999999999989,-382.7999999999987,-362.4000000000027,-382.70000000000243,-2232.000000000005
118,499,-393.70000000000294,-445.200000000001,-429.69999999999817,-425.9999999999991,-413.4000000000002,-429.30000000000217,-2537.3000000000034
119,496,-357.4000000000019,-424.7000000000008,-443.70000000000243,-405.69999999999726,-401.5000000000025,-403.3000000000036,-2436.3000000000084
121,541,-414.3000000000031,-486.80000000000285,-493.19999999999925,-464.19999999999845,-485.00000000000466,-495.00000000000324,-2838.5000000000114
122,501,-381.00000000000404,-427.8000000000007,-448.6000000000017,-413.59999999999803,-394.6000000000018,-428.5000000000035,-2494.10000000001
123,486,-374.10000000000366,-426.3000000000015,-428.39999999999986,-417.9000000000009,-410.3000000000038,-420.0000000000017,-2477.0000000000114
124,505,-381.5000000000031,-440.20000000000334,-458.9000000000009,-419.39999999999884,-405.00000000000296,-417.60000000000207,-2522.6000000000113
125,528,-392.80000000000405,-459.50000000000273,-446.99999999999784,-443.8999999999989,-437.50000000000324,-468.8000000000024,-2649.5000000000095
126,507,-384.30000000000433,-431.99999999999943,-442.89999999999793,-431.99999999999704,-437.4000000000014,-440.1000000000023,-2568.700000000002
127,526,-404.4000000000031,-464.30000000000143,-460.8999999999979,-452.89999999999895,-464.10000000000366,-463.90000000000157,-2710.5000000000064
128,470,-359.0000000000025,-392.499999999998,-412.2000000000003,-400.30000000000086,-377.10000000000053,-401.9000000000023,-2343.0000000000045
129,485,-344.50000000000284,-416.0000000000016,-412.69999999999715,-412.799999999999,-399.00000000000244,-413.40000000000225,-2398.4000000000055
