Episode,Steps,Agent0,Agent1,Agent2,Total
0,1999,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-6599.999999999753
10,1999,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-6599.999999999753
20,1999,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-6599.999999999753
30,1999,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-6599.999999999753
40,1999,-1734.5999999999544,-2142.599999999923,-2174.99999999992,-6052.199999999797
50,1365,-670.999999999997,-1172.8000000000045,-1456.5999999999785,-3300.39999999998
60,1256,-637.4000000000023,-989.5000000000105,-1338.6999999999891,-2965.600000000002
70,1239,-598.4999999999983,-971.6000000000035,-1315.9999999999907,-2886.099999999992
80,909,-444.6000000000011,-685.4000000000073,-748.2000000000043,-1878.2000000000126
90,867,-430.4000000000009,-611.9000000000034,-602.7999999999989,-1645.100000000003
100,832,-396.1000000000002,-590.500000000006,-557.0999999999977,-1543.700000000004
110,907,-441.0000000000013,-647.3000000000045,-630.0,-1718.3000000000059
120,820,-395.0999999999997,-572.300000000003,-581.4999999999964,-1548.8999999999992
130,875,-412.60000000000065,-622.300000000004,-585.1999999999991,-1620.1000000000038
140,849,-405.6000000000012,-583.8000000000034,-572.9999999999986,-1562.4000000000033
150,806,-400.5000000000019,-566.3000000000054,-540.0999999999966,-1506.9000000000037
160,826,-382.2,-579.4000000000055,-550.0999999999966,-1511.700000000002
170,829,-389.5999999999995,-606.6000000000068,-576.1999999999972,-1572.4000000000037
180,816,-409.4000000000003,-566.2000000000052,-565.0999999999962,-1540.7000000000016
190,843,-396.7999999999987,-606.200000000004,-582.3999999999975,-1585.4
200,874,-398.60000000000065,-672.1000000000083,-600.0999999999984,-1670.8000000000075
210,829,-399.2000000000003,-585.6000000000056,-575.7999999999964,-1560.6000000000022
220,878,-420.1000000000007,-640.9000000000043,-591.2999999999995,-1652.3000000000045
230,863,-465.10000000000156,-619.4000000000049,-581.1999999999992,-1665.7000000000057
240,919,-450.5000000000004,-662.1000000000047,-632.8000000000003,-1745.4000000000055
250,913,-450.3999999999996,-647.5000000000043,-611.0000000000008,-1708.9000000000046
260,879,-421.5000000000014,-630.9000000000041,-603.5999999999984,-1656.000000000004
270,799,-368.4000000000002,-584.6000000000063,-545.1999999999953,-1498.2000000000016
280,827,-373.8000000000004,-609.0000000000066,-566.7999999999969,-1549.600000000004
290,812,-396.9000000000018,-573.200000000003,-557.0999999999972,-1527.200000000002
300,946,-471.6000000000023,-717.300000000006,-655.3000000000019,-1844.2000000000103
310,884,-436.0000000000012,-664.7000000000029,-622.6999999999986,-1723.4000000000028
320,869,-414.0000000000002,-651.0000000000074,-594.5999999999989,-1659.6000000000067
330,896,-394.79999999999785,-645.900000000002,-643.9000000000013,-1684.6000000000013
340,836,-392.5000000000003,-601.5000000000039,-567.8999999999971,-1561.9000000000012
350,967,-467.4000000000012,-701.6000000000023,-674.800000000002,-1843.8000000000056
360,857,-405.0000000000006,-614.7000000000064,-592.9999999999978,-1612.7000000000048
370,804,-380.7999999999989,-593.0000000000064,-553.4999999999961,-1527.3000000000013
380,778,-378.3999999999998,-550.6000000000031,-556.0999999999972,-1485.1000000000001
390,852,-408.1000000000005,-624.5000000000067,-589.4999999999978,-1622.100000000005
400,927,-436.10000000000116,-657.0000000000024,-622.4000000000016,-1715.500000000005
410,890,-434.500000000001,-643.1000000000053,-600.5000000000003,-1678.1000000000067
420,818,-409.60000000000156,-611.6000000000042,-547.2999999999971,-1568.5000000000027
