Episode,Steps,Agent0,Agent1,Agent2,Total
1,1978,-1464.6999999999966,-1796.49999999995,-1868.8999999999808,-5130.099999999928
2,1999,-1565.99999999999,-1903.8999999999405,-1838.3999999999737,-5308.299999999905
3,1835,-1295.099999999996,-1725.899999999957,-1664.5999999999945,-4685.599999999948
4,1698,-1330.4999999999839,-1593.0999999999653,-1563.6000000000001,-4487.19999999995
5,1999,-1576.6999999999841,-1960.199999999945,-1852.499999999969,-5389.399999999898
6,1715,-1290.1999999999957,-1597.399999999959,-1588.4999999999868,-4476.099999999942
7,1999,-1684.3999999999735,-1854.2999999999454,-1867.9999999999777,-5406.699999999897
8,1913,-1416.5000000000018,-1805.7999999999524,-1833.2999999999765,-5055.599999999931
9,1999,-1544.6999999999991,-1872.79999999995,-1861.899999999981,-5279.3999999999305
11,1962,-1479.8999999999817,-1893.0999999999515,-1828.0999999999763,-5201.099999999909
12,1644,-1153.200000000002,-1589.1999999999719,-1450.0000000000045,-4192.399999999979
13,1820,-1379.399999999997,-1733.299999999962,-1647.899999999988,-4760.599999999947
14,1999,-1501.1999999999944,-1867.9999999999523,-1886.2999999999802,-5255.499999999927
15,1767,-1327.1999999999923,-1679.6999999999614,-1659.4999999999966,-4666.3999999999505
16,1645,-1180.7999999999997,-1555.8999999999735,-1452.4000000000065,-4189.09999999998
17,1578,-1096.3999999999983,-1504.6999999999744,-1425.4000000000055,-4026.499999999978
18,1858,-1450.3999999999903,-1684.499999999961,-1736.0999999999892,-4870.999999999941
19,1742,-1292.2999999999995,-1641.599999999966,-1541.999999999993,-4475.899999999959
21,1999,-1542.1999999999744,-1932.2999999999417,-1874.3999999999737,-5348.8999999998905
22,1818,-1290.3000000000027,-1712.7999999999597,-1624.5999999999865,-4627.699999999949
23,1954,-1475.7999999999984,-1858.6999999999446,-1744.2999999999965,-5078.799999999939
24,1999,-1628.9999999999736,-1861.099999999955,-1890.1999999999666,-5380.299999999896
25,1755,-1285.79999999999,-1617.2999999999624,-1576.4000000000044,-4479.499999999956
26,1831,-1380.4999999999773,-1707.699999999962,-1689.1999999999882,-4777.399999999928
27,1999,-1514.399999999997,-1836.5999999999544,-1859.3999999999726,-5210.399999999924
28,1595,-1023.9999999999975,-1415.399999999977,-1457.0999999999954,-3896.4999999999695
29,1098,-529.4999999999973,-857.5000000000048,-951.1000000000146,-2338.1000000000167
31,768,-374.3999999999991,-532.5000000000041,-564.099999999999,-1471.0000000000023
32,1234,-689.7000000000031,-1003.8000000000077,-1030.6000000000072,-2724.100000000018
33,1011,-465.69999999999976,-762.0000000000019,-844.4000000000058,-2072.1000000000076
34,1054,-508.2999999999993,-757.3,-875.6000000000071,-2141.200000000006
35,1123,-549.9999999999995,-919.1000000000099,-966.0000000000045,-2435.100000000014
36,1014,-517.3000000000014,-751.1000000000025,-791.100000000006,-2059.50000000001
37,1015,-484.5999999999996,-748.4000000000066,-854.0000000000041,-2087.00000000001
38,928,-494.9000000000007,-657.5000000000002,-760.9000000000082,-1913.3000000000093
39,1004,-491.6000000000002,-759.6000000000064,-821.2000000000058,-2072.4000000000124
41,882,-428.9999999999998,-624.8000000000022,-699.4000000000037,-1753.2000000000057
42,1016,-482.2999999999999,-771.8000000000043,-854.1000000000063,-2108.2000000000107
43,1078,-515.3000000000002,-818.4000000000062,-965.2000000000039,-2298.9000000000106
44,979,-445.99999999999915,-707.5000000000025,-780.3000000000063,-1933.800000000008
45,1009,-463.5000000000002,-726.200000000006,-854.4000000000054,-2044.1000000000117
46,951,-462.9000000000002,-687.0000000000043,-819.6000000000055,-1969.50000000001
47,841,-438.30000000000194,-584.000000000005,-639.1000000000018,-1661.4000000000087
48,984,-466.9999999999996,-731.5000000000047,-805.4000000000012,-2003.9000000000055
49,875,-457.20000000000107,-635.500000000006,-676.7000000000007,-1769.4000000000078
51,1045,-515.4999999999998,-759.1000000000057,-874.3000000000042,-2148.9000000000096
52,768,-384.2000000000018,-500.4000000000035,-551.3999999999983,-1436.0000000000036
53,982,-473.20000000000056,-720.3000000000054,-754.6000000000038,-1948.1000000000097
54,947,-474.70000000000124,-702.4000000000077,-703.2000000000035,-1880.3000000000125
55,851,-389.9999999999992,-591.8000000000053,-630.8000000000008,-1612.6000000000054
56,903,-469.1000000000018,-664.4000000000069,-702.300000000001,-1835.8000000000097
57,848,-383.2999999999985,-572.6000000000047,-591.7,-1547.600000000003
58,996,-489.1999999999996,-725.4000000000013,-756.5000000000094,-1971.1000000000104
59,938,-438.7999999999993,-690.3000000000048,-678.5999999999999,-1807.700000000004
61,760,-366.5,-525.3000000000045,-556.0999999999976,-1447.9000000000021
62,1011,-480.8,-779.7000000000073,-795.8000000000076,-2056.3000000000147
63,884,-424.8000000000006,-682.300000000008,-656.0999999999972,-1763.2000000000057
64,976,-455.00000000000034,-735.2000000000066,-718.700000000001,-1908.900000000008
65,951,-438.0999999999985,-691.8000000000045,-682.1000000000013,-1812.0000000000043
66,929,-426.70000000000033,-691.0000000000075,-692.1999999999988,-1809.9000000000065
67,934,-438.9,-709.2000000000081,-702.3999999999991,-1850.5000000000073
68,888,-421.49999999999983,-650.0000000000067,-628.0999999999999,-1699.6000000000065
69,848,-415.8000000000008,-608.0000000000034,-603.9999999999992,-1627.8000000000034
71,803,-375.2000000000012,-586.4000000000058,-579.6999999999973,-1541.3000000000043
72,883,-418.4999999999995,-625.6000000000058,-611.4999999999992,-1655.6000000000045
73,880,-438.30000000000047,-647.6000000000041,-599.0999999999997,-1685.0000000000043
74,924,-467.700000000001,-674.6000000000058,-655.3000000000021,-1797.600000000009
75,835,-402.5000000000009,-624.6000000000063,-584.9999999999978,-1612.100000000005
76,807,-401.6000000000007,-541.8000000000038,-558.3999999999955,-1501.8000000000002
77,890,-439.80000000000075,-639.0000000000011,-621.3999999999987,-1700.2000000000007
78,830,-396.79999999999984,-633.6000000000064,-597.8999999999969,-1628.3000000000031
79,857,-423.0000000000013,-617.7000000000053,-593.4999999999978,-1634.2000000000044
81,875,-399.4999999999992,-625.7000000000033,-617.0999999999975,-1642.3000000000002
82,833,-388.3,-608.4000000000059,-584.4999999999959,-1581.2000000000019
83,902,-438.9000000000018,-625.0000000000009,-623.1999999999986,-1687.1000000000013
84,814,-412.1000000000012,-583.000000000006,-547.3999999999968,-1542.500000000004
85,778,-376.8000000000001,-539.6000000000043,-526.8999999999946,-1443.299999999999
86,747,-378.00000000000085,-560.000000000006,-513.1999999999953,-1451.200000000002
87,841,-398.29999999999933,-590.0000000000023,-572.2999999999987,-1560.6000000000004
88,849,-413.20000000000033,-602.6000000000018,-577.499999999998,-1593.3000000000002
89,896,-451.7000000000009,-646.0000000000067,-596.8999999999995,-1694.6000000000072
91,850,-393.69999999999965,-587.3000000000018,-617.2999999999981,-1598.2999999999995
92,880,-428.800000000001,-669.0000000000074,-589.7999999999992,-1687.6000000000076
93,849,-428.7000000000007,-603.7000000000028,-578.5999999999985,-1611.000000000002
94,831,-405.00000000000074,-587.0000000000025,-567.2999999999968,-1559.3
95,822,-394.0000000000011,-601.9000000000033,-581.1999999999961,-1577.1000000000004
96,832,-389.0999999999996,-590.1000000000054,-574.099999999996,-1553.300000000001
97,865,-445.6000000000018,-639.1000000000034,-589.3999999999993,-1674.1000000000045
