Episode,Steps,Agent0,Agent1,Agent2,Agent3,Agent4,Agent5,Total
0,1999,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-13199.999999999507
10,1999,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-13199.999999999507
20,861,-646.5999999999993,-751.1999999999941,-774.3999999999927,-839.8000000000056,-825.9000000000076,-892.0000000000128,-4729.900000000012
30,717,-556.3000000000047,-634.3999999999985,-655.8999999999975,-632.7999999999971,-662.4000000000036,-733.6000000000083,-3875.4000000000096
40,829,-686.6000000000013,-749.6999999999998,-782.8000000000014,-751.1999999999994,-786.4000000000036,-834.200000000009,-4590.900000000015
50,573,-430.1000000000027,-500.0000000000007,-498.29999999999853,-501.4999999999998,-493.5000000000034,-560.2000000000048,-2983.60000000001
60,730,-628.9000000000071,-674.8000000000004,-672.9999999999975,-660.6999999999992,-679.4000000000061,-734.900000000009,-4051.700000000019
70,944,-793.7999999999984,-896.0999999999988,-925.8000000000054,-895.8999999999997,-913.3000000000072,-970.700000000015,-5395.600000000025
80,604,-491.10000000000423,-552.1999999999989,-541.2999999999955,-532.5999999999958,-546.7000000000016,-581.800000000003,-3245.699999999999
90,543,-397.20000000000203,-464.49999999999847,-486.60000000000014,-473.39999999999554,-471.19999999999806,-471.3000000000036,-2764.199999999998
100,722,-591.9000000000038,-657.7999999999975,-682.700000000001,-649.6999999999975,-674.600000000004,-693.8000000000036,-3950.5000000000073
110,558,-423.6000000000024,-483.9999999999992,-491.69999999999607,-481.9999999999995,-473.3000000000008,-488.8000000000028,-2843.400000000001
120,561,-441.9000000000031,-490.4999999999994,-506.10000000000133,-496.5999999999989,-488.100000000001,-510.6000000000055,-2933.800000000009
130,651,-547.3000000000048,-608.8000000000021,-609.0000000000023,-584.3000000000006,-558.1000000000009,-555.4000000000024,-3462.900000000013
140,742,-637.7000000000058,-685.599999999999,-684.7999999999998,-660.3999999999945,-674.8000000000036,-707.3000000000043,-4050.600000000007
150,689,-580.2000000000064,-615.799999999998,-626.3999999999978,-636.900000000002,-640.6000000000064,-645.600000000002,-3745.5000000000127
160,673,-556.1000000000025,-614.8999999999992,-617.2999999999989,-588.6999999999958,-615.7000000000036,-628.300000000002,-3621.000000000002
170,791,-692.0000000000073,-743.600000000005,-770.5000000000082,-715.5999999999988,-746.0000000000064,-756.9000000000063,-4424.600000000031
180,689,-571.5000000000014,-631.9000000000004,-644.9000000000026,-622.8999999999957,-627.1000000000028,-645.1000000000051,-3743.400000000008
190,814,-719.0000000000052,-749.1999999999965,-757.3000000000005,-771.700000000005,-770.6000000000068,-775.4000000000034,-4543.200000000017
200,680,-560.000000000004,-622.3999999999996,-601.0999999999959,-632.4000000000017,-623.1000000000051,-627.3000000000022,-3666.3000000000084
210,721,-608.3000000000056,-664.4999999999993,-688.4000000000027,-645.4999999999989,-683.8000000000071,-670.300000000005,-3960.8000000000184
220,656,-544.1000000000043,-588.7999999999972,-620.5000000000014,-565.8999999999966,-588.2000000000038,-575.900000000006,-3483.400000000009
230,590,-459.70000000000243,-523.5999999999967,-548.499999999999,-531.5999999999966,-518.8999999999994,-519.2000000000038,-3101.4999999999977
240,528,-394.8000000000009,-452.5999999999981,-450.49999999999824,-453.8999999999984,-433.00000000000233,-428.1000000000029,-2612.900000000001
250,686,-535.6000000000038,-618.7000000000031,-633.0000000000064,-625.1000000000033,-590.4000000000053,-615.7000000000093,-3618.5000000000314
260,661,-560.3000000000054,-590.8000000000001,-576.0999999999972,-584.0999999999941,-593.4000000000036,-609.7000000000011,-3514.4000000000015
270,581,-460.1000000000029,-518.3999999999986,-550.4000000000018,-531.3000000000001,-504.4000000000024,-501.6000000000044,-3066.2000000000103
280,656,-508.10000000000286,-597.1999999999986,-605.3999999999999,-581.9999999999972,-613.9000000000037,-591.9000000000007,-3498.5000000000027
290,732,-610.7000000000056,-669.0000000000018,-685.2000000000027,-676.7000000000019,-687.0000000000067,-698.2000000000078,-4026.8000000000266
300,736,-613.7000000000044,-662.5999999999975,-698.0000000000008,-653.5999999999942,-691.7000000000029,-665.899999999999,-3985.499999999999
310,573,-452.7000000000034,-507.49999999999864,-515.4,-519.0000000000007,-479.30000000000035,-515.5000000000052,-2989.4000000000087
320,619,-492.40000000000555,-546.8000000000005,-555.2999999999996,-542.0999999999983,-537.3000000000056,-580.5000000000072,-3254.400000000017
330,974,-828.9000000000093,-897.9999999999977,-958.0000000000052,-902.2999999999969,-962.5000000000147,-960.6000000000117,-5510.300000000036
340,721,-625.6000000000054,-644.4999999999989,-656.3999999999985,-667.9000000000004,-649.1000000000029,-686.3000000000031,-3929.8000000000093
350,623,-475.90000000000333,-533.0999999999966,-560.2000000000015,-531.4999999999957,-546.1999999999994,-536.5000000000051,-3183.4000000000015
360,513,-404.4000000000026,-446.7000000000021,-447.29999999999995,-436.7999999999984,-404.40000000000003,-432.1000000000043,-2571.7000000000075
370,527,-425.7000000000027,-460.7999999999977,-472.099999999999,-456.399999999996,-454.5000000000002,-471.2000000000031,-2740.6999999999985
380,815,-693.8000000000033,-777.1000000000015,-780.1000000000021,-787.0000000000047,-784.2000000000103,-800.3000000000089,-4622.500000000031
390,666,-530.3000000000023,-608.1000000000003,-596.799999999995,-600.9999999999995,-613.3000000000059,-619.0000000000049,-3568.5000000000077
400,549,-386.100000000001,-472.2000000000008,-488.0000000000008,-463.39999999999947,-436.60000000000093,-451.80000000000433,-2698.100000000007
410,758,-644.900000000007,-690.3999999999995,-714.9000000000018,-692.0000000000009,-698.000000000005,-685.1000000000021,-4125.300000000017
420,869,-741.700000000001,-817.6000000000001,-840.2000000000027,-808.9000000000004,-857.80000000001,-859.100000000009,-4925.300000000023
430,565,-443.1000000000012,-511.89999999999964,-510.20000000000016,-504.900000000001,-509.2000000000032,-506.8000000000025,-2986.1000000000076
440,791,-683.9000000000073,-733.4999999999998,-762.800000000006,-721.4999999999972,-739.2000000000087,-751.2000000000066,-4392.100000000026
450,734,-617.200000000004,-691.9000000000001,-675.9999999999987,-681.2000000000005,-702.2000000000053,-729.200000000005,-4097.7000000000135
460,584,-474.6000000000023,-544.0000000000014,-536.8999999999993,-546.0000000000015,-541.6000000000029,-554.3000000000031,-3197.4000000000106
470,653,-499.60000000000383,-566.1999999999972,-591.3000000000039,-584.5999999999996,-575.0000000000023,-587.4000000000015,-3404.100000000008
480,741,-627.4000000000035,-678.5999999999982,-702.1000000000009,-675.9999999999972,-682.0000000000019,-699.000000000003,-4065.100000000005
490,724,-639.8000000000044,-678.1,-700.2000000000066,-661.7999999999978,-683.3000000000058,-671.9000000000044,-4035.1000000000186
