Episode,Steps,Agent0,Agent1,Agent2,Agent3,Agent4,Agent5,Total
1,820,-795.5000000000049,-764.299999999999,-746.8999999999959,-788.5000000000044,-740.1000000000004,-708.1999999999974,-4543.500000000002
2,746,-715.8000000000064,-699.1000000000008,-669.7999999999963,-699.3000000000034,-698.500000000006,-648.0000000000028,-4130.5000000000155
3,907,-924.6000000000136,-890.6000000000045,-848.5999999999992,-846.3999999999955,-819.0000000000005,-813.5999999999987,-5142.800000000012
4,715,-700.5000000000082,-687.6000000000018,-658.6999999999978,-663.9999999999967,-669.8000000000047,-641.8000000000026,-4022.4000000000115
5,794,-802.4000000000109,-777.9000000000052,-734.0999999999975,-747.7000000000007,-769.1000000000035,-699.4999999999991,-4530.700000000017
6,700,-685.6000000000083,-662.9000000000048,-631.2999999999969,-654.9000000000021,-647.9000000000016,-621.2999999999994,-3903.9000000000133
7,785,-786.8000000000063,-766.4000000000068,-712.5999999999955,-734.5999999999993,-707.400000000002,-711.6999999999996,-4419.500000000009
8,815,-818.4000000000094,-801.6000000000049,-755.8999999999994,-782.8000000000004,-732.000000000001,-725.8999999999951,-4616.60000000001
9,838,-820.2000000000094,-801.7000000000039,-770.1999999999965,-809.1000000000053,-768.5000000000025,-738.1999999999964,-4707.900000000014
11,725,-727.8000000000094,-666.4000000000016,-673.4000000000003,-684.9999999999992,-619.3999999999996,-614.1000000000046,-3986.1000000000145
12,754,-743.000000000007,-728.7000000000044,-678.6999999999947,-710.9000000000034,-697.1000000000058,-678.200000000004,-4236.6000000000195
13,642,-600.300000000007,-620.9000000000035,-570.2999999999959,-582.4999999999968,-557.5000000000003,-562.7999999999997,-3494.3000000000034
14,671,-648.5000000000067,-620.1999999999994,-603.6999999999978,-612.5999999999992,-575.1999999999991,-553.3000000000054,-3613.500000000008
15,776,-782.900000000008,-774.7000000000086,-715.4999999999975,-730.5000000000005,-744.700000000004,-688.5000000000024,-4436.800000000021
16,725,-689.9000000000087,-698.8000000000045,-658.6999999999982,-686.8000000000006,-635.4000000000015,-645.6000000000038,-4015.200000000017
17,668,-648.5000000000077,-647.5000000000038,-600.6999999999956,-615.6999999999991,-620.900000000005,-590.4000000000016,-3723.7000000000126
18,665,-646.5000000000063,-628.6000000000039,-592.8999999999996,-618.3999999999967,-580.2000000000021,-556.6000000000043,-3623.200000000013
19,702,-703.3000000000093,-668.3000000000026,-625.3999999999935,-651.7000000000036,-626.5000000000015,-604.5000000000014,-3879.7000000000116
21,839,-834.2000000000124,-801.2000000000031,-780.4999999999989,-810.200000000004,-745.5999999999998,-767.1000000000041,-4738.800000000022
22,746,-736.8000000000098,-709.7000000000052,-670.499999999997,-694.1000000000016,-644.1000000000024,-627.9000000000015,-4083.1000000000176
23,796,-762.3000000000072,-762.5000000000018,-733.0999999999968,-758.1000000000008,-698.3000000000008,-693.2999999999959,-4407.600000000003
24,755,-730.1000000000072,-725.2000000000054,-673.899999999997,-720.0000000000022,-691.8000000000029,-673.8000000000018,-4214.800000000017
25,721,-705.2000000000089,-672.0000000000026,-659.2999999999976,-667.0000000000013,-623.2000000000038,-610.1000000000012,-3936.8000000000156
26,802,-788.5000000000091,-763.1000000000062,-730.3999999999976,-776.7000000000032,-717.3000000000034,-718.7000000000008,-4494.700000000021
27,691,-648.7000000000072,-626.5999999999999,-606.4999999999967,-637.8000000000019,-580.3999999999999,-591.9000000000038,-3691.900000000009
28,686,-629.8000000000047,-647.5000000000035,-596.3999999999957,-626.6999999999988,-593.1000000000013,-610.5000000000027,-3704.000000000007
29,926,-941.6000000000098,-913.5000000000076,-884.2000000000005,-869.5000000000001,-838.0999999999982,-845.7999999999992,-5292.700000000015
31,680,-644.5000000000039,-667.3000000000036,-628.8999999999974,-652.1000000000022,-641.1000000000037,-589.5000000000017,-3823.4000000000124
32,893,-891.2000000000082,-845.2000000000027,-831.199999999999,-853.6000000000071,-794.0000000000017,-802.4000000000058,-5017.600000000025
33,823,-809.100000000008,-800.0000000000041,-751.6999999999967,-775.3999999999972,-775.0000000000027,-727.0000000000002,-4638.200000000009
34,862,-873.1000000000103,-815.3000000000044,-812.500000000001,-802.9000000000018,-747.9,-760.5000000000024,-4812.20000000002
35,783,-788.9000000000075,-766.2000000000054,-724.1999999999981,-729.3999999999985,-694.9999999999994,-680.4999999999987,-4384.200000000008
36,684,-634.0000000000075,-643.5000000000015,-606.5999999999973,-624.2999999999969,-587.0999999999989,-595.0000000000028,-3690.500000000005
37,810,-820.4000000000066,-778.3000000000015,-738.399999999997,-777.4999999999968,-705.099999999997,-732.3999999999993,-4552.0999999999985
38,672,-651.8000000000079,-641.9000000000026,-607.3999999999966,-633.8999999999979,-599.8999999999995,-587.0000000000032,-3721.900000000008
39,752,-733.8000000000096,-701.2999999999988,-691.0999999999989,-705.900000000002,-688.1000000000018,-645.5000000000018,-4165.7000000000135
41,735,-743.4000000000104,-707.8000000000033,-670.3999999999976,-680.9999999999986,-667.8000000000019,-642.700000000003,-4113.100000000015
42,806,-779.3000000000083,-770.3000000000018,-747.2999999999942,-762.9000000000009,-735.1000000000015,-725.5000000000035,-4520.400000000011
43,701,-680.0000000000083,-678.6000000000056,-622.8999999999961,-636.7999999999956,-616.8000000000001,-626.2999999999994,-3861.400000000005
44,762,-709.2000000000048,-709.3000000000026,-687.2999999999959,-712.2999999999997,-691.1000000000056,-664.1000000000032,-4173.300000000011
45,805,-793.4000000000065,-774.2000000000053,-757.3000000000002,-736.399999999998,-746.2000000000023,-690.2000000000003,-4497.7000000000135
46,692,-682.9000000000085,-656.3000000000034,-632.6,-651.3000000000004,-601.1000000000001,-599.3000000000015,-3823.500000000014
47,710,-718.7000000000087,-695.900000000005,-639.6999999999961,-681.9,-645.5000000000035,-621.1000000000022,-4002.8000000000156
48,714,-659.3000000000079,-668.0999999999976,-650.9999999999972,-662.6999999999986,-624.1000000000008,-643.0000000000025,-3908.2000000000044
49,548,-528.800000000006,-501.50000000000256,-487.89999999999924,-479.69999999999595,-456.7000000000001,-472.3000000000037,-2926.900000000008
51,611,-475.3000000000025,-543.2000000000002,-539.899999999997,-540.1999999999969,-528.4000000000017,-568.7000000000033,-3195.7000000000016
52,560,-448.60000000000184,-502.70000000000016,-499.9999999999976,-503.4999999999975,-513.9000000000007,-527.4000000000019,-2996.1
53,522,-401.6000000000031,-456.1000000000017,-459.3999999999994,-441.8999999999985,-432.1000000000019,-453.5000000000039,-2644.6000000000085
54,562,-413.30000000000354,-501.30000000000354,-503.60000000000036,-483.49999999999744,-493.1000000000026,-501.3000000000033,-2896.100000000011
55,662,-542.0000000000058,-597.6999999999992,-613.6999999999997,-600.3000000000017,-608.7000000000061,-613.8000000000033,-3576.2000000000157
56,746,-647.6000000000064,-689.9000000000002,-693.8999999999978,-715.3,-698.300000000006,-741.6000000000088,-4186.6000000000195
57,971,-852.8000000000086,-900.399999999998,-929.3000000000039,-919.800000000003,-969.0000000000149,-990.2000000000144,-5561.500000000043
58,894,-750.400000000003,-828.2999999999985,-852.7000000000036,-839.7000000000004,-861.7000000000074,-862.0000000000061,-4994.800000000019
