Episode,Steps,Agent0,Agent1,Agent2,Total
0,1999,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-6599.999999999753
10,1999,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-6599.999999999753
20,1999,-2199.9999999999177,-2199.9999999999177,-2199.9999999999177,-6599.999999999753
30,1999,-2013.8999999999305,-2149.099999999923,-1968.4000000000117,-6131.399999999865
40,1999,-1898.2999999999442,-1783.7999999999386,-1958.000000000026,-5640.099999999909
50,1999,-1960.5999999999383,-1889.1999999999366,-1910.2000000000344,-5759.999999999909
60,1681,-1006.9000000000038,-1339.7999999999756,-1623.1999999999857,-3969.899999999965
70,1370,-642.199999999996,-1126.1999999999887,-1338.8999999999892,-3107.299999999974
80,853,-440.9000000000023,-669.4000000000079,-582.3999999999983,-1692.7000000000085
90,858,-409.49999999999983,-605.6000000000037,-590.9000000000003,-1606.0000000000039
100,854,-416.7000000000007,-601.5000000000056,-590.8999999999975,-1609.1000000000038
110,932,-472.20000000000186,-694.500000000007,-626.5000000000015,-1793.2000000000103
120,823,-419.80000000000217,-583.600000000006,-555.1999999999974,-1558.6000000000058
130,890,-407.80000000000024,-637.6000000000071,-616.4999999999987,-1661.900000000006
140,905,-440.2999999999995,-675.6000000000082,-621.7999999999989,-1737.7000000000066
150,859,-429.2000000000018,-654.9000000000078,-579.7999999999986,-1663.9000000000083
160,836,-389.2000000000007,-596.3000000000061,-556.0999999999967,-1541.6000000000035
170,820,-394.9000000000002,-578.5000000000057,-566.6999999999962,-1540.1000000000022
180,830,-395.70000000000005,-596.5000000000058,-574.499999999997,-1566.700000000003
190,842,-418.900000000002,-599.7000000000033,-563.299999999998,-1581.9000000000033
200,855,-388.10000000000014,-619.3000000000064,-597.3999999999971,-1604.8000000000038
210,794,-358.1999999999997,-543.300000000005,-537.499999999995,-1438.9999999999995
220,887,-437.100000000001,-628.1000000000039,-613.5999999999989,-1678.8000000000038
230,858,-418.100000000001,-638.0000000000073,-580.2999999999988,-1636.4000000000071
240,893,-410.7000000000004,-627.2000000000063,-614.9999999999986,-1652.9000000000053
250,910,-433.10000000000093,-634.9000000000007,-616.1000000000005,-1684.1000000000022
260,857,-393.300000000001,-599.2000000000064,-591.3999999999976,-1583.900000000005
270,756,-355.7000000000008,-500.7000000000045,-504.49999999999466,-1360.9
280,810,-372.7000000000006,-575.2000000000055,-540.4999999999964,-1488.4000000000024
290,803,-391.300000000002,-538.800000000003,-565.7999999999967,-1495.9000000000017
300,886,-419.30000000000155,-635.400000000007,-597.0999999999996,-1651.800000000008
310,824,-400.7000000000012,-560.200000000003,-572.099999999997,-1533.0000000000011
320,845,-405.10000000000093,-589.1000000000055,-582.7999999999971,-1577.0000000000036
330,902,-420.80000000000064,-649.300000000004,-632.0999999999999,-1702.2000000000046
340,842,-380.80000000000024,-600.0000000000063,-587.4999999999961,-1568.3000000000027
350,934,-443.40000000000066,-654.9000000000032,-632.9000000000015,-1731.2000000000053
360,852,-405.00000000000057,-615.5000000000041,-572.0999999999973,-1592.600000000002
370,777,-382.0000000000011,-537.6000000000048,-521.7999999999952,-1441.400000000001
380,739,-341.1000000000018,-523.1000000000049,-492.19999999999453,-1356.4000000000012
390,838,-421.6000000000023,-595.2000000000061,-562.2999999999978,-1579.1000000000063
400,932,-458.80000000000246,-656.8000000000068,-620.500000000001,-1736.1000000000104
410,888,-412.0000000000007,-640.0000000000045,-610.8999999999987,-1662.900000000004
420,764,-345.5000000000008,-523.5000000000044,-519.4999999999957,-1388.500000000001
