Episode,Steps,Agent0,Agent1,Agent2,Total
1,1459,-1077.2000000000046,-1217.3999999999917,-1182.900000000002,-3477.499999999998
2,1512,-1151.2999999999993,-1298.0999999999938,-1275.8999999999928,-3725.299999999986
3,1485,-1135.900000000004,-1258.8999999999864,-1219.7,-3614.49999999999
4,1008,-695.2000000000038,-780.1999999999975,-788.6000000000067,-2264.000000000008
5,962,-621.6000000000031,-730.4000000000046,-701.0000000000016,-2053.000000000009
6,1173,-906.6000000000108,-901.5999999999967,-938.7000000000065,-2746.900000000014
7,981,-583.1000000000034,-753.5000000000005,-708.4000000000045,-2045.0000000000086
8,997,-627.9000000000024,-763.8000000000054,-720.3000000000046,-2112.0000000000123
9,1058,-674.500000000004,-778.8000000000014,-801.2000000000049,-2254.5000000000105
11,1142,-797.0000000000061,-905.9999999999992,-877.3000000000072,-2580.300000000013
12,971,-622.7000000000054,-726.299999999999,-693.6000000000026,-2042.6000000000072
13,996,-648.8000000000048,-754.1000000000014,-714.9000000000027,-2117.800000000009
14,997,-586.1000000000035,-719.3,-720.5000000000038,-2025.9000000000074
15,1035,-714.0000000000058,-801.0000000000035,-811.0000000000025,-2326.000000000012
16,1093,-759.8000000000038,-833.7999999999998,-839.5000000000056,-2433.100000000009
17,942,-626.0000000000044,-711.4999999999981,-651.1000000000035,-1988.600000000006
18,1070,-710.6000000000058,-810.300000000001,-810.1000000000045,-2331.0000000000114
19,1031,-644.4000000000041,-801.9000000000069,-753.6000000000039,-2199.900000000015
21,1327,-989.6000000000087,-1106.0999999999992,-1090.1000000000117,-3185.8000000000197
22,1102,-667.0000000000013,-848.7999999999986,-811.2000000000079,-2327.0000000000077
23,1128,-706.4000000000035,-848.8999999999987,-857.8000000000061,-2413.1000000000085
24,1027,-658.7000000000045,-779.4,-748.2000000000032,-2186.3000000000075
25,1068,-667.0000000000031,-813.6000000000004,-789.9000000000099,-2270.5000000000136
26,1148,-746.5000000000034,-910.300000000002,-918.2000000000089,-2575.0000000000146
27,1563,-1161.9,-1335.5999999999851,-1293.399999999993,-3790.8999999999787
28,959,-508.50000000000057,-718.8000000000046,-660.3000000000021,-1887.6000000000072
29,1430,-1103.400000000002,-1177.8999999999985,-1206.100000000001,-3487.4000000000015
31,853,-495.90000000000117,-661.7000000000073,-604.3999999999979,-1762.0000000000064
32,1051,-634.4000000000008,-777.9999999999969,-749.5000000000066,-2161.900000000004
33,1063,-713.7000000000033,-798.1999999999975,-776.4000000000116,-2288.3000000000125
34,1470,-1103.3999999999996,-1198.3999999999924,-1236.300000000001,-3538.099999999993
35,1129,-772.1000000000049,-884.8000000000022,-862.1000000000068,-2519.000000000014
36,1276,-945.6000000000088,-997.4999999999967,-1010.3000000000118,-2953.400000000017
37,991,-642.4000000000028,-721.6999999999989,-703.2000000000032,-2067.3000000000047
38,1137,-836.4000000000083,-903.5000000000028,-890.5000000000081,-2630.400000000019
39,1115,-765.7000000000062,-875.6000000000025,-834.000000000007,-2475.3000000000156
