Episode,Steps,Agent0,Agent1,Agent2,Total
0,1999,-2008.399999999965,-1987.9,-2032.7999999999874,-6029.099999999953
10,1999,-2110.799999999949,-1932.200000000023,-2016.2999999999938,-6059.299999999966
20,1999,-2067.9999999999745,-2000.4000000000003,-2000.7,-6069.099999999975
30,1999,-2045.3999999999578,-1967.4000000000117,-2000.4999999999998,-6013.299999999969
40,1007,-473.49999999999943,-725.7000000000032,-803.8000000000053,-2003.0000000000077
50,870,-444.10000000000167,-659.100000000008,-585.4999999999985,-1688.700000000008
60,848,-436.8000000000019,-630.7000000000039,-572.8999999999984,-1640.4000000000042
70,910,-473.90000000000265,-703.1000000000049,-641.9000000000009,-1818.9000000000083
80,812,-387.800000000001,-589.4000000000057,-569.3999999999959,-1546.6000000000026
90,894,-470.50000000000153,-629.4000000000002,-617.2999999999996,-1717.2000000000012
100,876,-419.5999999999999,-642.2000000000066,-605.6999999999982,-1667.5000000000048
110,908,-443.0000000000008,-662.7000000000055,-605.1,-1710.800000000006
120,807,-384.0000000000011,-573.4000000000055,-549.0999999999957,-1506.5000000000023
130,892,-428.9000000000006,-616.9000000000052,-619.6999999999975,-1665.5000000000034
140,863,-387.499999999999,-614.4000000000062,-596.9999999999974,-1598.9000000000026
150,818,-381.60000000000036,-583.6000000000057,-560.3999999999963,-1525.6000000000024
160,900,-413.00000000000034,-696.9000000000085,-629.4999999999989,-1739.4000000000076
170,799,-366.8,-542.700000000004,-558.9999999999962,-1468.5000000000005
180,795,-365.2999999999998,-553.9000000000048,-533.9999999999953,-1453.1999999999998
190,863,-412.60000000000025,-624.7000000000037,-606.7999999999979,-1644.1000000000017
200,859,-424.700000000001,-609.5000000000038,-590.5999999999975,-1624.8000000000025
210,816,-378.40000000000094,-559.6000000000051,-565.7999999999956,-1503.8000000000018
220,868,-448.6000000000022,-592.6000000000051,-581.6999999999987,-1622.900000000006
230,840,-422.9000000000013,-578.1000000000024,-575.1999999999972,-1576.2000000000007
240,908,-420.0000000000003,-640.6000000000037,-637.3999999999996,-1698.0000000000036
250,921,-439.79999999999956,-651.6000000000043,-628.7000000000004,-1720.1000000000045
260,851,-387.6000000000011,-601.3000000000037,-577.5999999999977,-1566.5000000000027
270,807,-388.9000000000004,-552.3000000000051,-570.0999999999965,-1511.300000000002
280,839,-388.0000000000003,-597.4000000000025,-586.8999999999968,-1572.2999999999997
290,794,-369.19999999999965,-537.0000000000043,-554.7999999999961,-1461.0
300,911,-428.3000000000009,-684.7000000000072,-612.3000000000009,-1725.300000000009
310,887,-444.5000000000013,-684.5000000000083,-596.9999999999997,-1726.000000000009
320,838,-402.2,-580.0000000000027,-564.4999999999982,-1546.700000000001
330,894,-433.60000000000076,-631.7000000000032,-615.5000000000014,-1680.8000000000054
340,836,-394.3,-578.800000000003,-579.1999999999972,-1552.3000000000002
350,918,-416.2999999999991,-643.8000000000053,-615.7000000000014,-1675.8000000000059
360,841,-385.9000000000007,-588.2000000000058,-578.8999999999968,-1553.0000000000032
370,784,-403.10000000000235,-535.9000000000044,-525.2999999999952,-1464.300000000002
380,745,-355.4000000000006,-506.5000000000041,-510.5999999999955,-1372.5
390,812,-367.6000000000003,-571.1000000000051,-542.9999999999965,-1481.700000000002
400,913,-398.5,-631.6000000000058,-633.3999999999994,-1663.5000000000052
410,890,-408.5000000000006,-636.3000000000068,-619.0999999999985,-1663.900000000006
420,818,-389.20000000000095,-603.2000000000061,-563.2999999999956,-1555.7000000000025
430,759,-359.19999999999965,-521.0000000000048,-514.2999999999951,-1394.4999999999995
