Episode,Steps,Agent0,Agent1,Agent2,Total
1,941,-464.9000000000012,-694.2000000000021,-631.4000000000024,-1790.5000000000057
2,865,-417.00000000000057,-622.0000000000072,-586.9999999999993,-1626.000000000007
3,909,-429.3000000000012,-672.4000000000024,-627.800000000002,-1729.5000000000055
4,770,-401.4000000000008,-564.5000000000052,-524.8999999999951,-1490.800000000001
5,867,-442.0000000000018,-707.9000000000088,-595.5999999999992,-1745.5000000000098
6,788,-378.9000000000007,-563.7000000000028,-538.2999999999957,-1480.8999999999992
7,916,-487.70000000000294,-709.5000000000049,-640.7000000000018,-1837.9000000000096
8,899,-444.6000000000007,-693.5000000000034,-639.1999999999998,-1777.3000000000038
9,890,-436.20000000000135,-670.0000000000052,-598.0999999999998,-1704.3000000000065
11,899,-470.00000000000205,-692.7000000000022,-618.8000000000008,-1781.500000000005
12,862,-403.0000000000005,-692.300000000006,-588.899999999999,-1684.2000000000055
13,829,-414.8000000000012,-592.7000000000037,-562.9999999999978,-1570.5000000000027
14,861,-397.8999999999995,-600.3000000000022,-584.1999999999988,-1582.4000000000005
15,811,-403.00000000000074,-639.6000000000074,-549.999999999997,-1592.6000000000051
16,819,-398.29999999999984,-580.9000000000035,-553.999999999997,-1533.2000000000003
17,828,-420.20000000000203,-647.5000000000053,-561.499999999998,-1629.2000000000053
18,898,-454.10000000000167,-699.3000000000087,-610.9000000000002,-1764.3000000000106
19,869,-418.0000000000009,-662.0000000000043,-592.1999999999995,-1672.2000000000048
21,892,-450.80000000000035,-666.1000000000004,-643.4999999999995,-1760.4000000000003
22,970,-464.7000000000007,-760.2000000000091,-682.1000000000028,-1907.0000000000127
23,976,-507.8000000000017,-722.4000000000033,-701.1000000000035,-1931.3000000000086
24,903,-464.0000000000015,-699.7000000000082,-621.2000000000016,-1784.9000000000115
25,938,-464.1000000000007,-746.8000000000075,-632.5000000000024,-1843.4000000000106
26,877,-423.90000000000083,-685.6000000000085,-590.1999999999998,-1699.7000000000091
27,900,-414.40000000000003,-619.4000000000066,-609.0999999999998,-1642.9000000000065
28,911,-455.1000000000016,-674.2000000000071,-627.200000000002,-1756.500000000011
29,901,-438.39999999999947,-695.3000000000045,-619.8000000000008,-1753.5000000000045
31,814,-402.1000000000006,-662.9000000000067,-568.4999999999969,-1633.500000000004
32,935,-439.80000000000086,-701.7000000000023,-642.8000000000018,-1784.300000000005
33,933,-474.00000000000114,-730.100000000006,-654.200000000002,-1858.3000000000093
34,968,-461.799999999999,-755.100000000007,-683.9000000000043,-1900.8000000000102
35,917,-448.1000000000005,-722.7000000000072,-646.6000000000015,-1817.4000000000092
36,924,-452.90000000000134,-703.8000000000046,-640.7000000000018,-1797.4000000000078
37,953,-525.2000000000014,-753.9000000000034,-659.4000000000036,-1938.5000000000086
38,804,-406.8000000000002,-579.2000000000052,-552.2999999999964,-1538.3000000000018
39,863,-437.2000000000019,-633.9000000000041,-582.7999999999987,-1653.9000000000046
41,825,-411.100000000001,-608.7000000000066,-567.3999999999967,-1587.2000000000044
42,846,-404.3999999999998,-617.000000000004,-578.4999999999987,-1599.9000000000024
43,860,-404.3999999999997,-651.2000000000075,-593.8999999999987,-1649.500000000006
44,938,-474.400000000002,-705.5000000000033,-646.9000000000029,-1826.8000000000084
45,863,-399.2999999999991,-623.5000000000058,-589.5999999999989,-1612.4000000000037
46,854,-426.90000000000026,-665.5000000000056,-594.0999999999997,-1686.5000000000055
47,806,-406.8000000000011,-605.9000000000063,-562.8999999999974,-1575.600000000005
48,897,-437.69999999999936,-685.700000000001,-633.4000000000013,-1756.8000000000015
49,835,-422.6999999999996,-652.5000000000081,-591.1999999999983,-1666.400000000006
51,935,-484.10000000000184,-707.8000000000056,-640.4000000000028,-1832.3000000000102
52,790,-399.9000000000021,-583.2000000000057,-543.2999999999951,-1526.4000000000028
53,926,-462.70000000000124,-703.5000000000088,-648.5000000000013,-1814.7000000000112
54,879,-419.4000000000008,-664.7000000000054,-596.3999999999997,-1680.500000000006
55,849,-411.8,-633.4000000000065,-580.1999999999981,-1625.4000000000046
56,832,-430.20000000000067,-642.7000000000074,-562.299999999998,-1635.2000000000062
57,880,-439.20000000000095,-638.3000000000029,-591.0999999999999,-1668.6000000000038
58,950,-472.4,-724.500000000003,-653.300000000005,-1850.2000000000078
59,929,-463.40000000000146,-710.200000000005,-630.6000000000021,-1804.2000000000085
61,738,-348.0999999999998,-538.2000000000054,-500.0999999999949,-1386.4
62,909,-441.19999999999976,-704.1000000000062,-619.4000000000019,-1764.7000000000078
63,837,-416.80000000000155,-645.8000000000076,-570.5999999999988,-1633.2000000000078
