Episode,Steps,Agent0,Agent1,Agent2,Agent3,Agent4,Agent5,Total
0,594,-472.70000000000465,-540.1000000000016,-529.4999999999964,-541.5999999999992,-534.7000000000041,-532.1000000000039,-3150.70000000001
10,486,-346.6000000000027,-399.4999999999989,-420.8999999999973,-393.5999999999979,-371.7000000000008,-380.100000000003,-2312.4000000000005
20,546,-403.6000000000034,-459.4999999999986,-461.6999999999986,-453.3999999999987,-441.4000000000009,-459.1000000000026,-2678.700000000003
30,551,-422.30000000000337,-481.8000000000016,-483.79999999999734,-459.3999999999972,-463.60000000000014,-483.8000000000034,-2794.700000000003
40,634,-493.2000000000038,-556.1999999999992,-577.0999999999968,-545.9999999999973,-555.9000000000019,-579.3000000000051,-3307.7000000000044
50,453,-324.60000000000304,-372.9999999999994,-401.60000000000105,-375.09999999999906,-348.00000000000085,-369.5000000000027,-2191.800000000006
60,521,-417.20000000000306,-454.90000000000134,-469.4000000000016,-438.09999999999656,-444.10000000000196,-455.2000000000033,-2678.900000000008
70,681,-525.0000000000033,-617.1999999999978,-648.3000000000034,-599.1999999999954,-629.300000000002,-644.8000000000043,-3663.800000000006
80,513,-375.7000000000024,-466.60000000000224,-456.79999999999984,-445.5999999999989,-438.1000000000017,-465.80000000000246,-2648.6000000000076
90,1999,-2042.2999999999647,-2143.9999999999295,-2027.2999999999874,-2048.4999999999814,-2095.399999999933,-1943.7000000000226,-12301.199999999817
100,1999,-2069.099999999957,-2113.2999999999547,-2134.0999999999412,-2175.999999999926,-1974.89999999996,-2142.1999999999407,-12609.59999999968
110,1999,-2133.4999999999236,-2091.2999999999615,-2078.7999999999624,-2188.599999999919,-1860.7999999999527,-2093.9999999999613,-12446.99999999968
120,1999,-2161.599999999921,-2099.5999999999613,-2097.799999999961,-2194.999999999918,-1889.9999999999575,-2097.199999999961,-12541.19999999968
130,1999,-2187.299999999919,-2099.2999999999615,-2099.4999999999613,-2198.9999999999177,-1868.7999999999474,-2099.799999999961,-12553.699999999668
140,1999,-2128.2999999999242,-2091.7999999999615,-2086.5999999999617,-2189.599999999919,-1892.4999999999573,-2109.8999999999546,-12498.699999999677
150,1999,-2129.599999999924,-2097.799999999961,-2097.4999999999613,-2191.3999999999187,-1886.6999999999575,-2096.699999999961,-12499.699999999684
160,1999,-2099.899999999927,-2069.5999999999685,-2079.3999999999683,-2176.29999999992,-1912.2999999999627,-2078.099999999968,-12415.599999999713
170,1999,-2174.59999999992,-2088.5999999999617,-2097.499999999961,-2176.79999999992,-1885.0999999999576,-2097.699999999961,-12520.299999999683
180,624,-478.800000000003,-533.7999999999969,-568.6000000000005,-556.999999999996,-517.700000000001,-630.0000000000055,-3285.9000000000024
190,677,-517.0000000000024,-578.1999999999946,-648.8000000000034,-597.5999999999967,-570.3999999999987,-678.0000000000061,-3590.000000000002
200,657,-489.60000000000304,-563.6999999999969,-626.0000000000008,-572.6999999999955,-548.3000000000012,-650.6000000000045,-3450.900000000002
210,652,-508.7000000000054,-576.6999999999981,-625.8000000000018,-563.2999999999955,-538.9000000000009,-650.9000000000062,-3464.3000000000084
220,608,-435.2000000000027,-519.2999999999977,-561.7999999999982,-526.9999999999953,-471.7000000000018,-598.1000000000039,-3113.1
230,586,-447.30000000000337,-506.2999999999988,-520.1999999999992,-514.6999999999953,-475.1000000000015,-579.9000000000035,-3043.500000000002
240,557,-393.00000000000205,-467.6999999999984,-474.8999999999976,-462.499999999997,-437.40000000000225,-543.0000000000039,-2778.500000000001
250,573,-418.60000000000366,-483.8999999999994,-490.7999999999971,-479.3999999999963,-432.2000000000006,-544.2000000000041,-2849.1000000000013
260,503,-357.6000000000023,-420.99999999999875,-436.79999999999944,-417.99999999999875,-367.6000000000004,-455.7000000000033,-2456.700000000003
270,580,-487.5000000000057,-505.19999999999925,-521.7999999999986,-506.39999999999856,-469.50000000000335,-556.2000000000057,-3046.6000000000113
280,532,-407.9000000000026,-457.6000000000004,-463.5999999999995,-455.6999999999983,-405.8000000000023,-484.70000000000385,-2675.300000000007
290,548,-425.1000000000026,-462.9999999999959,-482.6000000000014,-474.6999999999997,-424.50000000000153,-529.6000000000039,-2799.500000000005
300,558,-417.20000000000056,-467.09999999999695,-490.5999999999983,-474.49999999999847,-432.4999999999996,-514.0000000000038,-2795.8999999999974
310,481,-357.90000000000197,-408.30000000000024,-414.3000000000011,-408.399999999998,-372.90000000000197,-417.400000000004,-2379.200000000007
320,490,-365.10000000000247,-412.4000000000002,-435.0000000000008,-411.49999999999795,-368.4000000000027,-411.10000000000446,-2403.5000000000086
330,699,-552.1000000000034,-625.1999999999989,-651.600000000001,-622.3000000000002,-596.000000000003,-649.2000000000055,-3696.4000000000115
340,551,-413.10000000000133,-475.1999999999991,-481.49999999999886,-481.0999999999988,-441.70000000000135,-511.80000000000433,-2804.4000000000037
350,532,-383.90000000000197,-446.3000000000004,-458.1999999999953,-438.0999999999989,-412.1000000000021,-440.10000000000275,-2578.700000000001
360,498,-376.00000000000205,-416.89999999999986,-426.8999999999982,-440.9000000000018,-377.4000000000025,-420.70000000000437,-2458.800000000009
370,504,-412.6000000000036,-437.40000000000106,-439.9999999999996,-437.90000000000003,-409.500000000004,-452.0000000000045,-2589.400000000013
380,584,-471.6000000000027,-522.5999999999999,-542.8000000000047,-524.1000000000022,-484.90000000000435,-550.6000000000073,-3096.600000000021
390,519,-374.20000000000135,-438.1999999999988,-472.3000000000019,-440.4999999999986,-416.60000000000207,-454.3000000000041,-2596.100000000007
400,533,-388.8000000000028,-441.4999999999994,-445.2999999999971,-455.89999999999975,-406.50000000000233,-449.80000000000456,-2587.800000000006
410,565,-453.90000000000384,-484.9999999999996,-496.09999999999866,-493.60000000000286,-452.70000000000147,-468.90000000000504,-2850.2000000000116
420,593,-466.90000000000236,-522.299999999999,-562.2999999999997,-530.5999999999997,-480.5999999999999,-540.2000000000058,-3102.9000000000065
430,444,-329.90000000000106,-368.89999999999844,-396.10000000000207,-381.2000000000009,-343.5000000000018,-367.80000000000314,-2187.4000000000074
440,583,-472.4000000000035,-510.09999999999997,-521.8000000000003,-498.4999999999964,-481.6000000000043,-536.4000000000059,-3020.8000000000106
450,529,-425.00000000000273,-459.69999999999806,-487.5999999999997,-450.49999999999727,-429.6000000000009,-488.80000000000365,-2741.2000000000025
460,458,-347.700000000002,-409.99999999999983,-397.79999999999836,-402.299999999999,-403.3000000000008,-407.300000000002,-2368.4000000000024
470,511,-357.4000000000015,-429.80000000000047,-439.7000000000007,-432.49999999999915,-373.3000000000013,-425.90000000000373,-2458.6000000000067
480,581,-451.900000000002,-501.7999999999963,-520.1999999999962,-518.4999999999956,-509.0000000000009,-512.1000000000047,-3013.4999999999955
490,574,-506.10000000000366,-504.29999999999956,-520.900000000001,-516.5999999999996,-485.700000000002,-513.8000000000043,-3047.40000000001
500,458,-337.9000000000021,-373.9999999999987,-399.2000000000011,-371.5999999999987,-350.0000000000013,-374.20000000000397,-2206.900000000006
510,443,-345.1000000000033,-382.2999999999989,-376.59999999999997,-388.4000000000026,-336.4000000000003,-382.5000000000034,-2211.3000000000084
520,635,-490.5000000000031,-550.0999999999993,-572.4000000000025,-549.999999999994,-538.4000000000037,-555.4000000000065,-3256.8000000000093
530,501,-387.90000000000094,-436.79999999999905,-448.4999999999998,-437.29999999999865,-389.1999999999988,-416.80000000000206,-2516.499999999999
540,688,-569.6000000000048,-608.5999999999985,-636.2999999999964,-605.8999999999995,-602.5000000000043,-654.4000000000046,-3677.300000000009
550,589,-459.700000000003,-531.3999999999983,-531.7999999999948,-540.4999999999969,-504.69999999999925,-526.1000000000038,-3094.199999999996
560,447,-333.20000000000266,-389.8000000000002,-392.49999999999943,-374.6999999999991,-374.90000000000236,-374.000000000003,-2239.1000000000067
570,622,-495.6000000000039,-539.8999999999992,-549.8999999999986,-547.7000000000003,-521.6000000000033,-568.0000000000069,-3222.700000000012
580,478,-369.0000000000033,-409.5000000000017,-420.1000000000005,-396.69999999999857,-370.90000000000254,-391.7000000000043,-2357.9000000000106
590,498,-395.70000000000266,-435.09999999999866,-449.5999999999972,-427.09999999999746,-434.0000000000018,-453.4000000000028,-2594.9000000000005
600,526,-381.00000000000125,-439.0999999999997,-444.79999999999643,-450.8999999999991,-409.60000000000116,-439.10000000000434,-2564.5000000000023
610,617,-480.4000000000038,-544.2999999999972,-558.5000000000003,-547.6999999999957,-529.1999999999996,-558.6000000000049,-3218.7000000000016
620,588,-438.60000000000264,-518.8000000000001,-525.8999999999972,-511.19999999999936,-489.2000000000015,-517.5000000000038,-3001.2000000000044
630,587,-478.30000000000445,-543.8000000000022,-530.3999999999991,-512.7999999999975,-528.2000000000019,-534.700000000003,-3128.2000000000085
640,503,-382.70000000000215,-447.10000000000156,-431.19999999999703,-431.9000000000003,-417.3000000000025,-423.10000000000394,-2533.3000000000075
650,613,-462.6000000000019,-544.3000000000008,-549.5000000000005,-535.1999999999987,-539.8000000000027,-558.0000000000045,-3189.4000000000087
660,523,-392.6000000000028,-452.9000000000002,-459.79999999999967,-462.10000000000196,-430.0000000000029,-457.4000000000046,-2654.800000000012
670,531,-409.20000000000203,-459.399999999999,-462.2999999999981,-461.8999999999994,-434.6000000000001,-474.4000000000045,-2701.8000000000034
680,485,-355.600000000002,-419.9000000000013,-414.89999999999947,-421.09999999999917,-385.59999999999985,-431.80000000000337,-2428.900000000005
690,496,-371.6000000000018,-421.5999999999996,-429.4999999999997,-424.8000000000015,-402.9000000000017,-428.0000000000055,-2478.4000000000096
700,535,-391.6000000000026,-460.5000000000014,-469.19999999999993,-453.5000000000002,-432.2000000000016,-443.40000000000424,-2650.4000000000096
710,488,-366.90000000000134,-426.4999999999987,-427.59999999999764,-408.899999999997,-429.10000000000184,-424.800000000003,-2483.7999999999993
720,533,-414.1000000000022,-473.9999999999996,-466.1999999999949,-477.7999999999963,-455.20000000000067,-484.30000000000206,-2771.5999999999954
730,507,-363.70000000000203,-417.0999999999986,-441.5000000000008,-420.6999999999981,-375.6000000000005,-418.30000000000445,-2436.900000000004
740,613,-491.0000000000026,-545.9999999999983,-543.9999999999961,-554.4999999999965,-532.7000000000041,-572.100000000005,-3240.300000000003
750,462,-332.40000000000225,-391.5999999999999,-390.6999999999997,-396.00000000000176,-353.6000000000008,-383.00000000000233,-2247.300000000007
760,476,-368.90000000000305,-411.70000000000186,-419.7000000000013,-398.0999999999995,-374.4000000000015,-399.2000000000029,-2372.00000000001
770,506,-379.80000000000155,-430.9999999999983,-449.9999999999984,-445.3000000000017,-414.30000000000086,-450.00000000000324,-2570.400000000004
780,545,-402.3000000000028,-470.50000000000017,-483.2000000000004,-460.599999999998,-457.2000000000044,-470.70000000000283,-2744.5000000000086
790,481,-362.80000000000166,-401.00000000000017,-405.79999999999853,-406.90000000000015,-366.7000000000003,-389.1000000000038,-2332.3000000000047
800,619,-513.3000000000022,-542.9999999999985,-555.4999999999991,-538.7999999999959,-516.6999999999991,-545.5000000000053,-3212.8
810,506,-358.2000000000019,-431.00000000000006,-461.4000000000009,-423.0999999999993,-409.6000000000007,-407.90000000000344,-2491.200000000006
820,495,-377.9000000000023,-420.59999999999957,-439.4999999999985,-423.1000000000013,-408.20000000000124,-400.6000000000037,-2469.9000000000065
830,539,-433.1000000000029,-463.4999999999998,-483.4999999999996,-462.9000000000002,-427.7000000000001,-461.0000000000039,-2731.7000000000066
840,504,-393.70000000000135,-437.1999999999978,-447.2999999999992,-429.89999999999924,-441.6000000000021,-437.50000000000324,-2587.200000000003
850,555,-442.20000000000357,-483.49999999999994,-490.19999999999993,-462.29999999999666,-478.9000000000014,-481.30000000000354,-2838.4000000000046
860,510,-380.90000000000174,-429.19999999999845,-455.80000000000206,-429.4999999999995,-408.40000000000214,-433.4000000000028,-2537.2000000000066
870,409,-308.8000000000016,-339.29999999999984,-354.20000000000067,-352.00000000000273,-305.900000000001,-325.0000000000024,-1985.2000000000085
880,499,-362.2000000000016,-416.39999999999895,-441.4000000000011,-409.39999999999833,-389.4000000000011,-406.70000000000454,-2425.5000000000055
890,548,-413.0000000000015,-468.09999999999826,-492.4000000000007,-459.79999999999774,-441.7999999999999,-465.8000000000038,-2740.900000000002
900,545,-431.9000000000034,-472.1999999999978,-493.7999999999999,-462.5999999999965,-469.50000000000153,-492.7000000000034,-2822.7000000000025
910,505,-381.2000000000019,-445.8000000000002,-454.20000000000084,-436.69999999999897,-418.10000000000196,-448.30000000000416,-2584.300000000008
920,525,-391.4000000000017,-439.8999999999996,-465.50000000000176,-437.49999999999824,-428.30000000000103,-432.8000000000041,-2595.4000000000065
930,628,-482.4000000000026,-539.1999999999987,-573.6000000000055,-536.3999999999957,-529.6000000000033,-547.3000000000031,-3208.500000000008
940,518,-380.20000000000164,-454.10000000000167,-460.4000000000006,-448.7,-442.3000000000026,-456.30000000000354,-2642.00000000001
950,399,-291.0000000000016,-344.8000000000021,-343.69999999999874,-335.50000000000136,-310.7000000000014,-325.30000000000285,-1951.0000000000082
