Episode,Steps,Agent0,Agent1,Agent2,Agent3,Agent4,Agent5,Total
1,566,-407.00000000000244,-481.3999999999985,-517.4999999999993,-480.39999999999526,-482.89999999999884,-468.1000000000027,-2837.299999999997
2,506,-386.5000000000035,-431.3999999999997,-442.1999999999976,-425.0999999999981,-407.9000000000023,-428.8000000000039,-2521.900000000005
3,660,-536.800000000004,-589.9000000000003,-615.8999999999987,-574.5999999999976,-578.6000000000008,-586.7000000000061,-3482.5000000000077
4,489,-376.30000000000166,-421.8999999999987,-458.40000000000117,-421.9999999999998,-420.00000000000176,-410.1000000000028,-2508.7000000000057
5,534,-426.2000000000035,-470.5999999999995,-483.2000000000003,-464.59999999999565,-459.0999999999989,-489.4000000000022,-2793.1
6,479,-373.8000000000033,-413.5999999999988,-444.6000000000023,-400.99999999999784,-408.9000000000008,-388.90000000000293,-2430.800000000006
7,587,-474.400000000004,-524.4999999999994,-528.799999999999,-512.1999999999981,-516.5000000000019,-525.8000000000029,-3082.2000000000053
8,587,-467.20000000000374,-543.7000000000024,-532.3999999999995,-510.0999999999974,-510.59999999999826,-522.0000000000022,-3086.0000000000036
9,576,-454.4000000000037,-507.8000000000008,-523.5999999999993,-494.3999999999971,-480.5999999999996,-492.90000000000185,-2953.7000000000025
11,512,-383.4000000000026,-429.9999999999995,-452.4000000000001,-424.19999999999783,-402.099999999998,-460.3000000000022,-2552.4000000000005
12,444,-329.50000000000307,-373.4000000000004,-395.1000000000009,-372.5999999999992,-337.8000000000003,-357.20000000000255,-2165.6000000000063
13,457,-344.00000000000273,-383.99999999999926,-391.3999999999993,-385.99999999999807,-357.3999999999999,-391.40000000000236,-2254.2000000000016
14,502,-371.10000000000343,-411.99999999999847,-433.69999999999965,-417.8999999999984,-407.90000000000134,-423.30000000000183,-2465.9000000000033
15,523,-411.10000000000406,-472.7000000000023,-461.29999999999666,-467.2999999999993,-457.70000000000203,-473.10000000000184,-2743.200000000006
16,483,-368.60000000000264,-409.7000000000004,-415.2999999999983,-410.7999999999994,-381.700000000001,-410.6000000000024,-2396.700000000004
17,455,-346.60000000000264,-392.2000000000007,-404.20000000000005,-384.4999999999986,-376.000000000002,-396.9000000000017,-2300.400000000006
18,508,-386.40000000000396,-437.70000000000164,-442.29999999999757,-442.1000000000014,-411.6000000000035,-439.8000000000033,-2559.9000000000115
19,511,-394.1000000000037,-435.2999999999998,-454.39999999999725,-432.8999999999993,-431.900000000003,-436.1000000000034,-2584.700000000006
21,580,-444.70000000000323,-515.9000000000007,-533.6000000000024,-490.2999999999965,-491.500000000002,-525.4000000000051,-3001.4000000000096
22,540,-403.7000000000032,-465.09999999999945,-479.5000000000004,-452.9999999999966,-432.400000000001,-458.2000000000036,-2691.900000000004
23,565,-454.7000000000039,-492.70000000000107,-504.0999999999973,-470.7999999999969,-454.90000000000185,-481.60000000000434,-2858.8000000000056
24,496,-380.9000000000028,-424.9000000000011,-441.99999999999727,-417.29999999999893,-410.1000000000038,-413.30000000000376,-2488.5000000000073
25,551,-408.8000000000037,-475.9999999999982,-482.6999999999995,-457.39999999999696,-463.90000000000344,-496.4000000000033,-2785.200000000005
26,536,-413.10000000000326,-460.3999999999991,-476.10000000000093,-456.39999999999856,-439.2000000000033,-468.900000000003,-2714.100000000008
27,561,-421.60000000000315,-478.7999999999994,-481.39999999999765,-468.4999999999977,-466.5000000000016,-493.0000000000033,-2809.8000000000025
28,558,-422.10000000000366,-490.9000000000001,-487.19999999999936,-480.3000000000007,-465.50000000000233,-493.6000000000035,-2839.6000000000095
29,634,-501.50000000000273,-563.9999999999987,-594.400000000001,-564.2000000000007,-556.2000000000006,-552.8000000000033,-3333.100000000007
31,473,-367.70000000000374,-413.9000000000012,-420.89999999999844,-405.0999999999975,-401.2000000000024,-428.20000000000306,-2437.0000000000064
32,613,-468.0000000000036,-536.4000000000005,-558.7000000000018,-537.2000000000005,-510.10000000000116,-528.000000000004,-3138.400000000012
33,554,-408.900000000003,-488.3000000000007,-506.999999999999,-480.3999999999973,-476.89999999999884,-478.200000000003,-2839.7000000000016
34,598,-446.60000000000304,-508.7999999999975,-547.6000000000001,-507.8999999999963,-504.3000000000002,-524.1000000000028,-3039.2999999999997
35,564,-434.9000000000018,-498.00000000000017,-506.0999999999991,-472.6999999999963,-483.5000000000009,-506.40000000000293,-2901.600000000001
36,524,-395.9000000000024,-444.19999999999993,-458.5999999999977,-436.5999999999965,-425.30000000000285,-450.4000000000027,-2611.0000000000023
37,556,-452.40000000000236,-484.69999999999584,-487.0999999999964,-471.4999999999961,-475.99999999999864,-477.20000000000266,-2848.899999999992
38,494,-390.90000000000344,-431.0000000000008,-438.20000000000084,-412.89999999999776,-415.3000000000022,-439.9000000000021,-2528.2000000000066
39,527,-393.2000000000024,-450.699999999999,-471.09999999999854,-457.70000000000016,-433.2000000000016,-452.7000000000036,-2658.6000000000054
41,487,-371.0000000000026,-415.099999999999,-436.1000000000008,-417.29999999999933,-394.9000000000016,-411.7000000000039,-2446.1000000000076
42,543,-409.7000000000033,-464.89999999999804,-503.7000000000006,-464.0999999999991,-454.30000000000007,-464.7000000000039,-2761.400000000005
43,533,-403.50000000000296,-476.3000000000002,-478.6999999999997,-449.7999999999966,-457.50000000000057,-464.0000000000035,-2729.8000000000034
44,524,-382.20000000000215,-441.6999999999998,-466.7999999999977,-433.29999999999825,-417.89999999999856,-443.30000000000206,-2585.1999999999985
45,540,-399.2000000000019,-458.7999999999978,-467.9999999999981,-452.5999999999974,-452.30000000000047,-486.4000000000035,-2717.2999999999993
46,506,-381.4000000000022,-438.4999999999998,-450.89999999999856,-434.59999999999894,-433.60000000000053,-436.70000000000243,-2575.7000000000025
47,450,-341.70000000000294,-379.79999999999984,-414.7999999999999,-373.5999999999982,-373.30000000000234,-378.0000000000022,-2261.2000000000057
48,533,-408.30000000000246,-449.6999999999975,-473.4999999999982,-450.5999999999983,-436.8999999999986,-481.1000000000023,-2700.099999999997
49,494,-389.7000000000032,-429.7999999999997,-442.2999999999965,-428.09999999999883,-415.50000000000375,-443.10000000000286,-2548.5000000000045
51,490,-349.9000000000015,-416.8000000000014,-426.49999999999926,-407.7999999999993,-385.3000000000014,-406.20000000000226,-2392.500000000005
