Episode,Steps,Agent0,Agent1,Agent2,Agent3,Agent4,Agent5,Agent6,Agent7,Agent8,Agent9,Agent10,Agent11,Total
0,1999,-1908.2999999999731,-1983.1999999999716,-1925.4999999999345,-1909.4999999999732,-2100.3999999999264,-1926.0999999999344,-2083.7999999999683,-2100.3999999999264,-1926.6999999999343,-1910.8999999999733,-2100.6999999999266,-2027.199999999929,-23902.69999999937
10,1999,-2058.3999999999514,-1858.5999999999583,-1850.4999999999377,-2058.8999999999514,-1926.0999999999344,-1851.3999999999376,-2133.599999999947,-1926.0999999999344,-1851.9999999999377,-2059.699999999951,-1927.2999999999342,-2125.899999999925,-23628.499999999298
20,1999,-2049.6999999999634,-1850.0999999999694,-1900.5999999999356,-2050.599999999963,-1950.9999999999332,-1901.1999999999357,-2100.3999999999614,-1951.299999999933,-1902.0999999999358,-2050.5999999999635,-1952.7999999999329,-2150.499999999923,-23810.89999999935
30,1999,-1983.1999999999716,-1908.4999999999732,-1925.4999999999343,-1983.8999999999712,-2025.699999999929,-1926.0999999999344,-2083.7999999999683,-2025.699999999929,-1926.3999999999344,-1984.7999999999718,-2026.599999999929,-2100.6999999999266,-23900.899999999376
40,1999,-1966.6999999999778,-1916.7999999999784,-1950.3999999999332,-1967.5999999999779,-2050.5999999999276,-1950.9999999999332,-2067.199999999975,-2050.899999999928,-1951.5999999999333,-1968.2999999999777,-2051.199999999928,-2101.299999999926,-23993.599999999395
50,159,-101.0999999999999,-105.69999999999979,-98.29999999999997,-98.89999999999989,-98.19999999999992,-85.2,-109.19999999999975,-97.99999999999989,-83.20000000000003,-94.2999999999999,-97.79999999999991,-97.79999999999988,-1167.699999999999
60,59,-10.199999999999992,-11.799999999999985,-11.199999999999989,-9.399999999999995,-12.199999999999987,-9.799999999999995,-11.49999999999999,-12.199999999999987,-11.999999999999988,-11.999999999999988,-13.099999999999984,-12.799999999999985,-138.19999999999987
70,72,-28.200000000000006,-30.700000000000006,-29.60000000000001,-30.200000000000003,-31.100000000000005,-28.800000000000004,-29.70000000000001,-30.0,-29.50000000000001,-31.000000000000004,-29.9,-29.10000000000001,-357.80000000000007
80,74,-31.000000000000014,-33.10000000000003,-30.20000000000002,-32.300000000000026,-32.700000000000024,-31.400000000000023,-32.80000000000003,-33.900000000000034,-31.600000000000023,-33.00000000000003,-33.60000000000003,-33.900000000000034,-389.5000000000003
90,67,-13.899999999999991,-17.899999999999984,-16.999999999999993,-17.79999999999999,-18.199999999999996,-16.69999999999999,-19.09999999999999,-19.199999999999992,-17.699999999999992,-19.399999999999988,-19.399999999999995,-19.09999999999999,-215.3999999999999
100,72,-27.200000000000006,-24.699999999999996,-26.300000000000004,-28.000000000000007,-28.1,-26.800000000000004,-28.90000000000001,-28.300000000000008,-28.50000000000002,-28.30000000000001,-29.40000000000002,-28.100000000000012,-332.60000000000014
110,84,-19.59999999999999,-18.699999999999996,-21.4,-21.200000000000006,-22.599999999999998,-23.400000000000002,-24.000000000000014,-25.700000000000014,-23.200000000000006,-23.40000000000001,-26.60000000000002,-23.49999999999999,-273.30000000000007
120,81,-28.200000000000017,-28.600000000000026,-31.200000000000017,-30.300000000000036,-32.20000000000004,-31.700000000000017,-32.90000000000004,-32.20000000000004,-32.200000000000024,-33.70000000000004,-34.200000000000045,-33.900000000000055,-381.3000000000004
130,81,-23.000000000000004,-23.600000000000005,-26.900000000000006,-26.20000000000001,-26.400000000000002,-26.300000000000008,-28.300000000000026,-28.00000000000002,-26.900000000000006,-28.200000000000042,-29.600000000000033,-28.10000000000003,-321.50000000000017
140,74,-23.50000000000001,-22.1,-24.0,-26.10000000000002,-25.500000000000007,-25.200000000000006,-27.000000000000018,-26.00000000000001,-25.800000000000015,-27.600000000000026,-26.900000000000023,-25.900000000000002,-305.60000000000014
150,85,-32.000000000000036,-29.600000000000033,-31.70000000000001,-34.60000000000006,-34.70000000000003,-33.00000000000002,-35.400000000000055,-35.200000000000045,-35.30000000000003,-36.600000000000044,-36.80000000000004,-35.10000000000004,-410.00000000000034
160,83,-34.10000000000003,-32.40000000000003,-34.80000000000002,-36.60000000000003,-34.300000000000026,-35.40000000000001,-37.50000000000006,-36.60000000000004,-36.400000000000034,-38.50000000000006,-37.80000000000004,-37.20000000000004,-431.60000000000036
170,81,-23.300000000000047,-22.10000000000004,-25.300000000000026,-26.700000000000035,-27.50000000000005,-27.000000000000014,-28.500000000000046,-28.300000000000047,-29.100000000000044,-29.400000000000045,-27.70000000000004,-30.000000000000075,-324.9000000000005
180,79,-28.40000000000002,-30.300000000000033,-30.700000000000014,-33.30000000000004,-33.40000000000004,-31.2,-32.50000000000003,-32.90000000000003,-31.80000000000001,-35.20000000000005,-34.20000000000003,-34.30000000000005,-388.2000000000004
190,86,-32.00000000000002,-29.90000000000002,-33.500000000000036,-33.00000000000002,-32.50000000000002,-34.20000000000004,-34.70000000000004,-34.000000000000036,-34.30000000000002,-36.500000000000064,-34.30000000000003,-35.900000000000055,-404.80000000000035
200,74,-23.999999999999996,-22.1,-23.999999999999996,-26.2,-26.2,-26.30000000000001,-26.500000000000007,-27.200000000000003,-26.200000000000003,-29.30000000000001,-28.500000000000007,-28.700000000000006,-315.2
210,74,-24.50000000000003,-24.10000000000001,-26.00000000000002,-25.900000000000045,-28.100000000000048,-26.300000000000022,-28.50000000000005,-28.90000000000005,-28.50000000000002,-30.200000000000063,-29.300000000000033,-28.400000000000027,-328.7000000000004
220,77,-28.400000000000027,-28.000000000000025,-28.80000000000002,-27.900000000000027,-31.200000000000042,-30.700000000000006,-32.30000000000003,-30.800000000000026,-31.800000000000015,-31.500000000000032,-31.600000000000023,-31.60000000000002,-364.60000000000036
230,90,-41.90000000000002,-39.40000000000001,-42.300000000000026,-43.900000000000034,-43.70000000000004,-44.70000000000004,-46.200000000000045,-45.000000000000036,-44.700000000000024,-46.30000000000004,-46.00000000000004,-46.20000000000005,-530.3000000000005
240,81,-25.00000000000001,-23.000000000000007,-26.600000000000016,-26.10000000000001,-25.7,-26.700000000000003,-28.600000000000023,-28.400000000000016,-28.400000000000013,-30.50000000000003,-30.00000000000002,-29.80000000000003,-328.8000000000001
250,77,-9.099999999999994,-7.999999999999992,-11.499999999999991,-13.499999999999988,-15.099999999999984,-14.69999999999999,-14.199999999999994,-15.699999999999992,-16.399999999999995,-17.800000000000008,-16.300000000000004,-16.10000000000001,-168.39999999999992
260,79,-24.000000000000014,-25.000000000000014,-25.10000000000001,-26.200000000000017,-27.300000000000022,-24.900000000000006,-29.100000000000023,-27.600000000000012,-27.200000000000006,-28.600000000000023,-28.90000000000002,-26.900000000000006,-320.8000000000002
270,78,-30.200000000000053,-30.100000000000055,-31.80000000000004,-31.10000000000005,-31.300000000000047,-31.50000000000003,-34.40000000000006,-33.50000000000004,-33.00000000000002,-35.50000000000006,-35.50000000000004,-34.20000000000003,-392.10000000000053
280,80,-28.000000000000014,-28.500000000000014,-28.600000000000012,-27.800000000000004,-30.000000000000007,-30.300000000000008,-31.400000000000016,-31.900000000000006,-31.300000000000008,-33.100000000000016,-32.300000000000004,-32.80000000000002,-366.0000000000001
290,76,-24.400000000000023,-26.300000000000047,-24.500000000000004,-21.0,-28.40000000000006,-26.30000000000002,-27.70000000000004,-28.30000000000004,-27.300000000000022,-28.700000000000056,-28.000000000000032,-27.00000000000004,-317.90000000000043
300,84,-28.70000000000001,-27.600000000000016,-28.900000000000006,-27.800000000000008,-31.100000000000012,-30.90000000000002,-32.60000000000003,-32.10000000000002,-32.10000000000002,-34.20000000000003,-32.800000000000026,-31.500000000000025,-370.3000000000002
310,76,-24.000000000000018,-23.700000000000006,-25.100000000000005,-25.30000000000002,-26.200000000000017,-26.900000000000016,-27.700000000000035,-27.30000000000001,-27.30000000000001,-29.200000000000053,-28.100000000000016,-28.500000000000032,-319.3000000000003
320,76,-12.799999999999986,-14.19999999999999,-14.29999999999999,-11.899999999999988,-17.099999999999998,-15.699999999999998,-15.600000000000003,-17.90000000000001,-17.400000000000002,-18.300000000000015,-18.40000000000001,-18.700000000000017,-192.3
330,79,-24.6,-21.000000000000004,-24.899999999999995,-23.700000000000003,-24.499999999999986,-25.700000000000003,-25.10000000000001,-26.599999999999998,-28.400000000000006,-27.599999999999998,-27.099999999999998,-26.900000000000006,-306.1
340,73,-21.0,-21.900000000000002,-22.600000000000005,-23.100000000000005,-23.7,-21.199999999999996,-26.000000000000036,-24.500000000000018,-25.20000000000001,-26.70000000000004,-25.500000000000014,-25.700000000000035,-287.1000000000002
350,80,-13.599999999999996,-12.299999999999986,-17.9,-17.000000000000004,-18.199999999999996,-19.1,-18.400000000000016,-19.900000000000023,-19.200000000000003,-20.000000000000036,-20.30000000000001,-20.200000000000017,-216.10000000000008
360,68,-4.400000000000004,-4.900000000000005,-7.799999999999997,-5.500000000000007,-7.099999999999991,-10.199999999999998,-10.20000000000001,-9.199999999999998,-10.3,-12.300000000000015,-11.200000000000006,-10.300000000000017,-103.40000000000003
370,78,-27.100000000000048,-29.60000000000005,-27.700000000000028,-28.300000000000036,-30.20000000000005,-30.500000000000014,-33.90000000000006,-31.200000000000045,-31.80000000000002,-34.00000000000005,-34.00000000000004,-33.000000000000036,-371.3000000000006
380,74,-25.10000000000002,-27.500000000000043,-28.100000000000023,-25.900000000000027,-29.500000000000032,-28.30000000000001,-31.300000000000054,-31.00000000000005,-31.300000000000033,-31.000000000000043,-32.40000000000005,-32.20000000000005,-353.6000000000004
390,74,-26.200000000000006,-24.900000000000002,-26.8,-25.900000000000002,-27.799999999999997,-28.1,-29.90000000000002,-28.60000000000001,-28.900000000000006,-30.900000000000023,-30.100000000000012,-30.20000000000002,-338.3000000000001
