Episode,Steps,Agent0,Agent1,Agent2,Total
0,132,-62.000000000000085,-73.3,-60.70000000000006,-196.0000000000001
10,157,-73.20000000000002,-80.69999999999993,-75.59999999999995,-229.4999999999999
20,150,-58.900000000000105,-75.09999999999994,-65.90000000000006,-199.90000000000012
30,148,-63.4000000000001,-71.09999999999992,-68.90000000000003,-203.40000000000006
40,167,-77.89999999999993,-85.69999999999989,-79.19999999999987,-242.7999999999997
50,138,-63.9000000000001,-70.59999999999997,-62.50000000000008,-197.00000000000014
60,154,-71.3,-81.69999999999986,-74.49999999999989,-227.49999999999974
70,139,-58.400000000000084,-68.79999999999995,-66.29999999999998,-193.50000000000003
80,131,-54.80000000000008,-67.69999999999996,-56.70000000000007,-179.2000000000001
90,149,-74.30000000000001,-77.79999999999991,-69.80000000000004,-221.89999999999995
100,145,-65.8000000000001,-81.9999999999999,-68.60000000000004,-216.40000000000003
110,162,-76.49999999999997,-83.49999999999986,-77.09999999999984,-237.09999999999968
120,139,-69.20000000000007,-74.29999999999995,-67.90000000000006,-211.4000000000001
130,152,-74.70000000000002,-83.89999999999989,-70.10000000000001,-228.69999999999993
140,156,-75.09999999999997,-84.89999999999985,-74.19999999999996,-234.1999999999998
150,139,-62.0000000000001,-73.39999999999992,-68.29999999999997,-203.7
160,150,-71.30000000000004,-86.29999999999988,-73.69999999999996,-231.29999999999987
170,149,-65.0000000000001,-75.6999999999999,-70.09999999999998,-210.79999999999995
180,144,-65.90000000000005,-81.09999999999995,-68.0,-215.0
190,147,-64.6000000000001,-76.6999999999999,-71.80000000000007,-213.10000000000008
200,163,-75.59999999999995,-87.09999999999985,-74.09999999999994,-236.79999999999976
210,144,-68.90000000000006,-79.19999999999993,-67.30000000000003,-215.40000000000003
220,144,-60.10000000000011,-73.49999999999994,-60.10000000000008,-193.70000000000013
230,138,-62.7000000000001,-68.69999999999995,-63.3000000000001,-194.70000000000013
240,158,-71.10000000000002,-80.69999999999989,-68.8,-220.5999999999999
250,155,-64.40000000000009,-75.09999999999991,-67.90000000000005,-207.40000000000003
260,142,-57.20000000000008,-71.09999999999998,-63.20000000000006,-191.5000000000001
270,145,-73.40000000000002,-80.49999999999991,-67.20000000000002,-221.09999999999994
280,135,-50.400000000000084,-64.39999999999995,-60.60000000000005,-175.4000000000001
290,143,-66.20000000000006,-76.09999999999995,-66.60000000000007,-208.9000000000001
300,201,-91.19999999999989,-132.4999999999997,-122.59999999999958,-346.29999999999916
310,168,-73.1,-97.99999999999987,-93.19999999999985,-264.2999999999997
320,169,-73.40000000000002,-105.7999999999998,-99.2999999999998,-278.4999999999996
330,196,-83.29999999999995,-119.19999999999973,-113.09999999999968,-315.59999999999934
340,158,-70.90000000000003,-93.99999999999983,-80.49999999999996,-245.3999999999998
350,161,-56.00000000000009,-77.69999999999992,-76.29999999999993,-209.99999999999994
360,158,-64.90000000000009,-81.39999999999988,-81.89999999999993,-228.19999999999987
370,139,-60.00000000000011,-71.19999999999996,-68.90000000000003,-200.1000000000001
380,156,-67.30000000000007,-77.39999999999988,-73.3,-217.99999999999994
390,133,-52.90000000000006,-68.99999999999997,-71.50000000000004,-193.4000000000001
400,153,-57.000000000000085,-69.09999999999994,-71.00000000000003,-197.10000000000005
410,139,-50.10000000000006,-66.69999999999997,-65.6000000000001,-182.40000000000015
420,157,-72.40000000000002,-79.89999999999993,-76.79999999999994,-229.0999999999999
430,135,-52.10000000000009,-62.499999999999964,-60.800000000000104,-175.40000000000015
440,139,-53.50000000000007,-68.79999999999994,-69.59999999999997,-191.89999999999998
450,120,-48.30000000000007,-61.99999999999997,-55.90000000000007,-166.2000000000001
460,120,-51.50000000000007,-62.699999999999996,-56.200000000000095,-170.40000000000018
470,140,-45.50000000000006,-64.29999999999997,-57.70000000000009,-167.5000000000001
480,151,-63.00000000000011,-79.1999999999999,-77.39999999999993,-219.59999999999997
490,131,-59.00000000000011,-62.69999999999995,-68.19999999999999,-189.90000000000003
500,126,-43.00000000000007,-55.999999999999964,-50.800000000000104,-149.80000000000013
510,118,-43.200000000000045,-53.70000000000001,-48.500000000000064,-145.40000000000012
520,151,-54.50000000000008,-69.49999999999996,-65.50000000000013,-189.50000000000017
530,124,-48.30000000000006,-58.699999999999996,-48.80000000000008,-155.80000000000013
540,137,-51.600000000000065,-68.99999999999996,-65.50000000000006,-186.10000000000008
550,140,-68.30000000000007,-73.09999999999992,-64.90000000000006,-206.30000000000004
560,120,-50.100000000000065,-53.60000000000001,-49.40000000000009,-153.10000000000016
570,142,-48.90000000000006,-64.99999999999996,-63.3000000000001,-177.2000000000001
580,140,-55.70000000000009,-62.599999999999966,-61.60000000000011,-179.90000000000015
590,116,-51.900000000000084,-60.800000000000004,-56.10000000000007,-168.80000000000015
600,144,-53.10000000000008,-65.19999999999995,-59.30000000000014,-177.60000000000016
